time,enrolled,available,waitlisted,total
2022-11-05T20:09:41,0,20,0,20
2022-11-05T20:18:58,0,20,0,20
2022-11-05T20:28:15,0,20,0,20
2022-11-05T20:37:42,0,20,0,20
2022-11-05T20:46:58,0,20,0,20
2022-11-05T20:56:14,0,20,0,20
2022-11-05T21:05:29,0,20,0,20
2022-11-05T21:14:45,0,20,0,20
2022-11-05T21:24:00,0,20,0,20
2022-11-05T21:33:16,0,20,0,20
2022-11-05T21:42:32,0,20,0,20
2022-11-05T21:51:48,0,20,0,20
2022-11-05T22:01:03,0,20,0,20
2022-11-05T22:10:18,0,20,0,20
2022-11-05T22:19:33,0,20,0,20
2022-11-05T22:28:48,0,20,0,20
2022-11-05T22:38:06,0,20,0,20
2022-11-05T22:47:22,0,20,0,20
2022-11-05T22:56:38,0,20,0,20
2022-11-05T23:05:54,0,20,0,20
2022-11-05T23:15:10,0,20,0,20
2022-11-05T23:24:27,0,20,0,20
2022-11-05T23:33:45,0,20,0,20
2022-11-05T23:43:00,0,20,0,20
2022-11-05T23:52:17,0,20,0,20
2022-11-06T00:01:32,0,20,0,20
2022-11-06T00:10:58,0,20,0,20
2022-11-06T00:20:14,0,20,0,20
2022-11-06T00:29:30,0,20,0,20
2022-11-06T00:38:45,0,20,0,20
2022-11-06T00:48:01,0,20,0,20
2022-11-06T00:57:16,0,20,0,20
2022-11-06T01:06:31,0,20,0,20
2022-11-06T01:15:46,0,20,0,20
2022-11-06T01:25:03,0,20,0,20
2022-11-06T01:34:18,0,20,0,20
2022-11-06T01:43:34,0,20,0,20
2022-11-06T01:52:50,0,20,0,20
2022-11-06T01:02:07,0,20,0,20
2022-11-06T01:11:23,0,20,0,20
2022-11-06T01:20:39,0,20,0,20
2022-11-06T01:29:55,0,20,0,20
2022-11-06T01:39:10,0,20,0,20
2022-11-06T01:48:26,0,20,0,20
2022-11-06T01:57:46,0,20,0,20
2022-11-06T02:07:04,0,20,0,20
2022-11-06T02:16:23,0,20,0,20
2022-11-06T02:25:43,0,20,0,20
2022-11-06T02:35:04,0,20,0,20
2022-11-06T02:44:22,0,20,0,20
2022-11-06T02:53:42,0,20,0,20
2022-11-06T03:03:00,0,20,0,20
2022-11-06T03:12:18,0,20,0,20
2022-11-06T03:21:34,0,20,0,20
2022-11-06T03:30:51,0,20,0,20
2022-11-06T03:40:11,0,20,0,20
2022-11-06T03:49:31,0,20,0,20
2022-11-06T03:58:51,0,20,0,20
2022-11-06T04:14:07,0,20,0,20
2022-11-06T04:23:29,0,20,0,20
2022-11-06T04:32:48,0,20,0,20
2022-11-06T04:42:07,0,20,0,20
2022-11-06T04:52:51,0,20,0,20
2022-11-06T05:02:09,0,20,0,20
2022-11-06T05:11:26,0,20,0,20
2022-11-06T05:20:43,0,20,0,20
2022-11-06T05:30:00,0,20,0,20
2022-11-06T05:39:16,0,20,0,20
2022-11-06T05:48:31,0,20,0,20
2022-11-06T05:57:49,0,20,0,20
2022-11-06T06:07:08,0,20,0,20
2022-11-06T06:16:26,0,20,0,20
2022-11-06T06:25:44,0,20,0,20
2022-11-06T06:35:01,0,20,0,20
2022-11-06T06:44:17,0,20,0,20
2022-11-06T06:53:32,0,20,0,20
2022-11-06T07:02:49,0,20,0,20
2022-11-06T07:12:06,0,20,0,20
2022-11-06T07:21:24,0,20,0,20
2022-11-06T07:30:41,0,20,0,20
2022-11-06T07:40:00,0,20,0,20
2022-11-06T07:49:18,0,20,0,20
2022-11-06T07:58:35,0,20,0,20
2022-11-06T08:07:52,0,20,0,20
2022-11-06T08:17:09,0,20,0,20
2022-11-06T08:26:26,0,20,0,20
2022-11-06T08:35:43,0,20,0,20
2022-11-06T08:44:59,0,20,0,20
2022-11-06T08:54:16,0,20,0,20
2022-11-06T09:03:33,0,20,0,20
2022-11-06T09:12:47,0,20,0,20
2022-11-06T09:22:02,0,20,0,20
2022-11-06T09:31:15,0,20,0,20
2022-11-06T09:40:29,0,20,0,20
2022-11-06T09:49:43,0,20,0,20
2022-11-06T09:58:57,0,20,0,20
2022-11-06T10:08:11,0,20,0,20
2022-11-06T10:17:24,0,20,0,20
2022-11-06T10:26:38,0,20,0,20
2022-11-06T10:35:54,0,20,0,20
2022-11-06T10:45:09,0,20,0,20
2022-11-06T10:54:24,0,20,0,20
2022-11-06T11:03:39,0,20,0,20
2022-11-06T11:12:54,0,20,0,20
2022-11-06T11:22:10,0,20,0,20
2022-11-06T11:31:32,0,20,0,20
2022-11-06T11:40:50,0,20,0,20
2022-11-06T11:50:04,0,20,0,20
2022-11-06T11:59:18,0,20,0,20
2022-11-06T12:08:32,0,20,0,20
2022-11-06T12:17:48,0,20,0,20
2022-11-06T12:27:13,0,20,0,20
2022-11-06T12:36:27,0,20,0,20
2022-11-06T12:45:41,0,20,0,20
2022-11-06T12:54:56,0,20,0,20
2022-11-06T13:04:10,0,20,0,20
2022-11-06T13:13:26,0,20,0,20
2022-11-06T13:22:42,0,20,0,20
2022-11-06T13:31:56,0,20,0,20
