time,enrolled,available,waitlisted,total
2022-11-05T20:09:42,0,5,0,5
2022-11-05T20:18:59,0,5,0,5
2022-11-05T20:28:16,0,5,0,5
2022-11-05T20:37:43,0,5,0,5
2022-11-05T20:47:00,0,5,0,5
2022-11-05T20:56:16,0,5,0,5
2022-11-05T21:05:31,0,5,0,5
2022-11-05T21:14:47,0,5,0,5
2022-11-05T21:24:01,0,5,0,5
2022-11-05T21:33:17,0,5,0,5
2022-11-05T21:42:34,0,5,0,5
2022-11-05T21:51:49,0,5,0,5
2022-11-05T22:01:04,0,5,0,5
2022-11-05T22:10:19,0,5,0,5
2022-11-05T22:19:35,0,5,0,5
2022-11-05T22:28:50,0,5,0,5
2022-11-05T22:38:07,0,5,0,5
2022-11-05T22:47:23,0,5,0,5
2022-11-05T22:56:39,0,5,0,5
2022-11-05T23:05:56,0,5,0,5
2022-11-05T23:15:11,0,5,0,5
2022-11-05T23:24:28,0,5,0,5
2022-11-05T23:33:46,0,5,0,5
2022-11-05T23:43:01,0,5,0,5
2022-11-05T23:52:18,0,5,0,5
2022-11-06T00:01:34,0,5,0,5
2022-11-06T00:11:00,0,5,0,5
2022-11-06T00:20:16,0,5,0,5
2022-11-06T00:29:31,0,5,0,5
2022-11-06T00:38:46,0,5,0,5
2022-11-06T00:48:02,0,5,0,5
2022-11-06T00:57:18,0,5,0,5
2022-11-06T01:06:32,0,5,0,5
2022-11-06T01:15:48,0,5,0,5
2022-11-06T01:25:04,0,5,0,5
2022-11-06T01:34:20,0,5,0,5
2022-11-06T01:43:36,0,5,0,5
2022-11-06T01:52:51,0,5,0,5
2022-11-06T01:02:08,0,5,0,5
2022-11-06T01:11:24,0,5,0,5
2022-11-06T01:20:40,0,5,0,5
2022-11-06T01:29:56,0,5,0,5
2022-11-06T01:39:12,0,5,0,5
2022-11-06T01:48:28,0,5,0,5
2022-11-06T01:57:47,0,5,0,5
2022-11-06T02:07:06,0,5,0,5
2022-11-06T02:16:24,0,5,0,5
2022-11-06T02:25:44,0,5,0,5
2022-11-06T02:35:05,0,5,0,5
2022-11-06T02:44:24,0,5,0,5
2022-11-06T02:53:43,0,5,0,5
2022-11-06T03:03:01,0,5,0,5
2022-11-06T03:12:19,0,5,0,5
2022-11-06T03:21:35,0,5,0,5
2022-11-06T03:30:53,0,5,0,5
2022-11-06T03:40:12,0,5,0,5
2022-11-06T03:49:32,0,5,0,5
2022-11-06T03:58:52,0,5,0,5
2022-11-06T04:14:09,0,5,0,5
2022-11-06T04:23:30,0,5,0,5
2022-11-06T04:32:49,0,5,0,5
2022-11-06T04:42:08,0,5,0,5
2022-11-06T04:52:52,0,5,0,5
2022-11-06T05:02:10,0,5,0,5
2022-11-06T05:11:28,0,5,0,5
2022-11-06T05:20:44,0,5,0,5
2022-11-06T05:30:01,0,5,0,5
2022-11-06T05:39:17,0,5,0,5
2022-11-06T05:48:33,0,5,0,5
2022-11-06T05:57:50,0,5,0,5
2022-11-06T06:07:09,0,5,0,5
2022-11-06T06:16:28,0,5,0,5
2022-11-06T06:25:46,0,5,0,5
2022-11-06T06:35:02,0,5,0,5
2022-11-06T06:44:18,0,5,0,5
2022-11-06T06:53:34,0,5,0,5
2022-11-06T07:02:50,0,5,0,5
2022-11-06T07:12:07,0,5,0,5
2022-11-06T07:21:25,0,5,0,5
2022-11-06T07:30:42,0,5,0,5
2022-11-06T07:40:01,0,5,0,5
2022-11-06T07:49:20,0,5,0,5
2022-11-06T07:58:36,0,5,0,5
2022-11-06T08:07:53,0,5,0,5
2022-11-06T08:17:10,0,5,0,5
2022-11-06T08:26:27,0,5,0,5
2022-11-06T08:35:44,0,5,0,5
2022-11-06T08:45:00,0,5,0,5
2022-11-06T08:54:17,0,5,0,5
2022-11-06T09:03:34,0,5,0,5
2022-11-06T09:12:49,0,5,0,5
2022-11-06T09:22:03,0,5,0,5
2022-11-06T09:31:17,0,5,0,5
2022-11-06T09:40:30,0,5,0,5
2022-11-06T09:49:45,0,5,0,5
2022-11-06T09:58:59,0,5,0,5
2022-11-06T10:08:12,0,5,0,5
2022-11-06T10:17:25,0,5,0,5
2022-11-06T10:26:39,0,5,0,5
2022-11-06T10:35:56,0,5,0,5
2022-11-06T10:45:10,0,5,0,5
2022-11-06T10:54:25,0,5,0,5
2022-11-06T11:03:41,0,5,0,5
2022-11-06T11:12:55,0,5,0,5
2022-11-06T11:22:11,0,5,0,5
2022-11-06T11:31:33,0,5,0,5
2022-11-06T11:40:51,0,5,0,5
2022-11-06T11:50:05,0,5,0,5
2022-11-06T11:59:19,0,5,0,5
2022-11-06T12:08:33,0,5,0,5
2022-11-06T12:17:49,0,5,0,5
2022-11-06T12:27:15,0,5,0,5
2022-11-06T12:36:28,0,5,0,5
2022-11-06T12:45:43,0,5,0,5
2022-11-06T12:54:58,0,5,0,5
2022-11-06T13:04:12,0,5,0,5
2022-11-06T13:13:27,0,5,0,5
2022-11-06T13:22:43,0,5,0,5
2022-11-06T13:31:57,0,5,0,5
2022-11-06T13:41:11,0,5,0,5
2022-11-06T13:50:24,0,5,0,5
2022-11-06T13:59:39,0,5,0,5
2022-11-06T14:08:54,0,5,0,5
2022-11-06T14:18:09,0,5,0,5
2022-11-06T14:27:32,0,5,0,5
2022-11-06T14:36:45,0,5,0,5
2022-11-06T14:46:03,0,5,0,5
2022-11-06T14:55:17,0,5,0,5
2022-11-06T15:04:30,0,5,0,5
2022-11-06T15:13:44,0,5,0,5
2022-11-06T15:22:57,0,5,0,5
2022-11-06T15:32:11,0,5,0,5
2022-11-06T15:41:24,0,5,0,5
2022-11-06T15:50:38,0,5,0,5
2022-11-06T15:59:51,0,5,0,5
2022-11-06T16:09:14,0,5,0,5
2022-11-06T16:18:28,0,5,0,5
2022-11-06T16:27:44,0,5,0,5
2022-11-06T16:37:00,0,5,0,5
2022-11-06T16:46:15,0,5,0,5
2022-11-06T16:55:31,0,5,0,5
2022-11-06T17:04:45,0,5,0,5
2022-11-06T17:14:00,0,5,0,5
2022-11-06T17:23:15,0,5,0,5
2022-11-06T17:32:30,0,5,0,5
2022-11-06T17:41:45,0,5,0,5
2022-11-06T17:51:10,0,5,0,5
2022-11-06T18:00:24,0,5,0,5
2022-11-06T18:09:40,0,5,0,5
2022-11-06T18:18:56,0,5,0,5
2022-11-06T18:28:10,0,5,0,5
2022-11-06T18:37:23,0,5,0,5
2022-11-06T18:46:37,0,5,0,5
2022-11-06T18:55:52,0,5,0,5
2022-11-06T19:05:07,0,5,0,5
2022-11-06T19:14:30,0,5,0,5
2022-11-06T19:23:45,0,5,0,5
2022-11-06T19:33:00,0,5,0,5
2022-11-06T19:42:13,0,5,0,5
2022-11-06T19:51:26,0,5,0,5
2022-11-06T20:00:41,0,5,0,5
2022-11-06T20:09:55,0,5,0,5
2022-11-06T20:19:09,0,5,0,5
2022-11-06T20:28:25,0,5,0,5
2022-11-06T20:37:46,0,5,0,5
2022-11-06T20:47:01,0,5,0,5
2022-11-06T20:56:15,0,5,0,5
2022-11-06T21:05:30,0,5,0,5
2022-11-06T21:14:43,0,5,0,5
2022-11-06T21:23:56,0,5,0,5
2022-11-06T21:33:09,0,5,0,5
2022-11-06T21:42:24,0,5,0,5
2022-11-06T21:51:38,0,5,0,5
2022-11-06T22:01:04,0,5,0,5
2022-11-06T22:10:18,0,5,0,5
2022-11-06T22:19:34,0,5,0,5
2022-11-06T22:28:48,0,5,0,5
2022-11-06T22:38:04,0,5,0,5
2022-11-06T22:47:17,0,5,0,5
2022-11-06T22:56:32,0,5,0,5
2022-11-06T23:05:48,0,5,0,5
2022-11-06T23:15:13,0,5,0,5
2022-11-06T23:24:29,0,5,0,5
2022-11-06T23:33:45,0,5,0,5
2022-11-06T23:43:00,0,5,0,5
2022-11-06T23:52:16,0,5,0,5
2022-11-07T00:03:12,0,5,0,5
2022-11-07T00:12:37,0,5,0,5
2022-11-07T00:21:54,0,5,0,5
2022-11-07T00:31:22,0,5,0,5
2022-11-07T00:40:39,0,5,0,5
2022-11-07T00:49:53,0,5,0,5
2022-11-07T00:59:07,0,5,0,5
2022-11-07T01:08:26,0,5,0,5
2022-11-07T01:17:44,0,5,0,5
2022-11-07T01:26:59,0,5,0,5
2022-11-07T01:36:14,0,5,0,5
2022-11-07T01:45:40,0,5,0,5
2022-11-07T01:54:54,0,5,0,5
2022-11-07T02:04:08,0,5,0,5
2022-11-07T02:13:23,0,5,0,5
2022-11-07T02:22:38,0,5,0,5
2022-11-07T02:31:52,0,5,0,5
2022-11-07T02:41:07,0,5,0,5
2022-11-07T02:50:21,0,5,0,5
2022-11-07T02:59:35,0,5,0,5
2022-11-07T03:08:49,0,5,0,5
2022-11-07T03:18:05,0,5,0,5
2022-11-07T03:27:19,0,5,0,5
2022-11-07T03:36:36,0,5,0,5
2022-11-07T03:45:52,0,5,0,5
2022-11-07T03:55:08,0,5,0,5
2022-11-07T04:04:25,0,5,0,5
2022-11-07T04:21:35,0,5,0,5
2022-11-07T04:31:15,0,5,0,5
2022-11-07T04:40:31,0,5,0,5
2022-11-07T04:49:49,0,5,0,5
2022-11-07T04:59:03,0,5,0,5
2022-11-07T05:08:19,0,5,0,5
2022-11-07T05:17:33,0,5,0,5
2022-11-07T05:26:47,0,5,0,5
2022-11-07T05:36:01,0,5,0,5
2022-11-07T05:45:16,0,5,0,5
2022-11-07T05:54:31,0,5,0,5
2022-11-07T06:03:48,0,5,0,5
2022-11-07T06:13:05,0,5,0,5
2022-11-07T06:22:22,0,5,0,5
2022-11-07T06:31:40,0,5,0,5
2022-11-07T06:40:57,0,5,0,5
2022-11-07T06:50:13,0,5,0,5
2022-11-07T06:59:29,0,5,0,5
2022-11-07T07:08:46,0,5,0,5
2022-11-07T07:18:03,0,5,0,5
2022-11-07T07:27:21,0,5,0,5
2022-11-07T07:36:38,0,5,0,5
2022-11-07T07:45:55,0,5,0,5
2022-11-07T07:55:16,0,5,0,5
2022-11-07T08:04:35,0,5,0,5
2022-11-07T08:13:54,0,5,0,5
2022-11-07T08:23:12,0,5,0,5
2022-11-07T08:32:40,0,5,0,5
2022-11-07T08:41:59,0,5,0,5
2022-11-07T08:51:16,0,5,0,5
2022-11-07T09:00:33,0,5,0,5
2022-11-07T09:09:52,0,5,0,5
2022-11-07T09:19:15,0,5,0,5
2022-11-07T09:28:34,0,5,0,5
2022-11-07T09:37:53,0,5,0,5
2022-11-07T09:47:30,0,5,0,5
2022-11-07T09:56:49,0,5,0,5
2022-11-07T10:06:07,0,5,0,5
2022-11-07T10:15:27,0,5,0,5
2022-11-07T10:24:46,0,5,0,5
2022-11-07T10:34:06,0,5,0,5
2022-11-07T10:43:38,0,5,0,5
2022-11-07T10:52:57,0,5,0,5
2022-11-07T11:02:16,0,5,0,5
2022-11-07T11:11:38,0,5,0,5
2022-11-07T11:20:58,0,5,0,5
2022-11-07T11:30:30,0,5,0,5
2022-11-07T11:39:49,0,5,0,5
2022-11-07T11:49:08,0,5,0,5
2022-11-07T11:58:25,0,5,0,5
2022-11-07T12:07:54,0,5,0,5
2022-11-07T12:17:14,0,5,0,5
2022-11-07T12:26:35,0,5,0,5
2022-11-07T12:35:54,0,5,0,5
2022-11-07T12:45:24,0,5,0,5
2022-11-07T12:54:43,0,5,0,5
2022-11-07T13:04:04,0,5,0,5
2022-11-07T13:13:26,0,5,0,5
2022-11-07T13:22:56,0,5,0,5
2022-11-07T13:32:17,0,5,0,5
2022-11-07T13:41:39,0,5,0,5
2022-11-07T13:51:10,0,5,0,5
2022-11-07T14:00:30,0,5,0,5
2022-11-07T14:09:49,0,5,0,5
2022-11-07T14:19:09,0,5,0,5
2022-11-07T14:28:40,0,5,0,5
2022-11-07T14:37:59,0,5,0,5
2022-11-07T14:47:19,0,5,0,5
2022-11-07T14:56:37,0,5,0,5
2022-11-07T15:05:56,0,5,0,5
2022-11-07T15:15:27,0,5,0,5
2022-11-07T15:24:46,0,5,0,5
2022-11-07T15:34:05,0,5,0,5
2022-11-07T15:43:23,0,5,0,5
2022-11-07T15:52:52,0,5,0,5
2022-11-07T16:02:10,0,5,0,5
2022-11-07T16:11:28,0,5,0,5
2022-11-07T16:20:46,0,5,0,5
2022-11-07T16:30:05,0,5,0,5
2022-11-07T16:39:32,0,5,0,5
2022-11-07T16:48:51,0,5,0,5
2022-11-07T16:58:08,0,5,0,5
2022-11-07T17:07:28,0,5,0,5
2022-11-07T17:17:02,0,5,0,5
2022-11-07T17:26:20,0,5,0,5
2022-11-07T17:35:37,0,5,0,5
2022-11-07T17:44:55,0,5,0,5
2022-11-07T17:54:12,0,5,0,5
2022-11-07T18:03:44,0,5,0,5
2022-11-07T18:13:01,0,5,0,5
2022-11-07T18:22:18,0,5,0,5
2022-11-07T18:31:36,0,5,0,5
2022-11-07T18:41:03,0,5,0,5
2022-11-07T18:50:21,0,5,0,5
2022-11-07T18:59:37,0,5,0,5
2022-11-07T19:08:55,0,5,0,5
2022-11-07T19:18:22,0,5,0,5
2022-11-07T19:27:40,0,5,0,5
2022-11-07T19:36:59,0,5,0,5
2022-11-07T19:46:17,0,5,0,5
2022-11-07T19:55:35,0,5,0,5
2022-11-07T20:05:03,0,5,0,5
2022-11-07T20:14:22,0,5,0,5
2022-11-07T20:23:39,0,5,0,5
