time,enrolled,available,waitlisted,total
2022-11-23T15:02:02,0,15,0,15
2022-11-23T15:11:19,0,15,0,15
2022-11-23T15:20:35,0,15,0,15
2022-11-23T15:29:52,0,15,0,15
2022-11-23T15:39:09,0,15,0,15
2022-11-23T15:48:26,0,15,0,15
2022-11-23T15:57:43,0,15,0,15
2022-11-23T16:06:59,0,15,0,15
2022-11-23T16:16:15,0,15,0,15
2022-11-23T16:25:31,0,15,0,15
2022-11-23T16:34:47,0,15,0,15
2022-11-23T16:44:03,0,15,0,15
2022-11-23T16:53:19,0,15,0,15
2022-11-23T17:02:35,0,15,0,15
2022-11-23T17:11:51,0,15,0,15
2022-11-23T17:21:07,0,15,0,15
2022-11-23T17:30:32,0,15,0,15
2022-11-23T17:39:48,0,15,0,15
2022-11-23T17:49:04,0,15,0,15
2022-11-23T17:58:19,0,15,0,15
2022-11-23T18:07:35,0,15,0,15
2022-11-23T18:16:50,0,15,0,15
2022-11-23T18:26:06,0,15,0,15
2022-11-23T18:35:24,0,15,0,15
2022-11-23T18:44:41,0,15,0,15
2022-11-23T18:53:58,0,15,0,15
2022-11-23T19:03:14,0,15,0,15
2022-11-23T19:12:31,0,15,0,15
2022-11-23T19:21:48,0,15,0,15
2022-11-23T19:31:05,0,15,0,15
2022-11-23T19:40:23,0,15,0,15
2022-11-23T19:49:40,0,15,0,15
2022-11-23T19:58:57,0,15,0,15
2022-11-23T20:08:13,0,15,0,15
2022-11-23T20:17:40,0,15,0,15
2022-11-23T20:26:57,0,15,0,15
2022-11-23T20:36:16,0,15,0,15
2022-11-23T20:45:33,0,15,0,15
2022-11-23T20:54:49,0,15,0,15
2022-11-23T21:04:05,0,15,0,15
2022-11-23T21:13:23,0,15,0,15
2022-11-23T21:22:39,0,15,0,15
2022-11-23T21:31:56,0,15,0,15
2022-11-23T21:41:12,0,15,0,15
2022-11-23T21:50:28,0,15,0,15
2022-11-23T21:59:44,0,15,0,15
2022-11-23T22:09:01,0,15,0,15
2022-11-23T22:18:18,0,15,0,15
2022-11-23T22:27:36,0,15,0,15
2022-11-23T22:36:53,0,15,0,15
2022-11-23T22:46:09,0,15,0,15
2022-11-23T22:55:26,0,15,0,15
2022-11-23T23:04:42,0,15,0,15
2022-11-23T23:14:00,0,15,0,15
2022-11-23T23:23:17,0,15,0,15
2022-11-23T23:32:34,0,15,0,15
2022-11-23T23:42:01,0,15,0,15
2022-11-23T23:51:18,0,15,0,15
2022-11-24T00:00:35,0,15,0,15
2022-11-24T00:09:53,0,15,0,15
2022-11-24T00:19:14,0,15,0,15
2022-11-24T00:28:33,0,15,0,15
2022-11-24T00:37:54,0,15,0,15
2022-11-24T00:47:14,0,15,0,15
2022-11-24T00:56:34,0,15,0,15
2022-11-24T01:05:54,0,15,0,15
2022-11-24T01:15:16,0,15,0,15
2022-11-24T01:24:35,0,15,0,15
2022-11-24T01:33:53,0,15,0,15
2022-11-24T01:43:10,0,15,0,15
2022-11-24T01:52:27,0,15,0,15
2022-11-24T02:01:45,0,15,0,15
2022-11-24T02:11:04,0,15,0,15
2022-11-24T02:20:24,0,15,0,15
2022-11-24T02:29:42,0,15,0,15
2022-11-24T02:39:05,0,15,0,15
2022-11-24T02:48:24,0,15,0,15
2022-11-24T02:57:42,0,15,0,15
2022-11-24T03:06:59,0,15,0,15
2022-11-24T03:16:15,0,15,0,15
2022-11-24T03:25:32,0,15,0,15
2022-11-24T03:34:49,0,15,0,15
2022-11-24T03:44:09,0,15,0,15
2022-11-24T03:53:29,0,15,0,15
2022-11-24T04:02:52,0,15,0,15
2022-11-24T04:12:11,0,15,0,15
2022-11-24T04:21:20,0,15,0,15
2022-11-24T04:30:43,0,15,0,15
2022-11-24T04:40:05,0,15,0,15
