time,enrolled,available,waitlisted,total
2022-11-05T20:09:46,0,149,0,149
2022-11-05T20:19:03,0,149,0,149
2022-11-05T20:28:20,0,149,0,149
2022-11-05T20:37:48,0,149,0,149
2022-11-05T20:47:04,0,149,0,149
2022-11-05T20:56:20,0,149,0,149
2022-11-05T21:05:35,0,149,0,149
2022-11-05T21:14:51,0,149,0,149
2022-11-05T21:24:05,0,149,0,149
2022-11-05T21:33:22,0,149,0,149
2022-11-05T21:42:38,0,149,0,149
2022-11-05T21:51:53,0,149,0,149
2022-11-05T22:01:09,0,149,0,149
2022-11-05T22:10:24,0,149,0,149
2022-11-05T22:19:39,0,149,0,149
2022-11-05T22:28:54,0,149,0,149
2022-11-05T22:38:12,0,149,0,149
2022-11-05T22:47:28,0,149,0,149
2022-11-05T22:56:43,0,149,0,149
2022-11-05T23:06:00,0,149,0,149
2022-11-05T23:15:16,0,149,0,149
2022-11-05T23:24:32,0,149,0,149
2022-11-05T23:33:51,0,149,0,149
2022-11-05T23:43:06,0,149,0,149
2022-11-05T23:52:22,0,149,0,149
2022-11-06T00:01:38,0,149,0,149
2022-11-06T00:11:04,0,149,0,149
2022-11-06T00:20:20,0,149,0,149
2022-11-06T00:29:36,0,149,0,149
2022-11-06T00:38:51,0,149,0,149
2022-11-06T00:48:07,0,149,0,149
2022-11-06T00:57:22,0,149,0,149
2022-11-06T01:06:37,0,149,0,149
2022-11-06T01:15:52,0,149,0,149
2022-11-06T01:25:08,0,149,0,149
2022-11-06T01:34:24,0,149,0,149
2022-11-06T01:43:40,0,149,0,149
2022-11-06T01:52:56,0,149,0,149
2022-11-06T01:02:12,0,149,0,149
2022-11-06T01:11:29,0,149,0,149
2022-11-06T01:20:45,0,149,0,149
2022-11-06T01:30:01,0,149,0,149
2022-11-06T01:39:16,0,149,0,149
2022-11-06T01:48:32,0,149,0,149
2022-11-06T01:57:52,0,149,0,149
2022-11-06T02:07:10,0,149,0,149
2022-11-06T02:16:29,0,149,0,149
2022-11-06T02:25:49,0,149,0,149
2022-11-06T02:35:09,0,149,0,149
2022-11-06T02:44:28,0,149,0,149
2022-11-06T02:53:47,0,149,0,149
2022-11-06T03:03:06,0,149,0,149
2022-11-06T03:12:24,0,149,0,149
2022-11-06T03:21:40,0,149,0,149
2022-11-06T03:30:57,0,149,0,149
2022-11-06T03:40:16,0,149,0,149
2022-11-06T03:49:37,0,149,0,149
2022-11-06T03:58:56,0,149,0,149
2022-11-06T04:14:13,0,149,0,149
2022-11-06T04:23:34,0,149,0,149
2022-11-06T04:32:54,0,149,0,149
2022-11-06T04:42:12,0,149,0,149
2022-11-06T04:52:57,0,149,0,149
2022-11-06T05:02:15,0,149,0,149
2022-11-06T05:11:32,0,149,0,149
2022-11-06T05:20:49,0,149,0,149
2022-11-06T05:30:06,0,149,0,149
2022-11-06T05:39:21,0,149,0,149
2022-11-06T05:48:37,0,149,0,149
2022-11-06T05:57:55,0,149,0,149
2022-11-06T06:07:14,0,149,0,149
2022-11-06T06:16:32,0,149,0,149
2022-11-06T06:25:50,0,149,0,149
2022-11-06T06:35:06,0,149,0,149
2022-11-06T06:44:23,0,149,0,149
2022-11-06T06:53:38,0,149,0,149
2022-11-06T07:02:55,0,149,0,149
2022-11-06T07:12:12,0,149,0,149
2022-11-06T07:21:29,0,149,0,149
2022-11-06T07:30:46,0,149,0,149
2022-11-06T07:40:06,0,149,0,149
2022-11-06T07:49:24,0,149,0,149
2022-11-06T07:58:41,0,149,0,149
2022-11-06T08:07:57,0,149,0,149
2022-11-06T08:17:14,0,149,0,149
2022-11-06T08:26:32,0,149,0,149
2022-11-06T08:35:48,0,149,0,149
2022-11-06T08:45:05,0,149,0,149
2022-11-06T08:54:22,0,149,0,149
2022-11-06T09:03:38,0,149,0,149
2022-11-06T09:12:53,0,149,0,149
2022-11-06T09:22:08,0,149,0,149
2022-11-06T09:31:21,0,149,0,149
2022-11-06T09:40:35,0,149,0,149
2022-11-06T09:49:49,0,149,0,149
2022-11-06T09:59:03,0,149,0,149
2022-11-06T10:08:16,0,149,0,149
2022-11-06T10:17:30,0,149,0,149
2022-11-06T10:26:43,0,149,0,149
2022-11-06T10:36:00,0,149,0,149
2022-11-06T10:45:15,0,149,0,149
2022-11-06T10:54:30,0,149,0,149
2022-11-06T11:03:45,0,149,0,149
2022-11-06T11:13:00,0,149,0,149
2022-11-06T11:22:16,0,149,0,149
2022-11-06T11:31:38,0,149,0,149
2022-11-06T11:40:55,0,149,0,149
2022-11-06T11:50:09,0,149,0,149
2022-11-06T11:59:24,0,149,0,149
2022-11-06T12:08:38,0,149,0,149
2022-11-06T12:17:53,0,149,0,149
2022-11-06T12:27:19,0,149,0,149
2022-11-06T12:36:32,0,149,0,149
2022-11-06T12:45:47,0,149,0,149
2022-11-06T12:55:02,0,149,0,149
2022-11-06T13:04:16,0,149,0,149
2022-11-06T13:13:31,0,149,0,149
2022-11-06T13:22:47,0,149,0,149
2022-11-06T13:32:02,0,149,0,149
2022-11-06T13:41:15,0,149,0,149
2022-11-06T13:50:28,0,149,0,149
2022-11-06T13:59:43,0,149,0,149
2022-11-06T14:08:58,0,149,0,149
2022-11-06T14:18:13,0,149,0,149
2022-11-06T14:27:36,0,149,0,149
2022-11-06T14:36:49,0,149,0,149
2022-11-06T14:46:07,0,149,0,149
2022-11-06T14:55:21,0,149,0,149
2022-11-06T15:04:34,0,149,0,149
2022-11-06T15:13:48,0,149,0,149
2022-11-06T15:23:02,0,149,0,149
2022-11-06T15:32:15,0,149,0,149
2022-11-06T15:41:28,0,149,0,149
2022-11-06T15:50:43,0,149,0,149
2022-11-06T15:59:55,0,149,0,149
2022-11-06T16:09:18,0,149,0,149
2022-11-06T16:18:32,0,149,0,149
2022-11-06T16:27:49,0,149,0,149
2022-11-06T16:37:05,0,149,0,149
2022-11-06T16:46:19,0,149,0,149
2022-11-06T16:55:35,0,149,0,149
2022-11-06T17:04:50,0,149,0,149
2022-11-06T17:14:05,0,149,0,149
2022-11-06T17:23:19,0,149,0,149
2022-11-06T17:32:34,0,149,0,149
2022-11-06T17:41:50,0,149,0,149
2022-11-06T17:51:14,0,149,0,149
2022-11-06T18:00:29,0,149,0,149
2022-11-06T18:09:44,0,149,0,149
2022-11-06T18:19:00,0,149,0,149
2022-11-06T18:28:14,0,149,0,149
2022-11-06T18:37:27,0,149,0,149
2022-11-06T18:46:41,0,149,0,149
2022-11-06T18:55:56,0,149,0,149
2022-11-06T19:05:11,0,149,0,149
2022-11-06T19:14:35,0,149,0,149
2022-11-06T19:23:49,0,149,0,149
2022-11-06T19:33:04,0,149,0,149
2022-11-06T19:42:17,0,149,0,149
2022-11-06T19:51:31,0,149,0,149
2022-11-06T20:00:45,0,149,0,149
2022-11-06T20:09:59,0,149,0,149
2022-11-06T20:19:13,0,149,0,149
2022-11-06T20:28:29,0,149,0,149
2022-11-06T20:37:51,0,149,0,149
2022-11-06T20:47:05,0,149,0,149
2022-11-06T20:56:19,0,149,0,149
2022-11-06T21:05:35,0,149,0,149
2022-11-06T21:14:47,0,149,0,149
2022-11-06T21:24:00,0,149,0,149
2022-11-06T21:33:13,0,149,0,149
2022-11-06T21:42:29,0,149,0,149
2022-11-06T21:51:43,0,149,0,149
2022-11-06T22:01:08,0,149,0,149
2022-11-06T22:10:22,0,149,0,149
2022-11-06T22:19:38,0,149,0,149
2022-11-06T22:28:53,0,149,0,149
2022-11-06T22:38:08,0,149,0,149
2022-11-06T22:47:22,0,149,0,149
2022-11-06T22:56:37,0,149,0,149
2022-11-06T23:05:53,0,149,0,149
2022-11-06T23:15:17,0,149,0,149
2022-11-06T23:24:33,0,149,0,149
2022-11-06T23:33:49,0,149,0,149
2022-11-06T23:43:05,0,149,0,149
2022-11-06T23:52:20,0,149,0,149
2022-11-07T00:03:17,0,149,0,149
2022-11-07T00:12:41,0,149,0,149
2022-11-07T00:21:59,0,149,0,149
2022-11-07T00:31:26,0,149,0,149
2022-11-07T00:40:43,0,149,0,149
2022-11-07T00:49:57,0,149,0,149
2022-11-07T00:59:12,0,149,0,149
2022-11-07T01:08:30,0,149,0,149
2022-11-07T01:17:48,0,149,0,149
2022-11-07T01:27:04,0,149,0,149
2022-11-07T01:36:19,0,149,0,149
2022-11-07T01:45:44,0,149,0,149
2022-11-07T01:54:58,0,149,0,149
2022-11-07T02:04:12,0,149,0,149
2022-11-07T02:13:27,0,149,0,149
2022-11-07T02:22:42,0,149,0,149
2022-11-07T02:31:56,0,149,0,149
2022-11-07T02:41:11,0,149,0,149
2022-11-07T02:50:25,0,149,0,149
2022-11-07T02:59:39,0,149,0,149
2022-11-07T03:08:54,0,149,0,149
2022-11-07T03:18:09,0,149,0,149
2022-11-07T03:27:23,0,149,0,149
2022-11-07T03:36:40,0,149,0,149
2022-11-07T03:45:56,0,149,0,149
2022-11-07T03:55:12,0,149,0,149
2022-11-07T04:04:30,0,149,0,149
2022-11-07T04:21:39,0,149,0,149
2022-11-07T04:31:19,0,149,0,149
2022-11-07T04:40:36,0,149,0,149
2022-11-07T04:49:54,0,149,0,149
2022-11-07T04:59:08,0,149,0,149
2022-11-07T05:08:23,0,149,0,149
2022-11-07T05:17:38,0,149,0,149
2022-11-07T05:26:52,0,149,0,149
2022-11-07T05:36:05,0,149,0,149
2022-11-07T05:45:20,0,149,0,149
2022-11-07T05:54:35,0,149,0,149
2022-11-07T06:03:52,0,149,0,149
2022-11-07T06:13:09,0,149,0,149
2022-11-07T06:22:26,0,149,0,149
2022-11-07T06:31:44,0,149,0,149
2022-11-07T06:41:01,0,149,0,149
