time,enrolled,available,waitlisted,total
2022-11-05T20:09:53,0,40,0,40
2022-11-05T20:19:10,0,40,0,40
2022-11-05T20:28:27,0,40,0,40
2022-11-05T20:37:54,0,40,0,40
2022-11-05T20:47:11,0,40,0,40
2022-11-05T20:56:26,0,40,0,40
2022-11-05T21:05:42,0,40,0,40
2022-11-05T21:14:57,0,40,0,40
2022-11-05T21:24:12,0,40,0,40
2022-11-05T21:33:28,0,40,0,40
2022-11-05T21:42:45,0,40,0,40
2022-11-05T21:52:00,0,40,0,40
2022-11-05T22:01:15,0,40,0,40
2022-11-05T22:10:30,0,40,0,40
2022-11-05T22:19:45,0,40,0,40
2022-11-05T22:29:00,0,40,0,40
2022-11-05T22:38:18,0,40,0,40
2022-11-05T22:47:34,0,40,0,40
2022-11-05T22:56:50,0,40,0,40
2022-11-05T23:06:07,0,40,0,40
2022-11-05T23:15:22,0,40,0,40
2022-11-05T23:24:39,0,40,0,40
2022-11-05T23:33:57,0,40,0,40
2022-11-05T23:43:12,0,40,0,40
2022-11-05T23:52:29,0,40,0,40
2022-11-06T00:01:44,0,40,0,40
2022-11-06T00:11:11,0,40,0,40
2022-11-06T00:20:26,0,40,0,40
2022-11-06T00:29:42,0,40,0,40
2022-11-06T00:38:57,0,40,0,40
2022-11-06T00:48:13,0,40,0,40
2022-11-06T00:57:28,0,40,0,40
2022-11-06T01:06:43,0,40,0,40
2022-11-06T01:15:59,0,40,0,40
2022-11-06T01:25:15,0,40,0,40
2022-11-06T01:34:31,0,40,0,40
2022-11-06T01:43:47,0,40,0,40
2022-11-06T01:53:02,0,40,0,40
2022-11-06T01:02:19,0,40,0,40
2022-11-06T01:11:35,0,40,0,40
2022-11-06T01:20:51,0,40,0,40
2022-11-06T01:30:07,0,40,0,40
2022-11-06T01:39:22,0,40,0,40
2022-11-06T01:48:39,0,40,0,40
2022-11-06T01:57:58,0,40,0,40
2022-11-06T02:07:16,0,40,0,40
2022-11-06T02:16:35,0,40,0,40
2022-11-06T02:25:55,0,40,0,40
2022-11-06T02:35:16,0,40,0,40
2022-11-06T02:44:35,0,40,0,40
2022-11-06T02:53:54,0,40,0,40
2022-11-06T03:03:12,0,40,0,40
2022-11-06T03:12:30,0,40,0,40
2022-11-06T03:21:46,0,40,0,40
2022-11-06T03:31:04,0,40,0,40
2022-11-06T03:40:23,0,40,0,40
2022-11-06T03:49:43,0,40,0,40
2022-11-06T03:59:03,0,40,0,40
2022-11-06T04:14:20,0,40,0,40
2022-11-06T04:23:41,0,40,0,40
2022-11-06T04:33:00,0,40,0,40
2022-11-06T04:42:19,0,40,0,40
2022-11-06T04:53:03,0,40,0,40
2022-11-06T05:02:21,0,40,0,40
2022-11-06T05:11:39,0,40,0,40
2022-11-06T05:20:55,0,40,0,40
2022-11-06T05:30:12,0,40,0,40
2022-11-06T05:39:28,0,40,0,40
2022-11-06T05:48:43,0,40,0,40
2022-11-06T05:58:01,0,40,0,40
2022-11-06T06:07:20,0,40,0,40
2022-11-06T06:16:39,0,40,0,40
2022-11-06T06:25:56,0,40,0,40
2022-11-06T06:35:13,0,40,0,40
2022-11-06T06:44:29,0,40,0,40
2022-11-06T06:53:44,0,40,0,40
2022-11-06T07:03:01,0,40,0,40
2022-11-06T07:12:18,0,40,0,40
2022-11-06T07:21:36,0,40,0,40
2022-11-06T07:30:53,0,40,0,40
2022-11-06T07:40:12,0,40,0,40
2022-11-06T07:49:31,0,40,0,40
2022-11-06T07:58:47,0,40,0,40
2022-11-06T08:08:04,0,40,0,40
2022-11-06T08:17:21,0,40,0,40
2022-11-06T08:26:38,0,40,0,40
2022-11-06T08:35:55,0,40,0,40
2022-11-06T08:45:11,0,40,0,40
2022-11-06T08:54:28,0,40,0,40
2022-11-06T09:03:45,0,40,0,40
2022-11-06T09:12:59,0,40,0,40
2022-11-06T09:22:14,0,40,0,40
2022-11-06T09:31:27,0,40,0,40
2022-11-06T09:40:41,0,40,0,40
2022-11-06T09:49:56,0,40,0,40
2022-11-06T09:59:09,0,40,0,40
2022-11-06T10:08:23,0,40,0,40
2022-11-06T10:17:36,0,40,0,40
2022-11-06T10:26:50,0,40,0,40
2022-11-06T10:36:07,0,40,0,40
2022-11-06T10:45:21,0,40,0,40
2022-11-06T10:54:36,0,40,0,40
2022-11-06T11:03:51,0,40,0,40
2022-11-06T11:13:06,0,40,0,40
2022-11-06T11:22:22,0,40,0,40
2022-11-06T11:31:44,0,40,0,40
2022-11-06T11:41:02,0,40,0,40
2022-11-06T11:50:16,0,40,0,40
2022-11-06T11:59:30,0,40,0,40
2022-11-06T12:08:44,0,40,0,40
2022-11-06T12:18:00,0,40,0,40
2022-11-06T12:27:25,0,40,0,40
2022-11-06T12:36:39,0,40,0,40
2022-11-06T12:45:54,0,40,0,40
2022-11-06T12:55:08,0,40,0,40
2022-11-06T13:04:22,0,40,0,40
2022-11-06T13:13:38,0,40,0,40
2022-11-06T13:22:54,0,40,0,40
2022-11-06T13:32:08,0,40,0,40
2022-11-06T13:41:22,0,40,0,40
2022-11-06T13:50:35,0,40,0,40
2022-11-06T13:59:50,0,40,0,40
2022-11-06T14:09:05,0,40,0,40
2022-11-06T14:18:19,0,40,0,40
2022-11-06T14:27:43,0,40,0,40
2022-11-06T14:36:56,0,40,0,40
2022-11-06T14:46:14,0,40,0,40
2022-11-06T14:55:27,0,40,0,40
2022-11-06T15:04:41,0,40,0,40
2022-11-06T15:13:54,0,40,0,40
2022-11-06T15:23:08,0,40,0,40
2022-11-06T15:32:22,0,40,0,40
2022-11-06T15:41:35,0,40,0,40
2022-11-06T15:50:49,0,40,0,40
2022-11-06T16:00:02,0,40,0,40
2022-11-06T16:09:24,0,40,0,40
2022-11-06T16:18:39,0,40,0,40
2022-11-06T16:27:55,0,40,0,40
2022-11-06T16:37:11,0,40,0,40
2022-11-06T16:46:26,0,40,0,40
2022-11-06T16:55:42,0,40,0,40
2022-11-06T17:04:56,0,40,0,40
2022-11-06T17:14:11,0,40,0,40
2022-11-06T17:23:26,0,40,0,40
2022-11-06T17:32:41,0,40,0,40
2022-11-06T17:41:56,0,40,0,40
2022-11-06T17:51:20,0,40,0,40
2022-11-06T18:00:35,0,40,0,40
2022-11-06T18:09:50,0,40,0,40
2022-11-06T18:19:06,0,40,0,40
2022-11-06T18:28:20,0,40,0,40
2022-11-06T18:37:34,0,40,0,40
2022-11-06T18:46:48,0,40,0,40
2022-11-06T18:56:03,0,40,0,40
2022-11-06T19:05:18,0,40,0,40
2022-11-06T19:14:41,0,40,0,40
2022-11-06T19:23:56,0,40,0,40
2022-11-06T19:33:11,0,40,0,40
2022-11-06T19:42:24,0,40,0,40
2022-11-06T19:51:37,0,40,0,40
2022-11-06T20:00:51,0,40,0,40
2022-11-06T20:10:06,0,40,0,40
2022-11-06T20:19:20,0,40,0,40
2022-11-06T20:28:35,0,40,0,40
2022-11-06T20:37:57,0,40,0,40
2022-11-06T20:47:12,0,40,0,40
2022-11-06T20:56:25,0,40,0,40
2022-11-06T21:05:41,0,40,0,40
2022-11-06T21:14:54,0,40,0,40
2022-11-06T21:24:06,0,40,0,40
2022-11-06T21:33:20,0,40,0,40
2022-11-06T21:42:35,0,40,0,40
2022-11-06T21:51:49,0,40,0,40
2022-11-06T22:01:15,0,40,0,40
2022-11-06T22:10:29,0,40,0,40
2022-11-06T22:19:45,0,40,0,40
2022-11-06T22:28:59,0,40,0,40
2022-11-06T22:38:14,0,40,0,40
2022-11-06T22:47:28,0,40,0,40
2022-11-06T22:56:43,0,40,0,40
2022-11-06T23:05:59,0,40,0,40
2022-11-06T23:15:24,0,40,0,40
2022-11-06T23:24:40,0,40,0,40
2022-11-06T23:33:55,0,40,0,40
2022-11-06T23:43:11,0,40,0,40
2022-11-06T23:52:27,0,40,0,40
2022-11-07T00:03:23,0,40,0,40
2022-11-07T00:12:48,0,40,0,40
2022-11-07T00:22:05,0,40,0,40
2022-11-07T00:31:33,0,40,0,40
2022-11-07T00:40:50,0,40,0,40
2022-11-07T00:50:04,0,40,0,40
2022-11-07T00:59:18,0,40,0,40
2022-11-07T01:08:37,0,40,0,40
2022-11-07T01:17:55,0,40,0,40
2022-11-07T01:27:10,0,40,0,40
2022-11-07T01:36:25,0,40,0,40
2022-11-07T01:45:50,0,40,0,40
2022-11-07T01:55:05,0,40,0,40
2022-11-07T02:04:19,0,40,0,40
2022-11-07T02:13:34,0,40,0,40
2022-11-07T02:22:49,0,40,0,40
2022-11-07T02:32:03,0,40,0,40
2022-11-07T02:41:18,0,40,0,40
2022-11-07T02:50:31,0,40,0,40
2022-11-07T02:59:46,0,40,0,40
2022-11-07T03:09:00,0,40,0,40
2022-11-07T03:18:15,0,40,0,40
2022-11-07T03:27:30,0,40,0,40
2022-11-07T03:36:47,0,40,0,40
2022-11-07T03:46:03,0,40,0,40
2022-11-07T03:55:18,0,40,0,40
2022-11-07T04:04:36,0,40,0,40
2022-11-07T04:21:46,0,40,0,40
2022-11-07T04:31:25,0,40,0,40
2022-11-07T04:40:42,0,40,0,40
2022-11-07T04:50:00,0,40,0,40
2022-11-07T04:59:14,0,40,0,40
2022-11-07T05:08:30,0,40,0,40
2022-11-07T05:17:44,0,40,0,40
2022-11-07T05:26:58,0,40,0,40
2022-11-07T05:36:12,0,40,0,40
2022-11-07T05:45:26,0,40,0,40
2022-11-07T05:54:42,0,40,0,40
2022-11-07T06:03:59,0,40,0,40
2022-11-07T06:13:16,0,40,0,40
2022-11-07T06:22:33,0,40,0,40
2022-11-07T06:31:51,0,40,0,40
2022-11-07T06:41:08,0,40,0,40
2022-11-07T06:50:24,0,40,0,40
2022-11-07T06:59:40,0,40,0,40
2022-11-07T07:08:57,0,40,0,40
2022-11-07T07:18:14,0,40,0,40
2022-11-07T07:27:32,0,40,0,40
2022-11-07T07:36:49,0,40,0,40
2022-11-07T07:46:06,0,40,0,40
2022-11-07T07:55:27,0,40,0,40
2022-11-07T08:04:46,0,40,0,40
2022-11-07T08:14:05,0,40,0,40
2022-11-07T08:23:23,0,40,0,40
2022-11-07T08:32:51,0,40,0,40
2022-11-07T08:42:10,0,40,0,40
2022-11-07T08:51:26,0,40,0,40
2022-11-07T09:00:44,0,40,0,40
2022-11-07T09:10:03,0,40,0,40
2022-11-07T09:19:26,0,40,0,40
2022-11-07T09:28:45,1,39,0,40
2022-11-07T09:38:04,1,39,0,40
2022-11-07T09:47:41,1,39,0,40
2022-11-07T09:57:00,1,39,0,40
2022-11-07T10:06:18,1,39,0,40
2022-11-07T10:15:37,1,39,0,40
2022-11-07T10:24:57,1,39,0,40
2022-11-07T10:34:17,1,39,0,40
2022-11-07T10:43:49,1,39,0,40
2022-11-07T10:53:08,1,39,0,40
2022-11-07T11:02:27,1,39,0,40
2022-11-07T11:11:49,1,39,0,40
2022-11-07T11:21:09,1,39,0,40
2022-11-07T11:30:41,1,39,0,40
2022-11-07T11:40:00,1,39,0,40
2022-11-07T11:49:19,1,39,0,40
2022-11-07T11:58:36,1,39,0,40
2022-11-07T12:08:05,0,40,0,40
2022-11-07T12:17:25,0,40,0,40
2022-11-07T12:26:45,0,40,0,40
2022-11-07T12:36:05,0,40,0,40
2022-11-07T12:45:35,0,40,0,40
2022-11-07T12:54:54,0,40,0,40
2022-11-07T13:04:15,0,40,0,40
2022-11-07T13:13:36,0,40,0,40
2022-11-07T13:23:07,0,40,0,40
2022-11-07T13:32:28,0,40,0,40
2022-11-07T13:41:50,0,40,0,40
2022-11-07T13:51:21,0,40,0,40
2022-11-07T14:00:41,0,40,0,40
2022-11-07T14:10:00,0,40,0,40
2022-11-07T14:19:20,0,40,0,40
2022-11-07T14:28:51,0,40,0,40
2022-11-07T14:38:10,0,40,0,40
2022-11-07T14:47:30,0,40,0,40
2022-11-07T14:56:48,0,40,0,40
2022-11-07T15:06:07,0,40,0,40
2022-11-07T15:15:38,0,40,0,40
2022-11-07T15:24:57,0,40,0,40
2022-11-07T15:34:16,0,40,0,40
2022-11-07T15:43:34,0,40,0,40
2022-11-07T15:53:03,0,40,0,40
2022-11-07T16:02:21,0,40,0,40
2022-11-07T16:11:39,0,40,0,40
2022-11-07T16:20:57,0,40,0,40
2022-11-07T16:30:16,0,40,0,40
2022-11-07T16:39:43,0,40,0,40
2022-11-07T16:49:02,0,40,0,40
2022-11-07T16:58:19,0,40,0,40
2022-11-07T17:07:39,0,40,0,40
2022-11-07T17:17:13,0,40,0,40
2022-11-07T17:26:30,0,40,0,40
2022-11-07T17:35:48,0,40,0,40
2022-11-07T17:45:06,0,40,0,40
2022-11-07T17:54:23,0,40,0,40
2022-11-07T18:03:55,0,40,0,40
2022-11-07T18:13:12,0,40,0,40
2022-11-07T18:22:29,0,40,0,40
2022-11-07T18:31:47,0,40,0,40
