time,enrolled,available,waitlisted,total
2022-12-22T12:37:53,0,10,0,10
2022-12-22T12:47:19,0,10,0,10
2022-12-22T12:56:43,0,10,0,10
2022-12-22T13:06:08,0,10,0,10
2022-12-22T13:15:34,0,10,0,10
2022-12-22T13:24:59,0,10,0,10
2022-12-22T15:47:44,0,10,0,10
2022-12-22T15:57:17,0,10,0,10
2022-12-22T16:06:58,0,10,0,10
2022-12-22T16:16:28,0,10,0,10
2022-12-22T16:25:56,0,10,0,10
2022-12-22T16:35:22,0,10,0,10
2022-12-22T16:44:48,0,10,0,10
2022-12-22T16:54:14,0,10,0,10
2022-12-22T17:03:40,0,10,0,10
2022-12-22T17:13:06,0,10,0,10
2022-12-22T17:22:32,0,10,0,10
2022-12-22T17:31:59,0,10,0,10
2022-12-22T17:41:24,0,10,0,10
2022-12-22T17:50:51,0,10,0,10
2022-12-22T18:00:16,0,10,0,10
2022-12-22T18:09:43,0,10,0,10
2022-12-22T18:19:08,0,10,0,10
2022-12-22T18:28:34,0,10,0,10
2022-12-22T18:38:01,0,10,0,10
2022-12-22T18:47:27,0,10,0,10
2022-12-22T18:56:53,0,10,0,10
2022-12-22T19:06:21,0,10,0,10
2022-12-22T19:15:48,0,10,0,10
2022-12-22T19:25:26,0,10,0,10
2022-12-22T19:34:51,0,10,0,10
2022-12-22T19:44:17,0,10,0,10
2022-12-22T19:53:42,0,10,0,10
2022-12-22T20:03:09,0,10,0,10
2022-12-22T20:12:35,0,10,0,10
2022-12-22T20:22:01,0,10,0,10
2022-12-22T20:31:26,0,10,0,10
2022-12-22T20:40:51,0,10,0,10
2022-12-22T20:50:17,0,10,0,10
2022-12-22T20:59:42,0,10,0,10
2022-12-22T21:09:08,0,10,0,10
2022-12-22T21:18:34,0,10,0,10
2022-12-22T21:28:00,0,10,0,10
2022-12-22T21:37:25,0,10,0,10
2022-12-22T21:46:52,0,10,0,10
2022-12-22T21:56:17,0,10,0,10
2022-12-22T22:05:44,0,10,0,10
2022-12-22T22:15:10,0,10,0,10
2022-12-22T22:24:36,0,10,0,10
2022-12-22T22:34:02,0,10,0,10
2022-12-22T22:43:28,0,10,0,10
2022-12-22T22:52:53,0,10,0,10
2022-12-22T23:02:18,0,10,0,10
2022-12-22T23:11:47,0,10,0,10
2022-12-22T23:21:13,0,10,0,10
2022-12-22T23:30:39,0,10,0,10
2022-12-22T23:40:06,0,10,0,10
2022-12-22T23:49:31,0,10,0,10
2022-12-22T23:59:09,0,10,0,10
2022-12-23T00:08:35,0,10,0,10
2022-12-23T00:18:02,0,10,0,10
2022-12-23T00:27:28,0,10,0,10
2022-12-23T00:36:55,0,10,0,10
2022-12-23T00:46:23,0,10,0,10
2022-12-23T00:55:49,0,10,0,10
2022-12-23T01:05:18,0,10,0,10
2022-12-23T01:14:47,0,10,0,10
2022-12-23T01:24:15,0,10,0,10
2022-12-23T01:33:44,0,10,0,10
2022-12-23T01:43:10,0,10,0,10
2022-12-23T01:52:38,0,10,0,10
2022-12-23T02:02:08,0,10,0,10
2022-12-23T02:11:34,0,10,0,10
2022-12-23T02:21:00,0,10,0,10
