time,enrolled,available,waitlisted,total
2022-11-05T20:10:03,0,30,0,30
2022-11-05T20:19:20,0,30,0,30
2022-11-05T20:28:37,0,30,0,30
2022-11-05T20:38:04,0,30,0,30
2022-11-05T20:47:21,0,30,0,30
2022-11-05T20:56:36,0,30,0,30
2022-11-05T21:05:52,0,30,0,30
2022-11-05T21:15:07,0,30,0,30
2022-11-05T21:24:22,0,30,0,30
2022-11-05T21:33:38,0,30,0,30
2022-11-05T21:42:55,0,30,0,30
2022-11-05T21:52:10,0,30,0,30
2022-11-05T22:01:25,0,30,0,30
2022-11-05T22:10:40,0,30,0,30
2022-11-05T22:19:56,0,30,0,30
2022-11-05T22:29:10,0,30,0,30
2022-11-05T22:38:28,0,30,0,30
2022-11-05T22:47:44,0,30,0,30
2022-11-05T22:57:00,0,30,0,30
2022-11-05T23:06:17,0,30,0,30
2022-11-05T23:15:32,0,30,0,30
2022-11-05T23:24:49,0,30,0,30
2022-11-05T23:34:07,0,30,0,30
2022-11-05T23:43:22,0,30,0,30
2022-11-05T23:52:39,0,30,0,30
2022-11-06T00:01:54,0,30,0,30
2022-11-06T00:11:21,0,30,0,30
2022-11-06T00:20:36,0,30,0,30
2022-11-06T00:29:52,0,30,0,30
2022-11-06T00:39:07,0,30,0,30
2022-11-06T00:48:23,0,30,0,30
2022-11-06T00:57:38,0,30,0,30
2022-11-06T01:06:53,0,30,0,30
2022-11-06T01:16:09,0,30,0,30
2022-11-06T01:25:25,0,30,0,30
2022-11-06T01:34:41,0,30,0,30
2022-11-06T01:43:57,0,30,0,30
2022-11-06T01:53:12,0,30,0,30
2022-11-06T01:02:29,0,30,0,30
2022-11-06T01:11:45,0,30,0,30
2022-11-06T01:21:01,0,30,0,30
2022-11-06T01:30:17,0,30,0,30
2022-11-06T01:39:32,0,30,0,30
2022-11-06T01:48:49,0,30,0,30
2022-11-06T01:58:08,0,30,0,30
2022-11-06T02:07:26,0,30,0,30
2022-11-06T02:16:45,0,30,0,30
2022-11-06T02:26:06,0,30,0,30
2022-11-06T02:35:26,0,30,0,30
2022-11-06T02:44:45,0,30,0,30
2022-11-06T02:54:04,0,30,0,30
2022-11-06T03:03:22,0,30,0,30
2022-11-06T03:12:40,0,30,0,30
2022-11-06T03:21:56,0,30,0,30
2022-11-06T03:31:14,0,30,0,30
2022-11-06T03:40:33,0,30,0,30
2022-11-06T03:49:53,0,30,0,30
2022-11-06T03:59:13,0,30,0,30
2022-11-06T04:14:30,0,30,0,30
2022-11-06T04:23:51,0,30,0,30
2022-11-06T04:33:10,0,30,0,30
2022-11-06T04:42:29,0,30,0,30
2022-11-06T04:53:13,0,30,0,30
2022-11-06T05:02:31,0,30,0,30
2022-11-06T05:11:49,0,30,0,30
2022-11-06T05:21:05,0,30,0,30
2022-11-06T05:30:22,0,30,0,30
2022-11-06T05:39:38,0,30,0,30
2022-11-06T05:48:53,0,30,0,30
2022-11-06T05:58:11,0,30,0,30
2022-11-06T06:07:30,0,30,0,30
2022-11-06T06:16:49,0,30,0,30
2022-11-06T06:26:07,0,30,0,30
2022-11-06T06:35:23,0,30,0,30
2022-11-06T06:44:39,0,30,0,30
2022-11-06T06:53:54,0,30,0,30
2022-11-06T07:03:11,0,30,0,30
2022-11-06T07:12:28,0,30,0,30
2022-11-06T07:21:46,0,30,0,30
2022-11-06T07:31:03,0,30,0,30
2022-11-06T07:40:22,0,30,0,30
2022-11-06T07:49:41,0,30,0,30
2022-11-06T07:58:57,0,30,0,30
2022-11-06T08:08:14,0,30,0,30
2022-11-06T08:17:31,0,30,0,30
2022-11-06T08:26:48,0,30,0,30
2022-11-06T08:36:05,0,30,0,30
2022-11-06T08:45:21,0,30,0,30
2022-11-06T08:54:38,0,30,0,30
2022-11-06T09:03:55,0,30,0,30
2022-11-06T09:13:10,0,30,0,30
2022-11-06T09:22:24,0,30,0,30
2022-11-06T09:31:37,0,30,0,30
2022-11-06T09:40:51,0,30,0,30
2022-11-06T09:50:06,0,30,0,30
2022-11-06T09:59:19,0,30,0,30
2022-11-06T10:08:33,0,30,0,30
2022-11-06T10:17:46,0,30,0,30
2022-11-06T10:27:00,0,30,0,30
2022-11-06T10:36:17,0,30,0,30
2022-11-06T10:45:31,0,30,0,30
2022-11-06T10:54:46,0,30,0,30
2022-11-06T11:04:01,0,30,0,30
2022-11-06T11:13:16,0,30,0,30
2022-11-06T11:22:32,0,30,0,30
2022-11-06T11:31:54,0,30,0,30
2022-11-06T11:41:12,0,30,0,30
2022-11-06T11:50:26,0,30,0,30
2022-11-06T11:59:40,0,30,0,30
2022-11-06T12:08:54,0,30,0,30
2022-11-06T12:18:10,0,30,0,30
2022-11-06T12:27:35,0,30,0,30
2022-11-06T12:36:49,0,30,0,30
2022-11-06T12:46:03,0,30,0,30
2022-11-06T12:55:18,0,30,0,30
2022-11-06T13:04:33,0,30,0,30
2022-11-06T13:13:48,0,30,0,30
2022-11-06T13:23:04,0,30,0,30
2022-11-06T13:32:18,0,30,0,30
2022-11-06T13:41:32,0,30,0,30
