time,enrolled,available,waitlisted,total
2022-11-05T20:10:04,0,180,0,180
2022-11-05T20:19:21,0,180,0,180
2022-11-05T20:28:37,0,180,0,180
2022-11-05T20:38:05,0,180,0,180
2022-11-05T20:47:22,0,180,0,180
2022-11-05T20:56:37,0,180,0,180
2022-11-05T21:05:53,0,180,0,180
2022-11-05T21:15:08,0,180,0,180
2022-11-05T21:24:23,0,180,0,180
2022-11-05T21:33:39,0,180,0,180
2022-11-05T21:42:55,0,180,0,180
2022-11-05T21:52:11,0,180,0,180
2022-11-05T22:01:26,0,180,0,180
2022-11-05T22:10:41,0,180,0,180
2022-11-05T22:19:57,0,180,0,180
2022-11-05T22:29:11,0,180,0,180
2022-11-05T22:38:29,0,180,0,180
2022-11-05T22:47:45,0,180,0,180
2022-11-05T22:57:01,0,180,0,180
2022-11-05T23:06:18,0,180,0,180
2022-11-05T23:15:33,0,180,0,180
2022-11-05T23:24:50,0,180,0,180
2022-11-05T23:34:08,0,180,0,180
2022-11-05T23:43:23,0,180,0,180
2022-11-05T23:52:40,0,180,0,180
2022-11-06T00:01:55,0,180,0,180
2022-11-06T00:11:21,0,180,0,180
2022-11-06T00:20:37,0,180,0,180
2022-11-06T00:29:53,0,180,0,180
2022-11-06T00:39:08,0,180,0,180
2022-11-06T00:48:24,0,180,0,180
2022-11-06T00:57:39,0,180,0,180
2022-11-06T01:06:54,0,180,0,180
2022-11-06T01:16:09,0,180,0,180
2022-11-06T01:25:26,0,180,0,180
2022-11-06T01:34:42,0,180,0,180
2022-11-06T01:43:57,0,180,0,180
2022-11-06T01:53:13,0,180,0,180
2022-11-06T01:02:30,0,180,0,180
2022-11-06T01:11:46,0,180,0,180
2022-11-06T01:21:02,0,180,0,180
2022-11-06T01:30:18,0,180,0,180
2022-11-06T01:39:33,0,180,0,180
2022-11-06T01:48:50,0,180,0,180
2022-11-06T01:58:09,0,180,0,180
2022-11-06T02:07:27,0,180,0,180
2022-11-06T02:16:46,0,180,0,180
2022-11-06T02:26:07,0,180,0,180
2022-11-06T02:35:27,0,180,0,180
2022-11-06T02:44:45,0,180,0,180
2022-11-06T02:54:05,0,180,0,180
2022-11-06T03:03:23,0,180,0,180
2022-11-06T03:12:41,0,180,0,180
2022-11-06T03:21:57,0,180,0,180
