time,enrolled,available,waitlisted,total
2022-11-05T20:10:16,0,128,0,128
2022-11-05T20:19:33,0,128,0,128
2022-11-05T20:28:50,0,128,0,128
2022-11-05T20:38:18,0,128,0,128
2022-11-05T20:47:34,0,128,0,128
2022-11-05T20:56:50,0,128,0,128
2022-11-05T21:06:05,0,128,0,128
2022-11-05T21:15:21,0,128,0,128
2022-11-05T21:24:35,0,128,0,128
2022-11-05T21:33:52,0,128,0,128
2022-11-05T21:43:08,0,128,0,128
2022-11-05T21:52:23,0,128,0,128
2022-11-05T22:01:38,0,128,0,128
2022-11-05T22:10:54,0,128,0,128
2022-11-05T22:20:09,0,128,0,128
2022-11-05T22:29:24,0,128,0,128
2022-11-05T22:38:41,0,128,0,128
2022-11-05T22:47:58,0,128,0,128
2022-11-05T22:57:13,0,128,0,128
2022-11-05T23:06:30,0,128,0,128
2022-11-05T23:15:46,0,128,0,128
2022-11-05T23:25:02,0,128,0,128
2022-11-05T23:34:21,0,128,0,128
2022-11-05T23:43:36,0,128,0,128
2022-11-05T23:52:52,0,128,0,128
2022-11-06T00:02:08,0,128,0,128
2022-11-06T00:11:34,0,128,0,128
2022-11-06T00:20:50,0,128,0,128
2022-11-06T00:30:06,0,128,0,128
2022-11-06T00:39:21,0,128,0,128
2022-11-06T00:48:37,0,128,0,128
2022-11-06T00:57:52,0,128,0,128
2022-11-06T01:07:07,0,128,0,128
2022-11-06T01:16:22,0,128,0,128
2022-11-06T01:25:38,0,128,0,128
2022-11-06T01:34:54,0,128,0,128
2022-11-06T01:44:10,0,128,0,128
2022-11-06T01:53:26,0,128,0,128
2022-11-06T01:02:42,0,128,0,128
2022-11-06T01:11:59,0,128,0,128
2022-11-06T01:21:15,0,128,0,128
2022-11-06T01:30:31,0,128,0,128
2022-11-06T01:39:46,0,128,0,128
2022-11-06T01:49:02,0,128,0,128
2022-11-06T01:58:22,0,128,0,128
2022-11-06T02:07:40,0,128,0,128
2022-11-06T02:16:59,0,128,0,128
2022-11-06T02:26:19,0,128,0,128
2022-11-06T02:35:40,0,128,0,128
2022-11-06T02:44:58,0,128,0,128
2022-11-06T02:54:17,0,128,0,128
2022-11-06T03:03:36,0,128,0,128
2022-11-06T03:12:53,0,128,0,128
2022-11-06T03:22:10,0,128,0,128
2022-11-06T03:31:27,0,128,0,128
