time,enrolled,available,waitlisted,total
2022-11-05T20:10:17,0,1024,0,1024
2022-11-05T20:19:35,0,1024,0,1024
2022-11-05T20:28:51,0,1024,0,1024
2022-11-05T20:38:19,0,1024,0,1024
2022-11-05T20:47:35,0,1024,0,1024
2022-11-05T20:56:51,0,1024,0,1024
2022-11-05T21:06:06,0,1024,0,1024
2022-11-05T21:15:22,0,1024,0,1024
2022-11-05T21:24:37,0,1024,0,1024
2022-11-05T21:33:53,0,1024,0,1024
2022-11-05T21:43:09,0,1024,0,1024
2022-11-05T21:52:25,0,1024,0,1024
2022-11-05T22:01:40,0,1024,0,1024
2022-11-05T22:10:55,0,1024,0,1024
2022-11-05T22:20:10,0,1024,0,1024
2022-11-05T22:29:25,0,1024,0,1024
2022-11-05T22:38:43,0,1024,0,1024
2022-11-05T22:47:59,0,1024,0,1024
2022-11-05T22:57:15,0,1024,0,1024
2022-11-05T23:06:31,0,1024,0,1024
2022-11-05T23:15:47,0,1024,0,1024
2022-11-05T23:25:04,0,1024,0,1024
2022-11-05T23:34:22,0,1024,0,1024
2022-11-05T23:43:37,0,1024,0,1024
2022-11-05T23:52:54,0,1024,0,1024
2022-11-06T00:02:09,0,1024,0,1024
2022-11-06T00:11:35,0,1024,0,1024
2022-11-06T00:20:51,0,1024,0,1024
2022-11-06T00:30:07,0,1024,0,1024
2022-11-06T00:39:22,0,1024,0,1024
2022-11-06T00:48:38,0,1024,0,1024
2022-11-06T00:57:53,0,1024,0,1024
2022-11-06T01:07:08,0,1024,0,1024
2022-11-06T01:16:23,0,1024,0,1024
2022-11-06T01:25:40,0,1024,0,1024
2022-11-06T01:34:55,0,1024,0,1024
2022-11-06T01:44:11,0,1024,0,1024
2022-11-06T01:53:27,0,1024,0,1024
2022-11-06T01:02:43,0,1024,0,1024
2022-11-06T01:12:00,0,1024,0,1024
2022-11-06T01:21:16,0,1024,0,1024
2022-11-06T01:30:32,0,1024,0,1024
2022-11-06T01:39:47,0,1024,0,1024
2022-11-06T01:49:04,0,1024,0,1024
2022-11-06T01:58:23,0,1024,0,1024
2022-11-06T02:07:42,0,1024,0,1024
2022-11-06T02:17:00,0,1024,0,1024
2022-11-06T02:26:21,0,1024,0,1024
2022-11-06T02:35:41,0,1024,0,1024
2022-11-06T02:44:59,0,1024,0,1024
2022-11-06T02:54:19,0,1024,0,1024
2022-11-06T03:03:37,0,1024,0,1024
2022-11-06T03:12:55,0,1024,0,1024
2022-11-06T03:22:11,0,1024,0,1024
2022-11-06T03:31:29,0,1024,0,1024
2022-11-06T03:40:48,0,1024,0,1024
2022-11-06T03:50:08,0,1024,0,1024
2022-11-06T03:59:28,0,1024,0,1024
2022-11-06T04:14:45,0,1024,0,1024
2022-11-06T04:24:06,0,1024,0,1024
2022-11-06T04:33:26,0,1024,0,1024
2022-11-06T04:42:44,0,1024,0,1024
2022-11-06T04:53:28,0,1024,0,1024
2022-11-06T05:02:46,0,1024,0,1024
2022-11-06T05:12:03,0,1024,0,1024
2022-11-06T05:21:20,0,1024,0,1024
2022-11-06T05:30:37,0,1024,0,1024
2022-11-06T05:39:53,0,1024,0,1024
2022-11-06T05:49:08,0,1024,0,1024
2022-11-06T05:58:26,0,1024,0,1024
2022-11-06T06:07:45,0,1024,0,1024
2022-11-06T06:17:04,0,1024,0,1024
2022-11-06T06:26:21,0,1024,0,1024
2022-11-06T06:35:38,0,1024,0,1024
2022-11-06T06:44:54,0,1024,0,1024
2022-11-06T06:54:09,0,1024,0,1024
2022-11-06T07:03:26,0,1024,0,1024
2022-11-06T07:12:43,0,1024,0,1024
2022-11-06T07:22:01,0,1024,0,1024
2022-11-06T07:31:18,0,1024,0,1024
2022-11-06T07:40:37,0,1024,0,1024
2022-11-06T07:49:56,0,1024,0,1024
2022-11-06T07:59:12,0,1024,0,1024
2022-11-06T08:08:29,0,1024,0,1024
2022-11-06T08:17:46,0,1024,0,1024
2022-11-06T08:27:03,0,1024,0,1024
2022-11-06T08:36:19,0,1024,0,1024
2022-11-06T08:45:36,0,1024,0,1024
2022-11-06T08:54:53,0,1024,0,1024
2022-11-06T09:04:09,0,1024,0,1024
2022-11-06T09:13:25,0,1024,0,1024
2022-11-06T09:22:39,0,1024,0,1024
2022-11-06T09:31:52,0,1024,0,1024
2022-11-06T09:41:07,0,1024,0,1024
2022-11-06T09:50:20,0,1024,0,1024
2022-11-06T09:59:34,0,1024,0,1024
2022-11-06T10:08:48,0,1024,0,1024
2022-11-06T10:18:01,0,1024,0,1024
2022-11-06T10:27:15,0,1024,0,1024
2022-11-06T10:36:31,0,1024,0,1024
2022-11-06T10:45:46,0,1024,0,1024
2022-11-06T10:55:01,0,1024,0,1024
2022-11-06T11:04:16,0,1024,0,1024
2022-11-06T11:13:31,0,1024,0,1024
2022-11-06T11:22:47,0,1024,0,1024
2022-11-06T11:32:09,0,1024,0,1024
2022-11-06T11:41:26,0,1024,0,1024
2022-11-06T11:50:40,0,1024,0,1024
2022-11-06T11:59:55,0,1024,0,1024
2022-11-06T12:09:09,0,1024,0,1024
2022-11-06T12:18:25,0,1024,0,1024
2022-11-06T12:27:50,0,1024,0,1024
2022-11-06T12:37:04,0,1024,0,1024
2022-11-06T12:46:18,0,1024,0,1024
2022-11-06T12:55:33,0,1024,0,1024
2022-11-06T13:04:47,0,1024,0,1024
2022-11-06T13:14:02,0,1024,0,1024
2022-11-06T13:23:19,0,1024,0,1024
2022-11-06T13:32:33,0,1024,0,1024
2022-11-06T13:41:47,0,1024,0,1024
2022-11-06T13:51:00,0,1024,0,1024
2022-11-06T14:00:15,0,1024,0,1024
2022-11-06T14:09:30,0,1024,0,1024
2022-11-06T14:18:44,0,1024,0,1024
2022-11-06T14:28:08,0,1024,0,1024
2022-11-06T14:37:21,0,1024,0,1024
2022-11-06T14:46:38,0,1024,0,1024
2022-11-06T14:55:52,0,1024,0,1024
2022-11-06T15:05:05,0,1024,0,1024
2022-11-06T15:14:19,0,1024,0,1024
2022-11-06T15:23:33,0,1024,0,1024
2022-11-06T15:32:46,0,1024,0,1024
2022-11-06T15:42:00,0,1024,0,1024
2022-11-06T15:51:14,0,1024,0,1024
2022-11-06T16:00:26,0,1024,0,1024
2022-11-06T16:09:49,0,1024,0,1024
2022-11-06T16:19:03,0,1024,0,1024
2022-11-06T16:28:20,0,1024,0,1024
2022-11-06T16:37:36,0,1024,0,1024
2022-11-06T16:46:51,0,1024,0,1024
2022-11-06T16:56:06,0,1024,0,1024
2022-11-06T17:05:21,0,1024,0,1024
2022-11-06T17:14:36,0,1024,0,1024
2022-11-06T17:23:50,0,1024,0,1024
2022-11-06T17:33:05,0,1024,0,1024
2022-11-06T17:42:21,0,1024,0,1024
2022-11-06T17:51:45,0,1024,0,1024
2022-11-06T18:01:00,0,1024,0,1024
2022-11-06T18:10:15,0,1024,0,1024
2022-11-06T18:19:31,0,1024,0,1024
2022-11-06T18:28:45,0,1024,0,1024
2022-11-06T18:37:59,0,1024,0,1024
2022-11-06T18:47:12,0,1024,0,1024
2022-11-06T18:56:27,0,1024,0,1024
2022-11-06T19:05:43,0,1024,0,1024
2022-11-06T19:15:06,0,1024,0,1024
2022-11-06T19:24:20,0,1024,0,1024
2022-11-06T19:33:36,0,1024,0,1024
2022-11-06T19:42:49,0,1024,0,1024
2022-11-06T19:52:02,0,1024,0,1024
2022-11-06T20:01:16,0,1024,0,1024
2022-11-06T20:10:30,0,1024,0,1024
2022-11-06T20:19:44,0,1024,0,1024
2022-11-06T20:29:00,0,1024,0,1024
2022-11-06T20:38:22,0,1024,0,1024
2022-11-06T20:47:36,0,1024,0,1024
2022-11-06T20:56:50,0,1024,0,1024
2022-11-06T21:06:06,0,1024,0,1024
2022-11-06T21:15:19,0,1024,0,1024
2022-11-06T21:24:31,0,1024,0,1024
2022-11-06T21:33:44,0,1024,0,1024
2022-11-06T21:43:00,0,1024,0,1024
2022-11-06T21:52:23,0,1024,0,1024
2022-11-06T22:01:40,0,1024,0,1024
2022-11-06T22:10:53,0,1024,0,1024
2022-11-06T22:20:09,0,1024,0,1024
2022-11-06T22:29:24,0,1024,0,1024
2022-11-06T22:38:39,0,1024,0,1024
2022-11-06T22:47:53,0,1024,0,1024
2022-11-06T22:57:08,0,1024,0,1024
2022-11-06T23:06:24,0,1024,0,1024
2022-11-06T23:15:49,0,1024,0,1024
2022-11-06T23:25:05,0,1024,0,1024
2022-11-06T23:34:20,0,1024,0,1024
2022-11-06T23:43:36,0,1024,0,1024
2022-11-06T23:52:51,0,1024,0,1024
2022-11-07T00:03:49,0,1024,0,1024
2022-11-07T00:13:13,0,1024,0,1024
2022-11-07T00:22:40,0,1024,0,1024
2022-11-07T00:31:58,0,1024,0,1024
2022-11-07T00:41:14,0,1024,0,1024
2022-11-07T00:50:28,0,1024,0,1024
2022-11-07T00:59:43,0,1024,0,1024
2022-11-07T01:09:02,0,1024,0,1024
2022-11-07T01:18:20,0,1024,0,1024
2022-11-07T01:27:35,0,1024,0,1024
2022-11-07T01:36:50,0,1024,0,1024
2022-11-07T01:46:15,0,1024,0,1024
2022-11-07T01:55:30,0,1024,0,1024
2022-11-07T02:04:44,0,1024,0,1024
2022-11-07T02:13:59,0,1024,0,1024
2022-11-07T02:23:14,0,1024,0,1024
2022-11-07T02:32:28,0,1024,0,1024
2022-11-07T02:41:42,0,1024,0,1024
2022-11-07T02:50:56,0,1024,0,1024
2022-11-07T03:00:10,0,1024,0,1024
2022-11-07T03:09:25,0,1024,0,1024
2022-11-07T03:18:40,0,1024,0,1024
2022-11-07T03:27:55,0,1024,0,1024
2022-11-07T03:37:11,0,1024,0,1024
2022-11-07T03:46:27,0,1024,0,1024
2022-11-07T03:55:43,0,1024,0,1024
2022-11-07T04:05:01,0,1024,0,1024
2022-11-07T04:22:10,0,1024,0,1024
2022-11-07T04:31:50,0,1024,0,1024
2022-11-07T04:41:07,0,1024,0,1024
2022-11-07T04:50:25,0,1024,0,1024
2022-11-07T04:59:39,0,1024,0,1024
2022-11-07T05:08:55,0,1024,0,1024
2022-11-07T05:18:09,0,1024,0,1024
2022-11-07T05:27:23,0,1024,0,1024
2022-11-07T05:36:36,0,1024,0,1024
2022-11-07T05:45:51,0,1024,0,1024
2022-11-07T05:55:07,0,1024,0,1024
2022-11-07T06:04:24,0,1024,0,1024
2022-11-07T06:13:41,0,1024,0,1024
2022-11-07T06:22:58,0,1024,0,1024
2022-11-07T06:32:16,0,1024,0,1024
2022-11-07T06:41:33,0,1024,0,1024
2022-11-07T06:50:48,0,1024,0,1024
2022-11-07T07:00:05,0,1024,0,1024
2022-11-07T07:09:22,0,1024,0,1024
2022-11-07T07:18:39,0,1024,0,1024
2022-11-07T07:27:56,0,1024,0,1024
2022-11-07T07:37:13,0,1024,0,1024
2022-11-07T07:46:31,0,1024,0,1024
2022-11-07T07:55:52,0,1024,0,1024
2022-11-07T08:05:11,0,1024,0,1024
2022-11-07T08:14:30,0,1024,0,1024
2022-11-07T08:23:48,0,1024,0,1024
2022-11-07T08:33:16,0,1024,0,1024
2022-11-07T08:42:34,0,1024,0,1024
2022-11-07T08:51:51,0,1024,0,1024
2022-11-07T09:01:09,0,1024,0,1024
2022-11-07T09:10:28,0,1024,0,1024
2022-11-07T09:19:51,0,1024,0,1024
2022-11-07T09:29:10,0,1024,0,1024
2022-11-07T09:38:29,1,1023,0,1024
