time,enrolled,available,waitlisted,total
2022-11-05T20:10:33,0,96,0,96
2022-11-05T20:19:50,0,96,0,96
2022-11-05T20:29:07,0,96,0,96
2022-11-05T20:38:34,0,96,0,96
2022-11-05T20:47:51,0,96,0,96
2022-11-05T20:57:06,0,96,0,96
2022-11-05T21:06:22,0,96,0,96
2022-11-05T21:15:37,0,96,0,96
2022-11-05T21:24:52,0,96,0,96
2022-11-05T21:34:08,0,96,0,96
2022-11-05T21:43:25,0,96,0,96
2022-11-05T21:52:40,0,96,0,96
2022-11-05T22:01:55,0,96,0,96
2022-11-05T22:11:10,0,96,0,96
2022-11-05T22:20:26,0,96,0,96
2022-11-05T22:29:40,0,96,0,96
2022-11-05T22:38:58,0,96,0,96
2022-11-05T22:48:14,0,96,0,96
2022-11-05T22:57:30,0,96,0,96
2022-11-05T23:06:47,0,96,0,96
2022-11-05T23:16:02,0,96,0,96
2022-11-05T23:25:19,0,96,0,96
2022-11-05T23:34:37,0,96,0,96
2022-11-05T23:43:52,0,96,0,96
2022-11-05T23:53:09,0,96,0,96
2022-11-06T00:02:24,0,96,0,96
2022-11-06T00:11:51,0,96,0,96
2022-11-06T00:21:06,0,96,0,96
2022-11-06T00:30:22,0,96,0,96
2022-11-06T00:39:37,0,96,0,96
2022-11-06T00:48:53,0,96,0,96
2022-11-06T00:58:08,0,96,0,96
2022-11-06T01:07:23,0,96,0,96
2022-11-06T01:16:39,0,96,0,96
2022-11-06T01:25:55,0,96,0,96
2022-11-06T01:35:11,0,96,0,96
2022-11-06T01:44:27,0,96,0,96
2022-11-06T01:53:42,0,96,0,96
2022-11-06T01:02:59,0,96,0,96
2022-11-06T01:12:15,0,96,0,96
2022-11-06T01:21:31,0,96,0,96
2022-11-06T01:30:47,0,96,0,96
2022-11-06T01:40:02,0,96,0,96
2022-11-06T01:49:19,0,96,0,96
2022-11-06T01:58:39,0,96,0,96
2022-11-06T02:07:57,0,96,0,96
2022-11-06T02:17:16,0,96,0,96
2022-11-06T02:26:36,0,96,0,96
2022-11-06T02:35:56,0,96,0,96
2022-11-06T02:45:15,0,96,0,96
2022-11-06T02:54:34,0,96,0,96
2022-11-06T03:03:52,0,96,0,96
2022-11-06T03:13:10,0,96,0,96
2022-11-06T03:22:26,0,96,0,96
2022-11-06T03:31:44,0,96,0,96
2022-11-06T03:41:04,0,96,0,96
2022-11-06T03:50:23,0,96,0,96
2022-11-06T03:59:43,0,96,0,96
2022-11-06T04:15:01,0,96,0,96
2022-11-06T04:24:21,0,96,0,96
2022-11-06T04:33:41,0,96,0,96
2022-11-06T04:42:59,0,96,0,96
2022-11-06T04:53:43,0,96,0,96
2022-11-06T05:03:01,0,96,0,96
2022-11-06T05:12:19,0,96,0,96
2022-11-06T05:21:35,0,96,0,96
2022-11-06T05:30:52,0,96,0,96
2022-11-06T05:40:08,0,96,0,96
2022-11-06T05:49:24,0,96,0,96
2022-11-06T05:58:41,0,96,0,96
2022-11-06T06:08:01,0,96,0,96
2022-11-06T06:17:19,0,96,0,96
2022-11-06T06:26:36,0,96,0,96
2022-11-06T06:35:53,0,96,0,96
2022-11-06T06:45:09,0,96,0,96
2022-11-06T06:54:25,0,96,0,96
2022-11-06T07:03:42,0,96,0,96
2022-11-06T07:12:59,0,96,0,96
2022-11-06T07:22:16,0,96,0,96
2022-11-06T07:31:33,0,96,0,96
2022-11-06T07:40:52,0,96,0,96
2022-11-06T07:50:11,0,96,0,96
2022-11-06T07:59:27,0,96,0,96
2022-11-06T08:08:44,0,96,0,96
