time,enrolled,available,waitlisted,total
2022-12-07T08:47:58,0,29997,0,29997
2022-12-07T08:57:23,0,119988,0,119988
2022-12-07T09:07:01,0,119988,0,119988
2022-12-07T09:16:29,0,119988,0,119988
2022-12-07T09:25:59,0,119988,0,119988
2022-12-07T09:35:28,0,119988,0,119988
2022-12-07T09:44:55,0,119988,0,119988
2022-12-07T09:54:21,0,119988,0,119988
2022-12-07T10:03:49,0,119988,0,119988
2022-12-07T10:13:14,0,119988,0,119988
2022-12-07T10:22:40,0,119988,0,119988
2022-12-07T10:32:05,0,119988,0,119988
2022-12-07T10:41:29,0,119988,0,119988
2022-12-07T10:51:04,0,119988,0,119988
2022-12-07T11:00:28,0,119988,0,119988
2022-12-07T11:09:54,0,119988,0,119988
2022-12-07T11:19:18,0,119988,0,119988
2022-12-07T11:28:41,0,119988,0,119988
2022-12-07T11:38:05,0,119988,0,119988
2022-12-07T11:47:29,0,119988,0,119988
2022-12-07T11:56:53,0,119988,0,119988
2022-12-07T12:06:18,0,119988,0,119988
2022-12-07T12:15:52,0,119988,0,119988
2022-12-07T12:25:15,0,119988,0,119988
2022-12-07T12:34:38,0,119988,0,119988
2022-12-07T12:44:01,0,119988,0,119988
2022-12-07T12:53:24,0,119988,0,119988
2022-12-07T13:02:47,0,119988,0,119988
2022-12-07T13:12:11,0,119988,0,119988
2022-12-07T13:21:44,0,119988,0,119988
2022-12-07T13:31:08,0,119988,0,119988
2022-12-07T13:40:31,0,119988,0,119988
2022-12-07T13:49:55,0,119988,0,119988
2022-12-07T13:59:18,0,119988,0,119988
2022-12-07T14:08:41,0,119988,0,119988
2022-12-07T14:18:08,0,119988,0,119988
2022-12-07T14:27:30,0,119988,0,119988
2022-12-07T14:36:54,0,119988,0,119988
2022-12-07T14:46:28,0,119988,0,119988
2022-12-07T14:55:54,0,119988,0,119988
2022-12-07T15:05:18,0,119988,0,119988
2022-12-07T15:14:42,0,119988,0,119988
2022-12-07T15:24:07,0,119988,0,119988
2022-12-07T15:33:30,0,119988,0,119988
2022-12-07T15:42:54,0,119988,0,119988
2022-12-07T15:52:29,0,119988,0,119988
2022-12-07T16:01:53,0,119988,0,119988
2022-12-07T16:11:17,0,119988,0,119988
2022-12-07T16:20:39,0,119988,0,119988
2022-12-07T16:30:04,0,119988,0,119988
2022-12-07T16:39:28,0,119988,0,119988
2022-12-07T16:48:51,0,119988,0,119988
2022-12-07T16:58:12,0,119988,0,119988
2022-12-07T17:07:33,0,119988,0,119988
2022-12-07T17:16:55,0,119988,0,119988
2022-12-07T17:26:28,0,119988,0,119988
2022-12-07T17:35:49,0,119988,0,119988
2022-12-07T17:45:11,0,119988,0,119988
2022-12-07T17:54:32,0,119988,0,119988
2022-12-07T18:03:53,0,119988,0,119988
2022-12-07T18:13:14,0,119988,0,119988
2022-12-07T18:22:35,0,119988,0,119988
2022-12-07T18:31:55,0,119988,0,119988
2022-12-07T18:41:17,0,119988,0,119988
2022-12-07T18:50:49,0,119988,0,119988
2022-12-07T19:00:10,0,119988,0,119988
2022-12-07T19:09:33,0,119988,0,119988
2022-12-07T19:18:55,0,119988,0,119988
2022-12-07T19:28:16,0,119988,0,119988
2022-12-07T19:37:38,0,119988,0,119988
2022-12-07T19:46:58,0,119988,0,119988
2022-12-07T19:56:19,0,119988,0,119988
2022-12-07T20:05:42,0,119988,0,119988
2022-12-07T20:15:02,0,119988,0,119988
2022-12-07T20:24:34,0,119988,0,119988
2022-12-07T20:33:55,0,119988,0,119988
2022-12-07T20:43:15,0,119988,0,119988
2022-12-07T20:52:36,0,119988,0,119988
2022-12-07T21:01:57,0,119988,0,119988
2022-12-07T21:11:18,0,119988,0,119988
2022-12-07T21:20:39,0,119988,0,119988
2022-12-07T21:30:00,0,119988,0,119988
2022-12-07T21:39:31,0,119988,0,119988
2022-12-07T21:48:53,0,119988,0,119988
2022-12-07T21:58:15,0,119988,0,119988
2022-12-07T22:07:38,0,119988,0,119988
2022-12-07T22:17:01,0,119988,0,119988
2022-12-07T22:26:24,0,119988,0,119988
2022-12-07T22:35:46,0,119988,0,119988
2022-12-07T22:45:09,0,119988,0,119988
2022-12-07T22:54:31,0,119988,0,119988
2022-12-07T23:03:52,0,119988,0,119988
2022-12-07T23:13:14,0,119988,0,119988
2022-12-07T23:22:47,0,119988,0,119988
2022-12-07T23:32:08,0,119988,0,119988
2022-12-07T23:41:29,0,119988,0,119988
2022-12-07T23:50:50,0,119988,0,119988
2022-12-08T00:00:11,0,119988,0,119988
2022-12-08T00:09:34,0,119988,0,119988
2022-12-08T00:19:02,0,119988,0,119988
2022-12-08T00:28:23,0,119988,0,119988
2022-12-08T00:37:46,0,119988,0,119988
2022-12-08T00:47:10,0,119988,0,119988
2022-12-08T00:56:34,0,119988,0,119988
2022-12-08T01:05:57,0,119988,0,119988
2022-12-08T01:15:20,0,119988,0,119988
2022-12-08T01:24:43,0,119988,0,119988
2022-12-08T01:34:06,0,119988,0,119988
2022-12-08T01:43:39,0,119988,0,119988
2022-12-08T01:53:01,0,119988,0,119988
2022-12-08T02:02:23,0,119988,0,119988
2022-12-08T02:11:45,0,119988,0,119988
2022-12-08T02:21:06,0,119988,0,119988
2022-12-08T02:30:26,0,119988,0,119988
2022-12-08T02:39:46,0,119988,0,119988
2022-12-08T02:49:05,0,119988,0,119988
2022-12-08T02:58:27,0,119988,0,119988
2022-12-08T03:07:50,0,119988,0,119988
2022-12-08T03:17:13,0,119988,0,119988
2022-12-08T03:26:35,0,119988,0,119988
2022-12-08T03:35:57,0,119988,0,119988
2022-12-08T03:45:21,0,119988,0,119988
2022-12-08T03:54:44,0,119988,0,119988
2022-12-08T04:04:06,0,119988,0,119988
2022-12-08T04:13:28,0,119988,0,119988
2022-12-08T04:30:59,0,119988,0,119988
2022-12-08T04:41:33,0,119988,0,119988
2022-12-08T04:51:12,0,119988,0,119988
2022-12-08T05:00:34,0,119988,0,119988
2022-12-08T05:09:57,0,119988,0,119988
2022-12-08T05:19:22,0,119988,0,119988
2022-12-08T05:28:44,0,119988,0,119988
2022-12-08T05:38:06,0,119988,0,119988
