time,enrolled,available,waitlisted,total
2022-11-05T20:10:38,0,140,0,140
2022-11-05T20:19:55,0,140,0,140
2022-11-05T20:29:12,0,140,0,140
2022-11-05T20:38:40,0,140,0,140
2022-11-05T20:47:56,0,140,0,140
2022-11-05T20:57:12,0,140,0,140
2022-11-05T21:06:27,0,140,0,140
2022-11-05T21:15:43,0,140,0,140
2022-11-05T21:24:57,0,140,0,140
2022-11-05T21:34:13,0,140,0,140
2022-11-05T21:43:30,0,140,0,140
2022-11-05T21:52:45,0,140,0,140
2022-11-05T22:02:00,0,140,0,140
2022-11-05T22:11:16,0,140,0,140
2022-11-05T22:20:31,0,140,0,140
2022-11-05T22:29:46,0,140,0,140
2022-11-05T22:39:03,0,140,0,140
2022-11-05T22:48:20,0,140,0,140
2022-11-05T22:57:35,0,140,0,140
2022-11-05T23:06:52,0,140,0,140
2022-11-05T23:16:07,0,140,0,140
2022-11-05T23:25:24,0,140,0,140
2022-11-05T23:34:42,0,140,0,140
2022-11-05T23:43:58,0,140,0,140
2022-11-05T23:53:14,0,140,0,140
2022-11-06T00:02:30,0,140,0,140
2022-11-06T00:11:56,0,140,0,140
2022-11-06T00:21:12,0,140,0,140
2022-11-06T00:30:27,0,140,0,140
2022-11-06T00:39:42,0,140,0,140
2022-11-06T00:48:59,0,140,0,140
2022-11-06T00:58:14,0,140,0,140
2022-11-06T01:07:29,0,140,0,140
2022-11-06T01:16:44,0,140,0,140
2022-11-06T01:26:00,0,140,0,140
2022-11-06T01:35:16,0,140,0,140
2022-11-06T01:44:32,0,140,0,140
2022-11-06T01:53:48,0,140,0,140
2022-11-06T01:03:04,0,140,0,140
2022-11-06T01:12:21,0,140,0,140
2022-11-06T01:21:36,0,140,0,140
2022-11-06T01:30:53,0,140,0,140
2022-11-06T01:40:08,0,140,0,140
2022-11-06T01:49:24,0,140,0,140
2022-11-06T01:58:44,0,140,0,140
2022-11-06T02:08:02,0,140,0,140
2022-11-06T02:17:21,0,140,0,140
2022-11-06T02:26:41,0,140,0,140
2022-11-06T02:36:01,0,140,0,140
2022-11-06T02:45:20,0,140,0,140
2022-11-06T02:54:39,0,140,0,140
2022-11-06T03:03:58,0,140,0,140
2022-11-06T03:13:15,0,140,0,140
2022-11-06T03:22:32,0,140,0,140
2022-11-06T03:31:49,0,140,0,140
2022-11-06T03:41:09,0,140,0,140
2022-11-06T03:50:29,0,140,0,140
2022-11-06T03:59:48,0,140,0,140
2022-11-06T04:15:06,0,140,0,140
2022-11-06T04:24:27,0,140,0,140
2022-11-06T04:33:46,0,140,0,140
2022-11-06T04:43:04,0,140,0,140
2022-11-06T04:53:49,0,140,0,140
2022-11-06T05:03:07,0,140,0,140
2022-11-06T05:12:24,0,140,0,140
2022-11-06T05:21:40,0,140,0,140
2022-11-06T05:30:57,0,140,0,140
2022-11-06T05:40:13,0,140,0,140
2022-11-06T05:49:29,0,140,0,140
2022-11-06T05:58:47,0,140,0,140
2022-11-06T06:08:06,0,140,0,140
2022-11-06T06:17:24,0,140,0,140
2022-11-06T06:26:42,0,140,0,140
2022-11-06T06:35:58,0,140,0,140
