time,enrolled,available,waitlisted,total
2022-11-05T20:10:42,0,100,0,100
2022-11-05T20:19:59,0,100,0,100
2022-11-05T20:29:16,0,100,0,100
2022-11-05T20:38:43,0,100,0,100
2022-11-05T20:48:00,0,100,0,100
2022-11-05T20:57:16,0,100,0,100
2022-11-05T21:06:31,0,100,0,100
2022-11-05T21:15:46,0,100,0,100
2022-11-05T21:25:01,0,100,0,100
2022-11-05T21:34:17,0,100,0,100
2022-11-05T21:43:34,0,100,0,100
2022-11-05T21:52:49,0,100,0,100
2022-11-05T22:02:04,0,100,0,100
2022-11-05T22:11:19,0,100,0,100
2022-11-05T22:20:35,0,100,0,100
2022-11-05T22:29:50,0,100,0,100
2022-11-05T22:39:07,0,100,0,100
2022-11-05T22:48:23,0,100,0,100
2022-11-05T22:57:39,0,100,0,100
2022-11-05T23:06:56,0,100,0,100
2022-11-05T23:16:11,0,100,0,100
2022-11-05T23:25:28,0,100,0,100
2022-11-05T23:34:46,0,100,0,100
2022-11-05T23:44:01,0,100,0,100
2022-11-05T23:53:18,0,100,0,100
2022-11-06T00:02:33,0,100,0,100
2022-11-06T00:12:00,0,100,0,100
2022-11-06T00:21:16,0,100,0,100
2022-11-06T00:30:31,0,100,0,100
2022-11-06T00:39:46,0,100,0,100
2022-11-06T00:49:02,0,100,0,100
2022-11-06T00:58:18,0,100,0,100
2022-11-06T01:07:32,0,100,0,100
2022-11-06T01:16:48,0,100,0,100
2022-11-06T01:26:04,0,100,0,100
2022-11-06T01:35:20,0,100,0,100
2022-11-06T01:44:36,0,100,0,100
2022-11-06T01:53:52,0,100,0,100
2022-11-06T01:03:08,0,100,0,100
2022-11-06T01:12:24,0,100,0,100
2022-11-06T01:21:40,0,100,0,100
2022-11-06T01:30:57,0,100,0,100
2022-11-06T01:40:12,0,100,0,100
2022-11-06T01:49:28,0,100,0,100
2022-11-06T01:58:48,0,100,0,100
2022-11-06T02:08:06,0,100,0,100
2022-11-06T02:17:25,0,100,0,100
2022-11-06T02:26:45,0,100,0,100
2022-11-06T02:36:05,0,100,0,100
2022-11-06T02:45:24,0,100,0,100
2022-11-06T02:54:43,0,100,0,100
2022-11-06T03:04:02,0,100,0,100
2022-11-06T03:13:19,0,100,0,100
2022-11-06T03:22:36,0,100,0,100
2022-11-06T03:31:53,0,100,0,100
2022-11-06T03:41:13,0,100,0,100
2022-11-06T03:50:33,0,100,0,100
2022-11-06T03:59:52,0,100,0,100
2022-11-06T04:15:10,0,100,0,100
2022-11-06T04:24:31,0,100,0,100
2022-11-06T04:33:50,0,100,0,100
2022-11-06T04:43:08,0,100,0,100
2022-11-06T04:53:53,0,100,0,100
2022-11-06T05:03:10,0,100,0,100
2022-11-06T05:12:28,0,100,0,100
2022-11-06T05:21:44,0,100,0,100
2022-11-06T05:31:01,0,100,0,100
2022-11-06T05:40:17,0,100,0,100
2022-11-06T05:49:33,0,100,0,100
2022-11-06T05:58:51,0,100,0,100
2022-11-06T06:08:10,0,100,0,100
2022-11-06T06:17:28,0,100,0,100
2022-11-06T06:26:46,0,100,0,100
2022-11-06T06:36:02,0,100,0,100
2022-11-06T06:45:18,0,100,0,100
2022-11-06T06:54:34,0,100,0,100
2022-11-06T07:03:51,0,100,0,100
2022-11-06T07:13:08,0,100,0,100
2022-11-06T07:22:25,0,100,0,100
2022-11-06T07:31:43,0,100,0,100
2022-11-06T07:41:02,0,100,0,100
2022-11-06T07:50:20,0,100,0,100
2022-11-06T07:59:36,0,100,0,100
2022-11-06T08:08:53,0,100,0,100
2022-11-06T08:18:10,0,100,0,100
2022-11-06T08:27:28,0,100,0,100
2022-11-06T08:36:44,0,100,0,100
2022-11-06T08:46:01,0,100,0,100
2022-11-06T08:55:18,0,100,0,100
2022-11-06T09:04:34,0,100,0,100
2022-11-06T09:13:49,0,100,0,100
2022-11-06T09:23:03,0,100,0,100
2022-11-06T09:32:16,0,100,0,100
2022-11-06T09:41:31,0,100,0,100
2022-11-06T09:50:45,0,100,0,100
2022-11-06T09:59:58,0,100,0,100
2022-11-06T10:09:12,0,100,0,100
2022-11-06T10:18:25,0,100,0,100
2022-11-06T10:27:39,0,100,0,100
2022-11-06T10:36:56,0,100,0,100
2022-11-06T10:46:10,0,100,0,100
2022-11-06T10:55:25,0,100,0,100
2022-11-06T11:04:40,0,100,0,100
2022-11-06T11:13:55,0,100,0,100
2022-11-06T11:23:12,0,100,0,100
2022-11-06T11:32:34,0,100,0,100
2022-11-06T11:41:51,0,100,0,100
2022-11-06T11:51:05,0,100,0,100
2022-11-06T12:00:19,0,100,0,100
2022-11-06T12:09:33,0,100,0,100
2022-11-06T12:18:49,0,100,0,100
2022-11-06T12:28:14,0,100,0,100
2022-11-06T12:37:28,0,100,0,100
2022-11-06T12:46:43,0,100,0,100
2022-11-06T12:55:57,0,100,0,100
2022-11-06T13:05:12,0,100,0,100
2022-11-06T13:14:27,0,100,0,100
2022-11-06T13:23:43,0,100,0,100
2022-11-06T13:32:57,0,100,0,100
2022-11-06T13:42:11,0,100,0,100
2022-11-06T13:51:24,0,100,0,100
2022-11-06T14:00:39,0,100,0,100
2022-11-06T14:09:55,0,100,0,100
2022-11-06T14:19:18,0,100,0,100
2022-11-06T14:28:32,0,100,0,100
2022-11-06T14:37:46,0,100,0,100
2022-11-06T14:47:03,0,100,0,100
2022-11-06T14:56:16,0,100,0,100
2022-11-06T15:05:29,0,100,0,100
2022-11-06T15:14:44,0,100,0,100
2022-11-06T15:23:57,0,100,0,100
2022-11-06T15:33:11,0,100,0,100
2022-11-06T15:42:25,0,100,0,100
2022-11-06T15:51:38,0,100,0,100
2022-11-06T16:00:51,0,100,0,100
2022-11-06T16:10:14,0,100,0,100
2022-11-06T16:19:28,0,100,0,100
2022-11-06T16:28:44,0,100,0,100
2022-11-06T16:38:00,0,100,0,100
2022-11-06T16:47:15,0,100,0,100
2022-11-06T16:56:31,0,100,0,100
2022-11-06T17:05:45,0,100,0,100
2022-11-06T17:15:00,0,100,0,100
2022-11-06T17:24:15,0,100,0,100
2022-11-06T17:33:30,0,100,0,100
2022-11-06T17:42:55,0,100,0,100
2022-11-06T17:52:09,0,100,0,100
2022-11-06T18:01:25,0,100,0,100
2022-11-06T18:10:40,0,100,0,100
2022-11-06T18:19:56,0,100,0,100
2022-11-06T18:29:09,0,100,0,100
2022-11-06T18:38:23,0,100,0,100
2022-11-06T18:47:37,0,100,0,100
2022-11-06T18:56:52,0,100,0,100
2022-11-06T19:06:07,0,100,0,100
2022-11-06T19:15:30,0,100,0,100
2022-11-06T19:24:45,0,100,0,100
2022-11-06T19:34:00,0,100,0,100
2022-11-06T19:43:13,0,100,0,100
2022-11-06T19:52:27,0,100,0,100
2022-11-06T20:01:40,0,100,0,100
2022-11-06T20:10:55,0,100,0,100
2022-11-06T20:20:09,0,100,0,100
2022-11-06T20:29:24,0,100,0,100
2022-11-06T20:38:46,0,100,0,100
2022-11-06T20:48:01,0,100,0,100
2022-11-06T20:57:14,0,100,0,100
2022-11-06T21:06:30,0,100,0,100
2022-11-06T21:15:43,0,100,0,100
2022-11-06T21:24:55,0,100,0,100
2022-11-06T21:34:09,0,100,0,100
2022-11-06T21:43:24,0,100,0,100
2022-11-06T21:52:48,0,100,0,100
2022-11-06T22:02:04,0,100,0,100
2022-11-06T22:11:18,0,100,0,100
2022-11-06T22:20:34,0,100,0,100
2022-11-06T22:29:48,0,100,0,100
2022-11-06T22:39:03,0,100,0,100
2022-11-06T22:48:17,0,100,0,100
2022-11-06T22:57:32,0,100,0,100
2022-11-06T23:06:48,0,100,0,100
2022-11-06T23:16:13,0,100,0,100
2022-11-06T23:25:29,0,100,0,100
2022-11-06T23:34:45,0,100,0,100
2022-11-06T23:44:00,0,100,0,100
2022-11-06T23:53:16,0,100,0,100
2022-11-07T00:04:13,0,100,0,100
2022-11-07T00:13:37,0,100,0,100
2022-11-07T00:23:05,0,100,0,100
2022-11-07T00:32:22,0,100,0,100
2022-11-07T00:41:39,0,100,0,100
2022-11-07T00:50:53,0,100,0,100
2022-11-07T01:00:07,0,100,0,100
2022-11-07T01:09:27,0,100,0,100
2022-11-07T01:18:44,0,100,0,100
2022-11-07T01:27:59,0,100,0,100
2022-11-07T01:37:15,0,100,0,100
2022-11-07T01:46:40,0,100,0,100
2022-11-07T01:55:54,0,100,0,100
2022-11-07T02:05:08,0,100,0,100
2022-11-07T02:14:23,0,100,0,100
2022-11-07T02:23:38,0,100,0,100
2022-11-07T02:32:52,0,100,0,100
2022-11-07T02:42:07,0,100,0,100
2022-11-07T02:51:21,0,100,0,100
2022-11-07T03:00:35,0,100,0,100
2022-11-07T03:09:49,0,100,0,100
2022-11-07T03:19:05,0,100,0,100
2022-11-07T03:28:19,0,100,0,100
2022-11-07T03:37:36,0,100,0,100
2022-11-07T03:46:52,0,100,0,100
2022-11-07T03:56:08,0,100,0,100
2022-11-07T04:05:26,0,100,0,100
2022-11-07T04:22:35,0,100,0,100
2022-11-07T04:32:15,0,100,0,100
2022-11-07T04:41:31,0,100,0,100
2022-11-07T04:50:49,0,100,0,100
2022-11-07T05:00:03,0,100,0,100
2022-11-07T05:09:19,0,100,0,100
2022-11-07T05:18:34,0,100,0,100
2022-11-07T05:27:47,0,100,0,100
2022-11-07T05:37:01,0,100,0,100
2022-11-07T05:46:15,0,100,0,100
2022-11-07T05:55:31,0,100,0,100
2022-11-07T06:04:48,0,100,0,100
2022-11-07T06:14:05,0,100,0,100
2022-11-07T06:23:22,0,100,0,100
2022-11-07T06:32:40,0,100,0,100
2022-11-07T06:41:57,0,100,0,100
2022-11-07T06:51:13,0,100,0,100
2022-11-07T07:00:29,0,100,0,100
2022-11-07T07:09:46,0,100,0,100
2022-11-07T07:19:03,0,100,0,100
2022-11-07T07:28:21,0,100,0,100
2022-11-07T07:37:38,0,100,0,100
2022-11-07T07:46:56,0,100,0,100
2022-11-07T07:56:16,0,100,0,100
2022-11-07T08:05:35,0,100,0,100
2022-11-07T08:14:54,0,100,0,100
2022-11-07T08:24:12,0,100,0,100
2022-11-07T08:33:41,0,100,0,100
2022-11-07T08:42:59,0,100,0,100
2022-11-07T08:52:16,0,100,0,100
2022-11-07T09:01:33,0,100,0,100
2022-11-07T09:10:53,0,100,0,100
2022-11-07T09:20:15,0,100,0,100
2022-11-07T09:29:35,0,100,0,100
2022-11-07T09:38:54,0,100,0,100
2022-11-07T09:48:31,0,100,0,100
2022-11-07T09:57:49,0,100,0,100
2022-11-07T10:07:08,0,100,0,100
2022-11-07T10:16:27,0,100,0,100
2022-11-07T10:25:46,0,100,0,100
2022-11-07T10:35:07,0,100,0,100
2022-11-07T10:44:38,0,100,0,100
2022-11-07T10:53:57,0,100,0,100
2022-11-07T11:03:17,1,99,0,100
2022-11-07T11:12:39,2,98,0,100
2022-11-07T11:21:59,2,98,0,100
2022-11-07T11:31:30,2,98,0,100
2022-11-07T11:40:49,2,98,0,100
2022-11-07T11:50:09,2,98,0,100
2022-11-07T11:59:26,2,98,0,100
2022-11-07T12:08:55,2,98,0,100
2022-11-07T12:18:15,2,98,0,100
2022-11-07T12:27:35,2,98,0,100
2022-11-07T12:36:54,2,98,0,100
2022-11-07T12:46:24,2,98,0,100
2022-11-07T12:55:44,2,98,0,100
2022-11-07T13:05:05,2,98,0,100
2022-11-07T13:14:26,2,98,0,100
2022-11-07T13:23:57,2,98,0,100
2022-11-07T13:33:18,2,98,0,100
2022-11-07T13:42:39,2,98,0,100
2022-11-07T13:52:11,2,98,0,100
2022-11-07T14:01:31,2,98,0,100
2022-11-07T14:10:50,2,98,0,100
2022-11-07T14:20:10,2,98,0,100
2022-11-07T14:29:40,2,98,0,100
2022-11-07T14:39:00,2,98,0,100
2022-11-07T14:48:19,2,98,0,100
2022-11-07T14:57:37,3,97,0,100
2022-11-07T15:06:56,3,97,0,100
2022-11-07T15:16:28,4,96,0,100
2022-11-07T15:25:47,4,96,0,100
2022-11-07T15:35:05,4,96,0,100
2022-11-07T15:44:24,4,96,0,100
2022-11-07T15:53:52,4,96,0,100
2022-11-07T16:03:10,4,96,0,100
2022-11-07T16:12:29,4,96,0,100
2022-11-07T16:21:47,3,97,0,100
2022-11-07T16:31:05,3,97,0,100
2022-11-07T16:40:33,3,97,0,100
2022-11-07T16:49:51,4,96,0,100
2022-11-07T16:59:09,4,96,0,100
2022-11-07T17:08:28,5,95,0,100
2022-11-07T17:18:02,5,95,0,100
2022-11-07T17:27:20,5,95,0,100
2022-11-07T17:36:37,5,95,0,100
2022-11-07T17:45:55,5,95,0,100
2022-11-07T17:55:12,5,95,0,100
2022-11-07T18:04:44,5,95,0,100
2022-11-07T18:14:02,6,94,0,100
2022-11-07T18:23:18,6,94,0,100
2022-11-07T18:32:37,6,94,0,100
2022-11-07T18:42:03,6,94,0,100
2022-11-07T18:51:21,7,93,0,100
2022-11-07T19:00:38,7,93,0,100
2022-11-07T19:09:55,8,92,0,100
2022-11-07T19:19:22,8,92,0,100
2022-11-07T19:28:41,8,92,0,100
2022-11-07T19:38:00,9,91,0,100
2022-11-07T19:47:17,10,90,0,100
2022-11-07T19:56:35,11,89,0,100
2022-11-07T20:06:04,11,89,0,100
2022-11-07T20:15:22,11,89,0,100
2022-11-07T20:24:39,11,89,0,100
2022-11-07T20:33:57,11,89,0,100
2022-11-07T20:43:14,11,89,0,100
2022-11-07T20:52:33,12,88,0,100
