time,enrolled,available,waitlisted,total
2022-11-05T20:10:44,0,20,0,20
2022-11-05T20:20:02,0,20,0,20
2022-11-05T20:29:19,0,20,0,20
2022-11-05T20:38:46,0,20,0,20
2022-11-05T20:48:02,0,20,0,20
2022-11-05T20:57:18,0,20,0,20
2022-11-05T21:06:33,0,20,0,20
2022-11-05T21:15:49,0,20,0,20
2022-11-05T21:25:03,0,20,0,20
2022-11-05T21:34:20,0,20,0,20
2022-11-05T21:43:36,0,20,0,20
2022-11-05T21:52:52,0,20,0,20
2022-11-05T22:02:07,0,20,0,20
2022-11-05T22:11:22,0,20,0,20
2022-11-05T22:20:37,0,20,0,20
2022-11-05T22:29:52,0,20,0,20
2022-11-05T22:39:10,0,20,0,20
2022-11-05T22:48:26,0,20,0,20
2022-11-05T22:57:42,0,20,0,20
2022-11-05T23:06:58,0,20,0,20
2022-11-05T23:16:14,0,20,0,20
2022-11-05T23:25:31,0,20,0,20
2022-11-05T23:34:49,0,20,0,20
2022-11-05T23:44:04,0,20,0,20
2022-11-05T23:53:21,0,20,0,20
2022-11-06T00:02:36,0,20,0,20
2022-11-06T00:12:02,0,20,0,20
2022-11-06T00:21:18,0,20,0,20
2022-11-06T00:30:34,0,20,0,20
2022-11-06T00:39:49,0,20,0,20
2022-11-06T00:49:05,0,20,0,20
2022-11-06T00:58:20,0,20,0,20
2022-11-06T01:07:35,0,20,0,20
2022-11-06T01:16:50,0,20,0,20
2022-11-06T01:26:07,0,20,0,20
2022-11-06T01:35:22,0,20,0,20
2022-11-06T01:44:38,0,20,0,20
2022-11-06T01:53:54,0,20,0,20
2022-11-06T01:03:10,0,20,0,20
2022-11-06T01:12:27,0,20,0,20
2022-11-06T01:21:43,0,20,0,20
2022-11-06T01:30:59,0,20,0,20
2022-11-06T01:40:14,0,20,0,20
2022-11-06T01:49:31,0,20,0,20
2022-11-06T01:58:50,0,20,0,20
2022-11-06T02:08:09,0,20,0,20
2022-11-06T02:17:27,0,20,0,20
2022-11-06T02:26:48,0,20,0,20
2022-11-06T02:36:08,0,20,0,20
2022-11-06T02:45:27,0,20,0,20
2022-11-06T02:54:46,0,20,0,20
2022-11-06T03:04:04,0,20,0,20
2022-11-06T03:13:22,0,20,0,20
2022-11-06T03:22:38,0,20,0,20
2022-11-06T03:31:56,0,20,0,20
2022-11-06T03:41:15,0,20,0,20
2022-11-06T03:50:35,0,20,0,20
2022-11-06T03:59:55,0,20,0,20
2022-11-06T04:15:12,0,20,0,20
2022-11-06T04:24:33,0,20,0,20
2022-11-06T04:33:53,0,20,0,20
2022-11-06T04:43:11,0,20,0,20
2022-11-06T04:53:55,0,20,0,20
2022-11-06T05:03:13,0,20,0,20
2022-11-06T05:12:30,0,20,0,20
2022-11-06T05:21:47,0,20,0,20
2022-11-06T05:31:04,0,20,0,20
2022-11-06T05:40:20,0,20,0,20
2022-11-06T05:49:35,0,20,0,20
2022-11-06T05:58:53,0,20,0,20
2022-11-06T06:08:12,0,20,0,20
2022-11-06T06:17:31,0,20,0,20
2022-11-06T06:26:48,0,20,0,20
2022-11-06T06:36:05,0,20,0,20
2022-11-06T06:45:21,0,20,0,20
2022-11-06T06:54:36,0,20,0,20
2022-11-06T07:03:53,0,20,0,20
2022-11-06T07:13:10,0,20,0,20
2022-11-06T07:22:28,0,20,0,20
2022-11-06T07:31:45,0,20,0,20
2022-11-06T07:41:04,0,20,0,20
2022-11-06T07:50:23,0,20,0,20
2022-11-06T07:59:39,0,20,0,20
2022-11-06T08:08:55,0,20,0,20
2022-11-06T08:18:13,0,20,0,20
2022-11-06T08:27:31,0,20,0,20
2022-11-06T08:36:47,0,20,0,20
2022-11-06T08:46:03,0,20,0,20
2022-11-06T08:55:20,0,20,0,20
2022-11-06T09:04:36,0,20,0,20
2022-11-06T09:13:52,0,20,0,20
2022-11-06T09:23:06,0,20,0,20
2022-11-06T09:32:19,0,20,0,20
2022-11-06T09:41:33,0,20,0,20
