time,enrolled,available,waitlisted,total
2022-11-05T20:11:01,0,200,0,200
2022-11-05T20:20:18,0,200,0,200
2022-11-05T20:29:35,0,200,0,200
2022-11-05T20:39:03,0,200,0,200
2022-11-05T20:48:19,0,200,0,200
2022-11-05T20:57:35,0,200,0,200
2022-11-05T21:06:50,0,200,0,200
2022-11-05T21:16:06,0,200,0,200
2022-11-05T21:25:21,0,200,0,200
2022-11-05T21:34:36,0,200,0,200
2022-11-05T21:43:53,0,200,0,200
2022-11-05T21:53:08,0,200,0,200
2022-11-05T22:02:23,0,200,0,200
2022-11-05T22:11:39,0,200,0,200
2022-11-05T22:20:54,0,200,0,200
2022-11-05T22:30:09,0,200,0,200
2022-11-05T22:39:27,0,200,0,200
2022-11-05T22:48:43,0,200,0,200
2022-11-05T22:57:58,0,200,0,200
2022-11-05T23:07:15,0,200,0,200
2022-11-05T23:16:31,0,200,0,200
2022-11-05T23:25:47,0,200,0,200
2022-11-05T23:35:05,0,200,0,200
2022-11-05T23:44:21,0,200,0,200
2022-11-05T23:53:38,0,200,0,200
2022-11-06T00:02:53,0,200,0,200
2022-11-06T00:12:19,0,200,0,200
2022-11-06T00:21:35,0,200,0,200
2022-11-06T00:30:51,0,200,0,200
2022-11-06T00:40:05,0,200,0,200
2022-11-06T00:49:22,0,200,0,200
2022-11-06T00:58:37,0,200,0,200
2022-11-06T01:07:52,0,200,0,200
2022-11-06T01:17:07,0,200,0,200
2022-11-06T01:26:23,0,200,0,200
2022-11-06T01:35:39,0,200,0,200
2022-11-06T01:44:55,0,200,0,200
2022-11-06T01:54:11,0,200,0,200
2022-11-06T01:03:27,0,200,0,200
2022-11-06T01:12:44,0,200,0,200
2022-11-06T01:22:00,0,200,0,200
2022-11-06T01:31:16,0,200,0,200
2022-11-06T01:40:31,0,200,0,200
2022-11-06T01:49:48,0,200,0,200
2022-11-06T01:59:07,0,200,0,200
2022-11-06T02:08:25,0,200,0,200
2022-11-06T02:17:44,0,200,0,200
2022-11-06T02:27:05,0,200,0,200
2022-11-06T02:36:25,0,200,0,200
2022-11-06T02:45:43,0,200,0,200
2022-11-06T02:55:03,0,200,0,200
2022-11-06T03:04:21,0,200,0,200
2022-11-06T03:13:38,0,200,0,200
2022-11-06T03:22:55,0,200,0,200
2022-11-06T03:32:13,0,200,0,200
2022-11-06T03:41:32,0,200,0,200
2022-11-06T03:50:52,0,200,0,200
2022-11-06T04:00:11,0,200,0,200
2022-11-06T04:15:29,0,200,0,200
2022-11-06T04:24:50,0,200,0,200
2022-11-06T04:34:09,0,200,0,200
2022-11-06T04:43:37,0,200,0,200
2022-11-06T04:54:12,0,200,0,200
2022-11-06T05:03:30,0,200,0,200
2022-11-06T05:12:47,0,200,0,200
2022-11-06T05:22:03,0,200,0,200
2022-11-06T05:31:21,0,200,0,200
2022-11-06T05:40:36,0,200,0,200
2022-11-06T05:49:52,0,200,0,200
2022-11-06T05:59:10,0,200,0,200
2022-11-06T06:08:29,0,200,0,200
2022-11-06T06:17:48,0,200,0,200
2022-11-06T06:27:05,0,200,0,200
2022-11-06T06:36:21,0,200,0,200
2022-11-06T06:45:37,0,200,0,200
2022-11-06T06:54:53,0,200,0,200
2022-11-06T07:04:10,0,200,0,200
2022-11-06T07:13:27,0,200,0,200
2022-11-06T07:22:44,0,200,0,200
2022-11-06T07:32:02,0,200,0,200
2022-11-06T07:41:21,0,200,0,200
2022-11-06T07:50:39,0,200,0,200
2022-11-06T07:59:56,0,200,0,200
2022-11-06T08:09:12,0,200,0,200
2022-11-06T08:18:29,0,200,0,200
2022-11-06T08:27:47,0,200,0,200
2022-11-06T08:37:03,0,200,0,200
2022-11-06T08:46:20,0,200,0,200
2022-11-06T08:55:37,0,200,0,200
2022-11-06T09:04:53,0,200,0,200
2022-11-06T09:14:08,0,200,0,200
2022-11-06T09:23:23,0,200,0,200
