time,enrolled,available,waitlisted,total
2022-11-05T20:10:50,0,80,0,80
2022-11-05T20:20:07,0,80,0,80
2022-11-05T20:29:24,0,80,0,80
2022-11-05T20:38:51,0,80,0,80
2022-11-05T20:48:08,0,80,0,80
2022-11-05T20:57:23,0,80,0,80
2022-11-05T21:06:39,0,80,0,80
2022-11-05T21:15:54,0,80,0,80
2022-11-05T21:25:09,0,80,0,80
2022-11-05T21:34:25,0,80,0,80
2022-11-05T21:43:42,0,80,0,80
2022-11-05T21:52:57,0,80,0,80
2022-11-05T22:02:12,0,80,0,80
2022-11-05T22:11:27,0,80,0,80
2022-11-05T22:20:43,0,80,0,80
2022-11-05T22:29:57,0,80,0,80
2022-11-05T22:39:15,0,80,0,80
2022-11-05T22:48:31,0,80,0,80
2022-11-05T22:57:47,0,80,0,80
2022-11-05T23:07:04,0,80,0,80
2022-11-05T23:16:19,0,80,0,80
2022-11-05T23:25:36,0,80,0,80
2022-11-05T23:34:54,0,80,0,80
2022-11-05T23:44:09,0,80,0,80
2022-11-05T23:53:26,0,80,0,80
2022-11-06T00:02:41,0,80,0,80
2022-11-06T00:12:08,0,80,0,80
2022-11-06T00:21:23,0,80,0,80
2022-11-06T00:30:39,0,80,0,80
2022-11-06T00:39:54,0,80,0,80
2022-11-06T00:49:10,0,80,0,80
2022-11-06T00:58:25,0,80,0,80
2022-11-06T01:07:40,0,80,0,80
2022-11-06T01:16:55,0,80,0,80
2022-11-06T01:26:12,0,80,0,80
2022-11-06T01:35:28,0,80,0,80
2022-11-06T01:44:44,0,80,0,80
2022-11-06T01:53:59,0,80,0,80
2022-11-06T01:03:16,0,80,0,80
2022-11-06T01:12:32,0,80,0,80
2022-11-06T01:21:48,0,80,0,80
2022-11-06T01:31:04,0,80,0,80
2022-11-06T01:40:19,0,80,0,80
2022-11-06T01:49:36,0,80,0,80
2022-11-06T01:58:56,0,80,0,80
2022-11-06T02:08:14,0,80,0,80
2022-11-06T02:17:33,0,80,0,80
2022-11-06T02:26:53,0,80,0,80
2022-11-06T02:36:13,0,80,0,80
2022-11-06T02:45:32,0,80,0,80
2022-11-06T02:54:51,0,80,0,80
2022-11-06T03:04:10,0,80,0,80
2022-11-06T03:13:27,0,80,0,80
2022-11-06T03:22:44,0,80,0,80
2022-11-06T03:32:01,0,80,0,80
2022-11-06T03:41:21,0,80,0,80
2022-11-06T03:50:41,0,80,0,80
2022-11-06T04:00:00,0,80,0,80
2022-11-06T04:15:18,0,80,0,80
2022-11-06T04:24:39,0,80,0,80
2022-11-06T04:33:58,0,80,0,80
2022-11-06T04:43:16,0,80,0,80
2022-11-06T04:54:00,0,80,0,80
2022-11-06T05:03:18,0,80,0,80
2022-11-06T05:12:36,0,80,0,80
2022-11-06T05:21:52,0,80,0,80
2022-11-06T05:31:09,0,80,0,80
2022-11-06T05:40:25,0,80,0,80
2022-11-06T05:49:41,0,80,0,80
2022-11-06T05:58:58,0,80,0,80
2022-11-06T06:08:18,0,80,0,80
2022-11-06T06:17:36,0,80,0,80
2022-11-06T06:26:53,0,80,0,80
2022-11-06T06:36:10,0,80,0,80
2022-11-06T06:45:26,0,80,0,80
2022-11-06T06:54:42,0,80,0,80
2022-11-06T07:03:59,0,80,0,80
2022-11-06T07:13:16,0,80,0,80
2022-11-06T07:22:33,0,80,0,80
2022-11-06T07:31:51,0,80,0,80
2022-11-06T07:41:09,0,80,0,80
2022-11-06T07:50:28,0,80,0,80
2022-11-06T07:59:44,0,80,0,80
2022-11-06T08:09:01,0,80,0,80
2022-11-06T08:18:18,0,80,0,80
2022-11-06T08:27:36,0,80,0,80
2022-11-06T08:36:52,0,80,0,80
2022-11-06T08:46:09,0,80,0,80
2022-11-06T08:55:26,0,80,0,80
2022-11-06T09:04:42,0,80,0,80
2022-11-06T09:13:57,0,80,0,80
2022-11-06T09:23:11,0,80,0,80
2022-11-06T09:32:24,0,80,0,80
2022-11-06T09:41:39,0,80,0,80
2022-11-06T09:50:53,0,80,0,80
2022-11-06T10:00:06,0,80,0,80
2022-11-06T10:09:20,0,80,0,80
2022-11-06T10:18:33,0,80,0,80
2022-11-06T10:27:47,0,80,0,80
2022-11-06T10:37:03,0,80,0,80
2022-11-06T10:46:18,0,80,0,80
2022-11-06T10:55:33,0,80,0,80
2022-11-06T11:04:48,0,80,0,80
2022-11-06T11:14:03,0,80,0,80
2022-11-06T11:23:20,0,80,0,80
2022-11-06T11:32:42,0,80,0,80
2022-11-06T11:41:59,0,80,0,80
2022-11-06T11:51:13,0,80,0,80
2022-11-06T12:00:27,0,80,0,80
2022-11-06T12:09:41,0,80,0,80
2022-11-06T12:18:57,0,80,0,80
2022-11-06T12:28:22,0,80,0,80
2022-11-06T12:37:36,0,80,0,80
2022-11-06T12:46:51,0,80,0,80
2022-11-06T12:56:05,0,80,0,80
2022-11-06T13:05:20,0,80,0,80
2022-11-06T13:14:35,0,80,0,80
2022-11-06T13:23:51,0,80,0,80
2022-11-06T13:33:05,0,80,0,80
2022-11-06T13:42:19,0,80,0,80
2022-11-06T13:51:32,0,80,0,80
2022-11-06T14:00:47,0,80,0,80
2022-11-06T14:10:02,0,80,0,80
2022-11-06T14:19:26,0,80,0,80
2022-11-06T14:28:40,0,80,0,80
2022-11-06T14:37:53,0,80,0,80
2022-11-06T14:47:11,0,80,0,80
2022-11-06T14:56:24,0,80,0,80
2022-11-06T15:05:37,0,80,0,80
2022-11-06T15:14:51,0,80,0,80
2022-11-06T15:24:05,0,80,0,80
2022-11-06T15:33:19,0,80,0,80
2022-11-06T15:42:33,0,80,0,80
2022-11-06T15:51:46,0,80,0,80
2022-11-06T16:00:58,0,80,0,80
2022-11-06T16:10:21,0,80,0,80
2022-11-06T16:19:36,0,80,0,80
2022-11-06T16:28:52,0,80,0,80
2022-11-06T16:38:08,0,80,0,80
2022-11-06T16:47:23,0,80,0,80
2022-11-06T16:56:38,0,80,0,80
2022-11-06T17:05:53,0,80,0,80
2022-11-06T17:15:08,0,80,0,80
2022-11-06T17:24:23,0,80,0,80
2022-11-06T17:33:38,0,80,0,80
2022-11-06T17:43:03,0,80,0,80
2022-11-06T17:52:17,0,80,0,80
2022-11-06T18:01:33,0,80,0,80
2022-11-06T18:10:48,0,80,0,80
2022-11-06T18:20:03,0,80,0,80
2022-11-06T18:29:17,0,80,0,80
2022-11-06T18:38:31,0,80,0,80
2022-11-06T18:47:45,0,80,0,80
2022-11-06T18:56:59,0,80,0,80
2022-11-06T19:06:15,0,80,0,80
2022-11-06T19:15:38,0,80,0,80
2022-11-06T19:24:52,0,80,0,80
2022-11-06T19:34:08,0,80,0,80
2022-11-06T19:43:21,0,80,0,80
2022-11-06T19:52:34,0,80,0,80
2022-11-06T20:01:48,0,80,0,80
2022-11-06T20:11:03,0,80,0,80
2022-11-06T20:20:17,0,80,0,80
2022-11-06T20:29:32,0,80,0,80
2022-11-06T20:38:54,0,80,0,80
2022-11-06T20:48:09,0,80,0,80
2022-11-06T20:57:22,0,80,0,80
2022-11-06T21:06:38,0,80,0,80
2022-11-06T21:15:51,0,80,0,80
2022-11-06T21:25:03,0,80,0,80
2022-11-06T21:34:16,0,80,0,80
2022-11-06T21:43:32,0,80,0,80
2022-11-06T21:52:56,0,80,0,80
2022-11-06T22:02:12,0,80,0,80
2022-11-06T22:11:26,0,80,0,80
2022-11-06T22:20:41,0,80,0,80
2022-11-06T22:29:56,0,80,0,80
2022-11-06T22:39:11,0,80,0,80
2022-11-06T22:48:25,0,80,0,80
2022-11-06T22:57:40,0,80,0,80
2022-11-06T23:06:56,0,80,0,80
2022-11-06T23:16:21,0,80,0,80
2022-11-06T23:25:37,0,80,0,80
2022-11-06T23:34:52,0,80,0,80
2022-11-06T23:44:08,0,80,0,80
2022-11-06T23:53:23,0,80,0,80
2022-11-07T00:04:21,0,80,0,80
2022-11-07T00:13:45,0,80,0,80
2022-11-07T00:23:13,0,80,0,80
2022-11-07T00:32:30,0,80,0,80
2022-11-07T00:41:46,0,80,0,80
2022-11-07T00:51:01,0,80,0,80
2022-11-07T01:00:15,0,80,0,80
2022-11-07T01:09:34,0,80,0,80
2022-11-07T01:18:52,0,80,0,80
2022-11-07T01:28:07,0,80,0,80
2022-11-07T01:37:22,0,80,0,80
2022-11-07T01:46:48,0,80,0,80
2022-11-07T01:56:02,0,80,0,80
2022-11-07T02:05:16,0,80,0,80
2022-11-07T02:14:31,0,80,0,80
2022-11-07T02:23:46,0,80,0,80
2022-11-07T02:33:00,0,80,0,80
2022-11-07T02:42:14,0,80,0,80
2022-11-07T02:51:28,0,80,0,80
2022-11-07T03:00:43,0,80,0,80
2022-11-07T03:09:57,0,80,0,80
2022-11-07T03:19:13,0,80,0,80
2022-11-07T03:28:27,0,80,0,80
2022-11-07T03:37:44,0,80,0,80
2022-11-07T03:46:59,0,80,0,80
2022-11-07T03:56:16,0,80,0,80
2022-11-07T04:05:34,0,80,0,80
2022-11-07T04:22:43,0,80,0,80
2022-11-07T04:32:23,0,80,0,80
2022-11-07T04:41:39,0,80,0,80
2022-11-07T04:50:57,0,80,0,80
2022-11-07T05:00:11,0,80,0,80
2022-11-07T05:09:27,0,80,0,80
2022-11-07T05:18:42,0,80,0,80
2022-11-07T05:27:55,0,80,0,80
