time,enrolled,available,waitlisted,total
2022-11-05T20:11:04,0,49,0,49
2022-11-05T20:20:21,0,49,0,49
2022-11-05T20:29:38,0,49,0,49
2022-11-05T20:39:06,0,49,0,49
2022-11-05T20:48:22,0,49,0,49
2022-11-05T20:57:38,0,49,0,49
2022-11-05T21:06:53,0,49,0,49
2022-11-05T21:16:09,0,49,0,49
2022-11-05T21:25:24,0,49,0,49
2022-11-05T21:34:39,0,49,0,49
2022-11-05T21:43:56,0,49,0,49
2022-11-05T21:53:11,0,49,0,49
2022-11-05T22:02:26,0,49,0,49
2022-11-05T22:11:42,0,49,0,49
2022-11-05T22:20:57,0,49,0,49
2022-11-05T22:30:12,0,49,0,49
2022-11-05T22:39:30,0,49,0,49
2022-11-05T22:48:46,0,49,0,49
2022-11-05T22:58:01,0,49,0,49
2022-11-05T23:07:18,0,49,0,49
2022-11-05T23:16:34,0,49,0,49
2022-11-05T23:25:50,0,49,0,49
2022-11-05T23:35:08,0,49,0,49
2022-11-05T23:44:24,0,49,0,49
2022-11-05T23:53:41,0,49,0,49
2022-11-06T00:02:56,0,49,0,49
2022-11-06T00:12:22,0,49,0,49
2022-11-06T00:21:38,0,49,0,49
2022-11-06T00:30:54,0,49,0,49
2022-11-06T00:40:08,0,49,0,49
2022-11-06T00:49:25,0,49,0,49
2022-11-06T00:58:40,0,49,0,49
2022-11-06T01:07:55,0,49,0,49
2022-11-06T01:17:10,0,49,0,49
2022-11-06T01:26:26,0,49,0,49
2022-11-06T01:35:42,0,49,0,49
2022-11-06T01:44:58,0,49,0,49
2022-11-06T01:54:14,0,49,0,49
2022-11-06T01:03:30,0,49,0,49
2022-11-06T01:12:47,0,49,0,49
2022-11-06T01:22:03,0,49,0,49
2022-11-06T01:31:19,0,49,0,49
2022-11-06T01:40:34,0,49,0,49
2022-11-06T01:49:51,0,49,0,49
2022-11-06T01:59:10,0,49,0,49
2022-11-06T02:08:28,0,49,0,49
2022-11-06T02:17:47,0,49,0,49
2022-11-06T02:27:08,0,49,0,49
2022-11-06T02:36:28,0,49,0,49
2022-11-06T02:45:46,0,49,0,49
2022-11-06T02:55:06,0,49,0,49
2022-11-06T03:04:24,0,49,0,49
2022-11-06T03:13:41,0,49,0,49
2022-11-06T03:22:58,0,49,0,49
2022-11-06T03:32:16,0,49,0,49
2022-11-06T03:41:35,0,49,0,49
2022-11-06T03:50:55,0,49,0,49
2022-11-06T04:00:14,0,49,0,49
2022-11-06T04:15:32,0,49,0,49
2022-11-06T04:24:53,0,49,0,49
2022-11-06T04:34:12,0,49,0,49
2022-11-06T04:43:50,0,49,0,49
2022-11-06T04:54:15,0,49,0,49
2022-11-06T05:03:33,0,49,0,49
2022-11-06T05:12:50,0,49,0,49
2022-11-06T05:22:06,0,49,0,49
2022-11-06T05:31:24,0,49,0,49
2022-11-06T05:40:39,0,49,0,49
2022-11-06T05:49:55,0,49,0,49
2022-11-06T05:59:13,0,49,0,49
2022-11-06T06:08:32,0,49,0,49
2022-11-06T06:17:51,0,49,0,49
2022-11-06T06:27:08,0,49,0,49
2022-11-06T06:36:24,0,49,0,49
2022-11-06T06:45:40,0,49,0,49
2022-11-06T06:54:56,0,49,0,49
2022-11-06T07:04:13,0,49,0,49
2022-11-06T07:13:30,0,49,0,49
2022-11-06T07:22:47,0,49,0,49
2022-11-06T07:32:05,0,49,0,49
2022-11-06T07:41:24,0,49,0,49
2022-11-06T07:50:42,0,49,0,49
2022-11-06T07:59:59,0,49,0,49
2022-11-06T08:09:15,0,49,0,49
2022-11-06T08:18:32,0,49,0,49
2022-11-06T08:27:50,0,49,0,49
2022-11-06T08:37:06,0,49,0,49
2022-11-06T08:46:23,0,49,0,49
2022-11-06T08:55:41,0,49,0,49
2022-11-06T09:04:56,0,49,0,49
2022-11-06T09:14:11,0,49,0,49
2022-11-06T09:23:26,0,49,0,49
2022-11-06T09:32:39,0,49,0,49
2022-11-06T09:41:53,0,49,0,49
2022-11-06T09:51:07,0,49,0,49
2022-11-06T10:00:21,0,49,0,49
2022-11-06T10:09:34,0,49,0,49
2022-11-06T10:18:47,0,49,0,49
2022-11-06T10:28:01,0,49,0,49
2022-11-06T10:37:18,0,49,0,49
2022-11-06T10:46:33,0,49,0,49
2022-11-06T10:55:47,0,49,0,49
2022-11-06T11:05:02,0,49,0,49
2022-11-06T11:14:17,0,49,0,49
2022-11-06T11:23:34,0,49,0,49
2022-11-06T11:32:56,0,49,0,49
2022-11-06T11:42:13,0,49,0,49
2022-11-06T11:51:27,0,49,0,49
2022-11-06T12:00:41,0,49,0,49
2022-11-06T12:09:55,0,49,0,49
2022-11-06T12:19:11,0,49,0,49
2022-11-06T12:28:37,0,49,0,49
2022-11-06T12:37:50,0,49,0,49
2022-11-06T12:47:05,0,49,0,49
2022-11-06T12:56:19,0,49,0,49
2022-11-06T13:05:34,0,49,0,49
2022-11-06T13:14:49,0,49,0,49
2022-11-06T13:24:05,0,49,0,49
2022-11-06T13:33:19,0,49,0,49
2022-11-06T13:42:33,0,49,0,49
2022-11-06T13:51:46,0,49,0,49
2022-11-06T14:01:01,0,49,0,49
2022-11-06T14:10:17,0,49,0,49
2022-11-06T14:19:40,0,49,0,49
2022-11-06T14:28:54,0,49,0,49
2022-11-06T14:38:08,0,49,0,49
2022-11-06T14:47:25,0,49,0,49
2022-11-06T14:56:39,0,49,0,49
2022-11-06T15:05:52,0,49,0,49
2022-11-06T15:15:06,0,49,0,49
2022-11-06T15:24:19,0,49,0,49
2022-11-06T15:33:33,0,49,0,49
2022-11-06T15:42:47,0,49,0,49
2022-11-06T15:52:00,0,49,0,49
2022-11-06T16:01:13,0,49,0,49
2022-11-06T16:10:36,0,49,0,49
2022-11-06T16:19:50,0,49,0,49
2022-11-06T16:29:06,0,49,0,49
2022-11-06T16:38:23,0,49,0,49
2022-11-06T16:47:37,0,49,0,49
2022-11-06T16:56:53,0,49,0,49
2022-11-06T17:06:07,0,49,0,49
2022-11-06T17:15:22,0,49,0,49
2022-11-06T17:24:37,0,49,0,49
2022-11-06T17:33:52,0,49,0,49
2022-11-06T17:43:18,0,49,0,49
2022-11-06T17:52:31,0,49,0,49
2022-11-06T18:01:47,0,49,0,49
2022-11-06T18:11:02,0,49,0,49
2022-11-06T18:20:18,0,49,0,49
2022-11-06T18:29:32,0,49,0,49
