time,enrolled,available,waitlisted,total
2022-11-05T20:11:26,0,18,0,18
2022-11-05T20:20:43,0,18,0,18
2022-11-05T20:30:00,0,18,0,18
2022-11-05T20:39:28,0,18,0,18
2022-11-05T20:48:44,0,18,0,18
2022-11-05T20:58:00,0,18,0,18
2022-11-05T21:07:16,0,18,0,18
2022-11-05T21:16:31,0,18,0,18
2022-11-05T21:25:46,0,18,0,18
2022-11-05T21:35:02,0,18,0,18
2022-11-05T21:44:18,0,18,0,18
2022-11-05T21:53:34,0,18,0,18
2022-11-05T22:02:48,0,18,0,18
2022-11-05T22:12:04,0,18,0,18
2022-11-05T22:21:19,0,18,0,18
2022-11-05T22:30:34,0,18,0,18
2022-11-05T22:39:52,0,18,0,18
2022-11-05T22:49:08,0,18,0,18
2022-11-05T22:58:24,0,18,0,18
2022-11-05T23:07:40,0,18,0,18
2022-11-05T23:16:56,0,18,0,18
2022-11-05T23:26:12,0,18,0,18
2022-11-05T23:35:30,0,18,0,18
2022-11-05T23:44:47,0,18,0,18
2022-11-05T23:54:03,0,18,0,18
2022-11-06T00:03:18,0,18,0,18
2022-11-06T00:12:44,0,18,0,18
2022-11-06T00:22:00,0,18,0,18
2022-11-06T00:31:16,0,18,0,18
2022-11-06T00:40:31,0,18,0,18
2022-11-06T00:49:47,0,18,0,18
2022-11-06T00:59:02,0,18,0,18
2022-11-06T01:08:17,0,18,0,18
2022-11-06T01:17:32,0,18,0,18
2022-11-06T01:26:48,0,18,0,18
2022-11-06T01:36:04,0,18,0,18
2022-11-06T01:45:20,0,18,0,18
2022-11-06T01:54:36,0,18,0,18
2022-11-06T01:03:52,0,18,0,18
2022-11-06T01:13:09,0,18,0,18
2022-11-06T01:22:25,0,18,0,18
2022-11-06T01:31:41,0,18,0,18
2022-11-06T01:40:56,0,18,0,18
2022-11-06T01:50:13,0,18,0,18
2022-11-06T01:59:32,0,18,0,18
2022-11-06T02:08:51,0,18,0,18
2022-11-06T02:18:09,0,18,0,18
2022-11-06T02:27:30,0,18,0,18
2022-11-06T02:36:50,0,18,0,18
2022-11-06T02:46:09,0,18,0,18
2022-11-06T02:55:28,0,18,0,18
2022-11-06T03:04:46,0,18,0,18
2022-11-06T03:14:04,0,18,0,18
2022-11-06T03:23:20,0,18,0,18
2022-11-06T03:32:38,0,18,0,18
2022-11-06T03:41:57,0,18,0,18
2022-11-06T03:51:17,0,18,0,18
2022-11-06T04:00:37,0,18,0,18
2022-11-06T04:15:55,0,18,0,18
2022-11-06T04:25:15,0,18,0,18
2022-11-06T04:34:35,0,18,0,18
2022-11-06T04:44:32,0,18,0,18
2022-11-06T04:54:37,0,18,0,18
2022-11-06T05:03:55,0,18,0,18
2022-11-06T05:13:12,0,18,0,18
2022-11-06T05:22:29,0,18,0,18
2022-11-06T05:31:46,0,18,0,18
2022-11-06T05:41:01,0,18,0,18
2022-11-06T05:50:17,0,18,0,18
2022-11-06T05:59:35,0,18,0,18
2022-11-06T06:08:54,0,18,0,18
2022-11-06T06:18:13,0,18,0,18
2022-11-06T06:27:30,0,18,0,18
2022-11-06T06:36:47,0,18,0,18
