time,enrolled,available,waitlisted,total
2022-11-05T20:11:30,0,85,0,85
2022-11-05T20:20:48,0,85,0,85
2022-11-05T20:30:05,0,85,0,85
2022-11-05T20:39:32,0,85,0,85
2022-11-05T20:48:49,0,85,0,85
2022-11-05T20:58:04,0,85,0,85
2022-11-05T21:07:20,0,85,0,85
2022-11-05T21:16:35,0,85,0,85
2022-11-05T21:25:51,0,85,0,85
2022-11-05T21:35:06,0,85,0,85
2022-11-05T21:44:22,0,85,0,85
2022-11-05T21:53:38,0,85,0,85
2022-11-05T22:02:53,0,85,0,85
2022-11-05T22:12:08,0,85,0,85
2022-11-05T22:21:24,0,85,0,85
2022-11-05T22:30:38,0,85,0,85
2022-11-05T22:39:56,0,85,0,85
2022-11-05T22:49:12,0,85,0,85
2022-11-05T22:58:28,0,85,0,85
2022-11-05T23:07:45,0,85,0,85
2022-11-05T23:17:00,0,85,0,85
2022-11-05T23:26:17,0,85,0,85
2022-11-05T23:35:35,0,85,0,85
2022-11-05T23:44:51,0,85,0,85
2022-11-05T23:54:07,0,85,0,85
2022-11-06T00:03:22,0,85,0,85
2022-11-06T00:12:49,0,85,0,85
2022-11-06T00:22:04,0,85,0,85
2022-11-06T00:31:20,0,85,0,85
2022-11-06T00:40:36,0,85,0,85
2022-11-06T00:49:51,0,85,0,85
2022-11-06T00:59:06,0,85,0,85
2022-11-06T01:08:21,0,85,0,85
2022-11-06T01:17:36,0,85,0,85
2022-11-06T01:26:53,0,85,0,85
2022-11-06T01:36:09,0,85,0,85
2022-11-06T01:45:25,0,85,0,85
2022-11-06T01:54:40,0,85,0,85
2022-11-06T01:03:57,0,85,0,85
2022-11-06T01:13:13,0,85,0,85
2022-11-06T01:22:29,0,85,0,85
2022-11-06T01:31:45,0,85,0,85
2022-11-06T01:41:00,0,85,0,85
2022-11-06T01:50:17,0,85,0,85
2022-11-06T01:59:37,0,85,0,85
2022-11-06T02:08:55,0,85,0,85
2022-11-06T02:18:14,0,85,0,85
2022-11-06T02:27:34,0,85,0,85
2022-11-06T02:36:54,0,85,0,85
2022-11-06T02:46:13,0,85,0,85
2022-11-06T02:55:32,0,85,0,85
2022-11-06T03:04:51,0,85,0,85
2022-11-06T03:14:08,0,85,0,85
2022-11-06T03:23:24,0,85,0,85
2022-11-06T03:32:42,0,85,0,85
2022-11-06T03:42:02,0,85,0,85
2022-11-06T03:51:22,0,85,0,85
2022-11-06T04:00:41,0,85,0,85
2022-11-06T04:15:59,0,85,0,85
2022-11-06T04:25:20,0,85,0,85
2022-11-06T04:34:39,0,85,0,85
2022-11-06T04:44:36,0,85,0,85
2022-11-06T04:54:42,0,85,0,85
2022-11-06T05:03:59,0,85,0,85
2022-11-06T05:13:17,0,85,0,85
2022-11-06T05:22:33,0,85,0,85
2022-11-06T05:31:50,0,85,0,85
2022-11-06T05:41:06,0,85,0,85
2022-11-06T05:50:22,0,85,0,85
2022-11-06T05:59:40,0,85,0,85
2022-11-06T06:08:59,0,85,0,85
2022-11-06T06:18:17,0,85,0,85
2022-11-06T06:27:34,0,85,0,85
2022-11-06T06:36:51,0,85,0,85
2022-11-06T06:46:07,0,85,0,85
2022-11-06T06:55:22,0,85,0,85
2022-11-06T07:04:39,0,85,0,85
2022-11-06T07:13:57,0,85,0,85
2022-11-06T07:23:14,0,85,0,85
2022-11-06T07:32:32,0,85,0,85
2022-11-06T07:41:51,0,85,0,85
2022-11-06T07:51:09,0,85,0,85
2022-11-06T08:00:25,0,85,0,85
2022-11-06T08:09:42,0,85,0,85
2022-11-06T08:18:59,0,85,0,85
2022-11-06T08:28:17,0,85,0,85
2022-11-06T08:37:33,0,85,0,85
2022-11-06T08:46:49,0,85,0,85
2022-11-06T08:56:07,0,85,0,85
2022-11-06T09:05:23,0,85,0,85
2022-11-06T09:14:38,0,85,0,85
2022-11-06T09:23:52,0,85,0,85
2022-11-06T09:33:05,0,85,0,85
2022-11-06T09:42:19,0,85,0,85
2022-11-06T09:51:33,0,85,0,85
2022-11-06T10:00:47,0,85,0,85
2022-11-06T10:10:00,0,85,0,85
2022-11-06T10:19:14,0,85,0,85
2022-11-06T10:28:27,0,85,0,85
2022-11-06T10:37:44,0,85,0,85
2022-11-06T10:46:59,0,85,0,85
2022-11-06T10:56:14,0,85,0,85
2022-11-06T11:05:29,0,85,0,85
2022-11-06T11:14:44,0,85,0,85
2022-11-06T11:24:01,0,85,0,85
2022-11-06T11:33:23,0,85,0,85
2022-11-06T11:42:40,0,85,0,85
2022-11-06T11:51:53,0,85,0,85
2022-11-06T12:01:07,0,85,0,85
2022-11-06T12:10:22,0,85,0,85
2022-11-06T12:19:38,0,85,0,85
2022-11-06T12:29:03,0,85,0,85
2022-11-06T12:38:16,0,85,0,85
2022-11-06T12:47:32,0,85,0,85
2022-11-06T12:56:46,0,85,0,85
2022-11-06T13:06:00,0,85,0,85
2022-11-06T13:15:15,0,85,0,85
2022-11-06T13:24:32,0,85,0,85
2022-11-06T13:33:46,0,85,0,85
2022-11-06T13:42:59,0,85,0,85
2022-11-06T13:52:13,0,85,0,85
2022-11-06T14:01:28,0,85,0,85
2022-11-06T14:10:43,0,85,0,85
2022-11-06T14:20:06,0,85,0,85
2022-11-06T14:29:20,0,85,0,85
2022-11-06T14:38:35,0,85,0,85
2022-11-06T14:47:51,0,85,0,85
2022-11-06T14:57:05,0,85,0,85
2022-11-06T15:06:18,0,85,0,85
2022-11-06T15:15:32,0,85,0,85
2022-11-06T15:24:46,0,85,0,85
2022-11-06T15:33:59,0,85,0,85
2022-11-06T15:43:14,0,85,0,85
2022-11-06T15:52:27,0,85,0,85
2022-11-06T16:01:39,0,85,0,85
2022-11-06T16:11:02,0,85,0,85
2022-11-06T16:20:17,0,85,0,85
2022-11-06T16:29:33,0,85,0,85
2022-11-06T16:38:49,0,85,0,85
2022-11-06T16:48:04,0,85,0,85
2022-11-06T16:57:19,0,85,0,85
2022-11-06T17:06:34,0,85,0,85
2022-11-06T17:15:48,0,85,0,85
2022-11-06T17:25:03,0,85,0,85
2022-11-06T17:34:19,0,85,0,85
2022-11-06T17:43:44,0,85,0,85
2022-11-06T17:52:58,0,85,0,85
2022-11-06T18:02:14,0,85,0,85
2022-11-06T18:11:29,0,85,0,85
2022-11-06T18:20:44,0,85,0,85
2022-11-06T18:29:58,0,85,0,85
2022-11-06T18:39:11,0,85,0,85
2022-11-06T18:48:25,0,85,0,85
2022-11-06T18:57:40,0,85,0,85
2022-11-06T19:07:05,0,85,0,85
2022-11-06T19:16:19,0,85,0,85
2022-11-06T19:25:33,0,85,0,85
2022-11-06T19:34:48,0,85,0,85
2022-11-06T19:44:01,0,85,0,85
2022-11-06T19:53:15,0,85,0,85
2022-11-06T20:02:29,0,85,0,85
2022-11-06T20:11:43,0,85,0,85
2022-11-06T20:20:57,0,85,0,85
2022-11-06T20:30:13,0,85,0,85
2022-11-06T20:39:35,0,85,0,85
2022-11-06T20:48:50,0,85,0,85
2022-11-06T20:58:04,0,85,0,85
2022-11-06T21:07:19,0,85,0,85
2022-11-06T21:16:31,0,85,0,85
2022-11-06T21:25:44,0,85,0,85
2022-11-06T21:34:57,0,85,0,85
2022-11-06T21:44:13,0,85,0,85
2022-11-06T21:53:36,0,85,0,85
2022-11-06T22:02:53,0,85,0,85
2022-11-06T22:12:06,0,85,0,85
2022-11-06T22:21:22,0,85,0,85
2022-11-06T22:30:37,0,85,0,85
2022-11-06T22:39:52,0,85,0,85
2022-11-06T22:49:06,0,85,0,85
2022-11-06T22:58:21,0,85,0,85
2022-11-06T23:07:47,0,85,0,85
2022-11-06T23:17:02,0,85,0,85
2022-11-06T23:26:18,0,85,0,85
2022-11-06T23:35:33,0,85,0,85
2022-11-06T23:44:49,0,85,0,85
2022-11-06T23:54:04,0,85,0,85
2022-11-07T00:05:03,0,85,0,85
2022-11-07T00:14:26,0,85,0,85
2022-11-07T00:23:54,0,85,0,85
2022-11-07T00:33:12,0,85,0,85
2022-11-07T00:42:27,0,85,0,85
2022-11-07T00:51:41,0,85,0,85
2022-11-07T01:00:56,0,85,0,85
2022-11-07T01:10:16,0,85,0,85
2022-11-07T01:19:33,0,85,0,85
2022-11-07T01:28:48,0,85,0,85
2022-11-07T01:38:03,0,85,0,85
2022-11-07T01:47:28,0,85,0,85
2022-11-07T01:56:43,0,85,0,85
2022-11-07T02:05:56,0,85,0,85
2022-11-07T02:15:11,0,85,0,85
2022-11-07T02:24:27,0,85,0,85
2022-11-07T02:33:40,0,85,0,85
2022-11-07T02:42:55,0,85,0,85
2022-11-07T02:52:09,0,85,0,85
2022-11-07T03:01:24,0,85,0,85
2022-11-07T03:10:38,0,85,0,85
2022-11-07T03:19:54,0,85,0,85
2022-11-07T03:29:08,0,85,0,85
2022-11-07T03:38:25,0,85,0,85
2022-11-07T03:47:40,0,85,0,85
2022-11-07T03:56:57,0,85,0,85
2022-11-07T04:06:15,0,85,0,85
2022-11-07T04:23:24,0,85,0,85
2022-11-07T04:33:04,0,85,0,85
2022-11-07T04:42:20,0,85,0,85
2022-11-07T04:51:38,0,85,0,85
2022-11-07T05:00:52,0,85,0,85
2022-11-07T05:10:08,0,85,0,85
2022-11-07T05:19:22,0,85,0,85
2022-11-07T05:28:36,0,85,0,85
2022-11-07T05:37:49,0,85,0,85
2022-11-07T05:47:04,0,85,0,85
2022-11-07T05:56:20,0,85,0,85
2022-11-07T06:05:37,0,85,0,85
2022-11-07T06:14:54,0,85,0,85
2022-11-07T06:24:12,0,85,0,85
2022-11-07T06:33:29,0,85,0,85
2022-11-07T06:42:46,0,85,0,85
2022-11-07T06:52:02,0,85,0,85
2022-11-07T07:01:18,0,85,0,85
2022-11-07T07:10:35,0,85,0,85
2022-11-07T07:19:52,0,85,0,85
2022-11-07T07:29:10,0,85,0,85
2022-11-07T07:38:27,0,85,0,85
2022-11-07T07:47:44,0,85,0,85
2022-11-07T07:57:05,0,85,0,85
2022-11-07T08:06:24,0,85,0,85
2022-11-07T08:15:43,0,85,0,85
2022-11-07T08:25:02,0,85,0,85
2022-11-07T08:34:30,0,85,0,85
2022-11-07T08:43:48,1,84,0,85
2022-11-07T08:53:04,1,84,0,85
2022-11-07T09:02:22,1,84,0,85
2022-11-07T09:11:43,1,84,0,85
2022-11-07T09:21:04,1,84,0,85
2022-11-07T09:30:23,1,84,0,85
2022-11-07T09:39:43,1,84,0,85
2022-11-07T09:49:20,1,84,0,85
2022-11-07T09:58:38,1,84,0,85
2022-11-07T10:07:57,1,84,0,85
2022-11-07T10:17:16,1,84,0,85
2022-11-07T10:26:35,1,84,0,85
2022-11-07T10:35:56,1,84,0,85
2022-11-07T10:45:27,1,84,0,85
2022-11-07T10:54:46,1,84,0,85
2022-11-07T11:04:06,1,84,0,85
2022-11-07T11:13:27,1,84,0,85
2022-11-07T11:22:48,1,84,0,85
2022-11-07T11:32:19,1,84,0,85
2022-11-07T11:41:39,1,84,0,85
2022-11-07T11:50:57,1,84,0,85
2022-11-07T12:00:15,1,84,0,85
2022-11-07T12:09:44,1,84,0,85
2022-11-07T12:19:03,1,84,0,85
2022-11-07T12:28:24,1,84,0,85
2022-11-07T12:37:43,1,84,0,85
2022-11-07T12:47:13,1,84,0,85
2022-11-07T12:56:33,1,84,0,85
2022-11-07T13:05:54,1,84,0,85
2022-11-07T13:15:15,1,84,0,85
2022-11-07T13:24:46,1,84,0,85
2022-11-07T13:34:07,1,84,0,85
2022-11-07T13:43:29,1,84,0,85
2022-11-07T13:53:00,1,84,0,85
2022-11-07T14:02:20,1,84,0,85
2022-11-07T14:11:39,1,84,0,85
2022-11-07T14:20:59,2,83,0,85
2022-11-07T14:30:30,2,83,0,85
2022-11-07T14:39:49,2,83,0,85
2022-11-07T14:49:08,2,83,0,85
2022-11-07T14:58:26,2,83,0,85
2022-11-07T15:07:45,2,83,0,85
2022-11-07T15:17:17,2,83,0,85
2022-11-07T15:26:36,2,83,0,85
2022-11-07T15:35:54,2,83,0,85
2022-11-07T15:45:12,2,83,0,85
2022-11-07T15:54:41,3,82,0,85
2022-11-07T16:03:59,3,82,0,85
2022-11-07T16:13:17,3,82,0,85
2022-11-07T16:22:36,3,82,0,85
2022-11-07T16:32:04,3,82,0,85
2022-11-07T16:41:22,3,82,0,85
2022-11-07T16:50:41,3,82,0,85
2022-11-07T16:59:58,3,82,0,85
2022-11-07T17:09:17,3,82,0,85
2022-11-07T17:18:51,3,82,0,85
2022-11-07T17:28:09,3,82,0,85
2022-11-07T17:37:26,3,82,0,85
2022-11-07T17:46:44,4,81,0,85
