time,enrolled,available,waitlisted,total
2022-11-05T20:11:24,0,30,0,30
2022-11-05T20:20:42,0,30,0,30
2022-11-05T20:29:59,0,30,0,30
2022-11-05T20:39:26,0,30,0,30
2022-11-05T20:48:43,0,30,0,30
2022-11-05T20:57:58,0,30,0,30
2022-11-05T21:07:14,0,30,0,30
2022-11-05T21:16:29,0,30,0,30
2022-11-05T21:25:45,0,30,0,30
2022-11-05T21:35:00,0,30,0,30
2022-11-05T21:44:16,0,30,0,30
2022-11-05T21:53:32,0,30,0,30
2022-11-05T22:02:47,0,30,0,30
2022-11-05T22:12:02,0,30,0,30
2022-11-05T22:21:17,0,30,0,30
2022-11-05T22:30:32,0,30,0,30
2022-11-05T22:39:50,0,30,0,30
2022-11-05T22:49:06,0,30,0,30
2022-11-05T22:58:22,0,30,0,30
2022-11-05T23:07:38,0,30,0,30
2022-11-05T23:16:54,0,30,0,30
2022-11-05T23:26:10,0,30,0,30
2022-11-05T23:35:29,0,30,0,30
2022-11-05T23:44:45,0,30,0,30
2022-11-05T23:54:01,0,30,0,30
2022-11-06T00:03:16,0,30,0,30
2022-11-06T00:12:42,0,30,0,30
2022-11-06T00:21:58,0,30,0,30
2022-11-06T00:31:14,0,30,0,30
2022-11-06T00:40:29,0,30,0,30
2022-11-06T00:49:45,0,30,0,30
2022-11-06T00:59:00,0,30,0,30
2022-11-06T01:08:15,0,30,0,30
2022-11-06T01:17:30,0,30,0,30
2022-11-06T01:26:47,0,30,0,30
2022-11-06T01:36:03,0,30,0,30
2022-11-06T01:45:18,0,30,0,30
2022-11-06T01:54:34,0,30,0,30
2022-11-06T01:03:51,0,30,0,30
2022-11-06T01:13:07,0,30,0,30
2022-11-06T01:22:23,0,30,0,30
2022-11-06T01:31:39,0,30,0,30
2022-11-06T01:40:54,0,30,0,30
2022-11-06T01:50:11,0,30,0,30
2022-11-06T01:59:31,0,30,0,30
2022-11-06T02:08:49,0,30,0,30
2022-11-06T02:18:08,0,30,0,30
2022-11-06T02:27:28,0,30,0,30
2022-11-06T02:36:48,0,30,0,30
2022-11-06T02:46:07,0,30,0,30
2022-11-06T02:55:26,0,30,0,30
2022-11-06T03:04:45,0,30,0,30
2022-11-06T03:14:02,0,30,0,30
2022-11-06T03:23:18,0,30,0,30
2022-11-06T03:32:36,0,30,0,30
2022-11-06T03:41:56,0,30,0,30
2022-11-06T03:51:16,0,30,0,30
2022-11-06T04:00:35,0,30,0,30
2022-11-06T04:15:53,0,30,0,30
2022-11-06T04:25:14,0,30,0,30
2022-11-06T04:34:33,0,30,0,30
2022-11-06T04:44:30,0,30,0,30
2022-11-06T04:54:35,0,30,0,30
2022-11-06T05:03:53,0,30,0,30
2022-11-06T05:13:11,0,30,0,30
2022-11-06T05:22:27,0,30,0,30
2022-11-06T05:31:44,0,30,0,30
2022-11-06T05:41:00,0,30,0,30
2022-11-06T05:50:16,0,30,0,30
2022-11-06T05:59:33,0,30,0,30
2022-11-06T06:08:53,0,30,0,30
2022-11-06T06:18:11,0,30,0,30
2022-11-06T06:27:28,0,30,0,30
2022-11-06T06:36:45,0,30,0,30
2022-11-06T06:46:01,0,30,0,30
2022-11-06T06:55:16,0,30,0,30
2022-11-06T07:04:33,0,30,0,30
2022-11-06T07:13:51,0,30,0,30
2022-11-06T07:23:08,0,30,0,30
2022-11-06T07:32:26,0,30,0,30
2022-11-06T07:41:44,0,30,0,30
2022-11-06T07:51:03,0,30,0,30
2022-11-06T08:00:19,0,30,0,30
2022-11-06T08:09:36,0,30,0,30
2022-11-06T08:18:53,0,30,0,30
2022-11-06T08:28:10,0,30,0,30
2022-11-06T08:37:27,0,30,0,30
2022-11-06T08:46:43,0,30,0,30
2022-11-06T08:56:01,0,30,0,30
2022-11-06T09:05:17,0,30,0,30
2022-11-06T09:14:31,0,30,0,30
2022-11-06T09:23:46,0,30,0,30
2022-11-06T09:32:59,0,30,0,30
2022-11-06T09:42:13,0,30,0,30
2022-11-06T09:51:27,0,30,0,30
2022-11-06T10:00:41,0,30,0,30
2022-11-06T10:09:54,0,30,0,30
2022-11-06T10:19:08,0,30,0,30
2022-11-06T10:28:21,0,30,0,30
2022-11-06T10:37:38,0,30,0,30
2022-11-06T10:46:53,0,30,0,30
2022-11-06T10:56:08,0,30,0,30
2022-11-06T11:05:23,0,30,0,30
2022-11-06T11:14:38,0,30,0,30
2022-11-06T11:23:55,0,30,0,30
2022-11-06T11:33:17,0,30,0,30
2022-11-06T11:42:33,0,30,0,30
2022-11-06T11:51:47,0,30,0,30
2022-11-06T12:01:01,0,30,0,30
2022-11-06T12:10:16,0,30,0,30
2022-11-06T12:19:32,0,30,0,30
2022-11-06T12:28:57,0,30,0,30
