time,enrolled,available,waitlisted,total
2022-11-05T20:11:38,0,225,0,225
2022-11-05T20:20:56,0,225,0,225
2022-11-05T20:30:13,0,225,0,225
2022-11-05T20:39:40,0,225,0,225
2022-11-05T20:48:56,0,225,0,225
2022-11-05T20:58:12,0,225,0,225
2022-11-05T21:07:28,0,225,0,225
2022-11-05T21:16:43,0,225,0,225
2022-11-05T21:25:58,0,225,0,225
2022-11-05T21:35:14,0,225,0,225
2022-11-05T21:44:30,0,225,0,225
2022-11-05T21:53:46,0,225,0,225
2022-11-05T22:03:01,0,225,0,225
2022-11-05T22:12:16,0,225,0,225
2022-11-05T22:21:31,0,225,0,225
2022-11-05T22:30:46,0,225,0,225
2022-11-05T22:40:04,0,225,0,225
2022-11-05T22:49:20,0,225,0,225
2022-11-05T22:58:36,0,225,0,225
2022-11-05T23:07:52,0,225,0,225
2022-11-05T23:17:08,0,225,0,225
2022-11-05T23:26:25,0,225,0,225
2022-11-05T23:35:43,0,225,0,225
2022-11-05T23:44:59,0,225,0,225
2022-11-05T23:54:15,0,225,0,225
2022-11-06T00:03:30,0,225,0,225
2022-11-06T00:12:56,0,225,0,225
2022-11-06T00:22:12,0,225,0,225
2022-11-06T00:31:28,0,225,0,225
2022-11-06T00:40:43,0,225,0,225
2022-11-06T00:49:59,0,225,0,225
2022-11-06T00:59:14,0,225,0,225
2022-11-06T01:08:29,0,225,0,225
2022-11-06T01:17:44,0,225,0,225
2022-11-06T01:27:01,0,225,0,225
2022-11-06T01:36:17,0,225,0,225
2022-11-06T01:45:32,0,225,0,225
2022-11-06T01:54:48,0,225,0,225
2022-11-06T01:04:05,0,225,0,225
2022-11-06T01:13:21,0,225,0,225
2022-11-06T01:22:37,0,225,0,225
2022-11-06T01:31:53,0,225,0,225
2022-11-06T01:41:08,0,225,0,225
2022-11-06T01:50:25,0,225,0,225
2022-11-06T01:59:45,0,225,0,225
2022-11-06T02:09:03,0,225,0,225
2022-11-06T02:18:22,0,225,0,225
2022-11-06T02:27:42,0,225,0,225
2022-11-06T02:37:02,0,225,0,225
2022-11-06T02:46:21,0,225,0,225
2022-11-06T02:55:40,0,225,0,225
2022-11-06T03:04:59,0,225,0,225
2022-11-06T03:14:16,0,225,0,225
2022-11-06T03:23:32,0,225,0,225
2022-11-06T03:32:50,0,225,0,225
2022-11-06T03:42:10,0,225,0,225
2022-11-06T03:51:30,0,225,0,225
2022-11-06T04:00:49,0,225,0,225
2022-11-06T04:16:07,0,225,0,225
2022-11-06T04:25:28,0,225,0,225
2022-11-06T04:34:47,0,225,0,225
2022-11-06T04:44:54,0,225,0,225
2022-11-06T04:54:49,0,225,0,225
2022-11-06T05:04:07,0,225,0,225
2022-11-06T05:13:25,0,225,0,225
2022-11-06T05:22:41,0,225,0,225
2022-11-06T05:31:58,0,225,0,225
2022-11-06T05:41:14,0,225,0,225
2022-11-06T05:50:29,0,225,0,225
2022-11-06T05:59:47,0,225,0,225
2022-11-06T06:09:07,0,225,0,225
2022-11-06T06:18:25,0,225,0,225
2022-11-06T06:27:42,0,225,0,225
2022-11-06T06:36:59,0,225,0,225
2022-11-06T06:46:15,0,225,0,225
2022-11-06T06:55:30,0,225,0,225
2022-11-06T07:04:47,0,225,0,225
2022-11-06T07:14:05,0,225,0,225
2022-11-06T07:23:22,0,225,0,225
2022-11-06T07:32:40,0,225,0,225
2022-11-06T07:41:58,0,225,0,225
2022-11-06T07:51:17,0,225,0,225
2022-11-06T08:00:33,0,225,0,225
2022-11-06T08:09:50,0,225,0,225
2022-11-06T08:19:07,0,225,0,225
2022-11-06T08:28:24,0,225,0,225
2022-11-06T08:37:41,0,225,0,225
2022-11-06T08:46:57,0,225,0,225
2022-11-06T08:56:15,0,225,0,225
2022-11-06T09:05:31,0,225,0,225
2022-11-06T09:14:45,0,225,0,225
2022-11-06T09:24:00,0,225,0,225
2022-11-06T09:33:13,0,225,0,225
2022-11-06T09:42:27,0,225,0,225
2022-11-06T09:51:41,0,225,0,225
2022-11-06T10:00:55,0,225,0,225
2022-11-06T10:10:08,0,225,0,225
2022-11-06T10:19:22,0,225,0,225
2022-11-06T10:28:35,0,225,0,225
2022-11-06T10:37:52,0,225,0,225
2022-11-06T10:47:07,0,225,0,225
2022-11-06T10:56:22,0,225,0,225
2022-11-06T11:05:37,0,225,0,225
2022-11-06T11:14:52,0,225,0,225
2022-11-06T11:24:09,0,225,0,225
2022-11-06T11:33:31,0,225,0,225
2022-11-06T11:42:47,0,225,0,225
2022-11-06T11:52:01,0,225,0,225
2022-11-06T12:01:15,0,225,0,225
2022-11-06T12:10:30,0,225,0,225
2022-11-06T12:19:46,0,225,0,225
2022-11-06T12:29:11,0,225,0,225
2022-11-06T12:38:24,0,225,0,225
2022-11-06T12:47:40,0,225,0,225
2022-11-06T12:56:54,0,225,0,225
2022-11-06T13:06:08,0,225,0,225
2022-11-06T13:15:23,0,225,0,225
2022-11-06T13:24:39,0,225,0,225
2022-11-06T13:33:53,0,225,0,225
2022-11-06T13:43:07,0,225,0,225
2022-11-06T13:52:20,0,225,0,225
2022-11-06T14:01:36,0,225,0,225
2022-11-06T14:10:51,0,225,0,225
2022-11-06T14:20:14,0,225,0,225
2022-11-06T14:29:28,0,225,0,225
2022-11-06T14:38:42,0,225,0,225
2022-11-06T14:47:59,0,225,0,225
2022-11-06T14:57:13,0,225,0,225
2022-11-06T15:06:26,0,225,0,225
2022-11-06T15:15:40,0,225,0,225
2022-11-06T15:24:54,0,225,0,225
2022-11-06T15:34:07,0,225,0,225
2022-11-06T15:43:22,0,225,0,225
2022-11-06T15:52:34,0,225,0,225
2022-11-06T16:01:47,0,225,0,225
2022-11-06T16:11:10,0,225,0,225
2022-11-06T16:20:24,0,225,0,225
2022-11-06T16:29:41,0,225,0,225
2022-11-06T16:38:57,0,225,0,225
2022-11-06T16:48:12,0,225,0,225
2022-11-06T16:57:27,0,225,0,225
2022-11-06T17:06:41,0,225,0,225
2022-11-06T17:15:56,0,225,0,225
2022-11-06T17:25:11,0,225,0,225
2022-11-06T17:34:27,0,225,0,225
2022-11-06T17:43:52,0,225,0,225
2022-11-06T17:53:06,0,225,0,225
2022-11-06T18:02:21,0,225,0,225
2022-11-06T18:11:36,0,225,0,225
2022-11-06T18:20:52,0,225,0,225
2022-11-06T18:30:06,0,225,0,225
2022-11-06T18:39:19,0,225,0,225
2022-11-06T18:48:33,0,225,0,225
2022-11-06T18:57:48,0,225,0,225
2022-11-06T19:07:13,0,225,0,225
2022-11-06T19:16:27,0,225,0,225
2022-11-06T19:25:41,0,225,0,225
2022-11-06T19:34:56,0,225,0,225
2022-11-06T19:44:09,0,225,0,225
2022-11-06T19:53:23,0,225,0,225
2022-11-06T20:02:37,0,225,0,225
2022-11-06T20:11:51,0,225,0,225
2022-11-06T20:21:05,0,225,0,225
2022-11-06T20:30:20,0,225,0,225
2022-11-06T20:39:43,0,225,0,225
2022-11-06T20:48:58,0,225,0,225
2022-11-06T20:58:11,0,225,0,225
2022-11-06T21:07:27,0,225,0,225
2022-11-06T21:16:39,0,225,0,225
2022-11-06T21:25:52,0,225,0,225
2022-11-06T21:35:05,0,225,0,225
2022-11-06T21:44:21,0,225,0,225
2022-11-06T21:53:44,0,225,0,225
2022-11-06T22:03:00,0,225,0,225
2022-11-06T22:12:14,0,225,0,225
2022-11-06T22:21:30,0,225,0,225
2022-11-06T22:30:45,0,225,0,225
2022-11-06T22:40:00,0,225,0,225
2022-11-06T22:49:13,0,225,0,225
2022-11-06T22:58:29,0,225,0,225
2022-11-06T23:07:55,0,225,0,225
2022-11-06T23:17:09,0,225,0,225
2022-11-06T23:26:26,0,225,0,225
2022-11-06T23:35:41,0,225,0,225
2022-11-06T23:44:57,0,225,0,225
2022-11-06T23:54:12,0,225,0,225
2022-11-07T00:05:11,0,225,0,225
2022-11-07T00:14:34,0,225,0,225
2022-11-07T00:24:02,0,225,0,225
2022-11-07T00:33:19,0,225,0,225
2022-11-07T00:42:35,0,225,0,225
2022-11-07T00:51:49,0,225,0,225
2022-11-07T01:01:03,0,225,0,225
2022-11-07T01:10:24,0,225,0,225
2022-11-07T01:19:41,0,225,0,225
2022-11-07T01:28:56,0,225,0,225
2022-11-07T01:38:11,0,225,0,225
2022-11-07T01:47:36,0,225,0,225
2022-11-07T01:56:50,0,225,0,225
2022-11-07T02:06:04,0,225,0,225
2022-11-07T02:15:19,0,225,0,225
2022-11-07T02:24:35,0,225,0,225
2022-11-07T02:33:48,0,225,0,225
2022-11-07T02:43:03,0,225,0,225
2022-11-07T02:52:17,0,225,0,225
2022-11-07T03:01:32,0,225,0,225
2022-11-07T03:10:46,0,225,0,225
2022-11-07T03:20:01,0,225,0,225
2022-11-07T03:29:16,0,225,0,225
2022-11-07T03:38:32,0,225,0,225
2022-11-07T03:47:48,0,225,0,225
2022-11-07T03:57:05,0,225,0,225
2022-11-07T04:06:23,0,225,0,225
2022-11-07T04:23:32,0,225,0,225
2022-11-07T04:33:12,0,225,0,225
2022-11-07T04:42:28,0,225,0,225
2022-11-07T04:51:46,0,225,0,225
2022-11-07T05:01:00,0,225,0,225
2022-11-07T05:10:16,0,225,0,225
2022-11-07T05:19:30,0,225,0,225
2022-11-07T05:28:44,0,225,0,225
2022-11-07T05:37:57,0,225,0,225
2022-11-07T05:47:12,0,225,0,225
2022-11-07T05:56:28,0,225,0,225
2022-11-07T06:05:45,0,225,0,225
2022-11-07T06:15:02,0,225,0,225
2022-11-07T06:24:20,0,225,0,225
2022-11-07T06:33:37,0,225,0,225
2022-11-07T06:42:54,0,225,0,225
2022-11-07T06:52:10,0,225,0,225
2022-11-07T07:01:26,0,225,0,225
2022-11-07T07:10:43,0,225,0,225
2022-11-07T07:20:00,0,225,0,225
2022-11-07T07:29:18,0,225,0,225
2022-11-07T07:38:35,0,225,0,225
2022-11-07T07:47:52,0,225,0,225
2022-11-07T07:57:13,0,225,0,225
2022-11-07T08:06:32,0,225,0,225
2022-11-07T08:15:51,0,225,0,225
2022-11-07T08:25:09,0,225,0,225
2022-11-07T08:34:38,0,225,0,225
2022-11-07T08:43:56,0,225,0,225
2022-11-07T08:53:12,0,225,0,225
2022-11-07T09:02:30,0,225,0,225
2022-11-07T09:11:51,0,225,0,225
2022-11-07T09:21:12,1,224,0,225
2022-11-07T09:30:31,1,224,0,225
2022-11-07T09:39:50,1,224,0,225
2022-11-07T09:49:28,2,223,0,225
2022-11-07T09:58:46,2,223,0,225
2022-11-07T10:08:05,2,223,0,225
2022-11-07T10:17:24,2,223,0,225
2022-11-07T10:26:43,2,223,0,225
2022-11-07T10:36:03,3,222,0,225
2022-11-07T10:45:35,3,222,0,225
2022-11-07T10:54:54,3,222,0,225
2022-11-07T11:04:14,3,222,0,225
2022-11-07T11:13:35,4,221,0,225
2022-11-07T11:23:06,8,217,0,225
2022-11-07T11:32:27,11,214,0,225
2022-11-07T11:41:47,12,213,0,225
2022-11-07T11:51:05,13,212,0,225
2022-11-07T12:00:23,14,211,0,225
2022-11-07T12:09:52,14,211,0,225
2022-11-07T12:19:11,14,211,0,225
2022-11-07T12:28:32,16,209,0,225
2022-11-07T12:37:51,18,207,0,225
2022-11-07T12:47:21,21,204,0,225
2022-11-07T12:56:41,25,200,0,225
2022-11-07T13:06:02,28,197,0,225
2022-11-07T13:15:23,29,196,0,225
2022-11-07T13:24:54,31,194,0,225
2022-11-07T13:34:15,32,193,0,225
2022-11-07T13:43:37,32,193,0,225
2022-11-07T13:53:08,32,193,0,225
2022-11-07T14:02:28,32,193,0,225
2022-11-07T14:11:47,32,193,0,225
2022-11-07T14:21:07,32,193,0,225
2022-11-07T14:30:38,32,193,0,225
2022-11-07T14:39:57,32,193,0,225
2022-11-07T14:49:16,32,193,0,225
2022-11-07T14:58:34,32,193,0,225
2022-11-07T15:07:53,33,192,0,225
2022-11-07T15:17:24,33,192,0,225
2022-11-07T15:26:44,33,192,0,225
2022-11-07T15:36:02,33,192,0,225
2022-11-07T15:45:20,35,190,0,225
2022-11-07T15:54:49,35,190,0,225
2022-11-07T16:04:07,35,190,0,225
2022-11-07T16:13:25,35,190,0,225
2022-11-07T16:22:44,36,189,0,225
2022-11-07T16:32:12,36,189,0,225
2022-11-07T16:41:30,36,189,0,225
2022-11-07T16:50:49,37,188,0,225
2022-11-07T17:00:06,37,188,0,225
2022-11-07T17:09:25,37,188,0,225
2022-11-07T17:18:59,37,188,0,225
2022-11-07T17:28:16,37,188,0,225
2022-11-07T17:37:34,37,188,0,225
2022-11-07T17:46:52,37,188,0,225
2022-11-07T17:56:09,37,188,0,225
2022-11-07T18:05:41,38,187,0,225
2022-11-07T18:14:58,38,187,0,225
2022-11-07T18:24:15,38,187,0,225
2022-11-07T18:33:33,39,186,0,225
2022-11-07T18:43:00,39,186,0,225
2022-11-07T18:52:17,39,186,0,225
2022-11-07T19:01:35,39,186,0,225
2022-11-07T19:10:52,39,186,0,225
2022-11-07T19:20:19,40,185,0,225
2022-11-07T19:29:37,40,185,0,225
2022-11-07T19:38:56,40,185,0,225
2022-11-07T19:48:14,40,185,0,225
2022-11-07T19:57:32,41,184,0,225
2022-11-07T20:07:01,41,184,0,225
2022-11-07T20:16:19,42,183,0,225
2022-11-07T20:25:36,42,183,0,225
2022-11-07T20:34:53,43,182,0,225
2022-11-07T20:44:12,44,181,0,225
2022-11-07T20:53:30,44,181,0,225
2022-11-07T21:02:57,45,180,0,225
2022-11-07T21:12:14,45,180,0,225
2022-11-07T21:21:29,45,180,0,225
2022-11-07T21:30:49,45,180,0,225
2022-11-07T21:40:04,45,180,0,225
2022-11-07T21:49:19,45,180,0,225
