time,enrolled,available,waitlisted,total
2022-11-05T20:11:37,0,156,0,156
2022-11-05T20:20:55,0,156,0,156
2022-11-05T20:30:12,0,156,0,156
2022-11-05T20:39:39,0,156,0,156
2022-11-05T20:48:56,0,156,0,156
2022-11-05T20:58:11,0,156,0,156
2022-11-05T21:07:27,0,156,0,156
2022-11-05T21:16:42,0,156,0,156
2022-11-05T21:25:57,0,156,0,156
2022-11-05T21:35:13,0,156,0,156
2022-11-05T21:44:29,0,156,0,156
2022-11-05T21:53:45,0,156,0,156
2022-11-05T22:03:00,0,156,0,156
2022-11-05T22:12:15,0,156,0,156
2022-11-05T22:21:30,0,156,0,156
2022-11-05T22:30:45,0,156,0,156
2022-11-05T22:40:03,0,156,0,156
2022-11-05T22:49:19,0,156,0,156
2022-11-05T22:58:35,0,156,0,156
2022-11-05T23:07:51,0,156,0,156
2022-11-05T23:17:07,0,156,0,156
2022-11-05T23:26:24,0,156,0,156
2022-11-05T23:35:42,0,156,0,156
2022-11-05T23:44:58,0,156,0,156
2022-11-05T23:54:14,0,156,0,156
2022-11-06T00:03:29,0,156,0,156
2022-11-06T00:12:56,0,156,0,156
2022-11-06T00:22:11,0,156,0,156
2022-11-06T00:31:27,0,156,0,156
2022-11-06T00:40:42,0,156,0,156
2022-11-06T00:49:58,0,156,0,156
2022-11-06T00:59:13,0,156,0,156
2022-11-06T01:08:28,0,156,0,156
2022-11-06T01:17:43,0,156,0,156
2022-11-06T01:27:00,0,156,0,156
2022-11-06T01:36:16,0,156,0,156
2022-11-06T01:45:32,0,156,0,156
2022-11-06T01:54:47,0,156,0,156
2022-11-06T01:04:04,0,156,0,156
2022-11-06T01:13:20,0,156,0,156
2022-11-06T01:22:36,0,156,0,156
2022-11-06T01:31:52,0,156,0,156
2022-11-06T01:41:07,0,156,0,156
2022-11-06T01:50:24,0,156,0,156
2022-11-06T01:59:44,0,156,0,156
2022-11-06T02:09:02,0,156,0,156
2022-11-06T02:18:21,0,156,0,156
2022-11-06T02:27:41,0,156,0,156
2022-11-06T02:37:01,0,156,0,156
2022-11-06T02:46:20,0,156,0,156
2022-11-06T02:55:39,0,156,0,156
2022-11-06T03:04:58,0,156,0,156
2022-11-06T03:14:15,0,156,0,156
2022-11-06T03:23:31,0,156,0,156
2022-11-06T03:32:49,0,156,0,156
2022-11-06T03:42:09,0,156,0,156
2022-11-06T03:51:29,0,156,0,156
2022-11-06T04:00:48,0,156,0,156
2022-11-06T04:16:06,0,156,0,156
2022-11-06T04:25:27,0,156,0,156
2022-11-06T04:34:46,0,156,0,156
2022-11-06T04:44:53,0,156,0,156
2022-11-06T04:54:49,0,156,0,156
2022-11-06T05:04:06,0,156,0,156
2022-11-06T05:13:24,0,156,0,156
2022-11-06T05:22:40,0,156,0,156
2022-11-06T05:31:57,0,156,0,156
2022-11-06T05:41:13,0,156,0,156
2022-11-06T05:50:29,0,156,0,156
2022-11-06T05:59:47,0,156,0,156
2022-11-06T06:09:06,0,156,0,156
2022-11-06T06:18:24,0,156,0,156
2022-11-06T06:27:41,0,156,0,156
2022-11-06T06:36:58,0,156,0,156
2022-11-06T06:46:14,0,156,0,156
2022-11-06T06:55:29,0,156,0,156
2022-11-06T07:04:46,0,156,0,156
2022-11-06T07:14:04,0,156,0,156
2022-11-06T07:23:21,0,156,0,156
2022-11-06T07:32:39,0,156,0,156
2022-11-06T07:41:58,0,156,0,156
2022-11-06T07:51:16,0,156,0,156
2022-11-06T08:00:32,0,156,0,156
2022-11-06T08:09:49,0,156,0,156
2022-11-06T08:19:06,0,156,0,156
2022-11-06T08:28:23,0,156,0,156
2022-11-06T08:37:40,0,156,0,156
2022-11-06T08:46:56,0,156,0,156
2022-11-06T08:56:14,0,156,0,156
2022-11-06T09:05:30,0,156,0,156
2022-11-06T09:14:45,0,156,0,156
2022-11-06T09:23:59,0,156,0,156
2022-11-06T09:33:12,0,156,0,156
2022-11-06T09:42:26,0,156,0,156
2022-11-06T09:51:40,0,156,0,156
2022-11-06T10:00:54,0,156,0,156
2022-11-06T10:10:07,0,156,0,156
2022-11-06T10:19:21,0,156,0,156
2022-11-06T10:28:34,0,156,0,156
2022-11-06T10:37:51,0,156,0,156
2022-11-06T10:47:06,0,156,0,156
2022-11-06T10:56:21,0,156,0,156
2022-11-06T11:05:36,0,156,0,156
2022-11-06T11:14:51,0,156,0,156
2022-11-06T11:24:08,0,156,0,156
2022-11-06T11:33:30,0,156,0,156
2022-11-06T11:42:46,0,156,0,156
2022-11-06T11:52:00,0,156,0,156
2022-11-06T12:01:14,0,156,0,156
2022-11-06T12:10:29,0,156,0,156
2022-11-06T12:19:45,0,156,0,156
2022-11-06T12:29:10,0,156,0,156
2022-11-06T12:38:23,0,156,0,156
2022-11-06T12:47:39,0,156,0,156
2022-11-06T12:56:53,0,156,0,156
2022-11-06T13:06:07,0,156,0,156
2022-11-06T13:15:22,0,156,0,156
2022-11-06T13:24:38,0,156,0,156
2022-11-06T13:33:52,0,156,0,156
2022-11-06T13:43:06,0,156,0,156
2022-11-06T13:52:20,0,156,0,156
2022-11-06T14:01:35,0,156,0,156
2022-11-06T14:10:50,0,156,0,156
2022-11-06T14:20:13,0,156,0,156
2022-11-06T14:29:27,0,156,0,156
2022-11-06T14:38:41,0,156,0,156
2022-11-06T14:47:58,0,156,0,156
2022-11-06T14:57:12,0,156,0,156
2022-11-06T15:06:25,0,156,0,156
2022-11-06T15:15:39,0,156,0,156
2022-11-06T15:24:53,0,156,0,156
2022-11-06T15:34:06,0,156,0,156
2022-11-06T15:43:21,0,156,0,156
2022-11-06T15:52:33,0,156,0,156
2022-11-06T16:01:46,0,156,0,156
2022-11-06T16:11:09,0,156,0,156
2022-11-06T16:20:24,0,156,0,156
2022-11-06T16:29:40,0,156,0,156
2022-11-06T16:38:56,0,156,0,156
2022-11-06T16:48:11,0,156,0,156
2022-11-06T16:57:26,0,156,0,156
2022-11-06T17:06:41,0,156,0,156
2022-11-06T17:15:55,0,156,0,156
2022-11-06T17:25:10,0,156,0,156
2022-11-06T17:34:26,0,156,0,156
2022-11-06T17:43:51,0,156,0,156
2022-11-06T17:53:05,0,156,0,156
2022-11-06T18:02:20,0,156,0,156
2022-11-06T18:11:35,0,156,0,156
2022-11-06T18:20:51,0,156,0,156
2022-11-06T18:30:05,0,156,0,156
2022-11-06T18:39:18,0,156,0,156
2022-11-06T18:48:32,0,156,0,156
2022-11-06T18:57:47,0,156,0,156
2022-11-06T19:07:12,0,156,0,156
2022-11-06T19:16:26,0,156,0,156
2022-11-06T19:25:40,0,156,0,156
2022-11-06T19:34:55,0,156,0,156
2022-11-06T19:44:08,0,156,0,156
2022-11-06T19:53:22,0,156,0,156
2022-11-06T20:02:36,0,156,0,156
2022-11-06T20:11:50,0,156,0,156
2022-11-06T20:21:04,0,156,0,156
2022-11-06T20:30:20,0,156,0,156
2022-11-06T20:39:42,0,156,0,156
2022-11-06T20:48:57,0,156,0,156
2022-11-06T20:58:11,0,156,0,156
2022-11-06T21:07:26,0,156,0,156
2022-11-06T21:16:38,0,156,0,156
2022-11-06T21:25:51,0,156,0,156
2022-11-06T21:35:04,0,156,0,156
2022-11-06T21:44:20,0,156,0,156
2022-11-06T21:53:43,0,156,0,156
2022-11-06T22:03:00,0,156,0,156
2022-11-06T22:12:13,0,156,0,156
2022-11-06T22:21:29,0,156,0,156
2022-11-06T22:30:44,0,156,0,156
2022-11-06T22:39:59,0,156,0,156
2022-11-06T22:49:13,0,156,0,156
2022-11-06T22:58:28,0,156,0,156
2022-11-06T23:07:54,0,156,0,156
2022-11-06T23:17:09,0,156,0,156
2022-11-06T23:26:25,0,156,0,156
2022-11-06T23:35:40,0,156,0,156
2022-11-06T23:44:56,0,156,0,156
2022-11-06T23:54:11,0,156,0,156
2022-11-07T00:05:10,0,156,0,156
2022-11-07T00:14:33,0,156,0,156
2022-11-07T00:24:01,0,156,0,156
2022-11-07T00:33:19,0,156,0,156
2022-11-07T00:42:34,0,156,0,156
2022-11-07T00:51:48,0,156,0,156
2022-11-07T01:01:03,0,156,0,156
2022-11-07T01:10:23,0,156,0,156
2022-11-07T01:19:40,0,156,0,156
2022-11-07T01:28:55,0,156,0,156
2022-11-07T01:38:10,0,156,0,156
2022-11-07T01:47:35,0,156,0,156
2022-11-07T01:56:50,0,156,0,156
2022-11-07T02:06:03,0,156,0,156
2022-11-07T02:15:18,0,156,0,156
2022-11-07T02:24:34,0,156,0,156
2022-11-07T02:33:47,0,156,0,156
2022-11-07T02:43:02,0,156,0,156
2022-11-07T02:52:16,0,156,0,156
2022-11-07T03:01:31,0,156,0,156
2022-11-07T03:10:45,0,156,0,156
2022-11-07T03:20:01,0,156,0,156
2022-11-07T03:29:15,0,156,0,156
2022-11-07T03:38:32,0,156,0,156
2022-11-07T03:47:47,0,156,0,156
2022-11-07T03:57:04,0,156,0,156
2022-11-07T04:06:22,0,156,0,156
2022-11-07T04:23:31,0,156,0,156
2022-11-07T04:33:11,0,156,0,156
2022-11-07T04:42:27,0,156,0,156
2022-11-07T04:51:45,0,156,0,156
2022-11-07T05:00:59,0,156,0,156
2022-11-07T05:10:15,0,156,0,156
2022-11-07T05:19:29,0,156,0,156
2022-11-07T05:28:43,0,156,0,156
2022-11-07T05:37:56,0,156,0,156
2022-11-07T05:47:11,0,156,0,156
2022-11-07T05:56:27,0,156,0,156
2022-11-07T06:05:44,0,156,0,156
2022-11-07T06:15:01,0,156,0,156
2022-11-07T06:24:19,0,156,0,156
2022-11-07T06:33:36,0,156,0,156
2022-11-07T06:42:53,0,156,0,156
2022-11-07T06:52:09,0,156,0,156
2022-11-07T07:01:25,0,156,0,156
2022-11-07T07:10:42,0,156,0,156
2022-11-07T07:19:59,0,156,0,156
2022-11-07T07:29:17,0,156,0,156
2022-11-07T07:38:34,0,156,0,156
2022-11-07T07:47:51,0,156,0,156
2022-11-07T07:57:12,0,156,0,156
2022-11-07T08:06:31,0,156,0,156
2022-11-07T08:15:50,0,156,0,156
2022-11-07T08:25:09,0,156,0,156
2022-11-07T08:34:37,0,156,0,156
2022-11-07T08:43:55,0,156,0,156
2022-11-07T08:53:11,1,155,0,156
2022-11-07T09:02:29,1,155,0,156
2022-11-07T09:11:50,1,155,0,156
2022-11-07T09:21:11,1,155,0,156
2022-11-07T09:30:30,1,155,0,156
2022-11-07T09:39:50,1,155,0,156
2022-11-07T09:49:27,1,155,0,156
2022-11-07T09:58:45,1,155,0,156
2022-11-07T10:08:04,1,155,0,156
2022-11-07T10:17:23,1,155,0,156
2022-11-07T10:26:42,2,154,0,156
2022-11-07T10:36:03,2,154,0,156
2022-11-07T10:45:34,2,154,0,156
2022-11-07T10:54:53,2,154,0,156
2022-11-07T11:04:13,3,153,0,156
2022-11-07T11:13:34,3,153,0,156
2022-11-07T11:23:05,4,152,0,156
2022-11-07T11:32:26,5,151,0,156
2022-11-07T11:41:46,5,151,0,156
2022-11-07T11:51:04,5,151,0,156
2022-11-07T12:00:22,6,150,0,156
2022-11-07T12:09:51,7,149,0,156
2022-11-07T12:19:10,7,149,0,156
2022-11-07T12:28:31,7,149,0,156
2022-11-07T12:37:50,8,148,0,156
2022-11-07T12:47:20,9,147,0,156
2022-11-07T12:56:40,12,144,0,156
2022-11-07T13:06:01,14,142,0,156
2022-11-07T13:15:22,15,141,0,156
2022-11-07T13:24:53,16,140,0,156
2022-11-07T13:34:14,18,138,0,156
2022-11-07T13:43:36,18,138,0,156
2022-11-07T13:53:07,18,138,0,156
2022-11-07T14:02:27,21,135,0,156
2022-11-07T14:11:46,21,135,0,156
2022-11-07T14:21:06,23,133,0,156
2022-11-07T14:30:37,23,133,0,156
2022-11-07T14:39:56,22,134,0,156
2022-11-07T14:49:15,22,134,0,156
2022-11-07T14:58:33,22,134,0,156
2022-11-07T15:07:52,22,134,0,156
2022-11-07T15:17:24,22,134,0,156
2022-11-07T15:26:43,22,134,0,156
2022-11-07T15:36:01,23,133,0,156
2022-11-07T15:45:19,23,133,0,156
2022-11-07T15:54:48,23,133,0,156
2022-11-07T16:04:06,24,132,0,156
2022-11-07T16:13:24,24,132,0,156
2022-11-07T16:22:43,24,132,0,156
2022-11-07T16:32:11,24,132,0,156
2022-11-07T16:41:29,24,132,0,156
2022-11-07T16:50:48,24,132,0,156
2022-11-07T17:00:05,24,132,0,156
2022-11-07T17:09:24,24,132,0,156
2022-11-07T17:18:58,24,132,0,156
2022-11-07T17:28:15,24,132,0,156
2022-11-07T17:37:33,24,132,0,156
2022-11-07T17:46:51,24,132,0,156
2022-11-07T17:56:08,24,132,0,156
2022-11-07T18:05:40,24,132,0,156
2022-11-07T18:14:57,24,132,0,156
2022-11-07T18:24:14,25,131,0,156
2022-11-07T18:33:32,25,131,0,156
2022-11-07T18:42:59,25,131,0,156
2022-11-07T18:52:17,25,131,0,156
2022-11-07T19:01:34,25,131,0,156
2022-11-07T19:10:51,25,131,0,156
2022-11-07T19:20:18,25,131,0,156
2022-11-07T19:29:37,25,131,0,156
2022-11-07T19:38:56,26,130,0,156
2022-11-07T19:48:13,26,130,0,156
2022-11-07T19:57:31,26,130,0,156
2022-11-07T20:07:00,26,130,0,156
2022-11-07T20:16:18,26,130,0,156
2022-11-07T20:25:35,26,130,0,156
2022-11-07T20:34:53,26,130,0,156
2022-11-07T20:44:11,26,130,0,156
2022-11-07T20:53:29,26,130,0,156
2022-11-07T21:02:56,26,130,0,156
2022-11-07T21:12:13,27,129,0,156
2022-11-07T21:21:28,27,129,0,156
2022-11-07T21:30:48,27,129,0,156
2022-11-07T21:40:03,27,129,0,156
2022-11-07T21:49:19,27,129,0,156
2022-11-07T21:58:45,27,129,0,156
2022-11-07T22:08:03,27,129,0,156
2022-11-07T22:17:20,27,129,0,156
2022-11-07T22:26:36,27,129,0,156
2022-11-07T22:35:51,27,129,0,156
