time,enrolled,available,waitlisted,total
2022-11-05T20:12:02,0,9999,0,9999
2022-11-05T20:21:19,0,9999,0,9999
2022-11-05T20:30:36,0,9999,0,9999
2022-11-05T20:40:03,0,9999,0,9999
2022-11-05T20:49:19,0,9999,0,9999
2022-11-05T20:58:35,0,9999,0,9999
2022-11-05T21:07:51,0,9999,0,9999
2022-11-05T21:17:06,0,9999,0,9999
2022-11-05T21:26:21,0,9999,0,9999
2022-11-05T21:35:37,0,9999,0,9999
2022-11-05T21:44:53,0,9999,0,9999
2022-11-05T21:54:09,0,9999,0,9999
2022-11-05T22:03:24,0,9999,0,9999
2022-11-05T22:12:39,0,9999,0,9999
2022-11-05T22:21:54,0,9999,0,9999
2022-11-05T22:31:09,0,9999,0,9999
2022-11-05T22:40:27,0,9999,0,9999
2022-11-05T22:49:43,0,9999,0,9999
2022-11-05T22:58:59,0,9999,0,9999
2022-11-05T23:08:15,0,9999,0,9999
2022-11-05T23:17:31,0,9999,0,9999
2022-11-05T23:26:48,0,9999,0,9999
2022-11-05T23:36:05,0,9999,0,9999
2022-11-05T23:45:22,0,9999,0,9999
2022-11-05T23:54:38,0,9999,0,9999
2022-11-06T00:03:53,0,9999,0,9999
2022-11-06T00:13:20,0,9999,0,9999
2022-11-06T00:22:35,0,9999,0,9999
2022-11-06T00:31:51,0,9999,0,9999
2022-11-06T00:41:06,0,9999,0,9999
2022-11-06T00:50:22,0,9999,0,9999
2022-11-06T00:59:37,0,9999,0,9999
2022-11-06T01:08:52,0,9999,0,9999
2022-11-06T01:18:07,0,9999,0,9999
2022-11-06T01:27:24,0,9999,0,9999
2022-11-06T01:36:40,0,9999,0,9999
2022-11-06T01:45:55,0,9999,0,9999
2022-11-06T01:55:11,0,9999,0,9999
2022-11-06T01:04:28,0,9999,0,9999
2022-11-06T01:13:44,0,9999,0,9999
2022-11-06T01:23:00,0,9999,0,9999
2022-11-06T01:32:16,0,9999,0,9999
2022-11-06T01:41:31,0,9999,0,9999
2022-11-06T01:50:49,0,9999,0,9999
2022-11-06T02:00:08,0,9999,0,9999
2022-11-06T02:09:26,0,9999,0,9999
2022-11-06T02:18:45,0,9999,0,9999
2022-11-06T02:28:05,0,9999,0,9999
2022-11-06T02:37:25,0,9999,0,9999
2022-11-06T02:46:44,0,9999,0,9999
2022-11-06T02:56:03,0,9999,0,9999
2022-11-06T03:05:22,0,9999,0,9999
2022-11-06T03:14:39,0,9999,0,9999
2022-11-06T03:23:55,0,9999,0,9999
2022-11-06T03:33:13,0,9999,0,9999
2022-11-06T03:42:33,0,9999,0,9999
2022-11-06T03:51:53,0,9999,0,9999
2022-11-06T04:01:12,0,9999,0,9999
2022-11-06T04:16:30,0,9999,0,9999
2022-11-06T04:25:51,0,9999,0,9999
2022-11-06T04:35:10,0,9999,0,9999
2022-11-06T04:45:37,0,9999,0,9999
2022-11-06T04:55:13,0,9999,0,9999
2022-11-06T05:04:31,0,9999,0,9999
2022-11-06T05:13:48,0,9999,0,9999
2022-11-06T05:23:04,0,9999,0,9999
2022-11-06T05:32:21,0,9999,0,9999
2022-11-06T05:41:36,0,9999,0,9999
2022-11-06T05:50:53,0,9999,0,9999
