time,enrolled,available,waitlisted,total
2022-11-05T20:12:07,0,115,0,115
2022-11-05T20:21:24,0,115,0,115
2022-11-05T20:30:41,0,115,0,115
2022-11-05T20:40:08,0,115,0,115
2022-11-05T20:49:25,0,115,0,115
2022-11-05T20:58:40,0,115,0,115
2022-11-05T21:07:56,0,115,0,115
2022-11-05T21:17:11,0,115,0,115
2022-11-05T21:26:27,0,115,0,115
2022-11-05T21:35:42,0,115,0,115
2022-11-05T21:44:59,0,115,0,115
2022-11-05T21:54:14,0,115,0,115
2022-11-05T22:03:29,0,115,0,115
2022-11-05T22:12:44,0,115,0,115
2022-11-05T22:21:59,0,115,0,115
2022-11-05T22:31:15,0,115,0,115
2022-11-05T22:40:33,0,115,0,115
2022-11-05T22:49:48,0,115,0,115
2022-11-05T22:59:04,0,115,0,115
2022-11-05T23:08:21,0,115,0,115
2022-11-05T23:17:37,0,115,0,115
2022-11-05T23:26:53,0,115,0,115
2022-11-05T23:36:11,0,115,0,115
2022-11-05T23:45:27,0,115,0,115
2022-11-05T23:54:43,0,115,0,115
2022-11-06T00:03:58,0,115,0,115
2022-11-06T00:13:25,0,115,0,115
2022-11-06T00:22:40,0,115,0,115
2022-11-06T00:31:56,0,115,0,115
2022-11-06T00:41:12,0,115,0,115
2022-11-06T00:50:27,0,115,0,115
2022-11-06T00:59:42,0,115,0,115
2022-11-06T01:08:57,0,115,0,115
2022-11-06T01:18:12,0,115,0,115
2022-11-06T01:27:29,0,115,0,115
2022-11-06T01:36:45,0,115,0,115
2022-11-06T01:46:01,0,115,0,115
2022-11-06T01:55:17,0,115,0,115
2022-11-06T01:04:33,0,115,0,115
2022-11-06T01:13:50,0,115,0,115
2022-11-06T01:23:05,0,115,0,115
2022-11-06T01:32:22,0,115,0,115
2022-11-06T01:41:36,0,115,0,115
2022-11-06T01:50:54,0,115,0,115
2022-11-06T02:00:13,0,115,0,115
2022-11-06T02:09:32,0,115,0,115
2022-11-06T02:18:50,0,115,0,115
2022-11-06T02:28:11,0,115,0,115
2022-11-06T02:37:31,0,115,0,115
2022-11-06T02:46:50,0,115,0,115
2022-11-06T02:56:09,0,115,0,115
2022-11-06T03:05:27,0,115,0,115
2022-11-06T03:14:44,0,115,0,115
2022-11-06T03:24:01,0,115,0,115
2022-11-06T03:33:18,0,115,0,115
2022-11-06T03:42:38,0,115,0,115
2022-11-06T03:51:58,0,115,0,115
2022-11-06T04:01:17,0,115,0,115
2022-11-06T04:16:36,0,115,0,115
2022-11-06T04:25:56,0,115,0,115
2022-11-06T04:35:15,0,115,0,115
2022-11-06T04:45:43,0,115,0,115
2022-11-06T04:55:18,0,115,0,115
2022-11-06T05:04:36,0,115,0,115
2022-11-06T05:13:53,0,115,0,115
2022-11-06T05:23:10,0,115,0,115
2022-11-06T05:32:26,0,115,0,115
2022-11-06T05:41:42,0,115,0,115
2022-11-06T05:50:58,0,115,0,115
2022-11-06T06:00:16,0,115,0,115
2022-11-06T06:09:35,0,115,0,115
2022-11-06T06:18:54,0,115,0,115
2022-11-06T06:28:10,0,115,0,115
2022-11-06T06:37:27,0,115,0,115
2022-11-06T06:46:43,0,115,0,115
2022-11-06T06:55:59,0,115,0,115
2022-11-06T07:05:16,0,115,0,115
2022-11-06T07:14:33,0,115,0,115
