time,enrolled,available,waitlisted,total
2022-11-05T20:12:11,0,112,0,112
2022-11-05T20:21:28,0,112,0,112
2022-11-05T20:30:45,0,112,0,112
2022-11-05T20:40:12,0,112,0,112
2022-11-05T20:49:29,0,112,0,112
2022-11-05T20:58:44,0,112,0,112
2022-11-05T21:08:00,0,112,0,112
2022-11-05T21:17:15,0,112,0,112
2022-11-05T21:26:31,0,112,0,112
2022-11-05T21:35:46,0,112,0,112
2022-11-05T21:45:03,0,112,0,112
2022-11-05T21:54:18,0,112,0,112
2022-11-05T22:03:33,0,112,0,112
2022-11-05T22:12:48,0,112,0,112
2022-11-05T22:22:03,0,112,0,112
2022-11-05T22:31:19,0,112,0,112
2022-11-05T22:40:36,0,112,0,112
2022-11-05T22:49:52,0,112,0,112
2022-11-05T22:59:08,0,112,0,112
2022-11-05T23:08:25,0,112,0,112
2022-11-05T23:17:40,0,112,0,112
2022-11-05T23:26:57,0,112,0,112
2022-11-05T23:36:15,0,112,0,112
2022-11-05T23:45:31,0,112,0,112
2022-11-05T23:54:47,0,112,0,112
2022-11-06T00:04:02,0,112,0,112
2022-11-06T00:13:29,0,112,0,112
2022-11-06T00:22:44,0,112,0,112
2022-11-06T00:32:00,0,112,0,112
2022-11-06T00:41:15,0,112,0,112
2022-11-06T00:50:31,0,112,0,112
2022-11-06T00:59:46,0,112,0,112
2022-11-06T01:09:01,0,112,0,112
2022-11-06T01:18:16,0,112,0,112
2022-11-06T01:27:33,0,112,0,112
2022-11-06T01:36:49,0,112,0,112
2022-11-06T01:46:05,0,112,0,112
2022-11-06T01:55:20,0,112,0,112
2022-11-06T01:04:37,0,112,0,112
2022-11-06T01:13:54,0,112,0,112
2022-11-06T01:23:09,0,112,0,112
2022-11-06T01:32:25,0,112,0,112
2022-11-06T01:41:40,0,112,0,112
2022-11-06T01:50:58,0,112,0,112
2022-11-06T02:00:17,0,112,0,112
2022-11-06T02:09:35,0,112,0,112
2022-11-06T02:18:54,0,112,0,112
2022-11-06T02:28:15,0,112,0,112
2022-11-06T02:37:35,0,112,0,112
2022-11-06T02:46:54,0,112,0,112
2022-11-06T02:56:12,0,112,0,112
2022-11-06T03:05:31,0,112,0,112
2022-11-06T03:14:48,0,112,0,112
2022-11-06T03:24:05,0,112,0,112
2022-11-06T03:33:22,0,112,0,112
2022-11-06T03:42:42,0,112,0,112
2022-11-06T03:52:02,0,112,0,112
2022-11-06T04:01:21,0,112,0,112
2022-11-06T04:16:40,0,112,0,112
2022-11-06T04:26:00,0,112,0,112
2022-11-06T04:35:19,0,112,0,112
2022-11-06T04:45:47,0,112,0,112
2022-11-06T04:55:22,0,112,0,112
2022-11-06T05:04:40,0,112,0,112
2022-11-06T05:13:57,0,112,0,112
2022-11-06T05:23:13,0,112,0,112
2022-11-06T05:32:30,0,112,0,112
2022-11-06T05:41:45,0,112,0,112
2022-11-06T05:51:02,0,112,0,112
2022-11-06T06:00:20,0,112,0,112
2022-11-06T06:09:39,0,112,0,112
2022-11-06T06:18:58,0,112,0,112
2022-11-06T06:28:15,0,112,0,112
2022-11-06T06:37:31,0,112,0,112
2022-11-06T06:46:47,0,112,0,112
2022-11-06T06:56:02,0,112,0,112
2022-11-06T07:05:20,0,112,0,112
2022-11-06T07:14:37,0,112,0,112
2022-11-06T07:23:54,0,112,0,112
2022-11-06T07:33:12,0,112,0,112
2022-11-06T07:42:31,0,112,0,112
2022-11-06T07:51:49,0,112,0,112
2022-11-06T08:01:05,0,112,0,112
2022-11-06T08:10:22,0,112,0,112
2022-11-06T08:19:39,0,112,0,112
2022-11-06T08:28:57,0,112,0,112
2022-11-06T08:38:13,0,112,0,112
2022-11-06T08:47:29,0,112,0,112
2022-11-06T08:56:47,0,112,0,112
2022-11-06T09:06:03,0,112,0,112
2022-11-06T09:15:18,0,112,0,112
2022-11-06T09:24:32,0,112,0,112
2022-11-06T09:33:45,0,112,0,112
2022-11-06T09:42:59,0,112,0,112
2022-11-06T09:52:13,0,112,0,112
2022-11-06T10:01:27,0,112,0,112
2022-11-06T10:10:40,0,112,0,112
2022-11-06T10:19:54,0,112,0,112
2022-11-06T10:29:07,0,112,0,112
2022-11-06T10:38:24,0,112,0,112
2022-11-06T10:47:39,0,112,0,112
2022-11-06T10:56:54,0,112,0,112
2022-11-06T11:06:09,0,112,0,112
2022-11-06T11:15:24,0,112,0,112
2022-11-06T11:24:41,0,112,0,112
2022-11-06T11:34:04,0,112,0,112
2022-11-06T11:43:19,0,112,0,112
2022-11-06T11:52:33,0,112,0,112
2022-11-06T12:01:47,0,112,0,112
2022-11-06T12:11:03,0,112,0,112
2022-11-06T12:20:28,0,112,0,112
2022-11-06T12:29:43,0,112,0,112
2022-11-06T12:38:56,0,112,0,112
2022-11-06T12:48:12,0,112,0,112
2022-11-06T12:57:26,0,112,0,112
2022-11-06T13:06:40,0,112,0,112
2022-11-06T13:15:56,0,112,0,112
2022-11-06T13:25:12,0,112,0,112
2022-11-06T13:34:25,0,112,0,112
2022-11-06T13:43:39,0,112,0,112
2022-11-06T13:52:52,0,112,0,112
2022-11-06T14:02:08,0,112,0,112
2022-11-06T14:11:23,0,112,0,112
2022-11-06T14:20:46,0,112,0,112
2022-11-06T14:30:00,0,112,0,112
2022-11-06T14:39:15,0,112,0,112
2022-11-06T14:48:31,0,112,0,112
2022-11-06T14:57:45,0,112,0,112
2022-11-06T15:06:58,0,112,0,112
2022-11-06T15:16:12,0,112,0,112
2022-11-06T15:25:26,0,112,0,112
2022-11-06T15:34:39,0,112,0,112
2022-11-06T15:43:54,0,112,0,112
2022-11-06T15:53:06,0,112,0,112
2022-11-06T16:02:19,0,112,0,112
2022-11-06T16:11:42,0,112,0,112
2022-11-06T16:20:57,0,112,0,112
2022-11-06T16:30:13,0,112,0,112
2022-11-06T16:39:29,0,112,0,112
2022-11-06T16:48:44,0,112,0,112
2022-11-06T16:57:59,0,112,0,112
2022-11-06T17:07:14,0,112,0,112
2022-11-06T17:16:28,0,112,0,112
2022-11-06T17:25:43,0,112,0,112
2022-11-06T17:34:59,0,112,0,112
2022-11-06T17:44:24,0,112,0,112
2022-11-06T17:53:38,0,112,0,112
