time,enrolled,available,waitlisted,total
2022-11-05T20:12:23,0,266,0,266
2022-11-05T20:21:41,0,266,0,266
2022-11-05T20:30:57,0,266,0,266
2022-11-05T20:40:25,0,266,0,266
2022-11-05T20:49:41,0,266,0,266
2022-11-05T20:58:57,0,266,0,266
2022-11-05T21:08:12,0,266,0,266
2022-11-05T21:17:28,0,266,0,266
2022-11-05T21:26:43,0,266,0,266
2022-11-05T21:35:59,0,266,0,266
2022-11-05T21:45:15,0,266,0,266
2022-11-05T21:54:30,0,266,0,266
2022-11-05T22:03:45,0,266,0,266
2022-11-05T22:13:01,0,266,0,266
2022-11-05T22:22:16,0,266,0,266
2022-11-05T22:31:31,0,266,0,266
2022-11-05T22:40:49,0,266,0,266
2022-11-05T22:50:05,0,266,0,266
2022-11-05T22:59:21,0,266,0,266
2022-11-05T23:08:37,0,266,0,266
2022-11-05T23:17:53,0,266,0,266
2022-11-05T23:27:10,0,266,0,266
2022-11-05T23:36:27,0,266,0,266
2022-11-05T23:45:43,0,266,0,266
2022-11-05T23:55:00,0,266,0,266
2022-11-06T00:04:24,0,266,0,266
2022-11-06T00:13:41,0,266,0,266
2022-11-06T00:22:57,0,266,0,266
2022-11-06T00:32:12,0,266,0,266
2022-11-06T00:41:28,0,266,0,266
2022-11-06T00:50:44,0,266,0,266
2022-11-06T00:59:59,0,266,0,266
2022-11-06T01:09:14,0,266,0,266
2022-11-06T01:18:29,0,266,0,266
2022-11-06T01:27:46,0,266,0,266
2022-11-06T01:37:02,0,266,0,266
2022-11-06T01:46:17,0,266,0,266
2022-11-06T01:55:33,0,266,0,266
2022-11-06T01:04:50,0,266,0,266
2022-11-06T01:14:06,0,266,0,266
2022-11-06T01:23:22,0,266,0,266
2022-11-06T01:32:38,0,266,0,266
2022-11-06T01:41:53,0,266,0,266
2022-11-06T01:51:11,0,266,0,266
2022-11-06T02:00:30,0,266,0,266
2022-11-06T02:09:48,0,266,0,266
2022-11-06T02:19:07,0,266,0,266
2022-11-06T02:28:27,0,266,0,266
2022-11-06T02:37:47,0,266,0,266
2022-11-06T02:47:06,0,266,0,266
2022-11-06T02:56:25,0,266,0,266
2022-11-06T03:05:44,0,266,0,266
2022-11-06T03:15:01,0,266,0,266
2022-11-06T03:24:17,0,266,0,266
2022-11-06T03:33:35,0,266,0,266
2022-11-06T03:42:55,0,266,0,266
2022-11-06T03:52:15,0,266,0,266
2022-11-06T04:01:34,0,266,0,266
2022-11-06T04:16:52,0,266,0,266
2022-11-06T04:26:13,0,266,0,266
2022-11-06T04:35:32,0,266,0,266
2022-11-06T04:45:59,0,266,0,266
2022-11-06T04:55:35,0,266,0,266
2022-11-06T05:04:52,0,266,0,266
2022-11-06T05:14:09,0,266,0,266
