time,enrolled,available,waitlisted,total
2022-11-05T20:12:24,0,260,0,260
2022-11-05T20:21:41,0,260,0,260
2022-11-05T20:30:58,0,260,0,260
2022-11-05T20:40:26,0,260,0,260
2022-11-05T20:49:42,0,260,0,260
2022-11-05T20:58:58,0,260,0,260
2022-11-05T21:08:13,0,260,0,260
2022-11-05T21:17:28,0,260,0,260
2022-11-05T21:26:44,0,260,0,260
2022-11-05T21:35:59,0,260,0,260
2022-11-05T21:45:16,0,260,0,260
2022-11-05T21:54:31,0,260,0,260
2022-11-05T22:03:46,0,260,0,260
2022-11-05T22:13:02,0,260,0,260
2022-11-05T22:22:17,0,260,0,260
2022-11-05T22:31:32,0,260,0,260
2022-11-05T22:40:50,0,260,0,260
2022-11-05T22:50:06,0,260,0,260
2022-11-05T22:59:21,0,260,0,260
2022-11-05T23:08:38,0,260,0,260
2022-11-05T23:17:54,0,260,0,260
2022-11-05T23:27:10,0,260,0,260
2022-11-05T23:36:28,0,260,0,260
2022-11-05T23:45:44,0,260,0,260
2022-11-05T23:55:01,0,260,0,260
2022-11-06T00:04:25,0,260,0,260
2022-11-06T00:13:42,0,260,0,260
2022-11-06T00:22:58,0,260,0,260
2022-11-06T00:32:13,0,260,0,260
2022-11-06T00:41:29,0,260,0,260
2022-11-06T00:50:44,0,260,0,260
2022-11-06T00:59:59,0,260,0,260
2022-11-06T01:09:15,0,260,0,260
2022-11-06T01:18:30,0,260,0,260
2022-11-06T01:27:46,0,260,0,260
2022-11-06T01:37:03,0,260,0,260
2022-11-06T01:46:18,0,260,0,260
2022-11-06T01:55:34,0,260,0,260
2022-11-06T01:04:50,0,260,0,260
2022-11-06T01:14:07,0,260,0,260
2022-11-06T01:23:22,0,260,0,260
2022-11-06T01:32:39,0,260,0,260
2022-11-06T01:41:54,0,260,0,260
2022-11-06T01:51:11,0,260,0,260
2022-11-06T02:00:31,0,260,0,260
2022-11-06T02:09:49,0,260,0,260
2022-11-06T02:19:08,0,260,0,260
2022-11-06T02:28:28,0,260,0,260
2022-11-06T02:37:48,0,260,0,260
2022-11-06T02:47:07,0,260,0,260
2022-11-06T02:56:26,0,260,0,260
2022-11-06T03:05:45,0,260,0,260
2022-11-06T03:15:02,0,260,0,260
2022-11-06T03:24:18,0,260,0,260
2022-11-06T03:33:36,0,260,0,260
2022-11-06T03:42:56,0,260,0,260
2022-11-06T03:52:16,0,260,0,260
2022-11-06T04:01:35,0,260,0,260
2022-11-06T04:16:53,0,260,0,260
2022-11-06T04:26:14,0,260,0,260
2022-11-06T04:35:33,0,260,0,260
2022-11-06T04:46:00,0,260,0,260
2022-11-06T04:55:35,0,260,0,260
2022-11-06T05:04:53,0,260,0,260
2022-11-06T05:14:10,0,260,0,260
2022-11-06T05:23:27,0,260,0,260
2022-11-06T05:32:44,0,260,0,260
2022-11-06T05:41:59,0,260,0,260
2022-11-06T05:51:15,0,260,0,260
2022-11-06T06:00:34,0,260,0,260
2022-11-06T06:09:53,0,260,0,260
2022-11-06T06:19:11,0,260,0,260
2022-11-06T06:28:28,0,260,0,260
2022-11-06T06:37:44,0,260,0,260
2022-11-06T06:47:01,0,260,0,260
2022-11-06T06:56:16,0,260,0,260
2022-11-06T07:05:33,0,260,0,260
2022-11-06T07:14:50,0,260,0,260
2022-11-06T07:24:08,0,260,0,260
2022-11-06T07:33:26,0,260,0,260
