time,enrolled,available,waitlisted,total
2022-11-05T20:12:25,0,250,0,250
2022-11-05T20:21:42,0,250,0,250
2022-11-05T20:30:59,0,250,0,250
2022-11-05T20:40:26,0,250,0,250
2022-11-05T20:49:43,0,250,0,250
2022-11-05T20:58:58,0,250,0,250
2022-11-05T21:08:14,0,250,0,250
2022-11-05T21:17:29,0,250,0,250
2022-11-05T21:26:44,0,250,0,250
2022-11-05T21:36:00,0,250,0,250
2022-11-05T21:45:16,0,250,0,250
2022-11-05T21:54:32,0,250,0,250
2022-11-05T22:03:47,0,250,0,250
2022-11-05T22:13:02,0,250,0,250
2022-11-05T22:22:17,0,250,0,250
2022-11-05T22:31:33,0,250,0,250
2022-11-05T22:40:50,0,250,0,250
2022-11-05T22:50:06,0,250,0,250
2022-11-05T22:59:22,0,250,0,250
2022-11-05T23:08:38,0,250,0,250
2022-11-05T23:17:55,0,250,0,250
2022-11-05T23:27:11,0,250,0,250
2022-11-05T23:36:29,0,250,0,250
2022-11-05T23:45:45,0,250,0,250
2022-11-05T23:55:01,0,250,0,250
2022-11-06T00:04:26,0,250,0,250
2022-11-06T00:13:43,0,250,0,250
2022-11-06T00:22:58,0,250,0,250
2022-11-06T00:32:14,0,250,0,250
2022-11-06T00:41:29,0,250,0,250
2022-11-06T00:50:45,0,250,0,250
2022-11-06T01:00:00,0,250,0,250
2022-11-06T01:09:15,0,250,0,250
2022-11-06T01:18:30,0,250,0,250
2022-11-06T01:27:47,0,250,0,250
2022-11-06T01:37:03,0,250,0,250
2022-11-06T01:46:18,0,250,0,250
2022-11-06T01:55:34,0,250,0,250
2022-11-06T01:04:51,0,250,0,250
2022-11-06T01:14:07,0,250,0,250
2022-11-06T01:23:23,0,250,0,250
2022-11-06T01:32:39,0,250,0,250
2022-11-06T01:41:54,0,250,0,250
2022-11-06T01:51:12,0,250,0,250
2022-11-06T02:00:31,0,250,0,250
2022-11-06T02:09:50,0,250,0,250
2022-11-06T02:19:08,0,250,0,250
2022-11-06T02:28:29,0,250,0,250
2022-11-06T02:37:49,0,250,0,250
2022-11-06T02:47:08,0,250,0,250
2022-11-06T02:56:26,0,250,0,250
2022-11-06T03:05:45,0,250,0,250
2022-11-06T03:15:02,0,250,0,250
2022-11-06T03:24:19,0,250,0,250
2022-11-06T03:33:36,0,250,0,250
