time,enrolled,available,waitlisted,total
2022-11-05T20:12:34,0,60,0,60
2022-11-05T20:21:51,0,60,0,60
2022-11-05T20:31:08,0,60,0,60
2022-11-05T20:40:36,0,60,0,60
2022-11-05T20:49:52,0,60,0,60
2022-11-05T20:59:08,0,60,0,60
2022-11-05T21:08:23,0,60,0,60
2022-11-05T21:17:38,0,60,0,60
2022-11-05T21:26:54,0,60,0,60
2022-11-05T21:36:09,0,60,0,60
2022-11-05T21:45:26,0,60,0,60
2022-11-05T21:54:41,0,60,0,60
2022-11-05T22:03:56,0,60,0,60
2022-11-05T22:13:12,0,60,0,60
2022-11-05T22:22:27,0,60,0,60
2022-11-05T22:31:42,0,60,0,60
2022-11-05T22:41:00,0,60,0,60
2022-11-05T22:50:16,0,60,0,60
2022-11-05T22:59:31,0,60,0,60
2022-11-05T23:08:48,0,60,0,60
2022-11-05T23:18:04,0,60,0,60
2022-11-05T23:27:20,0,60,0,60
2022-11-05T23:36:38,0,60,0,60
2022-11-05T23:45:54,0,60,0,60
2022-11-05T23:55:11,0,60,0,60
2022-11-06T00:04:35,0,60,0,60
2022-11-06T00:13:52,0,60,0,60
2022-11-06T00:23:08,0,60,0,60
2022-11-06T00:32:23,0,60,0,60
2022-11-06T00:41:39,0,60,0,60
2022-11-06T00:50:54,0,60,0,60
2022-11-06T01:00:10,0,60,0,60
2022-11-06T01:09:25,0,60,0,60
2022-11-06T01:18:40,0,60,0,60
2022-11-06T01:27:56,0,60,0,60
2022-11-06T01:37:13,0,60,0,60
2022-11-06T01:46:28,0,60,0,60
2022-11-06T01:55:44,0,60,0,60
2022-11-06T01:05:00,0,60,0,60
2022-11-06T01:14:17,0,60,0,60
2022-11-06T01:23:32,0,60,0,60
2022-11-06T01:32:49,0,60,0,60
2022-11-06T01:42:03,0,60,0,60
2022-11-06T01:51:22,0,60,0,60
2022-11-06T02:00:41,0,60,0,60
2022-11-06T02:09:59,0,60,0,60
2022-11-06T02:19:18,0,60,0,60
2022-11-06T02:28:38,0,60,0,60
2022-11-06T02:37:58,0,60,0,60
2022-11-06T02:47:17,0,60,0,60
2022-11-06T02:56:36,0,60,0,60
2022-11-06T03:05:55,0,60,0,60
2022-11-06T03:15:11,0,60,0,60
2022-11-06T03:24:28,0,60,0,60
2022-11-06T03:33:46,0,60,0,60
2022-11-06T03:43:06,0,60,0,60
2022-11-06T03:52:26,0,60,0,60
2022-11-06T04:01:45,0,60,0,60
2022-11-06T04:17:03,0,60,0,60
2022-11-06T04:26:24,0,60,0,60
2022-11-06T04:35:43,0,60,0,60
2022-11-06T04:46:10,0,60,0,60
2022-11-06T04:55:45,0,60,0,60
2022-11-06T05:05:03,0,60,0,60
2022-11-06T05:14:20,0,60,0,60
2022-11-06T05:23:37,0,60,0,60
2022-11-06T05:32:54,0,60,0,60
2022-11-06T05:42:09,0,60,0,60
2022-11-06T05:51:26,0,60,0,60
2022-11-06T06:00:44,0,60,0,60
2022-11-06T06:10:03,0,60,0,60
2022-11-06T06:19:21,0,60,0,60
2022-11-06T06:28:38,0,60,0,60
2022-11-06T06:37:54,0,60,0,60
2022-11-06T06:47:11,0,60,0,60
2022-11-06T06:56:26,0,60,0,60
2022-11-06T07:05:43,0,60,0,60
2022-11-06T07:15:00,0,60,0,60
2022-11-06T07:24:18,0,60,0,60
2022-11-06T07:33:36,0,60,0,60
2022-11-06T07:42:54,0,60,0,60
2022-11-06T07:52:13,0,60,0,60
2022-11-06T08:01:29,0,60,0,60
2022-11-06T08:10:46,0,60,0,60
2022-11-06T08:20:03,0,60,0,60
2022-11-06T08:29:20,0,60,0,60
2022-11-06T08:38:37,0,60,0,60
2022-11-06T08:47:53,0,60,0,60
2022-11-06T08:57:11,0,60,0,60
2022-11-06T09:06:26,0,60,0,60
2022-11-06T09:15:41,0,60,0,60
2022-11-06T09:24:55,0,60,0,60
2022-11-06T09:34:08,0,60,0,60
2022-11-06T09:43:23,0,60,0,60
2022-11-06T09:52:37,0,60,0,60
2022-11-06T10:01:50,0,60,0,60
2022-11-06T10:11:04,0,60,0,60
2022-11-06T10:20:17,0,60,0,60
2022-11-06T10:29:31,0,60,0,60
2022-11-06T10:38:48,0,60,0,60
2022-11-06T10:48:03,0,60,0,60
2022-11-06T10:57:17,0,60,0,60
2022-11-06T11:06:32,0,60,0,60
2022-11-06T11:15:47,0,60,0,60
2022-11-06T11:25:05,0,60,0,60
2022-11-06T11:34:27,0,60,0,60
2022-11-06T11:43:43,0,60,0,60
2022-11-06T11:52:57,0,60,0,60
2022-11-06T12:02:11,0,60,0,60
2022-11-06T12:11:27,0,60,0,60
2022-11-06T12:20:52,0,60,0,60
2022-11-06T12:30:06,0,60,0,60
2022-11-06T12:39:20,0,60,0,60
2022-11-06T12:48:35,0,60,0,60
2022-11-06T12:57:49,0,60,0,60
2022-11-06T13:07:04,0,60,0,60
2022-11-06T13:16:19,0,60,0,60
2022-11-06T13:25:35,0,60,0,60
2022-11-06T13:34:49,0,60,0,60
2022-11-06T13:44:03,0,60,0,60
2022-11-06T13:53:16,0,60,0,60
2022-11-06T14:02:31,0,60,0,60
2022-11-06T14:11:47,0,60,0,60
2022-11-06T14:21:09,0,60,0,60
2022-11-06T14:30:23,0,60,0,60
2022-11-06T14:39:38,0,60,0,60
2022-11-06T14:48:55,0,60,0,60
2022-11-06T14:58:08,0,60,0,60
2022-11-06T15:07:22,0,60,0,60
2022-11-06T15:16:35,0,60,0,60
2022-11-06T15:25:50,0,60,0,60
2022-11-06T15:35:02,0,60,0,60
2022-11-06T15:44:18,0,60,0,60
2022-11-06T15:53:30,0,60,0,60
2022-11-06T16:02:42,0,60,0,60
2022-11-06T16:12:06,0,60,0,60
2022-11-06T16:21:20,0,60,0,60
2022-11-06T16:30:37,0,60,0,60
2022-11-06T16:39:52,0,60,0,60
2022-11-06T16:49:08,0,60,0,60
2022-11-06T16:58:23,0,60,0,60
2022-11-06T17:07:37,0,60,0,60
2022-11-06T17:16:51,0,60,0,60
2022-11-06T17:26:07,0,60,0,60
2022-11-06T17:35:22,0,60,0,60
2022-11-06T17:44:47,0,60,0,60
2022-11-06T17:54:01,0,60,0,60
2022-11-06T18:03:17,0,60,0,60
2022-11-06T18:12:32,0,60,0,60
2022-11-06T18:21:47,0,60,0,60
2022-11-06T18:31:01,0,60,0,60
2022-11-06T18:40:15,0,60,0,60
2022-11-06T18:49:29,0,60,0,60
2022-11-06T18:58:44,0,60,0,60
2022-11-06T19:08:08,0,60,0,60
2022-11-06T19:17:22,0,60,0,60
2022-11-06T19:26:37,0,60,0,60
2022-11-06T19:35:52,0,60,0,60
2022-11-06T19:45:04,0,60,0,60
2022-11-06T19:54:19,0,60,0,60
2022-11-06T20:03:32,0,60,0,60
2022-11-06T20:12:47,0,60,0,60
2022-11-06T20:22:01,0,60,0,60
2022-11-06T20:31:16,0,60,0,60
2022-11-06T20:40:38,0,60,0,60
2022-11-06T20:49:53,0,60,0,60
2022-11-06T20:59:07,0,60,0,60
2022-11-06T21:08:22,0,60,0,60
2022-11-06T21:17:34,0,60,0,60
2022-11-06T21:26:47,0,60,0,60
2022-11-06T21:36:00,0,60,0,60
2022-11-06T21:45:16,0,60,0,60
2022-11-06T21:54:40,0,60,0,60
2022-11-06T22:03:56,0,60,0,60
2022-11-06T22:13:10,0,60,0,60
2022-11-06T22:22:26,0,60,0,60
2022-11-06T22:31:41,0,60,0,60
2022-11-06T22:40:55,0,60,0,60
2022-11-06T22:50:09,0,60,0,60
2022-11-06T22:59:25,0,60,0,60
2022-11-06T23:08:50,0,60,0,60
2022-11-06T23:18:05,0,60,0,60
2022-11-06T23:27:21,0,60,0,60
2022-11-06T23:36:37,0,60,0,60
2022-11-06T23:45:53,0,60,0,60
2022-11-06T23:55:08,0,60,0,60
2022-11-07T00:06:07,0,60,0,60
2022-11-07T00:15:30,0,60,0,60
2022-11-07T00:24:58,0,60,0,60
2022-11-07T00:34:16,0,60,0,60
2022-11-07T00:43:30,0,60,0,60
2022-11-07T00:52:45,0,60,0,60
2022-11-07T01:01:59,0,60,0,60
2022-11-07T01:11:20,0,60,0,60
2022-11-07T01:20:36,0,60,0,60
2022-11-07T01:29:51,0,60,0,60
2022-11-07T01:39:07,0,60,0,60
2022-11-07T01:48:32,0,60,0,60
2022-11-07T01:57:46,0,60,0,60
2022-11-07T02:07:00,0,60,0,60
2022-11-07T02:16:15,0,60,0,60
2022-11-07T02:25:30,0,60,0,60
2022-11-07T02:34:44,0,60,0,60
2022-11-07T02:43:58,0,60,0,60
2022-11-07T02:53:13,0,60,0,60
2022-11-07T03:02:27,0,60,0,60
2022-11-07T03:11:41,0,60,0,60
2022-11-07T03:20:57,0,60,0,60
2022-11-07T03:30:12,0,60,0,60
2022-11-07T03:39:28,0,60,0,60
2022-11-07T03:48:44,0,60,0,60
2022-11-07T03:58:01,0,60,0,60
2022-11-07T04:07:19,0,60,0,60
2022-11-07T04:24:28,0,60,0,60
2022-11-07T04:34:07,0,60,0,60
2022-11-07T04:43:24,0,60,0,60
2022-11-07T04:52:41,0,60,0,60
2022-11-07T05:01:56,0,60,0,60
2022-11-07T05:11:11,0,60,0,60
2022-11-07T05:20:26,0,60,0,60
2022-11-07T05:29:39,0,60,0,60
2022-11-07T05:38:53,0,60,0,60
2022-11-07T05:48:08,0,60,0,60
2022-11-07T05:57:24,0,60,0,60
2022-11-07T06:06:41,0,60,0,60
2022-11-07T06:15:58,0,60,0,60
2022-11-07T06:25:15,0,60,0,60
2022-11-07T06:34:33,0,60,0,60
2022-11-07T06:43:50,0,60,0,60
2022-11-07T06:53:05,0,60,0,60
2022-11-07T07:02:22,0,60,0,60
2022-11-07T07:11:39,0,60,0,60
2022-11-07T07:20:56,0,60,0,60
2022-11-07T07:30:13,0,60,0,60
2022-11-07T07:39:30,0,60,0,60
2022-11-07T07:48:49,0,60,0,60
2022-11-07T07:58:09,0,60,0,60
2022-11-07T08:07:28,0,60,0,60
2022-11-07T08:16:47,0,60,0,60
2022-11-07T08:26:05,0,60,0,60
2022-11-07T08:35:33,0,60,0,60
2022-11-07T08:44:51,0,60,0,60
2022-11-07T08:54:08,0,60,0,60
2022-11-07T09:03:26,0,60,0,60
2022-11-07T09:12:47,1,59,0,60
2022-11-07T09:22:08,1,59,0,60
2022-11-07T09:31:27,1,59,0,60
2022-11-07T09:40:46,1,59,0,60
2022-11-07T09:50:24,1,59,0,60
2022-11-07T09:59:42,1,59,0,60
2022-11-07T10:09:01,1,59,0,60
2022-11-07T10:18:20,1,59,0,60
2022-11-07T10:27:39,1,59,0,60
2022-11-07T10:36:59,1,59,0,60
2022-11-07T10:46:31,2,58,0,60
2022-11-07T10:55:50,2,58,0,60
2022-11-07T11:05:10,2,58,0,60
2022-11-07T11:14:32,2,58,0,60
2022-11-07T11:24:02,2,58,0,60
2022-11-07T11:33:23,3,57,0,60
2022-11-07T11:42:43,3,57,0,60
2022-11-07T11:52:01,3,57,0,60
2022-11-07T12:01:19,3,57,0,60
2022-11-07T12:10:48,3,57,0,60
2022-11-07T12:20:08,3,57,0,60
2022-11-07T12:29:27,3,57,0,60
2022-11-07T12:38:47,3,57,0,60
2022-11-07T12:48:17,3,57,0,60
2022-11-07T12:57:37,3,57,0,60
2022-11-07T13:06:58,3,57,0,60
2022-11-07T13:16:19,3,57,0,60
2022-11-07T13:25:50,3,57,0,60
2022-11-07T13:35:11,3,57,0,60
2022-11-07T13:44:33,3,57,0,60
2022-11-07T13:54:04,3,57,0,60
2022-11-07T14:03:24,3,57,0,60
2022-11-07T14:12:43,3,57,0,60
2022-11-07T14:22:03,3,57,0,60
2022-11-07T14:31:33,3,57,0,60
2022-11-07T14:40:53,3,57,0,60
2022-11-07T14:50:12,3,57,0,60
2022-11-07T14:59:30,5,55,0,60
2022-11-07T15:08:49,5,55,0,60
2022-11-07T15:18:20,5,55,0,60
2022-11-07T15:27:39,5,55,0,60
2022-11-07T15:36:58,6,54,0,60
2022-11-07T15:46:16,6,54,0,60
2022-11-07T15:55:45,6,54,0,60
2022-11-07T16:05:03,6,54,0,60
2022-11-07T16:14:21,6,54,0,60
2022-11-07T16:23:39,6,54,0,60
2022-11-07T16:33:08,6,54,0,60
2022-11-07T16:42:25,5,55,0,60
2022-11-07T16:51:45,5,55,0,60
2022-11-07T17:01:02,5,55,0,60
2022-11-07T17:10:24,5,55,0,60
2022-11-07T17:19:55,5,55,0,60
2022-11-07T17:29:12,5,55,0,60
2022-11-07T17:38:30,5,55,0,60
2022-11-07T17:47:48,5,55,0,60
2022-11-07T17:57:05,5,55,0,60
2022-11-07T18:06:37,5,55,0,60
2022-11-07T18:15:54,5,55,0,60
2022-11-07T18:25:11,6,54,0,60
2022-11-07T18:34:29,6,54,0,60
2022-11-07T18:43:55,6,54,0,60
2022-11-07T18:53:13,6,54,0,60
2022-11-07T19:02:30,6,54,0,60
2022-11-07T19:11:48,6,54,0,60
2022-11-07T19:21:15,6,54,0,60
2022-11-07T19:30:33,6,54,0,60
2022-11-07T19:39:53,6,54,0,60
2022-11-07T19:49:10,6,54,0,60
2022-11-07T19:58:28,6,54,0,60
2022-11-07T20:07:57,6,54,0,60
2022-11-07T20:17:15,6,54,0,60
2022-11-07T20:26:32,6,54,0,60
2022-11-07T20:35:49,6,54,0,60
2022-11-07T20:45:08,6,54,0,60
2022-11-07T20:54:26,6,54,0,60
2022-11-07T21:03:54,6,54,0,60
2022-11-07T21:13:10,6,54,0,60
2022-11-07T21:22:26,6,54,0,60
2022-11-07T21:31:45,6,54,0,60
2022-11-07T21:41:00,6,54,0,60
2022-11-07T21:50:15,6,54,0,60
2022-11-07T21:59:42,6,54,0,60
2022-11-07T22:09:00,6,54,0,60
2022-11-07T22:18:16,6,54,0,60
2022-11-07T22:27:33,6,54,0,60
2022-11-07T22:36:48,6,54,0,60
2022-11-07T22:46:05,6,54,0,60
2022-11-07T22:55:20,6,54,0,60
2022-11-07T23:04:48,6,54,0,60
2022-11-07T23:14:04,6,54,0,60
2022-11-07T23:23:19,6,54,0,60
2022-11-07T23:32:35,6,54,0,60
2022-11-07T23:41:51,6,54,0,60
2022-11-07T23:51:06,6,54,0,60
2022-11-08T00:00:22,6,54,0,60
2022-11-08T00:09:50,6,54,0,60
2022-11-08T00:19:12,6,54,0,60
2022-11-08T00:28:29,6,54,0,60
2022-11-08T00:37:45,6,54,0,60
2022-11-08T00:47:03,6,54,0,60
2022-11-08T00:56:20,6,54,0,60
2022-11-08T01:05:38,6,54,0,60
2022-11-08T01:14:56,6,54,0,60
2022-11-08T01:24:13,6,54,0,60
2022-11-08T01:33:32,6,54,0,60
2022-11-08T01:42:49,6,54,0,60
2022-11-08T01:52:18,6,54,0,60
2022-11-08T02:01:36,6,54,0,60
2022-11-08T02:10:52,6,54,0,60
2022-11-08T02:20:07,6,54,0,60
2022-11-08T02:29:23,6,54,0,60
2022-11-08T02:38:42,6,54,0,60
2022-11-08T02:48:00,6,54,0,60
2022-11-08T02:57:17,6,54,0,60
2022-11-08T03:06:34,6,54,0,60
2022-11-08T03:15:51,6,54,0,60
2022-11-08T03:25:06,6,54,0,60
2022-11-08T03:34:22,6,54,0,60
2022-11-08T03:43:49,6,54,0,60
2022-11-08T03:53:05,6,54,0,60
2022-11-08T04:04:26,6,54,0,60
2022-11-08T04:19:36,6,54,0,60
2022-11-08T04:29:19,6,54,0,60
2022-11-08T04:38:37,6,54,0,60
2022-11-08T04:47:56,6,54,0,60
2022-11-08T04:57:14,6,54,0,60
2022-11-08T05:06:32,6,54,0,60
2022-11-08T05:15:48,6,54,0,60
2022-11-08T05:25:05,6,54,0,60
2022-11-08T05:34:22,6,54,0,60
2022-11-08T05:43:39,6,54,0,60
2022-11-08T05:53:00,6,54,0,60
2022-11-08T06:02:18,6,54,0,60
2022-11-08T06:11:35,6,54,0,60
2022-11-08T06:20:51,6,54,0,60
2022-11-08T06:30:08,6,54,0,60
2022-11-08T06:39:25,6,54,0,60
2022-11-08T06:48:42,6,54,0,60
2022-11-08T06:58:09,6,54,0,60
2022-11-08T07:07:27,6,54,0,60
2022-11-08T07:16:46,6,54,0,60
2022-11-08T07:26:04,6,54,0,60
2022-11-08T07:35:23,6,54,0,60
2022-11-08T07:44:42,6,54,0,60
2022-11-08T07:54:02,6,54,0,60
2022-11-08T08:03:21,6,54,0,60
2022-11-08T08:12:40,6,54,0,60
2022-11-08T08:21:58,6,54,0,60
2022-11-08T08:31:17,6,54,0,60
2022-11-08T08:40:36,6,54,0,60
2022-11-08T08:49:55,6,54,0,60
2022-11-08T08:59:14,6,54,0,60
2022-11-08T09:09:34,6,54,0,60
2022-11-08T09:53:26,6,54,0,60
2022-11-08T10:04:54,6,54,0,60
2022-11-08T10:12:49,7,53,0,60
2022-11-08T10:22:09,8,52,0,60
2022-11-08T10:31:19,8,52,0,60
2022-11-08T10:40:28,8,52,0,60
2022-11-08T10:49:37,8,52,0,60
2022-11-08T10:58:48,9,51,0,60
2022-11-08T11:08:08,9,51,0,60
2022-11-08T11:17:20,9,51,0,60
2022-11-08T11:26:30,9,51,0,60
2022-11-08T11:35:40,9,51,0,60
2022-11-08T11:45:03,9,51,0,60
2022-11-08T11:54:12,9,51,0,60
2022-11-08T12:03:22,9,51,0,60
