time,enrolled,available,waitlisted,total
2022-11-05T20:12:35,0,60,0,60
2022-11-05T20:21:52,0,60,0,60
2022-11-05T20:31:09,0,60,0,60
2022-11-05T20:40:36,0,60,0,60
2022-11-05T20:49:53,0,60,0,60
2022-11-05T20:59:08,0,60,0,60
2022-11-05T21:08:24,0,60,0,60
2022-11-05T21:17:39,0,60,0,60
2022-11-05T21:26:54,0,60,0,60
2022-11-05T21:36:10,0,60,0,60
2022-11-05T21:45:26,0,60,0,60
2022-11-05T21:54:42,0,60,0,60
2022-11-05T22:03:57,0,60,0,60
2022-11-05T22:13:12,0,60,0,60
2022-11-05T22:22:27,0,60,0,60
2022-11-05T22:31:43,0,60,0,60
2022-11-05T22:41:00,0,60,0,60
2022-11-05T22:50:16,0,60,0,60
2022-11-05T22:59:32,0,60,0,60
2022-11-05T23:08:48,0,60,0,60
2022-11-05T23:18:05,0,60,0,60
2022-11-05T23:27:21,0,60,0,60
2022-11-05T23:36:38,0,60,0,60
2022-11-05T23:45:55,0,60,0,60
2022-11-05T23:55:11,0,60,0,60
2022-11-06T00:04:35,0,60,0,60
2022-11-06T00:13:53,0,60,0,60
2022-11-06T00:23:08,0,60,0,60
2022-11-06T00:32:24,0,60,0,60
2022-11-06T00:41:39,0,60,0,60
2022-11-06T00:50:55,0,60,0,60
2022-11-06T01:00:10,0,60,0,60
2022-11-06T01:09:25,0,60,0,60
2022-11-06T01:18:40,0,60,0,60
2022-11-06T01:27:57,0,60,0,60
2022-11-06T01:37:13,0,60,0,60
2022-11-06T01:46:29,0,60,0,60
2022-11-06T01:55:44,0,60,0,60
2022-11-06T01:05:01,0,60,0,60
2022-11-06T01:14:17,0,60,0,60
2022-11-06T01:23:33,0,60,0,60
2022-11-06T01:32:49,0,60,0,60
2022-11-06T01:42:04,0,60,0,60
2022-11-06T01:51:22,0,60,0,60
2022-11-06T02:00:41,0,60,0,60
2022-11-06T02:10:00,0,60,0,60
2022-11-06T02:19:18,0,60,0,60
2022-11-06T02:28:39,0,60,0,60
2022-11-06T02:37:59,0,60,0,60
2022-11-06T02:47:18,0,60,0,60
2022-11-06T02:56:36,0,60,0,60
2022-11-06T03:05:55,0,60,0,60
2022-11-06T03:15:12,0,60,0,60
2022-11-06T03:24:29,0,60,0,60
2022-11-06T03:33:47,0,60,0,60
2022-11-06T03:43:07,0,60,0,60
2022-11-06T03:52:26,0,60,0,60
2022-11-06T04:01:46,0,60,0,60
2022-11-06T04:17:04,0,60,0,60
2022-11-06T04:26:24,0,60,0,60
2022-11-06T04:35:43,0,60,0,60
2022-11-06T04:46:11,0,60,0,60
2022-11-06T04:55:46,0,60,0,60
2022-11-06T05:05:04,0,60,0,60
2022-11-06T05:14:21,0,60,0,60
2022-11-06T05:23:37,0,60,0,60
2022-11-06T05:32:54,0,60,0,60
2022-11-06T05:42:09,0,60,0,60
2022-11-06T05:51:26,0,60,0,60
2022-11-06T06:00:44,0,60,0,60
2022-11-06T06:10:03,0,60,0,60
2022-11-06T06:19:22,0,60,0,60
2022-11-06T06:28:39,0,60,0,60
2022-11-06T06:37:55,0,60,0,60
2022-11-06T06:47:11,0,60,0,60
2022-11-06T06:56:26,0,60,0,60
2022-11-06T07:05:44,0,60,0,60
2022-11-06T07:15:01,0,60,0,60
2022-11-06T07:24:18,0,60,0,60
