time,enrolled,available,waitlisted,total
2022-11-05T20:12:39,0,60,0,60
2022-11-05T20:21:57,0,60,0,60
2022-11-05T20:31:13,0,60,0,60
2022-11-05T20:40:41,0,60,0,60
2022-11-05T20:49:57,0,60,0,60
2022-11-05T20:59:13,0,60,0,60
2022-11-05T21:08:29,0,60,0,60
2022-11-05T21:17:44,0,60,0,60
2022-11-05T21:26:59,0,60,0,60
2022-11-05T21:36:15,0,60,0,60
2022-11-05T21:45:31,0,60,0,60
2022-11-05T21:54:46,0,60,0,60
2022-11-05T22:04:01,0,60,0,60
2022-11-05T22:13:17,0,60,0,60
2022-11-05T22:22:32,0,60,0,60
2022-11-05T22:31:47,0,60,0,60
2022-11-05T22:41:05,0,60,0,60
2022-11-05T22:50:21,0,60,0,60
2022-11-05T22:59:37,0,60,0,60
2022-11-05T23:08:53,0,60,0,60
2022-11-05T23:18:09,0,60,0,60
2022-11-05T23:27:26,0,60,0,60
2022-11-05T23:36:43,0,60,0,60
2022-11-05T23:45:59,0,60,0,60
2022-11-05T23:55:16,0,60,0,60
2022-11-06T00:04:40,0,60,0,60
2022-11-06T00:13:57,0,60,0,60
2022-11-06T00:23:13,0,60,0,60
2022-11-06T00:32:29,0,60,0,60
2022-11-06T00:41:44,0,60,0,60
2022-11-06T00:51:00,0,60,0,60
2022-11-06T01:00:15,0,60,0,60
2022-11-06T01:09:30,0,60,0,60
2022-11-06T01:18:45,0,60,0,60
2022-11-06T01:28:02,0,60,0,60
2022-11-06T01:37:18,0,60,0,60
2022-11-06T01:46:33,0,60,0,60
2022-11-06T01:55:49,0,60,0,60
2022-11-06T01:05:06,0,60,0,60
2022-11-06T01:14:22,0,60,0,60
2022-11-06T01:23:38,0,60,0,60
2022-11-06T01:32:54,0,60,0,60
2022-11-06T01:42:09,0,60,0,60
2022-11-06T01:51:27,0,60,0,60
2022-11-06T02:00:46,0,60,0,60
2022-11-06T02:10:04,0,60,0,60
2022-11-06T02:19:23,0,60,0,60
2022-11-06T02:28:43,0,60,0,60
2022-11-06T02:38:04,0,60,0,60
2022-11-06T02:47:23,0,60,0,60
2022-11-06T02:56:41,0,60,0,60
2022-11-06T03:06:00,0,60,0,60
2022-11-06T03:15:17,0,60,0,60
2022-11-06T03:24:33,0,60,0,60
2022-11-06T03:33:51,0,60,0,60
2022-11-06T03:43:11,0,60,0,60
2022-11-06T03:52:31,0,60,0,60
2022-11-06T04:01:50,0,60,0,60
2022-11-06T04:17:09,0,60,0,60
2022-11-06T04:26:29,0,60,0,60
2022-11-06T04:35:48,0,60,0,60
2022-11-06T04:46:16,0,60,0,60
2022-11-06T04:55:51,0,60,0,60
2022-11-06T05:05:08,0,60,0,60
2022-11-06T05:14:25,0,60,0,60
2022-11-06T05:23:42,0,60,0,60
2022-11-06T05:33:00,0,60,0,60
2022-11-06T05:42:14,0,60,0,60
2022-11-06T05:51:31,0,60,0,60
2022-11-06T06:00:49,0,60,0,60
2022-11-06T06:10:08,0,60,0,60
2022-11-06T06:19:26,0,60,0,60
2022-11-06T06:28:44,0,60,0,60
2022-11-06T06:38:00,0,60,0,60
2022-11-06T06:47:16,0,60,0,60
2022-11-06T06:56:31,0,60,0,60
2022-11-06T07:05:48,0,60,0,60
2022-11-06T07:15:06,0,60,0,60
2022-11-06T07:24:23,0,60,0,60
2022-11-06T07:33:41,0,60,0,60
2022-11-06T07:43:00,0,60,0,60
2022-11-06T07:52:18,0,60,0,60
