time,enrolled,available,waitlisted,total
2022-11-05T20:12:43,0,10,0,10
2022-11-05T20:22:01,0,10,0,10
2022-11-05T20:31:17,0,10,0,10
2022-11-05T20:40:45,0,10,0,10
2022-11-05T20:50:01,0,10,0,10
2022-11-05T20:59:17,0,10,0,10
2022-11-05T21:08:32,0,10,0,10
2022-11-05T21:17:47,0,10,0,10
2022-11-05T21:27:03,0,10,0,10
2022-11-05T21:36:18,0,10,0,10
2022-11-05T21:45:35,0,10,0,10
2022-11-05T21:54:50,0,10,0,10
2022-11-05T22:04:05,0,10,0,10
2022-11-05T22:13:21,0,10,0,10
2022-11-05T22:22:36,0,10,0,10
2022-11-05T22:31:51,0,10,0,10
2022-11-05T22:41:09,0,10,0,10
2022-11-05T22:50:25,0,10,0,10
2022-11-05T22:59:41,0,10,0,10
2022-11-05T23:08:57,0,10,0,10
2022-11-05T23:18:13,0,10,0,10
2022-11-05T23:27:30,0,10,0,10
2022-11-05T23:36:47,0,10,0,10
2022-11-05T23:46:03,0,10,0,10
2022-11-05T23:55:20,0,10,0,10
2022-11-06T00:04:44,0,10,0,10
2022-11-06T00:14:01,0,10,0,10
2022-11-06T00:23:17,0,10,0,10
2022-11-06T00:32:32,0,10,0,10
2022-11-06T00:41:48,0,10,0,10
2022-11-06T00:51:03,0,10,0,10
2022-11-06T01:00:19,0,10,0,10
2022-11-06T01:09:34,0,10,0,10
2022-11-06T01:18:49,0,10,0,10
2022-11-06T01:28:06,0,10,0,10
2022-11-06T01:37:22,0,10,0,10
2022-11-06T01:46:37,0,10,0,10
2022-11-06T01:55:53,0,10,0,10
2022-11-06T01:05:10,0,10,0,10
2022-11-06T01:14:26,0,10,0,10
2022-11-06T01:23:42,0,10,0,10
2022-11-06T01:32:58,0,10,0,10
2022-11-06T01:42:13,0,10,0,10
2022-11-06T01:51:31,0,10,0,10
2022-11-06T02:00:50,0,10,0,10
2022-11-06T02:10:08,0,10,0,10
2022-11-06T02:19:27,0,10,0,10
2022-11-06T02:28:47,0,10,0,10
2022-11-06T02:38:07,0,10,0,10
2022-11-06T02:47:26,0,10,0,10
2022-11-06T02:56:45,0,10,0,10
2022-11-06T03:06:04,0,10,0,10
2022-11-06T03:15:21,0,10,0,10
2022-11-06T03:24:37,0,10,0,10
2022-11-06T03:33:55,0,10,0,10
2022-11-06T03:43:15,0,10,0,10
2022-11-06T03:52:35,0,10,0,10
2022-11-06T04:01:54,0,10,0,10
2022-11-06T04:17:13,0,10,0,10
2022-11-06T04:26:33,0,10,0,10
2022-11-06T04:35:52,0,10,0,10
2022-11-06T04:46:20,0,10,0,10
2022-11-06T04:55:55,0,10,0,10
2022-11-06T05:05:12,0,10,0,10
2022-11-06T05:14:29,0,10,0,10
2022-11-06T05:23:46,0,10,0,10
2022-11-06T05:33:03,0,10,0,10
2022-11-06T05:42:18,0,10,0,10
2022-11-06T05:51:35,0,10,0,10
2022-11-06T06:00:53,0,10,0,10
2022-11-06T06:10:12,0,10,0,10
2022-11-06T06:19:30,0,10,0,10
2022-11-06T06:28:47,0,10,0,10
2022-11-06T06:38:04,0,10,0,10
2022-11-06T06:47:20,0,10,0,10
2022-11-06T06:56:35,0,10,0,10
2022-11-06T07:05:52,0,10,0,10
2022-11-06T07:15:10,0,10,0,10
2022-11-06T07:24:27,0,10,0,10
2022-11-06T07:33:45,0,10,0,10
2022-11-06T07:43:03,0,10,0,10
2022-11-06T07:52:22,0,10,0,10
2022-11-06T08:01:38,0,10,0,10
2022-11-06T08:10:55,0,10,0,10
2022-11-06T08:20:12,0,10,0,10
2022-11-06T08:29:29,0,10,0,10
2022-11-06T08:38:46,0,10,0,10
2022-11-06T08:48:02,0,10,0,10
2022-11-06T08:57:20,0,10,0,10
2022-11-06T09:06:35,0,10,0,10
2022-11-06T09:15:50,0,10,0,10
2022-11-06T09:25:04,0,10,0,10
2022-11-06T09:34:17,0,10,0,10
2022-11-06T09:43:32,0,10,0,10
2022-11-06T09:52:46,0,10,0,10
2022-11-06T10:01:59,0,10,0,10
2022-11-06T10:11:13,0,10,0,10
2022-11-06T10:20:26,0,10,0,10
2022-11-06T10:29:43,0,10,0,10
2022-11-06T10:38:57,0,10,0,10
2022-11-06T10:48:12,0,10,0,10
2022-11-06T10:57:27,0,10,0,10
2022-11-06T11:06:41,0,10,0,10
2022-11-06T11:15:56,0,10,0,10
2022-11-06T11:25:15,0,10,0,10
2022-11-06T11:34:37,0,10,0,10
2022-11-06T11:43:52,0,10,0,10
2022-11-06T11:53:06,0,10,0,10
2022-11-06T12:02:20,0,10,0,10
2022-11-06T12:11:36,0,10,0,10
2022-11-06T12:21:01,0,10,0,10
2022-11-06T12:30:15,0,10,0,10
2022-11-06T12:39:29,0,10,0,10
2022-11-06T12:48:44,0,10,0,10
2022-11-06T12:57:58,0,10,0,10
2022-11-06T13:07:13,0,10,0,10
2022-11-06T13:16:29,0,10,0,10
2022-11-06T13:25:44,0,10,0,10
2022-11-06T13:34:58,0,10,0,10
2022-11-06T13:44:12,0,10,0,10
2022-11-06T13:53:25,0,10,0,10
2022-11-06T14:02:40,0,10,0,10
2022-11-06T14:11:56,0,10,0,10
2022-11-06T14:21:19,0,10,0,10
2022-11-06T14:30:32,0,10,0,10
2022-11-06T14:39:47,0,10,0,10
2022-11-06T14:49:04,0,10,0,10
2022-11-06T14:58:17,0,10,0,10
2022-11-06T15:07:31,0,10,0,10
2022-11-06T15:16:44,0,10,0,10
2022-11-06T15:25:59,0,10,0,10
2022-11-06T15:35:12,0,10,0,10
2022-11-06T15:44:27,0,10,0,10
2022-11-06T15:53:39,0,10,0,10
2022-11-06T16:02:51,0,10,0,10
2022-11-06T16:12:15,0,10,0,10
2022-11-06T16:21:29,0,10,0,10
2022-11-06T16:30:46,0,10,0,10
