time,enrolled,available,waitlisted,total
2022-11-05T20:12:45,0,65,0,65
2022-11-05T20:22:02,0,65,0,65
2022-11-05T20:31:19,0,65,0,65
2022-11-05T20:40:47,0,65,0,65
2022-11-05T20:50:03,0,65,0,65
2022-11-05T20:59:18,0,65,0,65
2022-11-05T21:08:34,0,65,0,65
2022-11-05T21:17:49,0,65,0,65
2022-11-05T21:27:04,0,65,0,65
2022-11-05T21:36:20,0,65,0,65
2022-11-05T21:45:36,0,65,0,65
2022-11-05T21:54:52,0,65,0,65
2022-11-05T22:04:07,0,65,0,65
2022-11-05T22:13:22,0,65,0,65
2022-11-05T22:22:37,0,65,0,65
2022-11-05T22:31:53,0,65,0,65
2022-11-05T22:41:10,0,65,0,65
2022-11-05T22:50:26,0,65,0,65
2022-11-05T22:59:42,0,65,0,65
2022-11-05T23:08:58,0,65,0,65
2022-11-05T23:18:15,0,65,0,65
2022-11-05T23:27:31,0,65,0,65
2022-11-05T23:36:48,0,65,0,65
2022-11-05T23:46:05,0,65,0,65
2022-11-05T23:55:21,0,65,0,65
2022-11-06T00:04:45,0,65,0,65
2022-11-06T00:14:03,0,65,0,65
2022-11-06T00:23:18,0,65,0,65
2022-11-06T00:32:34,0,65,0,65
2022-11-06T00:41:49,0,65,0,65
2022-11-06T00:51:05,0,65,0,65
2022-11-06T01:00:20,0,65,0,65
2022-11-06T01:09:35,0,65,0,65
2022-11-06T01:18:50,0,65,0,65
2022-11-06T01:28:07,0,65,0,65
2022-11-06T01:37:23,0,65,0,65
2022-11-06T01:46:38,0,65,0,65
2022-11-06T01:55:54,0,65,0,65
2022-11-06T01:05:11,0,65,0,65
2022-11-06T01:14:27,0,65,0,65
2022-11-06T01:23:43,0,65,0,65
2022-11-06T01:32:59,0,65,0,65
2022-11-06T01:42:14,0,65,0,65
2022-11-06T01:51:32,0,65,0,65
2022-11-06T02:00:51,0,65,0,65
2022-11-06T02:10:10,0,65,0,65
2022-11-06T02:19:28,0,65,0,65
2022-11-06T02:28:49,0,65,0,65
2022-11-06T02:38:09,0,65,0,65
2022-11-06T02:47:28,0,65,0,65
2022-11-06T02:56:46,0,65,0,65
2022-11-06T03:06:05,0,65,0,65
2022-11-06T03:15:22,0,65,0,65
2022-11-06T03:24:39,0,65,0,65
2022-11-06T03:33:57,0,65,0,65
2022-11-06T03:43:17,0,65,0,65
2022-11-06T03:52:36,0,65,0,65
2022-11-06T04:01:56,0,65,0,65
2022-11-06T04:17:14,0,65,0,65
2022-11-06T04:26:34,0,65,0,65
2022-11-06T04:35:53,0,65,0,65
2022-11-06T04:46:21,0,65,0,65
2022-11-06T04:55:56,0,65,0,65
2022-11-06T05:05:14,0,65,0,65
2022-11-06T05:14:31,0,65,0,65
2022-11-06T05:23:47,0,65,0,65
2022-11-06T05:33:05,0,65,0,65
2022-11-06T05:42:19,0,65,0,65
2022-11-06T05:51:36,0,65,0,65
2022-11-06T06:00:54,0,65,0,65
2022-11-06T06:10:13,0,65,0,65
