time,enrolled,available,waitlisted,total
2022-11-05T20:12:45,0,27,0,27
2022-11-05T20:22:03,0,27,0,27
2022-11-05T20:31:20,0,27,0,27
2022-11-05T20:40:47,0,27,0,27
2022-11-05T20:50:03,0,27,0,27
2022-11-05T20:59:19,0,27,0,27
2022-11-05T21:08:35,0,27,0,27
2022-11-05T21:17:50,0,27,0,27
2022-11-05T21:27:05,0,27,0,27
2022-11-05T21:36:21,0,27,0,27
2022-11-05T21:45:37,0,27,0,27
2022-11-05T21:54:52,0,27,0,27
2022-11-05T22:04:07,0,27,0,27
2022-11-05T22:13:23,0,27,0,27
2022-11-05T22:22:38,0,27,0,27
2022-11-05T22:31:54,0,27,0,27
2022-11-05T22:41:11,0,27,0,27
2022-11-05T22:50:27,0,27,0,27
2022-11-05T22:59:43,0,27,0,27
2022-11-05T23:08:59,0,27,0,27
2022-11-05T23:18:15,0,27,0,27
2022-11-05T23:27:32,0,27,0,27
2022-11-05T23:36:49,0,27,0,27
2022-11-05T23:46:06,0,27,0,27
2022-11-05T23:55:22,0,27,0,27
2022-11-06T00:04:46,0,27,0,27
2022-11-06T00:14:04,0,27,0,27
2022-11-06T00:23:19,0,27,0,27
2022-11-06T00:32:35,0,27,0,27
2022-11-06T00:41:50,0,27,0,27
2022-11-06T00:51:06,0,27,0,27
2022-11-06T01:00:21,0,27,0,27
2022-11-06T01:09:36,0,27,0,27
2022-11-06T01:18:51,0,27,0,27
2022-11-06T01:28:08,0,27,0,27
2022-11-06T01:37:24,0,27,0,27
2022-11-06T01:46:39,0,27,0,27
2022-11-06T01:55:55,0,27,0,27
2022-11-06T01:05:12,0,27,0,27
2022-11-06T01:14:28,0,27,0,27
2022-11-06T01:23:44,0,27,0,27
2022-11-06T01:33:00,0,27,0,27
2022-11-06T01:42:15,0,27,0,27
2022-11-06T01:51:33,0,27,0,27
2022-11-06T02:00:52,0,27,0,27
2022-11-06T02:10:11,0,27,0,27
2022-11-06T02:19:29,0,27,0,27
2022-11-06T02:28:50,0,27,0,27
2022-11-06T02:38:10,0,27,0,27
2022-11-06T02:47:29,0,27,0,27
2022-11-06T02:56:47,0,27,0,27
2022-11-06T03:06:06,0,27,0,27
2022-11-06T03:15:23,0,27,0,27
2022-11-06T03:24:39,0,27,0,27
2022-11-06T03:33:57,0,27,0,27
2022-11-06T03:43:17,0,27,0,27
2022-11-06T03:52:37,0,27,0,27
2022-11-06T04:01:57,0,27,0,27
2022-11-06T04:17:15,0,27,0,27
2022-11-06T04:26:35,0,27,0,27
2022-11-06T04:35:54,0,27,0,27
2022-11-06T04:46:22,0,27,0,27
2022-11-06T04:55:57,0,27,0,27
2022-11-06T05:05:14,0,27,0,27
2022-11-06T05:14:31,0,27,0,27
2022-11-06T05:23:48,0,27,0,27
2022-11-06T05:33:06,0,27,0,27
2022-11-06T05:42:20,0,27,0,27
2022-11-06T05:51:37,0,27,0,27
2022-11-06T06:00:55,0,27,0,27
2022-11-06T06:10:14,0,27,0,27
2022-11-06T06:19:33,0,27,0,27
2022-11-06T06:28:50,0,27,0,27
2022-11-06T06:38:06,0,27,0,27
2022-11-06T06:47:22,0,27,0,27
2022-11-06T06:56:37,0,27,0,27
2022-11-06T07:05:55,0,27,0,27
2022-11-06T07:15:12,0,27,0,27
2022-11-06T07:24:29,0,27,0,27
2022-11-06T07:33:47,0,27,0,27
2022-11-06T07:43:06,0,27,0,27
2022-11-06T07:52:24,0,27,0,27
2022-11-06T08:01:40,0,27,0,27
2022-11-06T08:10:57,0,27,0,27
2022-11-06T08:20:14,0,27,0,27
2022-11-06T08:29:31,0,27,0,27
2022-11-06T08:38:48,0,27,0,27
2022-11-06T08:48:04,0,27,0,27
2022-11-06T08:57:22,0,27,0,27
2022-11-06T09:06:38,0,27,0,27
2022-11-06T09:15:53,0,27,0,27
2022-11-06T09:25:06,0,27,0,27
2022-11-06T09:34:20,0,27,0,27
2022-11-06T09:43:34,0,27,0,27
2022-11-06T09:52:48,0,27,0,27
2022-11-06T10:02:01,0,27,0,27
2022-11-06T10:11:15,0,27,0,27
2022-11-06T10:20:28,0,27,0,27
2022-11-06T10:29:45,0,27,0,27
2022-11-06T10:38:59,0,27,0,27
2022-11-06T10:48:14,0,27,0,27
2022-11-06T10:57:29,0,27,0,27
2022-11-06T11:06:43,0,27,0,27
2022-11-06T11:15:58,0,27,0,27
2022-11-06T11:25:17,0,27,0,27
2022-11-06T11:34:39,0,27,0,27
2022-11-06T11:43:54,0,27,0,27
2022-11-06T11:53:08,0,27,0,27
2022-11-06T12:02:22,0,27,0,27
2022-11-06T12:11:38,0,27,0,27
2022-11-06T12:21:03,0,27,0,27
2022-11-06T12:30:18,0,27,0,27
2022-11-06T12:39:31,0,27,0,27
2022-11-06T12:48:46,0,27,0,27
2022-11-06T12:58:00,0,27,0,27
2022-11-06T13:07:15,0,27,0,27
2022-11-06T13:16:31,0,27,0,27
2022-11-06T13:25:46,0,27,0,27
2022-11-06T13:35:00,0,27,0,27
2022-11-06T13:44:14,0,27,0,27
2022-11-06T13:53:27,0,27,0,27
2022-11-06T14:02:43,0,27,0,27
2022-11-06T14:11:58,0,27,0,27
2022-11-06T14:21:21,0,27,0,27
2022-11-06T14:30:35,0,27,0,27
2022-11-06T14:39:50,0,27,0,27
2022-11-06T14:49:06,0,27,0,27
2022-11-06T14:58:20,0,27,0,27
