time,enrolled,available,waitlisted,total
2023-01-25T12:09:21,0,9999,0,9999
2023-01-25T12:19:24,0,9999,0,9999
2023-01-25T12:29:32,0,9999,0,9999
2023-01-25T12:39:54,0,9999,0,9999
2023-01-25T12:49:58,0,9999,0,9999
2023-01-25T13:00:25,0,9999,0,9999
2023-01-25T13:10:34,0,9999,0,9999
2023-01-25T13:20:37,0,9999,0,9999
2023-01-25T13:30:48,0,9999,0,9999
2023-01-25T13:40:52,0,9999,0,9999
2023-01-25T13:51:01,0,9999,0,9999
2023-01-25T14:01:10,0,9999,0,9999
2023-01-25T14:11:26,0,9999,0,9999
2023-01-25T14:21:28,0,9999,0,9999
2023-01-25T14:31:35,0,9999,0,9999
2023-01-25T14:41:42,0,9999,0,9999
2023-01-25T14:51:46,0,9999,0,9999
2023-01-25T15:01:50,0,9999,0,9999
2023-01-25T15:11:52,0,9999,0,9999
2023-01-25T15:22:21,0,9999,0,9999
2023-01-25T15:32:29,0,9999,0,9999
2023-01-25T15:42:39,0,9999,0,9999
2023-01-25T15:52:40,0,9999,0,9999
2023-01-25T16:02:41,0,9999,0,9999
2023-01-25T16:12:45,0,9999,0,9999
2023-01-25T16:22:47,0,9999,0,9999
2023-01-25T16:32:54,0,9999,0,9999
2023-01-25T16:43:02,0,9999,0,9999
2023-01-25T16:53:07,0,9999,0,9999
2023-01-25T17:03:10,0,9999,0,9999
2023-01-25T17:13:25,0,9999,0,9999
2023-01-25T17:23:28,0,9999,0,9999
2023-01-25T17:33:30,0,9999,0,9999
2023-01-25T17:43:34,0,9999,0,9999
2023-01-25T17:53:36,0,9999,0,9999
2023-01-25T18:03:41,0,9999,0,9999
2023-01-25T18:13:42,0,9999,0,9999
2023-01-25T18:23:44,0,9999,0,9999
2023-01-25T18:33:46,0,9999,0,9999
2023-01-25T18:43:47,0,9999,0,9999
2023-01-25T18:53:47,0,9999,0,9999
2023-01-25T19:03:47,0,9999,0,9999
2023-01-25T19:14:00,0,9999,0,9999
2023-01-25T19:24:06,0,9999,0,9999
2023-01-25T19:34:09,0,9999,0,9999
2023-01-25T19:44:11,0,9999,0,9999
2023-01-25T19:54:12,0,9999,0,9999
2023-01-25T20:04:14,0,9999,0,9999
2023-01-25T20:14:14,0,9999,0,9999
2023-01-25T20:24:15,0,9999,0,9999
2023-01-25T20:34:17,0,9999,0,9999
2023-01-25T20:44:19,0,9999,0,9999
2023-01-25T20:54:18,0,9999,0,9999
2023-01-25T21:04:19,0,9999,0,9999
2023-01-25T21:14:32,0,9999,0,9999
2023-01-25T21:24:34,0,9999,0,9999
2023-01-25T21:34:38,0,9999,0,9999
2023-01-25T21:44:38,0,9999,0,9999
2023-01-25T21:54:39,0,9999,0,9999
2023-01-25T22:04:39,0,9999,0,9999
2023-01-25T22:14:39,0,9999,0,9999
2023-01-25T22:24:39,0,9999,0,9999
2023-01-25T22:34:40,0,9999,0,9999
2023-01-25T22:44:41,0,9999,0,9999
2023-01-25T22:54:42,0,9999,0,9999
2023-01-25T23:04:43,0,9999,0,9999
2023-01-25T23:14:47,0,9999,0,9999
2023-01-25T23:25:01,0,9999,0,9999
2023-01-25T23:35:04,0,9999,0,9999
2023-01-25T23:45:04,0,9999,0,9999
2023-01-25T23:55:04,0,9999,0,9999
2023-01-26T00:05:06,0,9999,0,9999
2023-01-26T00:15:10,0,9999,0,9999
2023-01-26T00:25:14,0,9999,0,9999
2023-01-26T00:35:17,0,9999,0,9999
2023-01-26T00:45:26,0,9999,0,9999
2023-01-26T00:55:31,0,9999,0,9999
2023-01-26T01:05:35,0,9999,0,9999
2023-01-26T01:15:35,0,9999,0,9999
2023-01-26T01:25:35,0,9999,0,9999
2023-01-26T01:35:44,0,9999,0,9999
2023-01-26T01:45:44,0,9999,0,9999
2023-01-26T01:55:44,0,9999,0,9999
2023-01-26T02:05:45,0,9999,0,9999
2023-01-26T02:15:46,0,9999,0,9999
2023-01-26T02:25:47,0,9999,0,9999
2023-01-26T02:35:50,0,9999,0,9999
2023-01-26T02:45:53,0,9999,0,9999
2023-01-26T02:55:54,0,9999,0,9999
2023-01-26T03:05:54,0,9999,0,9999
