time,enrolled,available,waitlisted,total
2022-11-05T20:13:01,0,73,0,73
2022-11-05T20:22:18,0,73,0,73
2022-11-05T20:31:35,0,73,0,73
2022-11-05T20:41:03,0,73,0,73
2022-11-05T20:50:19,0,73,0,73
2022-11-05T20:59:35,0,73,0,73
2022-11-05T21:08:50,0,73,0,73
2022-11-05T21:18:05,0,73,0,73
2022-11-05T21:27:21,0,73,0,73
2022-11-05T21:36:36,0,73,0,73
2022-11-05T21:45:53,0,73,0,73
2022-11-05T21:55:08,0,73,0,73
2022-11-05T22:04:23,0,73,0,73
2022-11-05T22:13:39,0,73,0,73
2022-11-05T22:22:54,0,73,0,73
2022-11-05T22:32:10,0,73,0,73
2022-11-05T22:41:27,0,73,0,73
2022-11-05T22:50:43,0,73,0,73
2022-11-05T22:59:58,0,73,0,73
2022-11-05T23:09:15,0,73,0,73
2022-11-05T23:18:31,0,73,0,73
2022-11-05T23:27:47,0,73,0,73
2022-11-05T23:37:05,0,73,0,73
2022-11-05T23:46:21,0,73,0,73
2022-11-05T23:55:37,0,73,0,73
2022-11-06T00:05:02,0,73,0,73
2022-11-06T00:14:19,0,73,0,73
2022-11-06T00:23:35,0,73,0,73
2022-11-06T00:32:50,0,73,0,73
2022-11-06T00:42:06,0,73,0,73
2022-11-06T00:51:21,0,73,0,73
2022-11-06T01:00:36,0,73,0,73
2022-11-06T01:09:52,0,73,0,73
2022-11-06T01:19:07,0,73,0,73
2022-11-06T01:28:24,0,73,0,73
2022-11-06T01:37:39,0,73,0,73
2022-11-06T01:46:55,0,73,0,73
2022-11-06T01:56:11,0,73,0,73
2022-11-06T01:05:27,0,73,0,73
2022-11-06T01:14:44,0,73,0,73
2022-11-06T01:24:00,0,73,0,73
2022-11-06T01:33:16,0,73,0,73
2022-11-06T01:42:30,0,73,0,73
2022-11-06T01:51:49,0,73,0,73
2022-11-06T02:01:08,0,73,0,73
2022-11-06T02:10:26,0,73,0,73
2022-11-06T02:19:45,0,73,0,73
2022-11-06T02:29:05,0,73,0,73
2022-11-06T02:38:25,0,73,0,73
2022-11-06T02:47:44,0,73,0,73
2022-11-06T02:57:03,0,73,0,73
2022-11-06T03:06:21,0,73,0,73
2022-11-06T03:15:38,0,73,0,73
2022-11-06T03:24:55,0,73,0,73
2022-11-06T03:34:13,0,73,0,73
2022-11-06T03:43:33,0,73,0,73
2022-11-06T03:52:53,0,73,0,73
2022-11-06T04:02:12,0,73,0,73
2022-11-06T04:17:31,0,73,0,73
2022-11-06T04:26:51,0,73,0,73
2022-11-06T04:36:10,0,73,0,73
2022-11-06T04:46:38,0,73,0,73
2022-11-06T04:56:13,0,73,0,73
2022-11-06T05:05:30,0,73,0,73
2022-11-06T05:14:47,0,73,0,73
2022-11-06T05:24:04,0,73,0,73
2022-11-06T05:33:21,0,73,0,73
2022-11-06T05:42:36,0,73,0,73
2022-11-06T05:51:52,0,73,0,73
2022-11-06T06:01:11,0,73,0,73
2022-11-06T06:10:30,0,73,0,73
2022-11-06T06:19:48,0,73,0,73
2022-11-06T06:29:05,0,73,0,73
2022-11-06T06:38:21,0,73,0,73
2022-11-06T06:47:37,0,73,0,73
2022-11-06T06:56:53,0,73,0,73
2022-11-06T07:06:10,0,73,0,73
2022-11-06T07:15:28,0,73,0,73
2022-11-06T07:24:45,0,73,0,73
2022-11-06T07:34:03,0,73,0,73
2022-11-06T07:43:21,0,73,0,73
2022-11-06T07:52:40,0,73,0,73
2022-11-06T08:01:56,0,73,0,73
2022-11-06T08:11:12,0,73,0,73
2022-11-06T08:20:30,0,73,0,73
2022-11-06T08:29:47,0,73,0,73
2022-11-06T08:39:04,0,73,0,73
2022-11-06T08:48:20,0,73,0,73
2022-11-06T08:57:38,0,73,0,73
2022-11-06T09:06:53,0,73,0,73
2022-11-06T09:16:08,0,73,0,73
2022-11-06T09:25:22,0,73,0,73
2022-11-06T09:34:35,0,73,0,73
2022-11-06T09:43:50,0,73,0,73
2022-11-06T09:53:04,0,73,0,73
2022-11-06T10:02:17,0,73,0,73
2022-11-06T10:11:30,0,73,0,73
2022-11-06T10:20:44,0,73,0,73
2022-11-06T10:30:00,0,73,0,73
2022-11-06T10:39:15,0,73,0,73
2022-11-06T10:48:29,0,73,0,73
2022-11-06T10:57:45,0,73,0,73
2022-11-06T11:06:59,0,73,0,73
2022-11-06T11:16:14,0,73,0,73
2022-11-06T11:25:33,0,73,0,73
2022-11-06T11:34:55,0,73,0,73
2022-11-06T11:44:10,0,73,0,73
2022-11-06T11:53:24,0,73,0,73
2022-11-06T12:02:38,0,73,0,73
2022-11-06T12:11:54,0,73,0,73
2022-11-06T12:21:19,0,73,0,73
2022-11-06T12:30:33,0,73,0,73
2022-11-06T12:39:47,0,73,0,73
2022-11-06T12:49:02,0,73,0,73
2022-11-06T12:58:16,0,73,0,73
2022-11-06T13:07:31,0,73,0,73
2022-11-06T13:16:47,0,73,0,73
2022-11-06T13:26:02,0,73,0,73
2022-11-06T13:35:16,0,73,0,73
2022-11-06T13:44:30,0,73,0,73
2022-11-06T13:53:43,0,73,0,73
2022-11-06T14:02:58,0,73,0,73
2022-11-06T14:12:14,0,73,0,73
2022-11-06T14:21:36,0,73,0,73
2022-11-06T14:30:50,0,73,0,73
2022-11-06T14:40:05,0,73,0,73
2022-11-06T14:49:21,0,73,0,73
2022-11-06T14:58:35,0,73,0,73
2022-11-06T15:07:49,0,73,0,73
2022-11-06T15:17:02,0,73,0,73
2022-11-06T15:26:16,0,73,0,73
2022-11-06T15:35:29,0,73,0,73
2022-11-06T15:44:44,0,73,0,73
2022-11-06T15:53:57,0,73,0,73
2022-11-06T16:03:09,0,73,0,73
2022-11-06T16:12:32,0,73,0,73
2022-11-06T16:21:47,0,73,0,73
2022-11-06T16:31:04,0,73,0,73
2022-11-06T16:40:19,0,73,0,73
2022-11-06T16:49:35,0,73,0,73
2022-11-06T16:58:50,0,73,0,73
2022-11-06T17:08:04,0,73,0,73
2022-11-06T17:17:18,0,73,0,73
2022-11-06T17:26:34,0,73,0,73
2022-11-06T17:35:49,0,73,0,73
2022-11-06T17:45:14,0,73,0,73
2022-11-06T17:54:28,0,73,0,73
2022-11-06T18:03:44,0,73,0,73
2022-11-06T18:12:59,0,73,0,73
2022-11-06T18:22:14,0,73,0,73
2022-11-06T18:31:28,0,73,0,73
2022-11-06T18:40:41,0,73,0,73
2022-11-06T18:49:56,0,73,0,73
2022-11-06T18:59:10,0,73,0,73
