time,enrolled,available,waitlisted,total
2022-11-05T20:13:08,0,40,0,40
2022-11-05T20:22:25,0,40,0,40
2022-11-05T20:31:42,0,40,0,40
2022-11-05T20:41:09,0,40,0,40
2022-11-05T20:50:26,0,40,0,40
2022-11-05T20:59:41,0,40,0,40
2022-11-05T21:08:57,0,40,0,40
2022-11-05T21:18:12,0,40,0,40
2022-11-05T21:27:27,0,40,0,40
2022-11-05T21:36:43,0,40,0,40
2022-11-05T21:45:59,0,40,0,40
2022-11-05T21:55:15,0,40,0,40
2022-11-05T22:04:29,0,40,0,40
2022-11-05T22:13:45,0,40,0,40
2022-11-05T22:23:00,0,40,0,40
2022-11-05T22:32:16,0,40,0,40
2022-11-05T22:41:33,0,40,0,40
2022-11-05T22:50:49,0,40,0,40
2022-11-05T23:00:05,0,40,0,40
2022-11-05T23:09:22,0,40,0,40
2022-11-05T23:18:38,0,40,0,40
2022-11-05T23:27:54,0,40,0,40
2022-11-05T23:37:11,0,40,0,40
2022-11-05T23:46:28,0,40,0,40
2022-11-05T23:55:44,0,40,0,40
2022-11-06T00:05:09,0,40,0,40
2022-11-06T00:14:26,0,40,0,40
2022-11-06T00:23:41,0,40,0,40
2022-11-06T00:32:57,0,40,0,40
2022-11-06T00:42:12,0,40,0,40
2022-11-06T00:51:28,0,40,0,40
2022-11-06T01:00:43,0,40,0,40
2022-11-06T01:09:58,0,40,0,40
2022-11-06T01:19:13,0,40,0,40
2022-11-06T01:28:30,0,40,0,40
2022-11-06T01:37:46,0,40,0,40
2022-11-06T01:47:01,0,40,0,40
2022-11-06T01:56:17,0,40,0,40
2022-11-06T01:05:34,0,40,0,40
2022-11-06T01:14:50,0,40,0,40
2022-11-06T01:24:06,0,40,0,40
2022-11-06T01:33:22,0,40,0,40
2022-11-06T01:42:37,0,40,0,40
2022-11-06T01:51:55,0,40,0,40
2022-11-06T02:01:14,0,40,0,40
2022-11-06T02:10:33,0,40,0,40
2022-11-06T02:19:52,0,40,0,40
