time,enrolled,available,waitlisted,total
2022-11-05T20:13:10,0,70,0,70
2022-11-05T20:22:27,0,70,0,70
2022-11-05T20:31:44,0,70,0,70
2022-11-05T20:41:12,0,70,0,70
2022-11-05T20:50:28,0,70,0,70
2022-11-05T20:59:43,0,70,0,70
2022-11-05T21:08:59,0,70,0,70
2022-11-05T21:18:14,0,70,0,70
2022-11-05T21:27:29,0,70,0,70
2022-11-05T21:36:45,0,70,0,70
2022-11-05T21:46:01,0,70,0,70
2022-11-05T21:55:17,0,70,0,70
2022-11-05T22:04:32,0,70,0,70
2022-11-05T22:13:47,0,70,0,70
2022-11-05T22:23:02,0,70,0,70
2022-11-05T22:32:18,0,70,0,70
2022-11-05T22:41:36,0,70,0,70
2022-11-05T22:50:51,0,70,0,70
2022-11-05T23:00:07,0,70,0,70
2022-11-05T23:09:24,0,70,0,70
2022-11-05T23:18:40,0,70,0,70
2022-11-05T23:27:56,0,70,0,70
2022-11-05T23:37:13,0,70,0,70
2022-11-05T23:46:30,0,70,0,70
2022-11-05T23:55:46,0,70,0,70
2022-11-06T00:05:11,0,70,0,70
2022-11-06T00:14:28,0,70,0,70
2022-11-06T00:23:43,0,70,0,70
2022-11-06T00:32:59,0,70,0,70
2022-11-06T00:42:15,0,70,0,70
2022-11-06T00:51:30,0,70,0,70
2022-11-06T01:00:45,0,70,0,70
2022-11-06T01:10:00,0,70,0,70
2022-11-06T01:19:16,0,70,0,70
2022-11-06T01:28:32,0,70,0,70
2022-11-06T01:37:48,0,70,0,70
2022-11-06T01:47:04,0,70,0,70
2022-11-06T01:56:20,0,70,0,70
2022-11-06T01:05:36,0,70,0,70
2022-11-06T01:14:53,0,70,0,70
2022-11-06T01:24:08,0,70,0,70
2022-11-06T01:33:24,0,70,0,70
2022-11-06T01:42:39,0,70,0,70
2022-11-06T01:51:57,0,70,0,70
2022-11-06T02:01:17,0,70,0,70
2022-11-06T02:10:35,0,70,0,70
2022-11-06T02:19:54,0,70,0,70
2022-11-06T02:29:14,0,70,0,70
2022-11-06T02:38:34,0,70,0,70
2022-11-06T02:47:53,0,70,0,70
2022-11-06T02:57:12,0,70,0,70
2022-11-06T03:06:30,0,70,0,70
2022-11-06T03:15:47,0,70,0,70
2022-11-06T03:25:04,0,70,0,70
2022-11-06T03:34:22,0,70,0,70
2022-11-06T03:43:42,0,70,0,70
2022-11-06T03:53:02,0,70,0,70
2022-11-06T04:02:21,0,70,0,70
2022-11-06T04:17:40,0,70,0,70
2022-11-06T04:27:00,0,70,0,70
2022-11-06T04:36:19,0,70,0,70
2022-11-06T04:46:46,0,70,0,70
2022-11-06T04:56:21,0,70,0,70
2022-11-06T05:05:39,0,70,0,70
2022-11-06T05:14:56,0,70,0,70
2022-11-06T05:24:12,0,70,0,70
2022-11-06T05:33:30,0,70,0,70
2022-11-06T05:42:45,0,70,0,70
2022-11-06T05:52:01,0,70,0,70
2022-11-06T06:01:19,0,70,0,70
2022-11-06T06:10:39,0,70,0,70
2022-11-06T06:19:57,0,70,0,70
2022-11-06T06:29:14,0,70,0,70
2022-11-06T06:38:30,0,70,0,70
2022-11-06T06:47:46,0,70,0,70
2022-11-06T06:57:02,0,70,0,70
2022-11-06T07:06:19,0,70,0,70
2022-11-06T07:15:36,0,70,0,70
2022-11-06T07:24:54,0,70,0,70
2022-11-06T07:34:11,0,70,0,70
2022-11-06T07:43:30,0,70,0,70
2022-11-06T07:52:48,0,70,0,70
2022-11-06T08:02:04,0,70,0,70
2022-11-06T08:11:21,0,70,0,70
2022-11-06T08:20:38,0,70,0,70
2022-11-06T08:29:56,0,70,0,70
2022-11-06T08:39:13,0,70,0,70
2022-11-06T08:48:28,0,70,0,70
2022-11-06T08:57:46,0,70,0,70
2022-11-06T09:07:02,0,70,0,70
2022-11-06T09:16:17,0,70,0,70
