time,enrolled,available,waitlisted,total
2022-11-05T20:13:15,0,192,0,192
2022-11-05T20:22:33,0,192,0,192
2022-11-05T20:31:50,0,192,0,192
2022-11-05T20:41:17,0,192,0,192
2022-11-05T20:50:33,0,192,0,192
2022-11-05T20:59:49,0,192,0,192
2022-11-05T21:09:04,0,192,0,192
2022-11-05T21:18:20,0,192,0,192
2022-11-05T21:27:35,0,192,0,192
2022-11-05T21:36:51,0,192,0,192
2022-11-05T21:46:07,0,192,0,192
2022-11-05T21:55:22,0,192,0,192
2022-11-05T22:04:37,0,192,0,192
2022-11-05T22:13:53,0,192,0,192
2022-11-05T22:23:08,0,192,0,192
2022-11-05T22:32:24,0,192,0,192
2022-11-05T22:41:41,0,192,0,192
2022-11-05T22:50:57,0,192,0,192
2022-11-05T23:00:13,0,192,0,192
2022-11-05T23:09:29,0,192,0,192
2022-11-05T23:18:45,0,192,0,192
2022-11-05T23:28:02,0,192,0,192
2022-11-05T23:37:19,0,192,0,192
2022-11-05T23:46:36,0,192,0,192
2022-11-05T23:55:52,0,192,0,192
2022-11-06T00:05:16,0,192,0,192
2022-11-06T00:14:33,0,192,0,192
2022-11-06T00:23:49,0,192,0,192
2022-11-06T00:33:05,0,192,0,192
2022-11-06T00:42:20,0,192,0,192
2022-11-06T00:51:35,0,192,0,192
2022-11-06T01:00:51,0,192,0,192
2022-11-06T01:10:06,0,192,0,192
2022-11-06T01:19:22,0,192,0,192
2022-11-06T01:28:38,0,192,0,192
2022-11-06T01:37:54,0,192,0,192
2022-11-06T01:47:09,0,192,0,192
2022-11-06T01:56:25,0,192,0,192
2022-11-06T01:05:42,0,192,0,192
2022-11-06T01:14:58,0,192,0,192
2022-11-06T01:24:14,0,192,0,192
2022-11-06T01:33:30,0,192,0,192
2022-11-06T01:42:45,0,192,0,192
2022-11-06T01:52:03,0,192,0,192
2022-11-06T02:01:22,0,192,0,192
2022-11-06T02:10:41,0,192,0,192
2022-11-06T02:19:59,0,192,0,192
2022-11-06T02:29:20,0,192,0,192
2022-11-06T02:38:40,0,192,0,192
2022-11-06T02:47:59,0,192,0,192
2022-11-06T02:57:17,0,192,0,192
2022-11-06T03:06:36,0,192,0,192
2022-11-06T03:15:53,0,192,0,192
2022-11-06T03:25:09,0,192,0,192
2022-11-06T03:34:28,0,192,0,192
2022-11-06T03:43:47,0,192,0,192
2022-11-06T03:53:07,0,192,0,192
2022-11-06T04:02:27,0,192,0,192
2022-11-06T04:17:45,0,192,0,192
2022-11-06T04:27:05,0,192,0,192
2022-11-06T04:36:24,0,192,0,192
2022-11-06T04:46:52,0,192,0,192
2022-11-06T04:56:27,0,192,0,192
2022-11-06T05:05:45,0,192,0,192
2022-11-06T05:15:02,0,192,0,192
2022-11-06T05:24:18,0,192,0,192
2022-11-06T05:33:35,0,192,0,192
2022-11-06T05:42:50,0,192,0,192
2022-11-06T05:52:07,0,192,0,192
2022-11-06T06:01:25,0,192,0,192
2022-11-06T06:10:44,0,192,0,192
2022-11-06T06:20:02,0,192,0,192
2022-11-06T06:29:20,0,192,0,192
2022-11-06T06:38:36,0,192,0,192
2022-11-06T06:47:52,0,192,0,192
2022-11-06T06:57:07,0,192,0,192
2022-11-06T07:06:25,0,192,0,192
2022-11-06T07:15:42,0,192,0,192
2022-11-06T07:24:59,0,192,0,192
2022-11-06T07:34:17,0,192,0,192
2022-11-06T07:43:36,0,192,0,192
2022-11-06T07:52:54,0,192,0,192
2022-11-06T08:02:10,0,192,0,192
2022-11-06T08:11:27,0,192,0,192
2022-11-06T08:20:44,0,192,0,192
2022-11-06T08:30:02,0,192,0,192
2022-11-06T08:39:18,0,192,0,192
2022-11-06T08:48:34,0,192,0,192
2022-11-06T08:57:52,0,192,0,192
2022-11-06T09:07:08,0,192,0,192
2022-11-06T09:16:22,0,192,0,192
2022-11-06T09:25:36,0,192,0,192
2022-11-06T09:34:49,0,192,0,192
2022-11-06T09:44:04,0,192,0,192
2022-11-06T09:53:18,0,192,0,192
2022-11-06T10:02:31,0,192,0,192
2022-11-06T10:11:45,0,192,0,192
2022-11-06T10:20:58,0,192,0,192
2022-11-06T10:30:15,0,192,0,192
2022-11-06T10:39:29,0,192,0,192
2022-11-06T10:48:44,0,192,0,192
2022-11-06T10:57:59,0,192,0,192
2022-11-06T11:07:13,0,192,0,192
2022-11-06T11:16:28,0,192,0,192
2022-11-06T11:25:47,0,192,0,192
2022-11-06T11:35:09,0,192,0,192
2022-11-06T11:44:24,0,192,0,192
2022-11-06T11:53:38,0,192,0,192
2022-11-06T12:02:52,0,192,0,192
2022-11-06T12:12:08,0,192,0,192
2022-11-06T12:21:33,0,192,0,192
2022-11-06T12:30:47,0,192,0,192
2022-11-06T12:40:01,0,192,0,192
2022-11-06T12:49:16,0,192,0,192
2022-11-06T12:58:30,0,192,0,192
2022-11-06T13:07:45,0,192,0,192
2022-11-06T13:17:01,0,192,0,192
2022-11-06T13:26:16,0,192,0,192
2022-11-06T13:35:30,0,192,0,192
2022-11-06T13:44:44,0,192,0,192
2022-11-06T13:53:57,0,192,0,192
2022-11-06T14:03:13,0,192,0,192
2022-11-06T14:12:28,0,192,0,192
2022-11-06T14:21:51,0,192,0,192
2022-11-06T14:31:04,0,192,0,192
2022-11-06T14:40:20,0,192,0,192
2022-11-06T14:49:36,0,192,0,192
2022-11-06T14:58:50,0,192,0,192
2022-11-06T15:08:03,0,192,0,192
2022-11-06T15:17:16,0,192,0,192
2022-11-06T15:26:31,0,192,0,192
2022-11-06T15:35:44,0,192,0,192
2022-11-06T15:44:59,0,192,0,192
2022-11-06T15:54:11,0,192,0,192
2022-11-06T16:03:23,0,192,0,192
2022-11-06T16:12:47,0,192,0,192
2022-11-06T16:22:01,0,192,0,192
2022-11-06T16:31:18,0,192,0,192
2022-11-06T16:40:33,0,192,0,192
2022-11-06T16:49:49,0,192,0,192
2022-11-06T16:59:04,0,192,0,192
2022-11-06T17:08:18,0,192,0,192
2022-11-06T17:17:33,0,192,0,192
2022-11-06T17:26:48,0,192,0,192
2022-11-06T17:36:04,0,192,0,192
2022-11-06T17:45:29,0,192,0,192
2022-11-06T17:54:42,0,192,0,192
2022-11-06T18:03:58,0,192,0,192
2022-11-06T18:13:13,0,192,0,192
2022-11-06T18:22:29,0,192,0,192
2022-11-06T18:31:43,0,192,0,192
2022-11-06T18:40:56,0,192,0,192
2022-11-06T18:50:10,0,192,0,192
2022-11-06T18:59:25,0,192,0,192
2022-11-06T19:08:49,0,192,0,192
2022-11-06T19:18:04,0,192,0,192
2022-11-06T19:27:19,0,192,0,192
2022-11-06T19:36:33,0,192,0,192
2022-11-06T19:45:46,0,192,0,192
2022-11-06T19:55:00,0,192,0,192
2022-11-06T20:04:13,0,192,0,192
2022-11-06T20:13:28,0,192,0,192
2022-11-06T20:22:42,0,192,0,192
2022-11-06T20:31:57,0,192,0,192
2022-11-06T20:41:19,0,192,0,192
2022-11-06T20:50:34,0,192,0,192
2022-11-06T20:59:48,0,192,0,192
2022-11-06T21:09:03,0,192,0,192
2022-11-06T21:18:15,0,192,0,192
2022-11-06T21:27:28,0,192,0,192
2022-11-06T21:36:41,0,192,0,192
2022-11-06T21:45:57,0,192,0,192
2022-11-06T21:55:21,0,192,0,192
2022-11-06T22:04:37,0,192,0,192
2022-11-06T22:13:51,0,192,0,192
2022-11-06T22:23:07,0,192,0,192
2022-11-06T22:32:22,0,192,0,192
2022-11-06T22:41:36,0,192,0,192
2022-11-06T22:50:50,0,192,0,192
2022-11-06T23:00:06,0,192,0,192
2022-11-06T23:09:31,0,192,0,192
2022-11-06T23:18:47,0,192,0,192
2022-11-06T23:28:03,0,192,0,192
2022-11-06T23:37:18,0,192,0,192
2022-11-06T23:46:34,0,192,0,192
2022-11-06T23:55:49,0,192,0,192
2022-11-07T00:06:49,0,192,0,192
2022-11-07T00:16:12,0,192,0,192
2022-11-07T00:25:40,0,192,0,192
2022-11-07T00:34:58,0,192,0,192
2022-11-07T00:44:12,0,192,0,192
