time,enrolled,available,waitlisted,total
2022-11-05T20:13:23,0,56,0,56
2022-11-05T20:22:41,0,56,0,56
2022-11-05T20:31:58,0,56,0,56
2022-11-05T20:41:25,0,56,0,56
2022-11-05T20:50:41,0,56,0,56
2022-11-05T20:59:57,0,56,0,56
2022-11-05T21:09:12,0,56,0,56
2022-11-05T21:18:27,0,56,0,56
2022-11-05T21:27:43,0,56,0,56
2022-11-05T21:36:59,0,56,0,56
2022-11-05T21:46:15,0,56,0,56
2022-11-05T21:55:30,0,56,0,56
2022-11-05T22:04:45,0,56,0,56
2022-11-05T22:14:01,0,56,0,56
2022-11-05T22:23:16,0,56,0,56
2022-11-05T22:32:32,0,56,0,56
2022-11-05T22:41:49,0,56,0,56
2022-11-05T22:51:05,0,56,0,56
2022-11-05T23:00:20,0,56,0,56
2022-11-05T23:09:37,0,56,0,56
2022-11-05T23:18:53,0,56,0,56
2022-11-05T23:28:10,0,56,0,56
2022-11-05T23:37:27,0,56,0,56
2022-11-05T23:46:43,0,56,0,56
2022-11-05T23:56:00,0,56,0,56
2022-11-06T00:05:24,0,56,0,56
2022-11-06T00:14:41,0,56,0,56
2022-11-06T00:23:57,0,56,0,56
2022-11-06T00:33:12,0,56,0,56
2022-11-06T00:42:28,0,56,0,56
2022-11-06T00:51:43,0,56,0,56
2022-11-06T01:00:59,0,56,0,56
2022-11-06T01:10:14,0,56,0,56
2022-11-06T01:19:30,0,56,0,56
2022-11-06T01:28:46,0,56,0,56
2022-11-06T01:38:01,0,56,0,56
2022-11-06T01:47:17,0,56,0,56
2022-11-06T01:56:33,0,56,0,56
2022-11-06T01:05:49,0,56,0,56
2022-11-06T01:15:06,0,56,0,56
2022-11-06T01:24:22,0,56,0,56
2022-11-06T01:33:38,0,56,0,56
2022-11-06T01:42:53,0,56,0,56
2022-11-06T01:52:11,0,56,0,56
2022-11-06T02:01:30,0,56,0,56
2022-11-06T02:10:49,0,56,0,56
2022-11-06T02:20:07,0,56,0,56
2022-11-06T02:29:28,0,56,0,56
2022-11-06T02:38:48,0,56,0,56
2022-11-06T02:48:07,0,56,0,56
2022-11-06T02:57:25,0,56,0,56
2022-11-06T03:06:44,0,56,0,56
2022-11-06T03:16:01,0,56,0,56
2022-11-06T03:25:17,0,56,0,56
2022-11-06T03:34:35,0,56,0,56
2022-11-06T03:43:55,0,56,0,56
2022-11-06T03:53:15,0,56,0,56
2022-11-06T04:02:34,0,56,0,56
2022-11-06T04:17:53,0,56,0,56
2022-11-06T04:27:13,0,56,0,56
2022-11-06T04:36:32,0,56,0,56
2022-11-06T04:47:00,0,56,0,56
2022-11-06T04:56:35,0,56,0,56
2022-11-06T05:05:52,0,56,0,56
2022-11-06T05:15:10,0,56,0,56
2022-11-06T05:24:26,0,56,0,56
2022-11-06T05:33:43,0,56,0,56
2022-11-06T05:42:58,0,56,0,56
2022-11-06T05:52:15,0,56,0,56
2022-11-06T06:01:33,0,56,0,56
2022-11-06T06:10:52,0,56,0,56
2022-11-06T06:20:10,0,56,0,56
2022-11-06T06:29:27,0,56,0,56
2022-11-06T06:38:44,0,56,0,56
2022-11-06T06:47:59,0,56,0,56
2022-11-06T06:57:15,0,56,0,56
2022-11-06T07:06:32,0,56,0,56
2022-11-06T07:15:50,0,56,0,56
2022-11-06T07:25:07,0,56,0,56
2022-11-06T07:34:25,0,56,0,56
2022-11-06T07:43:44,0,56,0,56
2022-11-06T07:53:02,0,56,0,56
2022-11-06T08:02:18,0,56,0,56
2022-11-06T08:11:35,0,56,0,56
2022-11-06T08:20:52,0,56,0,56
2022-11-06T08:30:09,0,56,0,56
2022-11-06T08:39:26,0,56,0,56
2022-11-06T08:48:42,0,56,0,56
2022-11-06T08:58:00,0,56,0,56
2022-11-06T09:07:15,0,56,0,56
2022-11-06T09:16:30,0,56,0,56
2022-11-06T09:25:44,0,56,0,56
2022-11-06T09:34:57,0,56,0,56
2022-11-06T09:44:12,0,56,0,56
2022-11-06T09:53:26,0,56,0,56
2022-11-06T10:02:39,0,56,0,56
2022-11-06T10:11:52,0,56,0,56
2022-11-06T10:21:06,0,56,0,56
2022-11-06T10:30:22,0,56,0,56
2022-11-06T10:39:37,0,56,0,56
2022-11-06T10:48:51,0,56,0,56
2022-11-06T10:58:07,0,56,0,56
2022-11-06T11:07:21,0,56,0,56
2022-11-06T11:16:36,0,56,0,56
2022-11-06T11:25:55,0,56,0,56
2022-11-06T11:35:17,0,56,0,56
2022-11-06T11:44:32,0,56,0,56
2022-11-06T11:53:46,0,56,0,56
2022-11-06T12:03:00,0,56,0,56
2022-11-06T12:12:16,0,56,0,56
2022-11-06T12:21:41,0,56,0,56
2022-11-06T12:30:55,0,56,0,56
2022-11-06T12:40:09,0,56,0,56
2022-11-06T12:49:24,0,56,0,56
2022-11-06T12:58:38,0,56,0,56
2022-11-06T13:07:53,0,56,0,56
2022-11-06T13:17:09,0,56,0,56
2022-11-06T13:26:24,0,56,0,56
2022-11-06T13:35:38,0,56,0,56
2022-11-06T13:44:52,0,56,0,56
