time,enrolled,available,waitlisted,total
2022-11-05T20:13:31,0,20,0,20
2022-11-05T20:22:49,0,20,0,20
2022-11-05T20:32:05,0,20,0,20
2022-11-05T20:41:33,0,20,0,20
2022-11-05T20:50:49,0,20,0,20
2022-11-05T21:00:05,0,20,0,20
2022-11-05T21:09:20,0,20,0,20
2022-11-05T21:18:35,0,20,0,20
2022-11-05T21:27:51,0,20,0,20
2022-11-05T21:37:07,0,20,0,20
2022-11-05T21:46:23,0,20,0,20
2022-11-05T21:55:38,0,20,0,20
2022-11-05T22:04:53,0,20,0,20
2022-11-05T22:14:09,0,20,0,20
2022-11-05T22:23:24,0,20,0,20
2022-11-05T22:32:40,0,20,0,20
2022-11-05T22:41:57,0,20,0,20
2022-11-05T22:51:13,0,20,0,20
2022-11-05T23:00:28,0,20,0,20
2022-11-05T23:09:45,0,20,0,20
2022-11-05T23:19:01,0,20,0,20
2022-11-05T23:28:17,0,20,0,20
2022-11-05T23:37:35,0,20,0,20
2022-11-05T23:46:51,0,20,0,20
2022-11-05T23:56:07,0,20,0,20
2022-11-06T00:05:32,0,20,0,20
2022-11-06T00:14:49,0,20,0,20
2022-11-06T00:24:05,0,20,0,20
2022-11-06T00:33:20,0,20,0,20
2022-11-06T00:42:36,0,20,0,20
2022-11-06T00:51:51,0,20,0,20
2022-11-06T01:01:06,0,20,0,20
2022-11-06T01:10:22,0,20,0,20
2022-11-06T01:19:37,0,20,0,20
2022-11-06T01:28:54,0,20,0,20
2022-11-06T01:38:09,0,20,0,20
2022-11-06T01:47:25,0,20,0,20
2022-11-06T01:56:41,0,20,0,20
2022-11-06T01:05:57,0,20,0,20
2022-11-06T01:15:14,0,20,0,20
2022-11-06T01:24:30,0,20,0,20
2022-11-06T01:33:46,0,20,0,20
2022-11-06T01:43:01,0,20,0,20
2022-11-06T01:52:19,0,20,0,20
2022-11-06T02:01:38,0,20,0,20
2022-11-06T02:10:57,0,20,0,20
2022-11-06T02:20:15,0,20,0,20
2022-11-06T02:29:36,0,20,0,20
2022-11-06T02:38:55,0,20,0,20
2022-11-06T02:48:15,0,20,0,20
2022-11-06T02:57:33,0,20,0,20
2022-11-06T03:06:52,0,20,0,20
2022-11-06T03:16:09,0,20,0,20
2022-11-06T03:25:25,0,20,0,20
2022-11-06T03:34:43,0,20,0,20
2022-11-06T03:44:03,0,20,0,20
2022-11-06T03:53:23,0,20,0,20
2022-11-06T04:02:42,0,20,0,20
2022-11-06T04:18:01,0,20,0,20
2022-11-06T04:27:21,0,20,0,20
2022-11-06T04:36:40,0,20,0,20
2022-11-06T04:47:08,0,20,0,20
2022-11-06T04:56:43,0,20,0,20
2022-11-06T05:06:00,0,20,0,20
2022-11-06T05:15:17,0,20,0,20
2022-11-06T05:24:34,0,20,0,20
2022-11-06T05:33:51,0,20,0,20
2022-11-06T05:43:06,0,20,0,20
2022-11-06T05:52:23,0,20,0,20
2022-11-06T06:01:41,0,20,0,20
2022-11-06T06:11:00,0,20,0,20
2022-11-06T06:20:18,0,20,0,20
2022-11-06T06:29:35,0,20,0,20
2022-11-06T06:38:51,0,20,0,20
2022-11-06T06:48:07,0,20,0,20
2022-11-06T06:57:23,0,20,0,20
2022-11-06T07:06:40,0,20,0,20
2022-11-06T07:15:58,0,20,0,20
2022-11-06T07:25:15,0,20,0,20
2022-11-06T07:34:33,0,20,0,20
2022-11-06T07:43:52,0,20,0,20
2022-11-06T07:53:10,0,20,0,20
2022-11-06T08:02:26,0,20,0,20
2022-11-06T08:11:42,0,20,0,20
2022-11-06T08:21:00,0,20,0,20
2022-11-06T08:30:17,0,20,0,20
2022-11-06T08:39:34,0,20,0,20
2022-11-06T08:48:50,0,20,0,20
2022-11-06T08:58:08,0,20,0,20
2022-11-06T09:07:23,0,20,0,20
2022-11-06T09:16:38,0,20,0,20
2022-11-06T09:25:52,0,20,0,20
2022-11-06T09:35:05,0,20,0,20
2022-11-06T09:44:20,0,20,0,20
2022-11-06T09:53:33,0,20,0,20
2022-11-06T10:02:47,0,20,0,20
2022-11-06T10:12:00,0,20,0,20
2022-11-06T10:21:14,0,20,0,20
2022-11-06T10:30:30,0,20,0,20
2022-11-06T10:39:45,0,20,0,20
2022-11-06T10:48:59,0,20,0,20
2022-11-06T10:58:15,0,20,0,20
2022-11-06T11:07:29,0,20,0,20
2022-11-06T11:16:44,0,20,0,20
2022-11-06T11:26:03,0,20,0,20
2022-11-06T11:35:25,0,20,0,20
2022-11-06T11:44:40,0,20,0,20
2022-11-06T11:53:54,0,20,0,20
2022-11-06T12:03:08,0,20,0,20
2022-11-06T12:12:24,0,20,0,20
2022-11-06T12:21:49,0,20,0,20
