time,enrolled,available,waitlisted,total
2022-11-05T20:13:32,0,20,0,20
2022-11-05T20:22:49,0,20,0,20
2022-11-05T20:32:06,0,20,0,20
2022-11-05T20:41:34,0,20,0,20
2022-11-05T20:50:50,0,20,0,20
2022-11-05T21:00:06,0,20,0,20
2022-11-05T21:09:21,0,20,0,20
2022-11-05T21:18:36,0,20,0,20
2022-11-05T21:27:52,0,20,0,20
2022-11-05T21:37:07,0,20,0,20
2022-11-05T21:46:24,0,20,0,20
2022-11-05T21:55:39,0,20,0,20
2022-11-05T22:04:54,0,20,0,20
2022-11-05T22:14:09,0,20,0,20
2022-11-05T22:23:24,0,20,0,20
2022-11-05T22:32:41,0,20,0,20
2022-11-05T22:41:58,0,20,0,20
2022-11-05T22:51:13,0,20,0,20
2022-11-05T23:00:29,0,20,0,20
2022-11-05T23:09:46,0,20,0,20
2022-11-05T23:19:02,0,20,0,20
2022-11-05T23:28:18,0,20,0,20
2022-11-05T23:37:36,0,20,0,20
2022-11-05T23:46:52,0,20,0,20
2022-11-05T23:56:08,0,20,0,20
2022-11-06T00:05:33,0,20,0,20
2022-11-06T00:14:50,0,20,0,20
2022-11-06T00:24:06,0,20,0,20
2022-11-06T00:33:21,0,20,0,20
2022-11-06T00:42:37,0,20,0,20
2022-11-06T00:51:52,0,20,0,20
2022-11-06T01:01:07,0,20,0,20
2022-11-06T01:10:23,0,20,0,20
2022-11-06T01:19:38,0,20,0,20
2022-11-06T01:28:55,0,20,0,20
2022-11-06T01:38:10,0,20,0,20
2022-11-06T01:47:26,0,20,0,20
2022-11-06T01:56:42,0,20,0,20
2022-11-06T01:05:58,0,20,0,20
2022-11-06T01:15:15,0,20,0,20
2022-11-06T01:24:30,0,20,0,20
2022-11-06T01:33:47,0,20,0,20
2022-11-06T01:43:01,0,20,0,20
2022-11-06T01:52:20,0,20,0,20
2022-11-06T02:01:39,0,20,0,20
2022-11-06T02:10:57,0,20,0,20
2022-11-06T02:20:16,0,20,0,20
2022-11-06T02:29:37,0,20,0,20
2022-11-06T02:38:56,0,20,0,20
2022-11-06T02:48:15,0,20,0,20
2022-11-06T02:57:34,0,20,0,20
2022-11-06T03:06:53,0,20,0,20
2022-11-06T03:16:09,0,20,0,20
2022-11-06T03:25:26,0,20,0,20
2022-11-06T03:34:44,0,20,0,20
2022-11-06T03:44:04,0,20,0,20
2022-11-06T03:53:24,0,20,0,20
2022-11-06T04:02:43,0,20,0,20
2022-11-06T04:18:02,0,20,0,20
2022-11-06T04:27:22,0,20,0,20
2022-11-06T04:36:41,0,20,0,20
2022-11-06T04:47:09,0,20,0,20
2022-11-06T04:56:44,0,20,0,20
2022-11-06T05:06:01,0,20,0,20
2022-11-06T05:15:18,0,20,0,20
2022-11-06T05:24:35,0,20,0,20
2022-11-06T05:33:52,0,20,0,20
2022-11-06T05:43:07,0,20,0,20
2022-11-06T05:52:24,0,20,0,20
2022-11-06T06:01:42,0,20,0,20
2022-11-06T06:11:01,0,20,0,20
2022-11-06T06:20:19,0,20,0,20
2022-11-06T06:29:36,0,20,0,20
2022-11-06T06:38:52,0,20,0,20
2022-11-06T06:48:08,0,20,0,20
2022-11-06T06:57:24,0,20,0,20
2022-11-06T07:06:41,0,20,0,20
2022-11-06T07:15:58,0,20,0,20
2022-11-06T07:25:16,0,20,0,20
2022-11-06T07:34:34,0,20,0,20
2022-11-06T07:43:52,0,20,0,20
2022-11-06T07:53:11,0,20,0,20
2022-11-06T08:02:27,0,20,0,20
2022-11-06T08:11:43,0,20,0,20
2022-11-06T08:21:01,0,20,0,20
2022-11-06T08:30:18,0,20,0,20
2022-11-06T08:39:35,0,20,0,20
2022-11-06T08:48:51,0,20,0,20
2022-11-06T08:58:09,0,20,0,20
2022-11-06T09:07:24,0,20,0,20
2022-11-06T09:16:39,0,20,0,20
2022-11-06T09:25:53,0,20,0,20
2022-11-06T09:35:06,0,20,0,20
2022-11-06T09:44:20,0,20,0,20
2022-11-06T09:53:34,0,20,0,20
2022-11-06T10:02:48,0,20,0,20
2022-11-06T10:12:01,0,20,0,20
2022-11-06T10:21:15,0,20,0,20
2022-11-06T10:30:31,0,20,0,20
2022-11-06T10:39:45,0,20,0,20
2022-11-06T10:49:00,0,20,0,20
2022-11-06T10:58:16,0,20,0,20
2022-11-06T11:07:30,0,20,0,20
2022-11-06T11:16:45,0,20,0,20
2022-11-06T11:26:04,0,20,0,20
2022-11-06T11:35:26,0,20,0,20
2022-11-06T11:44:41,0,20,0,20
2022-11-06T11:53:55,0,20,0,20
2022-11-06T12:03:09,0,20,0,20
2022-11-06T12:12:25,0,20,0,20
2022-11-06T12:21:50,0,20,0,20
2022-11-06T12:31:04,0,20,0,20
2022-11-06T12:40:17,0,20,0,20
2022-11-06T12:49:33,0,20,0,20
2022-11-06T12:58:47,0,20,0,20
2022-11-06T13:08:02,0,20,0,20
2022-11-06T13:17:17,0,20,0,20
2022-11-06T13:26:32,0,20,0,20
2022-11-06T13:35:46,0,20,0,20
2022-11-06T13:45:00,0,20,0,20
2022-11-06T13:54:14,0,20,0,20
2022-11-06T14:03:29,0,20,0,20
2022-11-06T14:12:44,0,20,0,20
2022-11-06T14:22:07,0,20,0,20
2022-11-06T14:31:21,0,20,0,20
2022-11-06T14:40:36,0,20,0,20
2022-11-06T14:49:52,0,20,0,20
2022-11-06T14:59:06,0,20,0,20
2022-11-06T15:08:19,0,20,0,20
2022-11-06T15:17:33,0,20,0,20
2022-11-06T15:26:47,0,20,0,20
2022-11-06T15:36:00,0,20,0,20
2022-11-06T15:45:15,0,20,0,20
2022-11-06T15:54:27,0,20,0,20
2022-11-06T16:03:40,0,20,0,20
2022-11-06T16:13:03,0,20,0,20
2022-11-06T16:22:18,0,20,0,20
2022-11-06T16:31:35,0,20,0,20
2022-11-06T16:40:50,0,20,0,20
2022-11-06T16:50:06,0,20,0,20
2022-11-06T16:59:21,0,20,0,20
2022-11-06T17:08:35,0,20,0,20
2022-11-06T17:17:49,0,20,0,20
2022-11-06T17:27:05,0,20,0,20
2022-11-06T17:36:21,0,20,0,20
2022-11-06T17:45:45,0,20,0,20
2022-11-06T17:54:59,0,20,0,20
2022-11-06T18:04:15,0,20,0,20
2022-11-06T18:13:30,0,20,0,20
2022-11-06T18:22:45,0,20,0,20
2022-11-06T18:31:59,0,20,0,20
2022-11-06T18:41:12,0,20,0,20
2022-11-06T18:50:26,0,20,0,20
2022-11-06T18:59:41,0,20,0,20
2022-11-06T19:09:06,0,20,0,20
2022-11-06T19:18:20,0,20,0,20
2022-11-06T19:27:35,0,20,0,20
2022-11-06T19:36:49,0,20,0,20
2022-11-06T19:46:02,0,20,0,20
2022-11-06T19:55:16,0,20,0,20
2022-11-06T20:04:30,0,20,0,20
2022-11-06T20:13:44,0,20,0,20
2022-11-06T20:22:58,0,20,0,20
2022-11-06T20:32:14,0,20,0,20
2022-11-06T20:41:36,0,20,0,20
