time,enrolled,available,waitlisted,total
2022-11-05T20:13:34,0,15,0,15
2022-11-05T20:22:52,0,15,0,15
2022-11-05T20:32:08,0,15,0,15
2022-11-05T20:41:36,0,15,0,15
2022-11-05T20:50:52,0,15,0,15
2022-11-05T21:00:08,0,15,0,15
2022-11-05T21:09:23,0,15,0,15
2022-11-05T21:18:38,0,15,0,15
2022-11-05T21:27:54,0,15,0,15
2022-11-05T21:37:10,0,15,0,15
2022-11-05T21:46:26,0,15,0,15
2022-11-05T21:55:41,0,15,0,15
2022-11-05T22:04:56,0,15,0,15
2022-11-05T22:14:12,0,15,0,15
2022-11-05T22:23:27,0,15,0,15
2022-11-05T22:32:43,0,15,0,15
2022-11-05T22:42:00,0,15,0,15
2022-11-05T22:51:16,0,15,0,15
2022-11-05T23:00:31,0,15,0,15
2022-11-05T23:09:48,0,15,0,15
2022-11-05T23:19:04,0,15,0,15
2022-11-05T23:28:20,0,15,0,15
2022-11-05T23:37:38,0,15,0,15
2022-11-05T23:46:54,0,15,0,15
2022-11-05T23:56:10,0,15,0,15
2022-11-06T00:05:35,0,15,0,15
2022-11-06T00:14:52,0,15,0,15
2022-11-06T00:24:08,0,15,0,15
2022-11-06T00:33:23,0,15,0,15
2022-11-06T00:42:39,0,15,0,15
2022-11-06T00:51:54,0,15,0,15
2022-11-06T01:01:09,0,15,0,15
2022-11-06T01:10:25,0,15,0,15
2022-11-06T01:19:40,0,15,0,15
2022-11-06T01:28:57,0,15,0,15
2022-11-06T01:38:12,0,15,0,15
2022-11-06T01:47:28,0,15,0,15
2022-11-06T01:56:44,0,15,0,15
2022-11-06T01:06:00,0,15,0,15
2022-11-06T01:15:17,0,15,0,15
2022-11-06T01:24:33,0,15,0,15
2022-11-06T01:33:49,0,15,0,15
2022-11-06T01:43:04,0,15,0,15
2022-11-06T01:52:22,0,15,0,15
2022-11-06T02:01:41,0,15,0,15
2022-11-06T02:11:00,0,15,0,15
2022-11-06T02:20:18,0,15,0,15
2022-11-06T02:29:39,0,15,0,15
2022-11-06T02:38:58,0,15,0,15
2022-11-06T02:48:18,0,15,0,15
2022-11-06T02:57:36,0,15,0,15
2022-11-06T03:06:55,0,15,0,15
2022-11-06T03:16:12,0,15,0,15
2022-11-06T03:25:28,0,15,0,15
2022-11-06T03:34:46,0,15,0,15
2022-11-06T03:44:06,0,15,0,15
2022-11-06T03:53:26,0,15,0,15
2022-11-06T04:02:45,0,15,0,15
2022-11-06T04:18:04,0,15,0,15
2022-11-06T04:27:24,0,15,0,15
2022-11-06T04:36:43,0,15,0,15
2022-11-06T04:47:11,0,15,0,15
2022-11-06T04:56:46,0,15,0,15
2022-11-06T05:06:03,0,15,0,15
2022-11-06T05:15:21,0,15,0,15
2022-11-06T05:24:37,0,15,0,15
2022-11-06T05:33:54,0,15,0,15
2022-11-06T05:43:09,0,15,0,15
2022-11-06T05:52:26,0,15,0,15
2022-11-06T06:01:44,0,15,0,15
2022-11-06T06:11:03,0,15,0,15
2022-11-06T06:20:21,0,15,0,15
2022-11-06T06:29:38,0,15,0,15
2022-11-06T06:38:54,0,15,0,15
2022-11-06T06:48:10,0,15,0,15
2022-11-06T06:57:26,0,15,0,15
2022-11-06T07:06:43,0,15,0,15
2022-11-06T07:16:01,0,15,0,15
2022-11-06T07:25:18,0,15,0,15
2022-11-06T07:34:36,0,15,0,15
2022-11-06T07:43:55,0,15,0,15
2022-11-06T07:53:13,0,15,0,15
2022-11-06T08:02:29,0,15,0,15
2022-11-06T08:11:45,0,15,0,15
2022-11-06T08:21:03,0,15,0,15
2022-11-06T08:30:20,0,15,0,15
2022-11-06T08:39:37,0,15,0,15
2022-11-06T08:48:53,0,15,0,15
2022-11-06T08:58:11,0,15,0,15
2022-11-06T09:07:26,0,15,0,15
2022-11-06T09:16:41,0,15,0,15
2022-11-06T09:25:55,0,15,0,15
2022-11-06T09:35:08,0,15,0,15
2022-11-06T09:44:23,0,15,0,15
2022-11-06T09:53:37,0,15,0,15
2022-11-06T10:02:50,0,15,0,15
2022-11-06T10:12:03,0,15,0,15
2022-11-06T10:21:17,0,15,0,15
2022-11-06T10:30:33,0,15,0,15
2022-11-06T10:39:48,0,15,0,15
2022-11-06T10:49:02,0,15,0,15
2022-11-06T10:58:18,0,15,0,15
2022-11-06T11:07:32,0,15,0,15
