time,enrolled,available,waitlisted,total
2022-11-05T20:13:36,0,14,0,14
2022-11-05T20:22:53,0,14,0,14
2022-11-05T20:32:10,0,14,0,14
2022-11-05T20:41:38,0,14,0,14
2022-11-05T20:50:54,0,14,0,14
2022-11-05T21:00:10,0,14,0,14
2022-11-05T21:09:25,0,14,0,14
2022-11-05T21:18:40,0,14,0,14
2022-11-05T21:27:56,0,14,0,14
2022-11-05T21:37:11,0,14,0,14
2022-11-05T21:46:28,0,14,0,14
2022-11-05T21:55:43,0,14,0,14
2022-11-05T22:04:58,0,14,0,14
2022-11-05T22:14:13,0,14,0,14
2022-11-05T22:23:28,0,14,0,14
2022-11-05T22:32:45,0,14,0,14
2022-11-05T22:42:02,0,14,0,14
2022-11-05T22:51:17,0,14,0,14
2022-11-05T23:00:33,0,14,0,14
2022-11-05T23:09:50,0,14,0,14
2022-11-05T23:19:06,0,14,0,14
2022-11-05T23:28:22,0,14,0,14
2022-11-05T23:37:40,0,14,0,14
2022-11-05T23:46:56,0,14,0,14
2022-11-05T23:56:12,0,14,0,14
2022-11-06T00:05:37,0,14,0,14
2022-11-06T00:14:54,0,14,0,14
2022-11-06T00:24:09,0,14,0,14
2022-11-06T00:33:25,0,14,0,14
2022-11-06T00:42:41,0,14,0,14
2022-11-06T00:51:56,0,14,0,14
2022-11-06T01:01:11,0,14,0,14
2022-11-06T01:10:27,0,14,0,14
2022-11-06T01:19:42,0,14,0,14
2022-11-06T01:28:58,0,14,0,14
2022-11-06T01:38:14,0,14,0,14
2022-11-06T01:47:30,0,14,0,14
2022-11-06T01:56:46,0,14,0,14
2022-11-06T01:06:02,0,14,0,14
2022-11-06T01:15:19,0,14,0,14
2022-11-06T01:24:34,0,14,0,14
2022-11-06T01:33:50,0,14,0,14
2022-11-06T01:43:05,0,14,0,14
2022-11-06T01:52:24,0,14,0,14
2022-11-06T02:01:43,0,14,0,14
2022-11-06T02:11:01,0,14,0,14
2022-11-06T02:20:20,0,14,0,14
2022-11-06T02:29:41,0,14,0,14
2022-11-06T02:39:00,0,14,0,14
2022-11-06T02:48:19,0,14,0,14
2022-11-06T02:57:38,0,14,0,14
2022-11-06T03:06:56,0,14,0,14
2022-11-06T03:16:13,0,14,0,14
2022-11-06T03:25:30,0,14,0,14
2022-11-06T03:34:48,0,14,0,14
2022-11-06T03:44:08,0,14,0,14
2022-11-06T03:53:28,0,14,0,14
