time,enrolled,available,waitlisted,total
2022-11-14T08:08:23,0,119988,0,119988
2022-11-14T08:17:34,0,119988,0,119988
2022-11-14T08:26:46,0,119988,0,119988
2022-11-14T08:35:59,0,119988,0,119988
2022-11-14T08:45:11,0,119988,0,119988
2022-11-14T08:54:21,0,119988,0,119988
2022-11-14T09:03:32,0,119988,0,119988
2022-11-14T09:12:43,0,119988,0,119988
2022-11-14T09:21:59,0,119988,0,119988
2022-11-14T09:31:11,0,119988,0,119988
2022-11-14T09:40:34,0,119988,0,119988
2022-11-14T09:49:45,0,119988,0,119988
2022-11-14T09:58:56,0,119988,0,119988
2022-11-14T10:08:07,0,119988,0,119988
2022-11-14T10:17:17,0,119988,0,119988
2022-11-14T10:26:28,0,119988,0,119988
2022-11-14T10:35:37,0,119988,0,119988
2022-11-14T10:45:05,0,119988,0,119988
2022-11-14T10:54:15,0,119988,0,119988
2022-11-14T11:03:27,0,119988,0,119988
2022-11-14T11:12:39,0,119988,0,119988
2022-11-14T11:21:49,0,119988,0,119988
2022-11-14T11:31:10,0,119988,0,119988
2022-11-14T11:40:19,0,119988,0,119988
2022-11-14T11:49:29,0,119988,0,119988
2022-11-14T11:58:39,0,119988,0,119988
2022-11-14T12:07:49,0,119988,0,119988
2022-11-14T12:17:11,0,119988,0,119988
2022-11-14T12:26:21,0,119988,0,119988
2022-11-14T12:35:32,0,119988,0,119988
2022-11-14T12:44:42,0,119988,0,119988
2022-11-14T12:53:52,0,119988,0,119988
2022-11-14T13:03:02,0,119988,0,119988
2022-11-14T13:12:23,0,119988,0,119988
2022-11-14T13:21:34,0,119988,0,119988
2022-11-14T13:30:46,0,119988,0,119988
2022-11-14T13:39:57,0,119988,0,119988
2022-11-14T13:49:08,0,119988,0,119988
2022-11-14T13:58:19,0,119988,0,119988
2022-11-14T14:07:42,0,119988,0,119988
2022-11-14T14:16:53,0,119988,0,119988
2022-11-14T14:26:03,0,119988,0,119988
2022-11-14T14:35:14,0,119988,0,119988
2022-11-14T14:44:38,0,119988,0,119988
2022-11-14T14:53:49,0,119988,0,119988
2022-11-14T15:02:59,0,119988,0,119988
2022-11-14T15:12:09,0,119988,0,119988
2022-11-14T15:21:19,0,119988,0,119988
2022-11-14T15:30:29,0,119988,0,119988
2022-11-14T15:39:40,0,119988,0,119988
2022-11-14T15:49:01,0,119988,0,119988
2022-11-14T15:58:11,0,119988,0,119988
2022-11-14T16:07:21,0,119988,0,119988
2022-11-14T16:16:30,0,119988,0,119988
2022-11-14T16:25:40,0,119988,0,119988
2022-11-14T16:34:50,0,119988,0,119988
2022-11-14T16:44:10,0,119988,0,119988
2022-11-14T16:53:19,0,119988,0,119988
2022-11-14T17:02:28,0,119988,0,119988
2022-11-14T17:11:38,0,119988,0,119988
2022-11-14T17:20:57,0,119988,0,119988
2022-11-14T17:30:06,0,119988,0,119988
2022-11-14T17:39:15,0,119988,0,119988
2022-11-14T17:48:23,0,119988,0,119988
2022-11-14T17:57:31,0,119988,0,119988
2022-11-14T18:06:40,0,119988,0,119988
2022-11-14T18:15:59,0,119988,0,119988
2022-11-14T18:25:08,0,119988,0,119988
2022-11-14T18:34:16,0,119988,0,119988
2022-11-14T18:43:25,0,119988,0,119988
2022-11-14T18:52:34,0,119988,0,119988
2022-11-14T19:01:42,0,119988,0,119988
2022-11-14T19:10:51,0,119988,0,119988
2022-11-14T19:20:09,0,119988,0,119988
2022-11-14T19:29:18,0,119988,0,119988
2022-11-14T19:38:26,0,119988,0,119988
2022-11-14T19:47:35,0,119988,0,119988
2022-11-14T19:56:43,0,119988,0,119988
2022-11-14T20:05:51,0,119988,0,119988
2022-11-14T20:15:09,0,119988,0,119988
2022-11-14T20:24:17,0,119988,0,119988
2022-11-14T20:33:25,0,119988,0,119988
2022-11-14T20:42:33,0,119988,0,119988
2022-11-14T20:51:40,0,119988,0,119988
2022-11-14T21:00:48,0,119988,0,119988
2022-11-14T21:09:55,0,119988,0,119988
2022-11-14T21:19:03,0,119988,0,119988
2022-11-14T21:28:21,0,119988,0,119988
2022-11-14T21:37:29,0,119988,0,119988
2022-11-14T21:46:37,0,119988,0,119988
2022-11-14T21:55:45,0,119988,0,119988
2022-11-14T22:04:53,0,119988,0,119988
2022-11-14T22:14:01,0,119988,0,119988
2022-11-14T22:23:09,0,119988,0,119988
2022-11-14T22:32:16,0,119988,0,119988
2022-11-14T22:41:34,0,119988,0,119988
2022-11-14T22:50:42,0,119988,0,119988
2022-11-14T22:59:49,0,119988,0,119988
2022-11-14T23:08:57,0,119988,0,119988
2022-11-14T23:18:05,0,119988,0,119988
2022-11-14T23:27:12,0,119988,0,119988
2022-11-14T23:36:20,0,119988,0,119988
2022-11-14T23:45:27,0,119988,0,119988
2022-11-14T23:54:45,0,119988,0,119988
2022-11-15T00:03:53,0,119988,0,119988
2022-11-15T00:13:02,0,119988,0,119988
2022-11-15T00:22:15,0,119988,0,119988
2022-11-15T00:31:25,0,119988,0,119988
2022-11-15T00:40:34,0,119988,0,119988
2022-11-15T00:49:45,0,119988,0,119988
2022-11-15T00:58:54,0,119988,0,119988
2022-11-15T01:08:03,0,119988,0,119988
2022-11-15T01:17:11,0,119988,0,119988
2022-11-15T01:26:21,0,119988,0,119988
2022-11-15T01:35:30,0,119988,0,119988
2022-11-15T01:44:40,0,119988,0,119988
2022-11-15T01:53:48,0,119988,0,119988
2022-11-15T02:02:56,0,119988,0,119988
2022-11-15T02:12:13,0,119988,0,119988
2022-11-15T02:21:20,0,119988,0,119988
2022-11-15T02:30:27,0,119988,0,119988
2022-11-15T02:39:37,0,119988,0,119988
2022-11-15T02:48:47,0,119988,0,119988
2022-11-15T02:57:57,0,119988,0,119988
2022-11-15T03:07:06,0,119988,0,119988
2022-11-15T03:16:16,0,119988,0,119988
2022-11-15T03:25:25,0,119988,0,119988
2022-11-15T03:34:33,0,119988,0,119988
2022-11-15T03:43:43,0,119988,0,119988
2022-11-15T03:52:52,0,119988,0,119988
2022-11-15T04:02:01,0,119988,0,119988
2022-11-15T04:11:11,0,119988,0,119988
2022-11-15T04:29:00,0,119988,0,119988
2022-11-15T04:38:30,0,119988,0,119988
2022-11-15T04:47:41,0,119988,0,119988
2022-11-15T04:56:52,0,119988,0,119988
2022-11-15T05:06:03,0,119988,0,119988
2022-11-15T05:15:12,0,119988,0,119988
2022-11-15T05:24:19,0,119988,0,119988
2022-11-15T05:33:27,0,119988,0,119988
2022-11-15T05:42:35,0,119988,0,119988
2022-11-15T05:51:44,0,119988,0,119988
2022-11-15T06:00:56,0,119988,0,119988
2022-11-15T06:10:08,0,119988,0,119988
2022-11-15T06:19:19,0,119988,0,119988
2022-11-15T06:28:29,0,119988,0,119988
2022-11-15T06:37:38,0,119988,0,119988
2022-11-15T06:46:48,0,119988,0,119988
2022-11-15T06:55:57,0,119988,0,119988
2022-11-15T07:05:07,0,119988,0,119988
2022-11-15T07:14:18,0,119988,0,119988
2022-11-15T07:23:29,0,119988,0,119988
2022-11-15T07:32:42,0,119988,0,119988
2022-11-15T07:41:53,0,119988,0,119988
2022-11-15T07:51:04,0,119988,0,119988
2022-11-15T08:00:16,0,119988,0,119988
2022-11-15T08:09:38,0,119988,0,119988
2022-11-15T08:18:48,0,119988,0,119988
2022-11-15T08:28:00,0,119988,0,119988
2022-11-15T08:37:11,0,119988,0,119988
2022-11-15T08:46:21,0,119988,0,119988
2022-11-15T08:55:32,0,119988,0,119988
2022-11-15T09:04:43,0,119988,0,119988
2022-11-15T09:13:54,0,119988,0,119988
2022-11-15T09:23:06,0,119988,0,119988
2022-11-15T09:32:17,0,119988,0,119988
2022-11-15T09:41:40,0,119988,0,119988
2022-11-15T09:50:51,0,119988,0,119988
2022-11-15T10:00:02,0,119988,0,119988
2022-11-15T10:09:14,0,119988,0,119988
2022-11-15T10:18:26,0,119988,0,119988
2022-11-15T10:27:36,0,119988,0,119988
2022-11-15T10:37:20,0,119988,0,119988
2022-11-15T10:46:33,0,119988,0,119988
2022-11-15T10:55:46,0,119988,0,119988
2022-11-15T11:04:59,0,119988,0,119988
2022-11-15T11:14:11,0,119988,0,119988
2022-11-15T11:23:26,0,119988,0,119988
2022-11-15T11:32:53,0,119988,0,119988
2022-11-15T11:42:06,0,119988,0,119988
2022-11-15T11:51:19,0,119988,0,119988
2022-11-15T12:00:34,0,119988,0,119988
2022-11-15T12:09:46,0,119988,0,119988
2022-11-15T12:19:11,0,119988,0,119988
2022-11-15T12:28:27,0,119988,0,119988
2022-11-15T12:37:41,0,119988,0,119988
2022-11-15T12:46:54,0,119988,0,119988
2022-11-15T12:56:07,0,119988,0,119988
2022-11-15T13:05:34,0,119988,0,119988
2022-11-15T13:14:46,0,119988,0,119988
2022-11-15T13:23:58,0,119988,0,119988
2022-11-15T13:33:11,0,119988,0,119988
2022-11-15T13:42:23,0,119988,0,119988
2022-11-15T13:51:48,0,119988,0,119988
2022-11-15T14:01:00,0,119988,0,119988
2022-11-15T14:10:13,0,119988,0,119988
2022-11-15T14:19:25,0,119988,0,119988
2022-11-15T14:28:48,0,119988,0,119988
2022-11-15T14:38:00,0,119988,0,119988
2022-11-15T14:47:15,0,119988,0,119988
2022-11-15T14:56:28,0,119988,0,119988
2022-11-15T15:05:52,0,119988,0,119988
2022-11-15T15:15:04,0,119988,0,119988
2022-11-15T15:24:16,0,119988,0,119988
2022-11-15T15:33:30,0,119988,0,119988
2022-11-15T15:42:53,0,119988,0,119988
2022-11-15T15:52:05,0,119988,0,119988
2022-11-15T16:01:17,0,119988,0,119988
2022-11-15T16:10:29,0,119988,0,119988
2022-11-15T16:19:41,0,119988,0,119988
2022-11-15T16:29:05,0,119988,0,119988
2022-11-15T16:38:16,0,119988,0,119988
2022-11-15T16:47:28,0,119988,0,119988
2022-11-15T16:56:38,0,119988,0,119988
2022-11-15T17:05:59,0,119988,0,119988
2022-11-15T17:15:13,0,119988,0,119988
2022-11-15T17:24:22,0,119988,0,119988
2022-11-15T17:33:32,0,119988,0,119988
2022-11-15T17:42:42,0,119988,0,119988
2022-11-15T17:52:02,0,119988,0,119988
2022-11-15T18:01:11,0,119988,0,119988
2022-11-15T18:10:21,0,119988,0,119988
2022-11-15T18:19:32,0,119988,0,119988
2022-11-15T18:28:44,0,119988,0,119988
2022-11-15T18:38:06,0,119988,0,119988
2022-11-15T18:47:15,0,119988,0,119988
2022-11-15T18:56:27,0,119988,0,119988
2022-11-15T19:05:38,0,119988,0,119988
2022-11-15T19:14:49,0,119988,0,119988
2022-11-15T19:24:00,0,119988,0,119988
2022-11-15T19:33:11,0,119988,0,119988
2022-11-15T19:42:32,0,119988,0,119988
2022-11-15T19:51:41,0,119988,0,119988
2022-11-15T20:00:52,0,119988,0,119988
2022-11-15T20:10:02,0,119988,0,119988
2022-11-15T20:19:12,0,119988,0,119988
2022-11-15T20:28:33,0,119988,0,119988
2022-11-15T20:37:42,0,119988,0,119988
2022-11-15T20:46:52,0,119988,0,119988
2022-11-15T20:56:01,0,119988,0,119988
2022-11-15T21:05:11,0,119988,0,119988
2022-11-15T21:14:32,0,119988,0,119988
2022-11-15T21:23:42,0,119988,0,119988
2022-11-15T21:33:04,0,119988,0,119988
2022-11-15T21:42:13,0,119988,0,119988
2022-11-15T21:51:22,0,119988,0,119988
2022-11-15T22:00:32,0,119988,0,119988
2022-11-15T22:09:52,0,119988,0,119988
2022-11-15T22:19:02,0,119988,0,119988
2022-11-15T22:28:11,0,119988,0,119988
2022-11-15T22:37:21,0,119988,0,119988
2022-11-15T22:46:30,0,119988,0,119988
2022-11-15T22:55:40,0,119988,0,119988
2022-11-15T23:04:50,0,119988,0,119988
2022-11-15T23:14:10,0,119988,0,119988
2022-11-15T23:23:19,0,119988,0,119988
2022-11-15T23:32:29,0,119988,0,119988
2022-11-15T23:41:38,0,119988,0,119988
2022-11-15T23:50:47,0,119988,0,119988
2022-11-15T23:59:56,0,119988,0,119988
2022-11-16T00:09:08,0,119988,0,119988
2022-11-16T00:18:22,0,119988,0,119988
2022-11-16T00:27:46,0,119988,0,119988
2022-11-16T00:37:00,0,119988,0,119988
2022-11-16T00:46:12,0,119988,0,119988
2022-11-16T00:55:24,0,119988,0,119988
