time,enrolled,available,waitlisted,total
2022-11-05T20:13:36,0,56,0,56
2022-11-05T20:22:54,0,56,0,56
2022-11-05T20:32:11,0,56,0,56
2022-11-05T20:41:38,0,56,0,56
2022-11-05T20:50:54,0,56,0,56
2022-11-05T21:00:10,0,56,0,56
2022-11-05T21:09:25,0,56,0,56
2022-11-05T21:18:40,0,56,0,56
2022-11-05T21:27:56,0,56,0,56
2022-11-05T21:37:12,0,56,0,56
2022-11-05T21:46:28,0,56,0,56
2022-11-05T21:55:43,0,56,0,56
2022-11-05T22:04:58,0,56,0,56
2022-11-05T22:14:14,0,56,0,56
2022-11-05T22:23:29,0,56,0,56
2022-11-05T22:32:45,0,56,0,56
2022-11-05T22:42:02,0,56,0,56
2022-11-05T22:51:18,0,56,0,56
2022-11-05T23:00:34,0,56,0,56
2022-11-05T23:09:50,0,56,0,56
2022-11-05T23:19:06,0,56,0,56
2022-11-05T23:28:23,0,56,0,56
2022-11-05T23:37:40,0,56,0,56
2022-11-05T23:46:56,0,56,0,56
2022-11-05T23:56:13,0,56,0,56
2022-11-06T00:05:37,0,56,0,56
2022-11-06T00:14:54,0,56,0,56
2022-11-06T00:24:10,0,56,0,56
2022-11-06T00:33:25,0,56,0,56
2022-11-06T00:42:41,0,56,0,56
2022-11-06T00:51:56,0,56,0,56
2022-11-06T01:01:12,0,56,0,56
2022-11-06T01:10:27,0,56,0,56
2022-11-06T01:19:43,0,56,0,56
2022-11-06T01:28:59,0,56,0,56
2022-11-06T01:38:14,0,56,0,56
2022-11-06T01:47:30,0,56,0,56
2022-11-06T01:56:46,0,56,0,56
2022-11-06T01:06:03,0,56,0,56
2022-11-06T01:15:19,0,56,0,56
2022-11-06T01:24:35,0,56,0,56
2022-11-06T01:33:51,0,56,0,56
2022-11-06T01:43:06,0,56,0,56
2022-11-06T01:52:24,0,56,0,56
2022-11-06T02:01:43,0,56,0,56
2022-11-06T02:11:02,0,56,0,56
2022-11-06T02:20:20,0,56,0,56
2022-11-06T02:29:41,0,56,0,56
2022-11-06T02:39:01,0,56,0,56
2022-11-06T02:48:20,0,56,0,56
2022-11-06T02:57:39,0,56,0,56
2022-11-06T03:06:57,0,56,0,56
2022-11-06T03:16:14,0,56,0,56
2022-11-06T03:25:30,0,56,0,56
