time,enrolled,available,waitlisted,total
2022-11-05T20:13:39,0,9999,0,9999
2022-11-05T20:22:57,0,9999,0,9999
2022-11-05T20:32:14,0,9999,0,9999
2022-11-05T20:41:41,0,9999,0,9999
2022-11-05T20:50:57,0,9999,0,9999
2022-11-05T21:00:13,0,9999,0,9999
2022-11-05T21:09:28,0,9999,0,9999
2022-11-05T21:18:43,0,9999,0,9999
2022-11-05T21:27:59,0,9999,0,9999
2022-11-05T21:37:15,0,9999,0,9999
2022-11-05T21:46:31,0,9999,0,9999
2022-11-05T21:55:46,0,9999,0,9999
2022-11-05T22:05:01,0,9999,0,9999
2022-11-05T22:14:17,0,9999,0,9999
2022-11-05T22:23:32,0,9999,0,9999
2022-11-05T22:32:48,0,9999,0,9999
2022-11-05T22:42:05,0,9999,0,9999
2022-11-05T22:51:21,0,9999,0,9999
2022-11-05T23:00:37,0,9999,0,9999
2022-11-05T23:09:53,0,9999,0,9999
2022-11-05T23:19:09,0,9999,0,9999
2022-11-05T23:28:26,0,9999,0,9999
2022-11-05T23:37:43,0,9999,0,9999
2022-11-05T23:46:59,0,9999,0,9999
2022-11-05T23:56:16,0,9999,0,9999
2022-11-06T00:05:41,0,9999,0,9999
2022-11-06T00:14:57,0,9999,0,9999
2022-11-06T00:24:13,0,9999,0,9999
2022-11-06T00:33:28,0,9999,0,9999
2022-11-06T00:42:44,0,9999,0,9999
2022-11-06T00:51:59,0,9999,0,9999
2022-11-06T01:01:15,0,9999,0,9999
2022-11-06T01:10:30,0,9999,0,9999
2022-11-06T01:19:46,0,9999,0,9999
2022-11-06T01:29:02,0,9999,0,9999
2022-11-06T01:38:18,0,9999,0,9999
2022-11-06T01:47:33,0,9999,0,9999
2022-11-06T01:56:49,0,9999,0,9999
2022-11-06T01:06:06,0,9999,0,9999
2022-11-06T01:15:22,0,9999,0,9999
2022-11-06T01:24:38,0,9999,0,9999
2022-11-06T01:33:54,0,9999,0,9999
2022-11-06T01:43:09,0,9999,0,9999
2022-11-06T01:52:27,0,9999,0,9999
