time,enrolled,available,waitlisted,total
2022-11-05T20:13:41,0,220,0,220
2022-11-05T20:22:58,0,220,0,220
2022-11-05T20:32:15,0,220,0,220
2022-11-05T20:41:43,0,220,0,220
2022-11-05T20:50:59,0,220,0,220
2022-11-05T21:00:14,0,220,0,220
2022-11-05T21:09:30,0,220,0,220
2022-11-05T21:18:45,0,220,0,220
2022-11-05T21:28:00,0,220,0,220
2022-11-05T21:37:16,0,220,0,220
2022-11-05T21:46:33,0,220,0,220
2022-11-05T21:55:48,0,220,0,220
2022-11-05T22:05:03,0,220,0,220
2022-11-05T22:14:18,0,220,0,220
2022-11-05T22:23:33,0,220,0,220
2022-11-05T22:32:49,0,220,0,220
2022-11-05T22:42:07,0,220,0,220
2022-11-05T22:51:22,0,220,0,220
2022-11-05T23:00:38,0,220,0,220
2022-11-05T23:09:55,0,220,0,220
2022-11-05T23:19:11,0,220,0,220
2022-11-05T23:28:27,0,220,0,220
2022-11-05T23:37:45,0,220,0,220
2022-11-05T23:47:01,0,220,0,220
2022-11-05T23:56:17,0,220,0,220
2022-11-06T00:05:42,0,220,0,220
2022-11-06T00:14:59,0,220,0,220
2022-11-06T00:24:14,0,220,0,220
2022-11-06T00:33:30,0,220,0,220
2022-11-06T00:42:46,0,220,0,220
2022-11-06T00:52:01,0,220,0,220
2022-11-06T01:01:16,0,220,0,220
2022-11-06T01:10:31,0,220,0,220
2022-11-06T01:19:47,0,220,0,220
2022-11-06T01:29:03,0,220,0,220
2022-11-06T01:38:19,0,220,0,220
2022-11-06T01:47:34,0,220,0,220
2022-11-06T01:56:51,0,220,0,220
2022-11-06T01:06:07,0,220,0,220
2022-11-06T01:15:24,0,220,0,220
2022-11-06T01:24:39,0,220,0,220
2022-11-06T01:33:55,0,220,0,220
2022-11-06T01:43:10,0,220,0,220
2022-11-06T01:52:29,0,220,0,220
2022-11-06T02:01:48,0,220,0,220
2022-11-06T02:11:06,0,220,0,220
2022-11-06T02:20:25,0,220,0,220
2022-11-06T02:29:46,0,220,0,220
2022-11-06T02:39:05,0,220,0,220
2022-11-06T02:48:24,0,220,0,220
2022-11-06T02:57:43,0,220,0,220
2022-11-06T03:07:01,0,220,0,220
2022-11-06T03:16:18,0,220,0,220
2022-11-06T03:25:35,0,220,0,220
2022-11-06T03:34:53,0,220,0,220
2022-11-06T03:44:13,0,220,0,220
2022-11-06T03:53:33,0,220,0,220
2022-11-06T04:02:52,0,220,0,220
2022-11-06T04:18:11,0,220,0,220
2022-11-06T04:27:31,0,220,0,220
2022-11-06T04:36:50,0,220,0,220
2022-11-06T04:47:17,0,220,0,220
2022-11-06T04:56:52,0,220,0,220
2022-11-06T05:06:10,0,220,0,220
2022-11-06T05:15:27,0,220,0,220
2022-11-06T05:24:43,0,220,0,220
2022-11-06T05:34:01,0,220,0,220
2022-11-06T05:43:15,0,220,0,220
2022-11-06T05:52:32,0,220,0,220
2022-11-06T06:01:50,0,220,0,220
2022-11-06T06:11:09,0,220,0,220
2022-11-06T06:20:28,0,220,0,220
2022-11-06T06:29:45,0,220,0,220
2022-11-06T06:39:01,0,220,0,220
2022-11-06T06:48:17,0,220,0,220
2022-11-06T06:57:33,0,220,0,220
2022-11-06T07:06:50,0,220,0,220
2022-11-06T07:16:07,0,220,0,220
2022-11-06T07:25:24,0,220,0,220
2022-11-06T07:34:42,0,220,0,220
2022-11-06T07:44:01,0,220,0,220
2022-11-06T07:53:19,0,220,0,220
2022-11-06T08:02:35,0,220,0,220
2022-11-06T08:11:52,0,220,0,220
2022-11-06T08:21:09,0,220,0,220
2022-11-06T08:30:27,0,220,0,220
2022-11-06T08:39:43,0,220,0,220
2022-11-06T08:49:00,0,220,0,220
2022-11-06T08:58:17,0,220,0,220
