time,enrolled,available,waitlisted,total
2022-11-05T20:13:45,0,28,0,28
2022-11-05T20:23:03,0,28,0,28
2022-11-05T20:32:20,0,28,0,28
2022-11-05T20:41:47,0,28,0,28
2022-11-05T20:51:03,0,28,0,28
2022-11-05T21:00:19,0,28,0,28
2022-11-05T21:09:34,0,28,0,28
2022-11-05T21:18:49,0,28,0,28
2022-11-05T21:28:05,0,28,0,28
2022-11-05T21:37:21,0,28,0,28
2022-11-05T21:46:37,0,28,0,28
2022-11-05T21:55:52,0,28,0,28
2022-11-05T22:05:07,0,28,0,28
2022-11-05T22:14:23,0,28,0,28
2022-11-05T22:23:38,0,28,0,28
2022-11-05T22:32:54,0,28,0,28
2022-11-05T22:42:11,0,28,0,28
2022-11-05T22:51:27,0,28,0,28
2022-11-05T23:00:43,0,28,0,28
2022-11-05T23:10:00,0,28,0,28
2022-11-05T23:19:16,0,28,0,28
2022-11-05T23:28:32,0,28,0,28
2022-11-05T23:37:49,0,28,0,28
2022-11-05T23:47:06,0,28,0,28
2022-11-05T23:56:22,0,28,0,28
2022-11-06T00:05:47,0,28,0,28
2022-11-06T00:15:04,0,28,0,28
2022-11-06T00:24:19,0,28,0,28
2022-11-06T00:33:35,0,28,0,28
2022-11-06T00:42:50,0,28,0,28
2022-11-06T00:52:06,0,28,0,28
2022-11-06T01:01:21,0,28,0,28
2022-11-06T01:10:36,0,28,0,28
2022-11-06T01:19:52,0,28,0,28
2022-11-06T01:29:08,0,28,0,28
2022-11-06T01:38:24,0,28,0,28
2022-11-06T01:47:39,0,28,0,28
2022-11-06T01:56:55,0,28,0,28
2022-11-06T01:06:12,0,28,0,28
2022-11-06T01:15:28,0,28,0,28
2022-11-06T01:24:44,0,28,0,28
2022-11-06T01:34:00,0,28,0,28
2022-11-06T01:43:15,0,28,0,28
2022-11-06T01:52:33,0,28,0,28
2022-11-06T02:01:52,0,28,0,28
2022-11-06T02:11:11,0,28,0,28
2022-11-06T02:20:30,0,28,0,28
2022-11-06T02:29:51,0,28,0,28
2022-11-06T02:39:10,0,28,0,28
2022-11-06T02:48:29,0,28,0,28
2022-11-06T02:57:48,0,28,0,28
2022-11-06T03:07:06,0,28,0,28
2022-11-06T03:16:23,0,28,0,28
2022-11-06T03:25:40,0,28,0,28
2022-11-06T03:34:58,0,28,0,28
2022-11-06T03:44:18,0,28,0,28
2022-11-06T03:53:38,0,28,0,28
2022-11-06T04:02:57,0,28,0,28
2022-11-06T04:18:16,0,28,0,28
2022-11-06T04:27:35,0,28,0,28
2022-11-06T04:36:55,0,28,0,28
2022-11-06T04:47:22,0,28,0,28
2022-11-06T04:56:57,0,28,0,28
2022-11-06T05:06:15,0,28,0,28
2022-11-06T05:15:32,0,28,0,28
2022-11-06T05:24:48,0,28,0,28
2022-11-06T05:34:05,0,28,0,28
2022-11-06T05:43:20,0,28,0,28
2022-11-06T05:52:37,0,28,0,28
2022-11-06T06:01:55,0,28,0,28
2022-11-06T06:11:14,0,28,0,28
2022-11-06T06:20:33,0,28,0,28
2022-11-06T06:29:50,0,28,0,28
2022-11-06T06:39:06,0,28,0,28
2022-11-06T06:48:22,0,28,0,28
2022-11-06T06:57:38,0,28,0,28
2022-11-06T07:06:55,0,28,0,28
2022-11-06T07:16:12,0,28,0,28
2022-11-06T07:25:29,0,28,0,28
2022-11-06T07:34:47,0,28,0,28
2022-11-06T07:44:06,0,28,0,28
2022-11-06T07:53:24,0,28,0,28
2022-11-06T08:02:40,0,28,0,28
2022-11-06T08:11:57,0,28,0,28
2022-11-06T08:21:14,0,28,0,28
2022-11-06T08:30:32,0,28,0,28
2022-11-06T08:39:48,0,28,0,28
2022-11-06T08:49:04,0,28,0,28
2022-11-06T08:58:22,0,28,0,28
2022-11-06T09:07:38,0,28,0,28
2022-11-06T09:16:52,0,28,0,28
2022-11-06T09:26:06,0,28,0,28
2022-11-06T09:35:19,0,28,0,28
2022-11-06T09:44:34,0,28,0,28
2022-11-06T09:53:48,0,28,0,28
2022-11-06T10:03:01,0,28,0,28
2022-11-06T10:12:14,0,28,0,28
2022-11-06T10:21:28,0,28,0,28
2022-11-06T10:30:45,0,28,0,28
2022-11-06T10:39:59,0,28,0,28
2022-11-06T10:49:14,0,28,0,28
2022-11-06T10:58:29,0,28,0,28
2022-11-06T11:07:43,0,28,0,28
2022-11-06T11:16:59,0,28,0,28
2022-11-06T11:26:18,0,28,0,28
2022-11-06T11:35:39,0,28,0,28
2022-11-06T11:44:54,0,28,0,28
2022-11-06T11:54:08,0,28,0,28
2022-11-06T12:03:22,0,28,0,28
2022-11-06T12:12:38,0,28,0,28
2022-11-06T12:22:04,0,28,0,28
2022-11-06T12:31:17,0,28,0,28
2022-11-06T12:40:31,0,28,0,28
2022-11-06T12:49:46,0,28,0,28
2022-11-06T12:59:00,0,28,0,28
2022-11-06T13:08:15,0,28,0,28
2022-11-06T13:17:31,0,28,0,28
2022-11-06T13:26:46,0,28,0,28
2022-11-06T13:36:00,0,28,0,28
2022-11-06T13:45:14,0,28,0,28
2022-11-06T13:54:27,0,28,0,28
2022-11-06T14:03:43,0,28,0,28
2022-11-06T14:12:58,0,28,0,28
2022-11-06T14:22:21,0,28,0,28
2022-11-06T14:31:34,0,28,0,28
2022-11-06T14:40:50,0,28,0,28
2022-11-06T14:50:06,0,28,0,28
2022-11-06T14:59:20,0,28,0,28
2022-11-06T15:08:33,0,28,0,28
2022-11-06T15:17:46,0,28,0,28
2022-11-06T15:27:00,0,28,0,28
2022-11-06T15:36:14,0,28,0,28
2022-11-06T15:45:29,0,28,0,28
2022-11-06T15:54:41,0,28,0,28
2022-11-06T16:03:53,0,28,0,28
2022-11-06T16:13:17,0,28,0,28
2022-11-06T16:22:32,0,28,0,28
2022-11-06T16:31:48,0,28,0,28
2022-11-06T16:41:03,0,28,0,28
2022-11-06T16:50:19,0,28,0,28
2022-11-06T16:59:34,0,28,0,28
2022-11-06T17:08:48,0,28,0,28
2022-11-06T17:18:03,0,28,0,28
