time,enrolled,available,waitlisted,total
2022-11-05T20:13:50,0,14,0,14
2022-11-05T20:23:08,0,14,0,14
2022-11-05T20:32:24,0,14,0,14
2022-11-05T20:41:52,0,14,0,14
2022-11-05T20:51:08,0,14,0,14
2022-11-05T21:00:24,0,14,0,14
2022-11-05T21:09:39,0,14,0,14
2022-11-05T21:18:54,0,14,0,14
2022-11-05T21:28:10,0,14,0,14
2022-11-05T21:37:26,0,14,0,14
2022-11-05T21:46:42,0,14,0,14
2022-11-05T21:55:57,0,14,0,14
2022-11-05T22:05:12,0,14,0,14
2022-11-05T22:14:28,0,14,0,14
2022-11-05T22:23:43,0,14,0,14
2022-11-05T22:32:59,0,14,0,14
2022-11-05T22:42:16,0,14,0,14
2022-11-05T22:51:32,0,14,0,14
2022-11-05T23:00:47,0,14,0,14
2022-11-05T23:10:04,0,14,0,14
2022-11-05T23:19:20,0,14,0,14
2022-11-05T23:28:37,0,14,0,14
2022-11-05T23:37:54,0,14,0,14
2022-11-05T23:47:10,0,14,0,14
2022-11-05T23:56:26,0,14,0,14
2022-11-06T00:05:52,0,14,0,14
2022-11-06T00:15:08,0,14,0,14
2022-11-06T00:24:24,0,14,0,14
2022-11-06T00:33:39,0,14,0,14
2022-11-06T00:42:55,0,14,0,14
2022-11-06T00:52:10,0,14,0,14
2022-11-06T01:01:25,0,14,0,14
2022-11-06T01:10:41,0,14,0,14
2022-11-06T01:19:56,0,14,0,14
2022-11-06T01:29:13,0,14,0,14
2022-11-06T01:38:29,0,14,0,14
2022-11-06T01:47:44,0,14,0,14
2022-11-06T01:57:00,0,14,0,14
2022-11-06T01:06:17,0,14,0,14
2022-11-06T01:15:33,0,14,0,14
2022-11-06T01:24:49,0,14,0,14
2022-11-06T01:34:05,0,14,0,14
2022-11-06T01:43:20,0,14,0,14
2022-11-06T01:52:38,0,14,0,14
2022-11-06T02:01:57,0,14,0,14
2022-11-06T02:11:16,0,14,0,14
2022-11-06T02:20:34,0,14,0,14
2022-11-06T02:29:55,0,14,0,14
2022-11-06T02:39:15,0,14,0,14
2022-11-06T02:48:34,0,14,0,14
2022-11-06T02:57:52,0,14,0,14
2022-11-06T03:07:11,0,14,0,14
2022-11-06T03:16:28,0,14,0,14
2022-11-06T03:25:44,0,14,0,14
2022-11-06T03:35:02,0,14,0,14
2022-11-06T03:44:22,0,14,0,14
2022-11-06T03:53:43,0,14,0,14
2022-11-06T04:03:01,0,14,0,14
2022-11-06T04:18:21,0,14,0,14
2022-11-06T04:27:40,0,14,0,14
2022-11-06T04:36:59,0,14,0,14
2022-11-06T04:47:27,0,14,0,14
2022-11-06T04:57:02,0,14,0,14
2022-11-06T05:06:19,0,14,0,14
2022-11-06T05:15:37,0,14,0,14
2022-11-06T05:24:53,0,14,0,14
2022-11-06T05:34:10,0,14,0,14
2022-11-06T05:43:25,0,14,0,14
2022-11-06T05:52:42,0,14,0,14
2022-11-06T06:02:00,0,14,0,14
2022-11-06T06:11:19,0,14,0,14
2022-11-06T06:20:38,0,14,0,14
2022-11-06T06:29:54,0,14,0,14
2022-11-06T06:39:10,0,14,0,14
2022-11-06T06:48:26,0,14,0,14
2022-11-06T06:57:42,0,14,0,14
2022-11-06T07:06:59,0,14,0,14
2022-11-06T07:16:17,0,14,0,14
2022-11-06T07:25:34,0,14,0,14
2022-11-06T07:34:52,0,14,0,14
2022-11-06T07:44:11,0,14,0,14
2022-11-06T07:53:29,0,14,0,14
2022-11-06T08:02:45,0,14,0,14
2022-11-06T08:12:02,0,14,0,14
2022-11-06T08:21:19,0,14,0,14
2022-11-06T08:30:36,0,14,0,14
2022-11-06T08:39:53,0,14,0,14
2022-11-06T08:49:09,0,14,0,14
2022-11-06T08:58:27,0,14,0,14
2022-11-06T09:07:42,0,14,0,14
2022-11-06T09:16:57,0,14,0,14
2022-11-06T09:26:11,0,14,0,14
2022-11-06T09:35:24,0,14,0,14
2022-11-06T09:44:38,0,14,0,14
2022-11-06T09:53:53,0,14,0,14
2022-11-06T10:03:06,0,14,0,14
2022-11-06T10:12:19,0,14,0,14
2022-11-06T10:21:33,0,14,0,14
2022-11-06T10:30:50,0,14,0,14
2022-11-06T10:40:04,0,14,0,14
2022-11-06T10:49:18,0,14,0,14
2022-11-06T10:58:34,0,14,0,14
2022-11-06T11:07:48,0,14,0,14
2022-11-06T11:17:03,0,14,0,14
2022-11-06T11:26:23,0,14,0,14
2022-11-06T11:35:44,0,14,0,14
2022-11-06T11:44:59,0,14,0,14
2022-11-06T11:54:13,0,14,0,14
2022-11-06T12:03:27,0,14,0,14
2022-11-06T12:12:43,0,14,0,14
2022-11-06T12:22:08,0,14,0,14
2022-11-06T12:31:22,0,14,0,14
2022-11-06T12:40:35,0,14,0,14
2022-11-06T12:49:51,0,14,0,14
2022-11-06T12:59:05,0,14,0,14
2022-11-06T13:08:20,0,14,0,14
2022-11-06T13:17:36,0,14,0,14
2022-11-06T13:26:51,0,14,0,14
2022-11-06T13:36:05,0,14,0,14
2022-11-06T13:45:18,0,14,0,14
2022-11-06T13:54:32,0,14,0,14
2022-11-06T14:03:47,0,14,0,14
2022-11-06T14:13:03,0,14,0,14
2022-11-06T14:22:25,0,14,0,14
2022-11-06T14:31:39,0,14,0,14
2022-11-06T14:40:54,0,14,0,14
2022-11-06T14:50:10,0,14,0,14
2022-11-06T14:59:24,0,14,0,14
2022-11-06T15:08:37,0,14,0,14
2022-11-06T15:17:51,0,14,0,14
2022-11-06T15:27:05,0,14,0,14
2022-11-06T15:36:18,0,14,0,14
2022-11-06T15:45:33,0,14,0,14
2022-11-06T15:54:45,0,14,0,14
2022-11-06T16:03:58,0,14,0,14
2022-11-06T16:13:21,0,14,0,14
2022-11-06T16:22:37,0,14,0,14
2022-11-06T16:31:53,0,14,0,14
2022-11-06T16:41:08,0,14,0,14
2022-11-06T16:50:24,0,14,0,14
2022-11-06T16:59:39,0,14,0,14
2022-11-06T17:08:53,0,14,0,14
2022-11-06T17:18:08,0,14,0,14
2022-11-06T17:27:23,0,14,0,14
2022-11-06T17:36:39,0,14,0,14
2022-11-06T17:46:03,0,14,0,14
2022-11-06T17:55:18,0,14,0,14
2022-11-06T18:04:33,0,14,0,14
2022-11-06T18:13:48,0,14,0,14
2022-11-06T18:23:04,0,14,0,14
2022-11-06T18:32:18,0,14,0,14
2022-11-06T18:41:31,0,14,0,14
2022-11-06T18:50:44,0,14,0,14
2022-11-06T18:59:59,0,14,0,14
2022-11-06T19:09:24,0,14,0,14
2022-11-06T19:18:38,0,14,0,14
2022-11-06T19:27:54,0,14,0,14
2022-11-06T19:37:07,0,14,0,14
2022-11-06T19:46:20,0,14,0,14
2022-11-06T19:55:35,0,14,0,14
2022-11-06T20:04:48,0,14,0,14
2022-11-06T20:14:02,0,14,0,14
2022-11-06T20:23:16,0,14,0,14
2022-11-06T20:32:32,0,14,0,14
2022-11-06T20:41:54,0,14,0,14
2022-11-06T20:51:09,0,14,0,14
2022-11-06T21:00:23,0,14,0,14
2022-11-06T21:09:38,0,14,0,14
2022-11-06T21:18:50,0,14,0,14
2022-11-06T21:28:03,0,14,0,14
2022-11-06T21:37:16,0,14,0,14
2022-11-06T21:46:32,0,14,0,14
2022-11-06T21:55:56,0,14,0,14
2022-11-06T22:05:12,0,14,0,14
2022-11-06T22:14:26,0,14,0,14
2022-11-06T22:23:41,0,14,0,14
2022-11-06T22:32:57,0,14,0,14
2022-11-06T22:42:11,0,14,0,14
2022-11-06T22:51:25,0,14,0,14
2022-11-06T23:00:41,0,14,0,14
2022-11-06T23:10:06,0,14,0,14
