time,enrolled,available,waitlisted,total
2022-11-05T20:13:51,0,112,0,112
2022-11-05T20:23:09,0,112,0,112
2022-11-05T20:32:25,0,112,0,112
2022-11-05T20:41:53,0,112,0,112
2022-11-05T20:51:09,0,112,0,112
2022-11-05T21:00:25,0,112,0,112
2022-11-05T21:09:40,0,112,0,112
2022-11-05T21:18:55,0,112,0,112
2022-11-05T21:28:11,0,112,0,112
2022-11-05T21:37:27,0,112,0,112
2022-11-05T21:46:43,0,112,0,112
2022-11-05T21:55:58,0,112,0,112
2022-11-05T22:05:13,0,112,0,112
2022-11-05T22:14:28,0,112,0,112
2022-11-05T22:23:44,0,112,0,112
2022-11-05T22:33:00,0,112,0,112
2022-11-05T22:42:17,0,112,0,112
2022-11-05T22:51:32,0,112,0,112
2022-11-05T23:00:48,0,112,0,112
2022-11-05T23:10:05,0,112,0,112
2022-11-05T23:19:21,0,112,0,112
2022-11-05T23:28:37,0,112,0,112
2022-11-05T23:37:55,0,112,0,112
2022-11-05T23:47:11,0,112,0,112
2022-11-05T23:56:27,0,112,0,112
2022-11-06T00:05:52,0,112,0,112
2022-11-06T00:15:09,0,112,0,112
2022-11-06T00:24:25,0,112,0,112
2022-11-06T00:33:40,0,112,0,112
2022-11-06T00:42:56,0,112,0,112
2022-11-06T00:52:11,0,112,0,112
2022-11-06T01:01:26,0,112,0,112
2022-11-06T01:10:42,0,112,0,112
2022-11-06T01:19:57,0,112,0,112
2022-11-06T01:29:14,0,112,0,112
2022-11-06T01:38:29,0,112,0,112
2022-11-06T01:47:45,0,112,0,112
2022-11-06T01:57:01,0,112,0,112
2022-11-06T01:06:18,0,112,0,112
2022-11-06T01:15:34,0,112,0,112
2022-11-06T01:24:50,0,112,0,112
2022-11-06T01:34:06,0,112,0,112
2022-11-06T01:43:20,0,112,0,112
2022-11-06T01:52:39,0,112,0,112
2022-11-06T02:01:58,0,112,0,112
2022-11-06T02:11:17,0,112,0,112
2022-11-06T02:20:35,0,112,0,112
2022-11-06T02:29:56,0,112,0,112
