time,enrolled,available,waitlisted,total
2022-11-05T20:13:55,0,22,0,22
2022-11-05T20:23:12,0,22,0,22
2022-11-05T20:32:29,0,22,0,22
2022-11-05T20:41:57,0,22,0,22
2022-11-05T20:51:13,0,22,0,22
2022-11-05T21:00:29,0,22,0,22
2022-11-05T21:09:44,0,22,0,22
2022-11-05T21:18:59,0,22,0,22
2022-11-05T21:28:15,0,22,0,22
2022-11-05T21:37:31,0,22,0,22
2022-11-05T21:46:47,0,22,0,22
2022-11-05T21:56:02,0,22,0,22
2022-11-05T22:05:17,0,22,0,22
2022-11-05T22:14:32,0,22,0,22
2022-11-05T22:23:48,0,22,0,22
2022-11-05T22:33:04,0,22,0,22
2022-11-05T22:42:21,0,22,0,22
2022-11-05T22:51:36,0,22,0,22
2022-11-05T23:00:52,0,22,0,22
2022-11-05T23:10:09,0,22,0,22
2022-11-05T23:19:25,0,22,0,22
2022-11-05T23:28:41,0,22,0,22
2022-11-05T23:37:59,0,22,0,22
2022-11-05T23:47:15,0,22,0,22
2022-11-05T23:56:31,0,22,0,22
2022-11-06T00:05:56,0,22,0,22
2022-11-06T00:15:13,0,22,0,22
2022-11-06T00:24:29,0,22,0,22
2022-11-06T00:33:44,0,22,0,22
2022-11-06T00:43:00,0,22,0,22
2022-11-06T00:52:15,0,22,0,22
2022-11-06T01:01:30,0,22,0,22
2022-11-06T01:10:46,0,22,0,22
2022-11-06T01:20:01,0,22,0,22
2022-11-06T01:29:18,0,22,0,22
2022-11-06T01:38:33,0,22,0,22
2022-11-06T01:47:49,0,22,0,22
2022-11-06T01:57:05,0,22,0,22
2022-11-06T01:06:22,0,22,0,22
2022-11-06T01:15:38,0,22,0,22
2022-11-06T01:24:53,0,22,0,22
2022-11-06T01:34:10,0,22,0,22
2022-11-06T01:43:25,0,22,0,22
2022-11-06T01:52:43,0,22,0,22
2022-11-06T02:02:02,0,22,0,22
2022-11-06T02:11:21,0,22,0,22
2022-11-06T02:20:39,0,22,0,22
2022-11-06T02:30:00,0,22,0,22
2022-11-06T02:39:19,0,22,0,22
2022-11-06T02:48:39,0,22,0,22
2022-11-06T02:57:57,0,22,0,22
2022-11-06T03:07:16,0,22,0,22
2022-11-06T03:16:32,0,22,0,22
2022-11-06T03:25:49,0,22,0,22
2022-11-06T03:35:07,0,22,0,22
2022-11-06T03:44:27,0,22,0,22
2022-11-06T03:53:47,0,22,0,22
2022-11-06T04:03:06,0,22,0,22
2022-11-06T04:18:26,0,22,0,22
2022-11-06T04:27:45,0,22,0,22
2022-11-06T04:37:04,0,22,0,22
2022-11-06T04:47:32,0,22,0,22
2022-11-06T04:57:07,0,22,0,22
2022-11-06T05:06:24,0,22,0,22
2022-11-06T05:15:42,0,22,0,22
2022-11-06T05:24:58,0,22,0,22
2022-11-06T05:34:15,0,22,0,22
2022-11-06T05:43:30,0,22,0,22
2022-11-06T05:52:47,0,22,0,22
2022-11-06T06:02:05,0,22,0,22
2022-11-06T06:11:24,0,22,0,22
2022-11-06T06:20:43,0,22,0,22
2022-11-06T06:29:59,0,22,0,22
2022-11-06T06:39:15,0,22,0,22
2022-11-06T06:48:31,0,22,0,22
2022-11-06T06:57:47,0,22,0,22
2022-11-06T07:07:04,0,22,0,22
2022-11-06T07:16:22,0,22,0,22
2022-11-06T07:25:39,0,22,0,22
2022-11-06T07:34:57,0,22,0,22
2022-11-06T07:44:16,0,22,0,22
