time,enrolled,available,waitlisted,total
2022-11-05T20:13:53,0,126,0,126
2022-11-05T20:23:10,0,126,0,126
2022-11-05T20:32:27,0,126,0,126
2022-11-05T20:41:55,0,126,0,126
2022-11-05T20:51:11,0,126,0,126
2022-11-05T21:00:26,0,126,0,126
2022-11-05T21:09:42,0,126,0,126
2022-11-05T21:18:57,0,126,0,126
2022-11-05T21:28:12,0,126,0,126
2022-11-05T21:37:28,0,126,0,126
2022-11-05T21:46:45,0,126,0,126
2022-11-05T21:56:00,0,126,0,126
2022-11-05T22:05:15,0,126,0,126
2022-11-05T22:14:30,0,126,0,126
2022-11-05T22:23:45,0,126,0,126
2022-11-05T22:33:02,0,126,0,126
2022-11-05T22:42:19,0,126,0,126
2022-11-05T22:51:34,0,126,0,126
2022-11-05T23:00:50,0,126,0,126
2022-11-05T23:10:07,0,126,0,126
2022-11-05T23:19:23,0,126,0,126
2022-11-05T23:28:39,0,126,0,126
2022-11-05T23:37:57,0,126,0,126
2022-11-05T23:47:13,0,126,0,126
2022-11-05T23:56:29,0,126,0,126
2022-11-06T00:05:54,0,126,0,126
2022-11-06T00:15:11,0,126,0,126
2022-11-06T00:24:27,0,126,0,126
2022-11-06T00:33:42,0,126,0,126
2022-11-06T00:42:58,0,126,0,126
2022-11-06T00:52:13,0,126,0,126
2022-11-06T01:01:28,0,126,0,126
2022-11-06T01:10:43,0,126,0,126
2022-11-06T01:19:59,0,126,0,126
2022-11-06T01:29:15,0,126,0,126
2022-11-06T01:38:31,0,126,0,126
2022-11-06T01:47:47,0,126,0,126
2022-11-06T01:57:03,0,126,0,126
2022-11-06T01:06:19,0,126,0,126
2022-11-06T01:15:36,0,126,0,126
2022-11-06T01:24:51,0,126,0,126
2022-11-06T01:34:07,0,126,0,126
2022-11-06T01:43:22,0,126,0,126
2022-11-06T01:52:41,0,126,0,126
2022-11-06T02:02:00,0,126,0,126
2022-11-06T02:11:18,0,126,0,126
2022-11-06T02:20:37,0,126,0,126
2022-11-06T02:29:58,0,126,0,126
2022-11-06T02:39:17,0,126,0,126
2022-11-06T02:48:36,0,126,0,126
2022-11-06T02:57:55,0,126,0,126
2022-11-06T03:07:14,0,126,0,126
2022-11-06T03:16:30,0,126,0,126
2022-11-06T03:25:47,0,126,0,126
2022-11-06T03:35:05,0,126,0,126
2022-11-06T03:44:25,0,126,0,126
2022-11-06T03:53:45,0,126,0,126
2022-11-06T04:03:04,0,126,0,126
2022-11-06T04:18:23,0,126,0,126
2022-11-06T04:27:43,0,126,0,126
2022-11-06T04:37:02,0,126,0,126
2022-11-06T04:47:30,0,126,0,126
2022-11-06T04:57:05,0,126,0,126
2022-11-06T05:06:22,0,126,0,126
2022-11-06T05:15:39,0,126,0,126
2022-11-06T05:24:56,0,126,0,126
2022-11-06T05:34:13,0,126,0,126
2022-11-06T05:43:28,0,126,0,126
2022-11-06T05:52:44,0,126,0,126
2022-11-06T06:02:03,0,126,0,126
2022-11-06T06:11:22,0,126,0,126
2022-11-06T06:20:40,0,126,0,126
2022-11-06T06:29:57,0,126,0,126
2022-11-06T06:39:13,0,126,0,126
2022-11-06T06:48:29,0,126,0,126
2022-11-06T06:57:45,0,126,0,126
2022-11-06T07:07:02,0,126,0,126
2022-11-06T07:16:19,0,126,0,126
2022-11-06T07:25:37,0,126,0,126
2022-11-06T07:34:55,0,126,0,126
2022-11-06T07:44:13,0,126,0,126
2022-11-06T07:53:31,0,126,0,126
2022-11-06T08:02:48,0,126,0,126
2022-11-06T08:12:04,0,126,0,126
2022-11-06T08:21:22,0,126,0,126
2022-11-06T08:30:39,0,126,0,126
2022-11-06T08:39:56,0,126,0,126
2022-11-06T08:49:12,0,126,0,126
2022-11-06T08:58:30,0,126,0,126
2022-11-06T09:07:45,0,126,0,126
2022-11-06T09:17:00,0,126,0,126
2022-11-06T09:26:14,0,126,0,126
2022-11-06T09:35:27,0,126,0,126
2022-11-06T09:44:41,0,126,0,126
2022-11-06T09:53:55,0,126,0,126
2022-11-06T10:03:09,0,126,0,126
2022-11-06T10:12:22,0,126,0,126
2022-11-06T10:21:36,0,126,0,126
2022-11-06T10:30:52,0,126,0,126
2022-11-06T10:40:06,0,126,0,126
2022-11-06T10:49:21,0,126,0,126
2022-11-06T10:58:36,0,126,0,126
2022-11-06T11:07:50,0,126,0,126
2022-11-06T11:17:06,0,126,0,126
2022-11-06T11:26:25,0,126,0,126
2022-11-06T11:35:47,0,126,0,126
2022-11-06T11:45:01,0,126,0,126
2022-11-06T11:54:15,0,126,0,126
2022-11-06T12:03:29,0,126,0,126
2022-11-06T12:12:45,0,126,0,126
2022-11-06T12:22:11,0,126,0,126
2022-11-06T12:31:25,0,126,0,126
2022-11-06T12:40:38,0,126,0,126
2022-11-06T12:49:54,0,126,0,126
2022-11-06T12:59:08,0,126,0,126
2022-11-06T13:08:22,0,126,0,126
2022-11-06T13:17:39,0,126,0,126
2022-11-06T13:26:53,0,126,0,126
2022-11-06T13:36:07,0,126,0,126
2022-11-06T13:45:21,0,126,0,126
2022-11-06T13:54:34,0,126,0,126
2022-11-06T14:03:50,0,126,0,126
2022-11-06T14:13:05,0,126,0,126
2022-11-06T14:22:28,0,126,0,126
2022-11-06T14:31:42,0,126,0,126
2022-11-06T14:40:57,0,126,0,126
2022-11-06T14:50:13,0,126,0,126
2022-11-06T14:59:27,0,126,0,126
2022-11-06T15:08:40,0,126,0,126
2022-11-06T15:17:54,0,126,0,126
2022-11-06T15:27:08,0,126,0,126
2022-11-06T15:36:21,0,126,0,126
2022-11-06T15:45:36,0,126,0,126
2022-11-06T15:54:48,0,126,0,126
2022-11-06T16:04:00,0,126,0,126
2022-11-06T16:13:24,0,126,0,126
2022-11-06T16:22:39,0,126,0,126
2022-11-06T16:31:55,0,126,0,126
