time,enrolled,available,waitlisted,total
2022-11-05T20:13:56,0,20,0,20
2022-11-05T20:23:14,0,20,0,20
2022-11-05T20:32:31,0,20,0,20
2022-11-05T20:41:58,0,20,0,20
2022-11-05T20:51:14,0,20,0,20
2022-11-05T21:00:30,0,20,0,20
2022-11-05T21:09:45,0,20,0,20
2022-11-05T21:19:00,0,20,0,20
2022-11-05T21:28:16,0,20,0,20
2022-11-05T21:37:32,0,20,0,20
2022-11-05T21:46:48,0,20,0,20
2022-11-05T21:56:03,0,20,0,20
2022-11-05T22:05:18,0,20,0,20
2022-11-05T22:14:34,0,20,0,20
2022-11-05T22:23:49,0,20,0,20
2022-11-05T22:33:05,0,20,0,20
2022-11-05T22:42:22,0,20,0,20
2022-11-05T22:51:38,0,20,0,20
2022-11-05T23:00:54,0,20,0,20
2022-11-05T23:10:10,0,20,0,20
2022-11-05T23:19:26,0,20,0,20
2022-11-05T23:28:43,0,20,0,20
2022-11-05T23:38:00,0,20,0,20
2022-11-05T23:47:16,0,20,0,20
2022-11-05T23:56:33,0,20,0,20
2022-11-06T00:05:58,0,20,0,20
2022-11-06T00:15:14,0,20,0,20
2022-11-06T00:24:30,0,20,0,20
2022-11-06T00:33:46,0,20,0,20
2022-11-06T00:43:01,0,20,0,20
2022-11-06T00:52:16,0,20,0,20
2022-11-06T01:01:32,0,20,0,20
2022-11-06T01:10:47,0,20,0,20
2022-11-06T01:20:03,0,20,0,20
2022-11-06T01:29:19,0,20,0,20
2022-11-06T01:38:35,0,20,0,20
2022-11-06T01:47:50,0,20,0,20
2022-11-06T01:57:06,0,20,0,20
2022-11-06T01:06:23,0,20,0,20
2022-11-06T01:15:39,0,20,0,20
2022-11-06T01:24:55,0,20,0,20
2022-11-06T01:34:11,0,20,0,20
2022-11-06T01:43:26,0,20,0,20
2022-11-06T01:52:44,0,20,0,20
2022-11-06T02:02:03,0,20,0,20
2022-11-06T02:11:22,0,20,0,20
2022-11-06T02:20:41,0,20,0,20
2022-11-06T02:30:02,0,20,0,20
2022-11-06T02:39:21,0,20,0,20
2022-11-06T02:48:40,0,20,0,20
2022-11-06T02:57:59,0,20,0,20
2022-11-06T03:07:17,0,20,0,20
2022-11-06T03:16:34,0,20,0,20
2022-11-06T03:25:51,0,20,0,20
2022-11-06T03:35:09,0,20,0,20
2022-11-06T03:44:28,0,20,0,20
2022-11-06T03:53:49,0,20,0,20
2022-11-06T04:03:07,0,20,0,20
2022-11-06T04:18:27,0,20,0,20
2022-11-06T04:27:46,0,20,0,20
2022-11-06T04:37:05,0,20,0,20
2022-11-06T04:47:33,0,20,0,20
2022-11-06T04:57:08,0,20,0,20
2022-11-06T05:06:25,0,20,0,20
2022-11-06T05:15:43,0,20,0,20
2022-11-06T05:24:59,0,20,0,20
2022-11-06T05:34:16,0,20,0,20
2022-11-06T05:43:31,0,20,0,20
2022-11-06T05:52:48,0,20,0,20
2022-11-06T06:02:06,0,20,0,20
2022-11-06T06:11:25,0,20,0,20
2022-11-06T06:20:44,0,20,0,20
2022-11-06T06:30:00,0,20,0,20
2022-11-06T06:39:17,0,20,0,20
2022-11-06T06:48:32,0,20,0,20
2022-11-06T06:57:48,0,20,0,20
2022-11-06T07:07:06,0,20,0,20
2022-11-06T07:16:23,0,20,0,20
2022-11-06T07:25:40,0,20,0,20
2022-11-06T07:34:58,0,20,0,20
2022-11-06T07:44:17,0,20,0,20
2022-11-06T07:53:35,0,20,0,20
2022-11-06T08:02:51,0,20,0,20
2022-11-06T08:12:08,0,20,0,20
2022-11-06T08:21:25,0,20,0,20
2022-11-06T08:30:43,0,20,0,20
