time,enrolled,available,waitlisted,total
2022-11-05T20:14:05,0,30,0,30
2022-11-05T20:23:22,0,30,0,30
2022-11-05T20:32:39,0,30,0,30
2022-11-05T20:42:07,0,30,0,30
2022-11-05T20:51:23,0,30,0,30
2022-11-05T21:00:39,0,30,0,30
2022-11-05T21:09:54,0,30,0,30
2022-11-05T21:19:09,0,30,0,30
2022-11-05T21:28:25,0,30,0,30
2022-11-05T21:37:40,0,30,0,30
2022-11-05T21:46:57,0,30,0,30
2022-11-05T21:56:12,0,30,0,30
2022-11-05T22:05:27,0,30,0,30
2022-11-05T22:14:42,0,30,0,30
2022-11-05T22:23:57,0,30,0,30
2022-11-05T22:33:14,0,30,0,30
2022-11-05T22:42:31,0,30,0,30
2022-11-05T22:51:46,0,30,0,30
2022-11-05T23:01:02,0,30,0,30
2022-11-05T23:10:19,0,30,0,30
2022-11-05T23:19:35,0,30,0,30
2022-11-05T23:28:51,0,30,0,30
2022-11-05T23:38:09,0,30,0,30
2022-11-05T23:47:25,0,30,0,30
2022-11-05T23:56:41,0,30,0,30
2022-11-06T00:06:06,0,30,0,30
2022-11-06T00:15:23,0,30,0,30
2022-11-06T00:24:39,0,30,0,30
2022-11-06T00:33:54,0,30,0,30
2022-11-06T00:43:10,0,30,0,30
2022-11-06T00:52:25,0,30,0,30
2022-11-06T01:01:40,0,30,0,30
2022-11-06T01:10:56,0,30,0,30
2022-11-06T01:20:11,0,30,0,30
2022-11-06T01:29:27,0,30,0,30
2022-11-06T01:38:43,0,30,0,30
2022-11-06T01:47:59,0,30,0,30
2022-11-06T01:57:15,0,30,0,30
2022-11-06T01:06:32,0,30,0,30
2022-11-06T01:15:48,0,30,0,30
2022-11-06T01:25:03,0,30,0,30
2022-11-06T01:34:20,0,30,0,30
2022-11-06T01:43:35,0,30,0,30
2022-11-06T01:52:53,0,30,0,30
2022-11-06T02:02:12,0,30,0,30
2022-11-06T02:11:31,0,30,0,30
2022-11-06T02:20:50,0,30,0,30
2022-11-06T02:30:10,0,30,0,30
2022-11-06T02:39:29,0,30,0,30
2022-11-06T02:48:49,0,30,0,30
2022-11-06T02:58:07,0,30,0,30
2022-11-06T03:07:26,0,30,0,30
2022-11-06T03:16:42,0,30,0,30
2022-11-06T03:25:59,0,30,0,30
2022-11-06T03:35:17,0,30,0,30
2022-11-06T03:44:37,0,30,0,30
2022-11-06T03:53:57,0,30,0,30
2022-11-06T04:03:16,0,30,0,30
2022-11-06T04:18:36,0,30,0,30
2022-11-06T04:27:55,0,30,0,30
2022-11-06T04:37:14,0,30,0,30
2022-11-06T04:47:42,0,30,0,30
2022-11-06T04:57:17,0,30,0,30
2022-11-06T05:06:34,0,30,0,30
2022-11-06T05:15:52,0,30,0,30
2022-11-06T05:25:08,0,30,0,30
2022-11-06T05:34:25,0,30,0,30
2022-11-06T05:43:40,0,30,0,30
2022-11-06T05:52:57,0,30,0,30
2022-11-06T06:02:15,0,30,0,30
2022-11-06T06:11:34,0,30,0,30
2022-11-06T06:20:53,0,30,0,30
2022-11-06T06:30:09,0,30,0,30
2022-11-06T06:39:25,0,30,0,30
2022-11-06T06:48:41,0,30,0,30
2022-11-06T06:57:57,0,30,0,30
2022-11-06T07:07:14,0,30,0,30
2022-11-06T07:16:32,0,30,0,30
2022-11-06T07:25:49,0,30,0,30
2022-11-06T07:35:07,0,30,0,30
2022-11-06T07:44:26,0,30,0,30
2022-11-06T07:53:44,0,30,0,30
2022-11-06T08:03:00,0,30,0,30
2022-11-06T08:12:16,0,30,0,30
2022-11-06T08:21:34,0,30,0,30
2022-11-06T08:30:51,0,30,0,30
2022-11-06T08:40:08,0,30,0,30
2022-11-06T08:49:24,0,30,0,30
2022-11-06T08:58:42,0,30,0,30
2022-11-06T09:07:57,0,30,0,30
2022-11-06T09:17:12,0,30,0,30
2022-11-06T09:26:26,0,30,0,30
2022-11-06T09:35:39,0,30,0,30
2022-11-06T09:44:53,0,30,0,30
2022-11-06T09:54:07,0,30,0,30
2022-11-06T10:03:21,0,30,0,30
2022-11-06T10:12:34,0,30,0,30
2022-11-06T10:21:48,0,30,0,30
2022-11-06T10:31:04,0,30,0,30
2022-11-06T10:40:18,0,30,0,30
2022-11-06T10:49:33,0,30,0,30
2022-11-06T10:58:49,0,30,0,30
2022-11-06T11:08:03,0,30,0,30
2022-11-06T11:17:18,0,30,0,30
2022-11-06T11:26:37,0,30,0,30
2022-11-06T11:35:59,0,30,0,30
2022-11-06T11:45:13,0,30,0,30
2022-11-06T11:54:27,0,30,0,30
2022-11-06T12:03:42,0,30,0,30
2022-11-06T12:12:58,0,30,0,30
2022-11-06T12:22:23,0,30,0,30
2022-11-06T12:31:37,0,30,0,30
2022-11-06T12:40:50,0,30,0,30
2022-11-06T12:50:06,0,30,0,30
2022-11-06T12:59:20,0,30,0,30
2022-11-06T13:08:34,0,30,0,30
2022-11-06T13:17:51,0,30,0,30
2022-11-06T13:27:06,0,30,0,30
2022-11-06T13:36:19,0,30,0,30
2022-11-06T13:45:33,0,30,0,30
2022-11-06T13:54:47,0,30,0,30
2022-11-06T14:04:02,0,30,0,30
2022-11-06T14:13:17,0,30,0,30
2022-11-06T14:22:40,0,30,0,30
2022-11-06T14:31:54,0,30,0,30
2022-11-06T14:41:09,0,30,0,30
2022-11-06T14:50:25,0,30,0,30
2022-11-06T14:59:39,0,30,0,30
2022-11-06T15:08:52,0,30,0,30
2022-11-06T15:18:06,0,30,0,30
2022-11-06T15:27:20,0,30,0,30
2022-11-06T15:36:33,0,30,0,30
2022-11-06T15:45:48,0,30,0,30
2022-11-06T15:55:00,0,30,0,30
2022-11-06T16:04:13,0,30,0,30
2022-11-06T16:13:36,0,30,0,30
2022-11-06T16:22:51,0,30,0,30
2022-11-06T16:32:08,0,30,0,30
2022-11-06T16:41:23,0,30,0,30
2022-11-06T16:50:39,0,30,0,30
2022-11-06T16:59:54,0,30,0,30
2022-11-06T17:09:08,0,30,0,30
2022-11-06T17:18:22,0,30,0,30
2022-11-06T17:27:38,0,30,0,30
2022-11-06T17:36:53,0,30,0,30
2022-11-06T17:46:18,0,30,0,30
2022-11-06T17:55:32,0,30,0,30
2022-11-06T18:04:48,0,30,0,30
2022-11-06T18:14:04,0,30,0,30
2022-11-06T18:23:19,0,30,0,30
2022-11-06T18:32:32,0,30,0,30
2022-11-06T18:41:45,0,30,0,30
2022-11-06T18:50:59,0,30,0,30
2022-11-06T19:00:14,0,30,0,30
2022-11-06T19:09:39,0,30,0,30
2022-11-06T19:18:53,0,30,0,30
2022-11-06T19:28:08,0,30,0,30
2022-11-06T19:37:22,0,30,0,30
2022-11-06T19:46:35,0,30,0,30
2022-11-06T19:55:49,0,30,0,30
2022-11-06T20:05:03,0,30,0,30
2022-11-06T20:14:17,0,30,0,30
2022-11-06T20:23:31,0,30,0,30
2022-11-06T20:32:47,0,30,0,30
2022-11-06T20:42:09,0,30,0,30
2022-11-06T20:51:23,0,30,0,30
2022-11-06T21:00:38,0,30,0,30
2022-11-06T21:09:52,0,30,0,30
2022-11-06T21:19:05,0,30,0,30
2022-11-06T21:28:18,0,30,0,30
2022-11-06T21:37:31,0,30,0,30
2022-11-06T21:46:47,0,30,0,30
2022-11-06T21:56:11,0,30,0,30
2022-11-06T22:05:26,0,30,0,30
2022-11-06T22:14:41,0,30,0,30
2022-11-06T22:23:56,0,30,0,30
2022-11-06T22:33:12,0,30,0,30
2022-11-06T22:42:26,0,30,0,30
2022-11-06T22:51:40,0,30,0,30
2022-11-06T23:00:55,0,30,0,30
2022-11-06T23:10:21,0,30,0,30
2022-11-06T23:19:36,0,30,0,30
2022-11-06T23:28:53,0,30,0,30
2022-11-06T23:38:08,0,30,0,30
2022-11-06T23:47:23,0,30,0,30
2022-11-06T23:56:39,0,30,0,30
2022-11-07T00:07:39,0,30,0,30
2022-11-07T00:17:02,0,30,0,30
2022-11-07T00:26:30,0,30,0,30
2022-11-07T00:35:47,0,30,0,30
2022-11-07T00:45:01,0,30,0,30
2022-11-07T00:54:16,0,30,0,30
2022-11-07T01:03:30,0,30,0,30
2022-11-07T01:12:51,0,30,0,30
2022-11-07T01:22:08,0,30,0,30
2022-11-07T01:31:22,0,30,0,30
2022-11-07T01:40:47,0,30,0,30
2022-11-07T01:50:02,0,30,0,30
2022-11-07T01:59:17,0,30,0,30
2022-11-07T02:08:31,0,30,0,30
2022-11-07T02:17:45,0,30,0,30
2022-11-07T02:27:00,0,30,0,30
2022-11-07T02:36:15,0,30,0,30
2022-11-07T02:45:29,0,30,0,30
2022-11-07T02:54:43,0,30,0,30
2022-11-07T03:03:58,0,30,0,30
2022-11-07T03:13:12,0,30,0,30
