time,enrolled,available,waitlisted,total
2022-11-05T20:14:07,0,32,0,32
2022-11-05T20:23:24,0,32,0,32
2022-11-05T20:32:41,0,32,0,32
2022-11-05T20:42:09,0,32,0,32
2022-11-05T20:51:25,0,32,0,32
2022-11-05T21:00:40,0,32,0,32
2022-11-05T21:09:56,0,32,0,32
2022-11-05T21:19:11,0,32,0,32
2022-11-05T21:28:26,0,32,0,32
2022-11-05T21:37:42,0,32,0,32
2022-11-05T21:46:59,0,32,0,32
2022-11-05T21:56:14,0,32,0,32
2022-11-05T22:05:29,0,32,0,32
2022-11-05T22:14:44,0,32,0,32
2022-11-05T22:23:59,0,32,0,32
2022-11-05T22:33:15,0,32,0,32
2022-11-05T22:42:33,0,32,0,32
2022-11-05T22:51:48,0,32,0,32
2022-11-05T23:01:04,0,32,0,32
2022-11-05T23:10:21,0,32,0,32
2022-11-05T23:19:37,0,32,0,32
2022-11-05T23:28:56,0,32,0,32
2022-11-05T23:38:11,0,32,0,32
2022-11-05T23:47:27,0,32,0,32
2022-11-05T23:56:43,0,32,0,32
2022-11-06T00:06:08,0,32,0,32
2022-11-06T00:15:25,0,32,0,32
2022-11-06T00:24:41,0,32,0,32
2022-11-06T00:33:56,0,32,0,32
2022-11-06T00:43:12,0,32,0,32
2022-11-06T00:52:27,0,32,0,32
2022-11-06T01:01:42,0,32,0,32
2022-11-06T01:10:57,0,32,0,32
2022-11-06T01:20:13,0,32,0,32
2022-11-06T01:29:29,0,32,0,32
2022-11-06T01:38:45,0,32,0,32
2022-11-06T01:48:01,0,32,0,32
2022-11-06T01:57:17,0,32,0,32
2022-11-06T01:06:33,0,32,0,32
2022-11-06T01:15:50,0,32,0,32
2022-11-06T01:25:05,0,32,0,32
2022-11-06T01:34:21,0,32,0,32
2022-11-06T01:43:36,0,32,0,32
2022-11-06T01:52:55,0,32,0,32
2022-11-06T02:02:14,0,32,0,32
2022-11-06T02:11:32,0,32,0,32
2022-11-06T02:20:51,0,32,0,32
2022-11-06T02:30:12,0,32,0,32
2022-11-06T02:39:31,0,32,0,32
2022-11-06T02:48:50,0,32,0,32
2022-11-06T02:58:09,0,32,0,32
2022-11-06T03:07:27,0,32,0,32
2022-11-06T03:16:44,0,32,0,32
2022-11-06T03:26:01,0,32,0,32
2022-11-06T03:35:19,0,32,0,32
2022-11-06T03:44:39,0,32,0,32
2022-11-06T03:53:59,0,32,0,32
2022-11-06T04:03:18,0,32,0,32
2022-11-06T04:18:37,0,32,0,32
2022-11-06T04:27:57,0,32,0,32
2022-11-06T04:37:16,0,32,0,32
2022-11-06T04:47:44,0,32,0,32
2022-11-06T04:57:18,0,32,0,32
2022-11-06T05:06:36,0,32,0,32
2022-11-06T05:15:53,0,32,0,32
2022-11-06T05:25:09,0,32,0,32
2022-11-06T05:34:27,0,32,0,32
2022-11-06T05:43:42,0,32,0,32
2022-11-06T05:52:58,0,32,0,32
2022-11-06T06:02:17,0,32,0,32
2022-11-06T06:11:35,0,32,0,32
2022-11-06T06:20:55,0,32,0,32
2022-11-06T06:30:11,0,32,0,32
2022-11-06T06:39:27,0,32,0,32
2022-11-06T06:48:43,0,32,0,32
2022-11-06T06:57:59,0,32,0,32
2022-11-06T07:07:16,0,32,0,32
2022-11-06T07:16:33,0,32,0,32
2022-11-06T07:25:51,0,32,0,32
2022-11-06T07:35:09,0,32,0,32
2022-11-06T07:44:27,0,32,0,32
2022-11-06T07:53:45,0,32,0,32
2022-11-06T08:03:01,0,32,0,32
2022-11-06T08:12:18,0,32,0,32
2022-11-06T08:21:35,0,32,0,32
2022-11-06T08:30:53,0,32,0,32
2022-11-06T08:40:10,0,32,0,32
2022-11-06T08:49:26,0,32,0,32
2022-11-06T08:58:43,0,32,0,32
2022-11-06T09:07:59,0,32,0,32
2022-11-06T09:17:14,0,32,0,32
2022-11-06T09:26:28,0,32,0,32
2022-11-06T09:35:41,0,32,0,32
2022-11-06T09:44:55,0,32,0,32
2022-11-06T09:54:09,0,32,0,32
2022-11-06T10:03:22,0,32,0,32
2022-11-06T10:12:36,0,32,0,32
2022-11-06T10:21:50,0,32,0,32
2022-11-06T10:31:06,0,32,0,32
2022-11-06T10:40:20,0,32,0,32
2022-11-06T10:49:35,0,32,0,32
2022-11-06T10:58:50,0,32,0,32
2022-11-06T11:08:04,0,32,0,32
2022-11-06T11:17:20,0,32,0,32
2022-11-06T11:26:39,0,32,0,32
2022-11-06T11:36:01,0,32,0,32
2022-11-06T11:45:15,0,32,0,32
2022-11-06T11:54:29,0,32,0,32
2022-11-06T12:03:43,0,32,0,32
2022-11-06T12:12:59,0,32,0,32
2022-11-06T12:22:25,0,32,0,32
2022-11-06T12:31:38,0,32,0,32
2022-11-06T12:40:52,0,32,0,32
2022-11-06T12:50:08,0,32,0,32
2022-11-06T12:59:21,0,32,0,32
2022-11-06T13:08:36,0,32,0,32
2022-11-06T13:17:52,0,32,0,32
2022-11-06T13:27:08,0,32,0,32
2022-11-06T13:36:21,0,32,0,32
2022-11-06T13:45:35,0,32,0,32
2022-11-06T13:54:48,0,32,0,32
2022-11-06T14:04:04,0,32,0,32
2022-11-06T14:13:19,0,32,0,32
2022-11-06T14:22:42,0,32,0,32
2022-11-06T14:31:56,0,32,0,32
2022-11-06T14:41:11,0,32,0,32
2022-11-06T14:50:27,0,32,0,32
2022-11-06T14:59:41,0,32,0,32
2022-11-06T15:08:54,0,32,0,32
2022-11-06T15:18:08,0,32,0,32
2022-11-06T15:27:22,0,32,0,32
2022-11-06T15:36:35,0,32,0,32
2022-11-06T15:45:50,0,32,0,32
2022-11-06T15:55:02,0,32,0,32
2022-11-06T16:04:14,0,32,0,32
2022-11-06T16:13:38,0,32,0,32
2022-11-06T16:22:53,0,32,0,32
2022-11-06T16:32:09,0,32,0,32
2022-11-06T16:41:25,0,32,0,32
2022-11-06T16:50:40,0,32,0,32
2022-11-06T16:59:55,0,32,0,32
2022-11-06T17:09:10,0,32,0,32
2022-11-06T17:18:24,0,32,0,32
2022-11-06T17:27:40,0,32,0,32
2022-11-06T17:36:55,0,32,0,32
2022-11-06T17:46:20,0,32,0,32
2022-11-06T17:55:34,0,32,0,32
