time,enrolled,available,waitlisted,total
2022-11-05T20:14:08,0,5,0,5
2022-11-05T20:23:26,0,5,0,5
2022-11-05T20:32:42,0,5,0,5
2022-11-05T20:42:10,0,5,0,5
2022-11-05T20:51:26,0,5,0,5
2022-11-05T21:00:42,0,5,0,5
2022-11-05T21:09:57,0,5,0,5
2022-11-05T21:19:12,0,5,0,5
2022-11-05T21:28:28,0,5,0,5
2022-11-05T21:37:44,0,5,0,5
2022-11-05T21:47:00,0,5,0,5
2022-11-05T21:56:15,0,5,0,5
2022-11-05T22:05:30,0,5,0,5
2022-11-05T22:14:45,0,5,0,5
2022-11-05T22:24:00,0,5,0,5
2022-11-05T22:33:17,0,5,0,5
2022-11-05T22:42:34,0,5,0,5
2022-11-05T22:51:49,0,5,0,5
2022-11-05T23:01:05,0,5,0,5
2022-11-05T23:10:22,0,5,0,5
2022-11-05T23:19:38,0,5,0,5
2022-11-05T23:28:57,0,5,0,5
2022-11-05T23:38:12,0,5,0,5
2022-11-05T23:47:28,0,5,0,5
2022-11-05T23:56:44,0,5,0,5
2022-11-06T00:06:09,0,5,0,5
2022-11-06T00:15:26,0,5,0,5
2022-11-06T00:24:42,0,5,0,5
2022-11-06T00:33:57,0,5,0,5
2022-11-06T00:43:13,0,5,0,5
2022-11-06T00:52:28,0,5,0,5
2022-11-06T01:01:43,0,5,0,5
2022-11-06T01:10:59,0,5,0,5
2022-11-06T01:20:14,0,5,0,5
2022-11-06T01:29:31,0,5,0,5
2022-11-06T01:38:46,0,5,0,5
2022-11-06T01:48:02,0,5,0,5
2022-11-06T01:57:18,0,5,0,5
2022-11-06T01:06:35,0,5,0,5
2022-11-06T01:15:51,0,5,0,5
2022-11-06T01:25:06,0,5,0,5
2022-11-06T01:34:23,0,5,0,5
2022-11-06T01:43:38,0,5,0,5
2022-11-06T01:52:56,0,5,0,5
2022-11-06T02:02:15,0,5,0,5
2022-11-06T02:11:34,0,5,0,5
2022-11-06T02:20:53,0,5,0,5
2022-11-06T02:30:13,0,5,0,5
2022-11-06T02:39:32,0,5,0,5
2022-11-06T02:48:52,0,5,0,5
2022-11-06T02:58:10,0,5,0,5
2022-11-06T03:07:29,0,5,0,5
2022-11-06T03:16:45,0,5,0,5
2022-11-06T03:26:02,0,5,0,5
2022-11-06T03:35:20,0,5,0,5
2022-11-06T03:44:40,0,5,0,5
2022-11-06T03:54:00,0,5,0,5
2022-11-06T04:03:19,0,5,0,5
2022-11-06T04:18:39,0,5,0,5
2022-11-06T04:27:58,0,5,0,5
2022-11-06T04:37:17,0,5,0,5
2022-11-06T04:47:45,0,5,0,5
