time,enrolled,available,waitlisted,total
2022-11-05T20:14:12,0,10,0,10
2022-11-05T20:23:30,0,10,0,10
2022-11-05T20:32:46,0,10,0,10
2022-11-05T20:42:14,0,10,0,10
2022-11-05T20:51:30,0,10,0,10
2022-11-05T21:00:46,0,10,0,10
2022-11-05T21:10:01,0,10,0,10
2022-11-05T21:19:16,0,10,0,10
2022-11-05T21:28:32,0,10,0,10
2022-11-05T21:37:47,0,10,0,10
2022-11-05T21:47:04,0,10,0,10
2022-11-05T21:56:19,0,10,0,10
2022-11-05T22:05:34,0,10,0,10
2022-11-05T22:14:49,0,10,0,10
2022-11-05T22:24:04,0,10,0,10
2022-11-05T22:33:21,0,10,0,10
2022-11-05T22:42:38,0,10,0,10
2022-11-05T22:51:53,0,10,0,10
2022-11-05T23:01:09,0,10,0,10
2022-11-05T23:10:26,0,10,0,10
2022-11-05T23:19:42,0,10,0,10
2022-11-05T23:29:01,0,10,0,10
2022-11-05T23:38:16,0,10,0,10
2022-11-05T23:47:32,0,10,0,10
2022-11-05T23:56:48,0,10,0,10
2022-11-06T00:06:13,0,10,0,10
2022-11-06T00:15:30,0,10,0,10
2022-11-06T00:24:46,0,10,0,10
2022-11-06T00:34:01,0,10,0,10
2022-11-06T00:43:17,0,10,0,10
2022-11-06T00:52:32,0,10,0,10
2022-11-06T01:01:47,0,10,0,10
2022-11-06T01:11:03,0,10,0,10
2022-11-06T01:20:18,0,10,0,10
2022-11-06T01:29:34,0,10,0,10
2022-11-06T01:38:50,0,10,0,10
2022-11-06T01:48:06,0,10,0,10
2022-11-06T01:57:22,0,10,0,10
2022-11-06T01:06:39,0,10,0,10
2022-11-06T01:15:55,0,10,0,10
2022-11-06T01:25:10,0,10,0,10
2022-11-06T01:34:27,0,10,0,10
2022-11-06T01:43:42,0,10,0,10
2022-11-06T01:53:00,0,10,0,10
2022-11-06T02:02:19,0,10,0,10
2022-11-06T02:11:38,0,10,0,10
2022-11-06T02:20:57,0,10,0,10
2022-11-06T02:30:17,0,10,0,10
2022-11-06T02:39:36,0,10,0,10
2022-11-06T02:48:56,0,10,0,10
2022-11-06T02:58:14,0,10,0,10
2022-11-06T03:07:33,0,10,0,10
2022-11-06T03:16:49,0,10,0,10
2022-11-06T03:26:06,0,10,0,10
2022-11-06T03:35:24,0,10,0,10
2022-11-06T03:44:44,0,10,0,10
2022-11-06T03:54:04,0,10,0,10
2022-11-06T04:03:23,0,10,0,10
2022-11-06T04:18:43,0,10,0,10
2022-11-06T04:28:02,0,10,0,10
2022-11-06T04:37:21,0,10,0,10
2022-11-06T04:47:49,0,10,0,10
2022-11-06T04:57:24,0,10,0,10
2022-11-06T05:06:41,0,10,0,10
2022-11-06T05:15:58,0,10,0,10
2022-11-06T05:25:15,0,10,0,10
2022-11-06T05:34:32,0,10,0,10
2022-11-06T05:43:47,0,10,0,10
2022-11-06T05:53:04,0,10,0,10
2022-11-06T06:02:22,0,10,0,10
2022-11-06T06:11:41,0,10,0,10
2022-11-06T06:21:00,0,10,0,10
2022-11-06T06:30:16,0,10,0,10
2022-11-06T06:39:32,0,10,0,10
2022-11-06T06:48:48,0,10,0,10
2022-11-06T06:58:04,0,10,0,10
2022-11-06T07:07:21,0,10,0,10
2022-11-06T07:16:39,0,10,0,10
2022-11-06T07:25:56,0,10,0,10
2022-11-06T07:35:14,0,10,0,10
2022-11-06T07:44:33,0,10,0,10
2022-11-06T07:53:51,0,10,0,10
2022-11-06T08:03:07,0,10,0,10
2022-11-06T08:12:23,0,10,0,10
2022-11-06T08:21:41,0,10,0,10
2022-11-06T08:30:58,0,10,0,10
2022-11-06T08:40:15,0,10,0,10
2022-11-06T08:49:31,0,10,0,10
2022-11-06T08:58:49,0,10,0,10
2022-11-06T09:08:04,0,10,0,10
2022-11-06T09:17:19,0,10,0,10
2022-11-06T09:26:33,0,10,0,10
2022-11-06T09:35:46,0,10,0,10
2022-11-06T09:45:00,0,10,0,10
2022-11-06T09:54:14,0,10,0,10
2022-11-06T10:03:28,0,10,0,10
2022-11-06T10:12:41,0,10,0,10
2022-11-06T10:21:55,0,10,0,10
2022-11-06T10:31:11,0,10,0,10
2022-11-06T10:40:25,0,10,0,10
2022-11-06T10:49:40,0,10,0,10
2022-11-06T10:58:56,0,10,0,10
2022-11-06T11:08:10,0,10,0,10
2022-11-06T11:17:25,0,10,0,10
2022-11-06T11:26:44,0,10,0,10
2022-11-06T11:36:06,0,10,0,10
2022-11-06T11:45:20,0,10,0,10
2022-11-06T11:54:34,0,10,0,10
2022-11-06T12:03:48,0,10,0,10
2022-11-06T12:13:04,0,10,0,10
2022-11-06T12:22:30,0,10,0,10
2022-11-06T12:31:44,0,10,0,10
2022-11-06T12:40:57,0,10,0,10
2022-11-06T12:50:13,0,10,0,10
2022-11-06T12:59:27,0,10,0,10
2022-11-06T13:08:41,0,10,0,10
2022-11-06T13:17:58,0,10,0,10
2022-11-06T13:27:13,0,10,0,10
2022-11-06T13:36:26,0,10,0,10
2022-11-06T13:45:40,0,10,0,10
2022-11-06T13:54:53,0,10,0,10
2022-11-06T14:04:09,0,10,0,10
2022-11-06T14:13:24,0,10,0,10
2022-11-06T14:22:47,0,10,0,10
2022-11-06T14:32:01,0,10,0,10
2022-11-06T14:41:16,0,10,0,10
2022-11-06T14:50:32,0,10,0,10
