time,enrolled,available,waitlisted,total
2022-11-05T20:14:11,0,25,0,25
2022-11-05T20:23:28,0,25,0,25
2022-11-05T20:32:45,0,25,0,25
2022-11-05T20:42:13,0,25,0,25
2022-11-05T20:51:29,0,25,0,25
2022-11-05T21:00:44,0,25,0,25
2022-11-05T21:09:59,0,25,0,25
2022-11-05T21:19:15,0,25,0,25
2022-11-05T21:28:30,0,25,0,25
2022-11-05T21:37:46,0,25,0,25
2022-11-05T21:47:02,0,25,0,25
2022-11-05T21:56:18,0,25,0,25
2022-11-05T22:05:33,0,25,0,25
2022-11-05T22:14:48,0,25,0,25
2022-11-05T22:24:03,0,25,0,25
2022-11-05T22:33:19,0,25,0,25
2022-11-05T22:42:37,0,25,0,25
2022-11-05T22:51:52,0,25,0,25
2022-11-05T23:01:08,0,25,0,25
2022-11-05T23:10:25,0,25,0,25
2022-11-05T23:19:41,0,25,0,25
2022-11-05T23:29:00,0,25,0,25
2022-11-05T23:38:14,0,25,0,25
2022-11-05T23:47:31,0,25,0,25
2022-11-05T23:56:47,0,25,0,25
2022-11-06T00:06:12,0,25,0,25
2022-11-06T00:15:29,0,25,0,25
2022-11-06T00:24:44,0,25,0,25
2022-11-06T00:34:00,0,25,0,25
2022-11-06T00:43:16,0,25,0,25
2022-11-06T00:52:31,0,25,0,25
2022-11-06T01:01:46,0,25,0,25
2022-11-06T01:11:01,0,25,0,25
2022-11-06T01:20:17,0,25,0,25
2022-11-06T01:29:33,0,25,0,25
2022-11-06T01:38:49,0,25,0,25
2022-11-06T01:48:04,0,25,0,25
2022-11-06T01:57:21,0,25,0,25
2022-11-06T01:06:37,0,25,0,25
2022-11-06T01:15:54,0,25,0,25
2022-11-06T01:25:09,0,25,0,25
2022-11-06T01:34:25,0,25,0,25
2022-11-06T01:43:40,0,25,0,25
2022-11-06T01:52:59,0,25,0,25
2022-11-06T02:02:18,0,25,0,25
2022-11-06T02:11:36,0,25,0,25
2022-11-06T02:20:55,0,25,0,25
2022-11-06T02:30:16,0,25,0,25
2022-11-06T02:39:35,0,25,0,25
2022-11-06T02:48:54,0,25,0,25
2022-11-06T02:58:13,0,25,0,25
2022-11-06T03:07:31,0,25,0,25
2022-11-06T03:16:48,0,25,0,25
2022-11-06T03:26:05,0,25,0,25
2022-11-06T03:35:23,0,25,0,25
2022-11-06T03:44:43,0,25,0,25
2022-11-06T03:54:03,0,25,0,25
2022-11-06T04:03:22,0,25,0,25
2022-11-06T04:18:41,0,25,0,25
2022-11-06T04:28:01,0,25,0,25
2022-11-06T04:37:20,0,25,0,25
2022-11-06T04:47:48,0,25,0,25
