time,enrolled,available,waitlisted,total
2022-11-05T20:14:14,0,25,0,25
2022-11-05T20:23:32,0,25,0,25
2022-11-05T20:32:48,0,25,0,25
2022-11-05T20:42:16,0,25,0,25
2022-11-05T20:51:32,0,25,0,25
2022-11-05T21:00:48,0,25,0,25
2022-11-05T21:10:03,0,25,0,25
2022-11-05T21:19:18,0,25,0,25
2022-11-05T21:28:34,0,25,0,25
2022-11-05T21:37:50,0,25,0,25
2022-11-05T21:47:06,0,25,0,25
2022-11-05T21:56:21,0,25,0,25
2022-11-05T22:05:36,0,25,0,25
2022-11-05T22:14:51,0,25,0,25
2022-11-05T22:24:06,0,25,0,25
2022-11-05T22:33:23,0,25,0,25
2022-11-05T22:42:40,0,25,0,25
2022-11-05T22:51:55,0,25,0,25
2022-11-05T23:01:11,0,25,0,25
2022-11-05T23:10:28,0,25,0,25
2022-11-05T23:19:44,0,25,0,25
2022-11-05T23:29:03,0,25,0,25
2022-11-05T23:38:18,0,25,0,25
2022-11-05T23:47:34,0,25,0,25
2022-11-05T23:56:50,0,25,0,25
2022-11-06T00:06:15,0,25,0,25
2022-11-06T00:15:32,0,25,0,25
2022-11-06T00:24:48,0,25,0,25
2022-11-06T00:34:03,0,25,0,25
2022-11-06T00:43:19,0,25,0,25
2022-11-06T00:52:34,0,25,0,25
2022-11-06T01:01:49,0,25,0,25
2022-11-06T01:11:05,0,25,0,25
2022-11-06T01:20:20,0,25,0,25
2022-11-06T01:29:37,0,25,0,25
2022-11-06T01:38:53,0,25,0,25
2022-11-06T01:48:08,0,25,0,25
2022-11-06T01:57:24,0,25,0,25
2022-11-06T01:06:41,0,25,0,25
2022-11-06T01:15:57,0,25,0,25
2022-11-06T01:25:13,0,25,0,25
2022-11-06T01:34:29,0,25,0,25
2022-11-06T01:43:44,0,25,0,25
2022-11-06T01:53:02,0,25,0,25
2022-11-06T02:02:21,0,25,0,25
2022-11-06T02:11:40,0,25,0,25
2022-11-06T02:20:59,0,25,0,25
2022-11-06T02:30:19,0,25,0,25
2022-11-06T02:39:39,0,25,0,25
2022-11-06T02:48:58,0,25,0,25
2022-11-06T02:58:16,0,25,0,25
2022-11-06T03:07:35,0,25,0,25
2022-11-06T03:16:52,0,25,0,25
2022-11-06T03:26:08,0,25,0,25
2022-11-06T03:35:26,0,25,0,25
2022-11-06T03:44:46,0,25,0,25
2022-11-06T03:54:06,0,25,0,25
2022-11-06T04:03:25,0,25,0,25
2022-11-06T04:18:45,0,25,0,25
2022-11-06T04:28:04,0,25,0,25
2022-11-06T04:37:23,0,25,0,25
2022-11-06T04:47:51,0,25,0,25
2022-11-06T04:57:26,0,25,0,25
2022-11-06T05:06:43,0,25,0,25
2022-11-06T05:16:01,0,25,0,25
2022-11-06T05:25:17,0,25,0,25
2022-11-06T05:34:34,0,25,0,25
2022-11-06T05:43:49,0,25,0,25
2022-11-06T05:53:06,0,25,0,25
2022-11-06T06:02:24,0,25,0,25
2022-11-06T06:11:43,0,25,0,25
2022-11-06T06:21:02,0,25,0,25
2022-11-06T06:30:18,0,25,0,25
2022-11-06T06:39:34,0,25,0,25
2022-11-06T06:48:50,0,25,0,25
2022-11-06T06:58:06,0,25,0,25
2022-11-06T07:07:23,0,25,0,25
2022-11-06T07:16:41,0,25,0,25
2022-11-06T07:25:58,0,25,0,25
2022-11-06T07:35:16,0,25,0,25
2022-11-06T07:44:35,0,25,0,25
2022-11-06T07:53:53,0,25,0,25
2022-11-06T08:03:09,0,25,0,25
2022-11-06T08:12:26,0,25,0,25
2022-11-06T08:21:43,0,25,0,25
2022-11-06T08:31:00,0,25,0,25
2022-11-06T08:40:17,0,25,0,25
2022-11-06T08:49:33,0,25,0,25
2022-11-06T08:58:51,0,25,0,25
2022-11-06T09:08:06,0,25,0,25
2022-11-06T09:17:21,0,25,0,25
2022-11-06T09:26:35,0,25,0,25
2022-11-06T09:35:48,0,25,0,25
2022-11-06T09:45:02,0,25,0,25
2022-11-06T09:54:17,0,25,0,25
2022-11-06T10:03:30,0,25,0,25
2022-11-06T10:12:43,0,25,0,25
2022-11-06T10:21:57,0,25,0,25
2022-11-06T10:31:13,0,25,0,25
2022-11-06T10:40:27,0,25,0,25
2022-11-06T10:49:42,0,25,0,25
2022-11-06T10:58:58,0,25,0,25
2022-11-06T11:08:12,0,25,0,25
2022-11-06T11:17:27,0,25,0,25
2022-11-06T11:26:47,0,25,0,25
2022-11-06T11:36:08,0,25,0,25
2022-11-06T11:45:23,0,25,0,25
2022-11-06T11:54:37,0,25,0,25
2022-11-06T12:03:51,0,25,0,25
2022-11-06T12:13:07,0,25,0,25
2022-11-06T12:22:32,0,25,0,25
2022-11-06T12:31:46,0,25,0,25
2022-11-06T12:40:59,0,25,0,25
2022-11-06T12:50:15,0,25,0,25
2022-11-06T12:59:29,0,25,0,25
2022-11-06T13:08:44,0,25,0,25
2022-11-06T13:18:00,0,25,0,25
2022-11-06T13:27:15,0,25,0,25
2022-11-06T13:36:28,0,25,0,25
2022-11-06T13:45:42,0,25,0,25
2022-11-06T13:54:56,0,25,0,25
2022-11-06T14:04:11,0,25,0,25
2022-11-06T14:13:26,0,25,0,25
2022-11-06T14:22:49,0,25,0,25
2022-11-06T14:32:03,0,25,0,25
2022-11-06T14:41:18,0,25,0,25
2022-11-06T14:50:34,0,25,0,25
2022-11-06T14:59:48,0,25,0,25
2022-11-06T15:09:01,0,25,0,25
2022-11-06T15:18:15,0,25,0,25
2022-11-06T15:27:29,0,25,0,25
2022-11-06T15:36:42,0,25,0,25
2022-11-06T15:45:57,0,25,0,25
2022-11-06T15:55:09,0,25,0,25
2022-11-06T16:04:22,0,25,0,25
2022-11-06T16:13:45,0,25,0,25
2022-11-06T16:23:00,0,25,0,25
2022-11-06T16:32:17,0,25,0,25
2022-11-06T16:41:32,0,25,0,25
2022-11-06T16:50:48,0,25,0,25
2022-11-06T17:00:03,0,25,0,25
2022-11-06T17:09:17,0,25,0,25
2022-11-06T17:18:31,0,25,0,25
2022-11-06T17:27:47,0,25,0,25
2022-11-06T17:37:03,0,25,0,25
2022-11-06T17:46:27,0,25,0,25
2022-11-06T17:55:42,0,25,0,25
2022-11-06T18:04:57,0,25,0,25
2022-11-06T18:14:13,0,25,0,25
2022-11-06T18:23:28,0,25,0,25
2022-11-06T18:32:41,0,25,0,25
2022-11-06T18:41:54,0,25,0,25
2022-11-06T18:51:08,0,25,0,25
2022-11-06T19:00:23,0,25,0,25
2022-11-06T19:09:48,0,25,0,25
2022-11-06T19:19:02,0,25,0,25
2022-11-06T19:28:18,0,25,0,25
2022-11-06T19:37:31,0,25,0,25
2022-11-06T19:46:44,0,25,0,25
2022-11-06T19:55:58,0,25,0,25
2022-11-06T20:05:12,0,25,0,25
2022-11-06T20:14:26,0,25,0,25
2022-11-06T20:23:40,0,25,0,25
2022-11-06T20:32:56,0,25,0,25
2022-11-06T20:42:18,0,25,0,25
2022-11-06T20:51:33,0,25,0,25
2022-11-06T21:00:47,0,25,0,25
2022-11-06T21:10:01,0,25,0,25
2022-11-06T21:19:14,0,25,0,25
2022-11-06T21:28:27,0,25,0,25
2022-11-06T21:37:40,0,25,0,25
2022-11-06T21:46:56,0,25,0,25
2022-11-06T21:56:20,0,25,0,25
2022-11-06T22:05:35,0,25,0,25
2022-11-06T22:14:50,0,25,0,25
2022-11-06T22:24:05,0,25,0,25
2022-11-06T22:33:21,0,25,0,25
2022-11-06T22:42:35,0,25,0,25
2022-11-06T22:51:49,0,25,0,25
2022-11-06T23:01:05,0,25,0,25
2022-11-06T23:10:30,0,25,0,25
2022-11-06T23:19:45,0,25,0,25
2022-11-06T23:29:02,0,25,0,25
2022-11-06T23:38:17,0,25,0,25
2022-11-06T23:47:32,0,25,0,25
2022-11-06T23:56:48,0,25,0,25
2022-11-07T00:07:48,0,25,0,25
2022-11-07T00:17:11,0,25,0,25
2022-11-07T00:26:39,0,25,0,25
2022-11-07T00:35:56,0,25,0,25
2022-11-07T00:45:10,0,25,0,25
2022-11-07T00:54:25,0,25,0,25
2022-11-07T01:03:39,0,25,0,25
2022-11-07T01:13:00,0,25,0,25
2022-11-07T01:22:17,0,25,0,25
2022-11-07T01:31:31,0,25,0,25
2022-11-07T01:40:57,0,25,0,25
2022-11-07T01:50:11,0,25,0,25
2022-11-07T01:59:26,0,25,0,25
2022-11-07T02:08:40,0,25,0,25
2022-11-07T02:17:55,0,25,0,25
2022-11-07T02:27:10,0,25,0,25
2022-11-07T02:36:24,0,25,0,25
2022-11-07T02:45:38,0,25,0,25
2022-11-07T02:54:52,0,25,0,25
2022-11-07T03:04:07,0,25,0,25
2022-11-07T03:13:21,0,25,0,25
2022-11-07T03:22:37,0,25,0,25
2022-11-07T03:31:52,0,25,0,25
2022-11-07T03:41:08,0,25,0,25
2022-11-07T03:50:24,0,25,0,25
2022-11-07T03:59:41,0,25,0,25
2022-11-07T04:08:59,0,25,0,25
2022-11-07T04:26:09,0,25,0,25
2022-11-07T04:35:47,0,25,0,25
2022-11-07T04:45:05,0,25,0,25
2022-11-07T04:54:22,0,25,0,25
2022-11-07T05:03:36,0,25,0,25
2022-11-07T05:12:50,0,25,0,25
2022-11-07T05:22:05,0,25,0,25
2022-11-07T05:31:19,0,25,0,25
2022-11-07T05:40:33,0,25,0,25
2022-11-07T05:49:47,0,25,0,25
2022-11-07T05:59:04,0,25,0,25
2022-11-07T06:08:21,0,25,0,25
2022-11-07T06:17:38,0,25,0,25
2022-11-07T06:26:56,0,25,0,25
2022-11-07T06:36:13,0,25,0,25
2022-11-07T06:45:30,0,25,0,25
2022-11-07T06:54:45,0,25,0,25
2022-11-07T07:04:02,0,25,0,25
2022-11-07T07:13:20,0,25,0,25
2022-11-07T07:22:37,0,25,0,25
2022-11-07T07:31:54,0,25,0,25
2022-11-07T07:41:11,0,25,0,25
2022-11-07T07:50:29,0,25,0,25
2022-11-07T07:59:50,0,25,0,25
2022-11-07T08:09:09,0,25,0,25
2022-11-07T08:18:27,0,25,0,25
2022-11-07T08:27:46,0,25,0,25
2022-11-07T08:37:13,0,25,0,25
2022-11-07T08:46:32,0,25,0,25
2022-11-07T08:55:48,0,25,0,25
2022-11-07T09:05:07,0,25,0,25
2022-11-07T09:14:29,0,25,0,25
2022-11-07T09:23:48,0,25,0,25
2022-11-07T09:33:09,0,25,0,25
2022-11-07T09:42:44,0,25,0,25
2022-11-07T09:52:04,0,25,0,25
2022-11-07T10:01:23,0,25,0,25
2022-11-07T10:10:42,0,25,0,25
2022-11-07T10:20:00,0,25,0,25
2022-11-07T10:29:20,0,25,0,25
2022-11-07T10:38:53,0,25,0,25
2022-11-07T10:48:12,0,25,0,25
2022-11-07T10:57:31,0,25,0,25
2022-11-07T11:06:51,0,25,0,25
2022-11-07T11:16:12,0,25,0,25
2022-11-07T11:25:43,0,25,0,25
2022-11-07T11:35:04,0,25,0,25
2022-11-07T11:44:24,0,25,0,25
2022-11-07T11:53:41,0,25,0,25
2022-11-07T12:03:00,0,25,0,25
2022-11-07T12:12:29,0,25,0,25
2022-11-07T12:21:49,0,25,0,25
2022-11-07T12:31:09,0,25,0,25
2022-11-07T12:40:28,0,25,0,25
2022-11-07T12:49:58,0,25,0,25
2022-11-07T12:59:18,0,25,0,25
2022-11-07T13:08:38,0,25,0,25
2022-11-07T13:18:00,0,25,0,25
2022-11-07T13:27:31,0,25,0,25
2022-11-07T13:36:52,0,25,0,25
2022-11-07T13:46:14,0,25,0,25
2022-11-07T13:55:44,0,25,0,25
2022-11-07T14:05:05,0,25,0,25
2022-11-07T14:14:24,0,25,0,25
2022-11-07T14:23:45,0,25,0,25
2022-11-07T14:33:14,0,25,0,25
2022-11-07T14:42:34,0,25,0,25
2022-11-07T14:51:52,0,25,0,25
2022-11-07T15:01:11,0,25,0,25
2022-11-07T15:10:30,0,25,0,25
2022-11-07T15:20:01,0,25,0,25
2022-11-07T15:29:20,0,25,0,25
2022-11-07T15:38:39,0,25,0,25
2022-11-07T15:47:56,0,25,0,25
2022-11-07T15:57:25,0,25,0,25
2022-11-07T16:06:44,0,25,0,25
2022-11-07T16:16:02,0,25,0,25
2022-11-07T16:25:20,0,25,0,25
2022-11-07T16:34:48,0,25,0,25
2022-11-07T16:44:06,0,25,0,25
2022-11-07T16:53:24,0,25,0,25
2022-11-07T17:02:43,0,25,0,25
2022-11-07T17:12:05,0,25,0,25
2022-11-07T17:21:35,0,25,0,25
2022-11-07T17:30:53,0,25,0,25
2022-11-07T17:40:10,0,25,0,25
2022-11-07T17:49:28,0,25,0,25
2022-11-07T17:58:45,0,25,0,25
2022-11-07T18:08:17,0,25,0,25
2022-11-07T18:17:35,0,25,0,25
2022-11-07T18:26:52,0,25,0,25
2022-11-07T18:36:09,0,25,0,25
2022-11-07T18:45:36,0,25,0,25
2022-11-07T18:54:54,0,25,0,25
2022-11-07T19:04:11,0,25,0,25
2022-11-07T19:13:38,0,25,0,25
2022-11-07T19:22:55,0,25,0,25
2022-11-07T19:32:14,0,25,0,25
2022-11-07T19:41:33,0,25,0,25
2022-11-07T19:50:51,0,25,0,25
2022-11-07T20:00:08,0,25,0,25
2022-11-07T20:09:37,0,25,0,25
2022-11-07T20:18:55,0,25,0,25
2022-11-07T20:28:12,0,25,0,25
2022-11-07T20:37:29,0,25,0,25
2022-11-07T20:46:48,0,25,0,25
2022-11-07T20:56:06,0,25,0,25
2022-11-07T21:05:34,0,25,0,25
2022-11-07T21:14:50,0,25,0,25
2022-11-07T21:24:06,0,25,0,25
2022-11-07T21:33:25,0,25,0,25
2022-11-07T21:42:40,0,25,0,25
2022-11-07T21:51:55,0,25,0,25
2022-11-07T22:01:22,0,25,0,25
2022-11-07T22:10:40,0,25,0,25
2022-11-07T22:19:57,0,25,0,25
2022-11-07T22:29:13,0,25,0,25
2022-11-07T22:38:29,0,25,0,25
2022-11-07T22:47:44,0,25,0,25
2022-11-07T22:57:12,0,25,0,25
2022-11-07T23:06:28,0,25,0,25
2022-11-07T23:15:44,0,25,0,25
2022-11-07T23:24:59,0,25,0,25
2022-11-07T23:34:15,0,25,0,25
2022-11-07T23:43:31,0,25,0,25
2022-11-07T23:52:47,0,25,0,25
2022-11-08T00:02:02,0,25,0,25
2022-11-08T00:11:32,0,25,0,25
2022-11-08T00:20:53,0,25,0,25
2022-11-08T00:30:09,0,25,0,25
2022-11-08T00:39:25,0,25,0,25
2022-11-08T00:48:43,0,25,0,25
2022-11-08T00:58:01,0,25,0,25
2022-11-08T01:07:18,0,25,0,25
2022-11-08T01:16:36,0,25,0,25
2022-11-08T01:25:54,0,25,0,25
2022-11-08T01:35:12,0,25,0,25
2022-11-08T01:44:29,0,25,0,25
2022-11-08T01:53:58,0,25,0,25
2022-11-08T02:03:16,0,25,0,25
2022-11-08T02:12:32,0,25,0,25
2022-11-08T02:21:47,0,25,0,25
2022-11-08T02:31:03,0,25,0,25
2022-11-08T02:40:22,0,25,0,25
2022-11-08T02:49:41,0,25,0,25
2022-11-08T02:58:57,0,25,0,25
2022-11-08T03:08:14,0,25,0,25
2022-11-08T03:17:31,0,25,0,25
2022-11-08T03:26:46,0,25,0,25
2022-11-08T03:36:02,0,25,0,25
2022-11-08T03:45:29,0,25,0,25
2022-11-08T03:54:45,0,25,0,25
2022-11-08T04:06:07,0,25,0,25
2022-11-08T04:21:17,0,25,0,25
2022-11-08T04:30:59,0,25,0,25
2022-11-08T04:40:18,0,25,0,25
2022-11-08T04:49:37,0,25,0,25
2022-11-08T04:58:54,0,25,0,25
2022-11-08T05:08:12,0,25,0,25
2022-11-08T05:17:28,0,25,0,25
2022-11-08T05:26:45,0,25,0,25
