time,enrolled,available,waitlisted,total
2022-11-05T20:14:16,0,32,0,32
2022-11-05T20:23:33,0,32,0,32
2022-11-05T20:32:50,0,32,0,32
2022-11-05T20:42:18,0,32,0,32
2022-11-05T20:51:33,0,32,0,32
2022-11-05T21:00:49,0,32,0,32
2022-11-05T21:10:04,0,32,0,32
2022-11-05T21:19:20,0,32,0,32
2022-11-05T21:28:35,0,32,0,32
2022-11-05T21:37:51,0,32,0,32
2022-11-05T21:47:07,0,32,0,32
2022-11-05T21:56:22,0,32,0,32
2022-11-05T22:05:37,0,32,0,32
2022-11-05T22:14:53,0,32,0,32
2022-11-05T22:24:08,0,32,0,32
2022-11-05T22:33:24,0,32,0,32
2022-11-05T22:42:42,0,32,0,32
2022-11-05T22:51:57,0,32,0,32
2022-11-05T23:01:13,0,32,0,32
2022-11-05T23:10:30,0,32,0,32
2022-11-05T23:19:46,0,32,0,32
2022-11-05T23:29:05,0,32,0,32
2022-11-05T23:38:19,0,32,0,32
2022-11-05T23:47:36,0,32,0,32
2022-11-05T23:56:52,0,32,0,32
2022-11-06T00:06:17,0,32,0,32
2022-11-06T00:15:34,0,32,0,32
2022-11-06T00:24:49,0,32,0,32
2022-11-06T00:34:05,0,32,0,32
2022-11-06T00:43:20,0,32,0,32
2022-11-06T00:52:35,0,32,0,32
2022-11-06T01:01:51,0,32,0,32
2022-11-06T01:11:06,0,32,0,32
2022-11-06T01:20:22,0,32,0,32
2022-11-06T01:29:38,0,32,0,32
2022-11-06T01:38:54,0,32,0,32
2022-11-06T01:48:09,0,32,0,32
2022-11-06T01:57:25,0,32,0,32
2022-11-06T01:06:42,0,32,0,32
2022-11-06T01:15:58,0,32,0,32
2022-11-06T01:25:14,0,32,0,32
2022-11-06T01:34:30,0,32,0,32
2022-11-06T01:43:45,0,32,0,32
2022-11-06T01:53:04,0,32,0,32
2022-11-06T02:02:23,0,32,0,32
2022-11-06T02:11:41,0,32,0,32
2022-11-06T02:21:00,0,32,0,32
2022-11-06T02:30:21,0,32,0,32
