time,enrolled,available,waitlisted,total
2022-11-05T20:14:13,0,50,0,50
2022-11-05T20:23:31,0,50,0,50
2022-11-05T20:32:48,0,50,0,50
2022-11-05T20:42:15,0,50,0,50
2022-11-05T20:51:31,0,50,0,50
2022-11-05T21:00:47,0,50,0,50
2022-11-05T21:10:02,0,50,0,50
2022-11-05T21:19:17,0,50,0,50
2022-11-05T21:28:33,0,50,0,50
2022-11-05T21:37:49,0,50,0,50
2022-11-05T21:47:05,0,50,0,50
2022-11-05T21:56:20,0,50,0,50
2022-11-05T22:05:35,0,50,0,50
2022-11-05T22:14:51,0,50,0,50
2022-11-05T22:24:06,0,50,0,50
2022-11-05T22:33:22,0,50,0,50
2022-11-05T22:42:39,0,50,0,50
2022-11-05T22:51:55,0,50,0,50
2022-11-05T23:01:11,0,50,0,50
2022-11-05T23:10:27,0,50,0,50
2022-11-05T23:19:43,0,50,0,50
2022-11-05T23:29:03,0,50,0,50
2022-11-05T23:38:17,0,50,0,50
2022-11-05T23:47:33,0,50,0,50
2022-11-05T23:56:49,0,50,0,50
2022-11-06T00:06:15,0,50,0,50
2022-11-06T00:15:31,0,50,0,50
2022-11-06T00:24:47,0,50,0,50
2022-11-06T00:34:03,0,50,0,50
2022-11-06T00:43:18,0,50,0,50
2022-11-06T00:52:33,0,50,0,50
2022-11-06T01:01:49,0,50,0,50
2022-11-06T01:11:04,0,50,0,50
2022-11-06T01:20:19,0,50,0,50
2022-11-06T01:29:36,0,50,0,50
2022-11-06T01:38:52,0,50,0,50
2022-11-06T01:48:07,0,50,0,50
2022-11-06T01:57:23,0,50,0,50
2022-11-06T01:06:40,0,50,0,50
2022-11-06T01:15:56,0,50,0,50
2022-11-06T01:25:12,0,50,0,50
2022-11-06T01:34:28,0,50,0,50
2022-11-06T01:43:43,0,50,0,50
2022-11-06T01:53:02,0,50,0,50
2022-11-06T02:02:20,0,50,0,50
2022-11-06T02:11:39,0,50,0,50
2022-11-06T02:20:58,0,50,0,50
2022-11-06T02:30:19,0,50,0,50
2022-11-06T02:39:38,0,50,0,50
2022-11-06T02:48:57,0,50,0,50
2022-11-06T02:58:16,0,50,0,50
2022-11-06T03:07:34,0,50,0,50
2022-11-06T03:16:51,0,50,0,50
2022-11-06T03:26:08,0,50,0,50
2022-11-06T03:35:26,0,50,0,50
2022-11-06T03:44:45,0,50,0,50
2022-11-06T03:54:06,0,50,0,50
2022-11-06T04:03:25,0,50,0,50
2022-11-06T04:18:44,0,50,0,50
2022-11-06T04:28:03,0,50,0,50
2022-11-06T04:37:22,0,50,0,50
2022-11-06T04:47:50,0,50,0,50
2022-11-06T04:57:25,0,50,0,50
2022-11-06T05:06:42,0,50,0,50
2022-11-06T05:16:00,0,50,0,50
2022-11-06T05:25:16,0,50,0,50
2022-11-06T05:34:33,0,50,0,50
2022-11-06T05:43:48,0,50,0,50
2022-11-06T05:53:05,0,50,0,50
2022-11-06T06:02:23,0,50,0,50
2022-11-06T06:11:42,0,50,0,50
2022-11-06T06:21:01,0,50,0,50
2022-11-06T06:30:17,0,50,0,50
2022-11-06T06:39:34,0,50,0,50
2022-11-06T06:48:49,0,50,0,50
2022-11-06T06:58:06,0,50,0,50
2022-11-06T07:07:23,0,50,0,50
2022-11-06T07:16:40,0,50,0,50
2022-11-06T07:25:57,0,50,0,50
2022-11-06T07:35:15,0,50,0,50
2022-11-06T07:44:34,0,50,0,50
2022-11-06T07:53:52,0,50,0,50
2022-11-06T08:03:08,0,50,0,50
2022-11-06T08:12:25,0,50,0,50
2022-11-06T08:21:42,0,50,0,50
2022-11-06T08:31:00,0,50,0,50
2022-11-06T08:40:16,0,50,0,50
2022-11-06T08:49:32,0,50,0,50
2022-11-06T08:58:50,0,50,0,50
2022-11-06T09:08:05,0,50,0,50
2022-11-06T09:17:20,0,50,0,50
2022-11-06T09:26:34,0,50,0,50
2022-11-06T09:35:47,0,50,0,50
2022-11-06T09:45:01,0,50,0,50
2022-11-06T09:54:16,0,50,0,50
2022-11-06T10:03:29,0,50,0,50
2022-11-06T10:12:42,0,50,0,50
2022-11-06T10:21:56,0,50,0,50
2022-11-06T10:31:13,0,50,0,50
2022-11-06T10:40:27,0,50,0,50
2022-11-06T10:49:41,0,50,0,50
2022-11-06T10:58:57,0,50,0,50
2022-11-06T11:08:11,0,50,0,50
2022-11-06T11:17:27,0,50,0,50
2022-11-06T11:26:46,0,50,0,50
2022-11-06T11:36:07,0,50,0,50
2022-11-06T11:45:22,0,50,0,50
2022-11-06T11:54:36,0,50,0,50
2022-11-06T12:03:50,0,50,0,50
2022-11-06T12:13:06,0,50,0,50
2022-11-06T12:22:31,0,50,0,50
2022-11-06T12:31:45,0,50,0,50
2022-11-06T12:40:59,0,50,0,50
2022-11-06T12:50:14,0,50,0,50
2022-11-06T12:59:28,0,50,0,50
2022-11-06T13:08:43,0,50,0,50
2022-11-06T13:17:59,0,50,0,50
2022-11-06T13:27:14,0,50,0,50
2022-11-06T13:36:27,0,50,0,50
2022-11-06T13:45:41,0,50,0,50
2022-11-06T13:54:55,0,50,0,50
2022-11-06T14:04:10,0,50,0,50
2022-11-06T14:13:26,0,50,0,50
2022-11-06T14:22:48,0,50,0,50
2022-11-06T14:32:02,0,50,0,50
2022-11-06T14:41:18,0,50,0,50
2022-11-06T14:50:33,0,50,0,50
2022-11-06T14:59:47,0,50,0,50
2022-11-06T15:09:00,0,50,0,50
2022-11-06T15:18:14,0,50,0,50
2022-11-06T15:27:28,0,50,0,50
2022-11-06T15:36:41,0,50,0,50
2022-11-06T15:45:56,0,50,0,50
2022-11-06T15:55:08,0,50,0,50
2022-11-06T16:04:21,0,50,0,50
2022-11-06T16:13:45,0,50,0,50
2022-11-06T16:23:00,0,50,0,50
2022-11-06T16:32:16,0,50,0,50
2022-11-06T16:41:31,0,50,0,50
2022-11-06T16:50:47,0,50,0,50
2022-11-06T17:00:02,0,50,0,50
2022-11-06T17:09:16,0,50,0,50
2022-11-06T17:18:30,0,50,0,50
2022-11-06T17:27:46,0,50,0,50
2022-11-06T17:37:02,0,50,0,50
2022-11-06T17:46:26,0,50,0,50
2022-11-06T17:55:41,0,50,0,50
2022-11-06T18:04:56,0,50,0,50
2022-11-06T18:14:12,0,50,0,50
2022-11-06T18:23:27,0,50,0,50
2022-11-06T18:32:40,0,50,0,50
2022-11-06T18:41:54,0,50,0,50
2022-11-06T18:51:07,0,50,0,50
2022-11-06T19:00:22,0,50,0,50
2022-11-06T19:09:47,0,50,0,50
2022-11-06T19:19:01,0,50,0,50
2022-11-06T19:28:17,0,50,0,50
2022-11-06T19:37:31,0,50,0,50
2022-11-06T19:46:43,0,50,0,50
2022-11-06T19:55:58,0,50,0,50
2022-11-06T20:05:11,0,50,0,50
2022-11-06T20:14:25,0,50,0,50
2022-11-06T20:23:39,0,50,0,50
2022-11-06T20:32:55,0,50,0,50
2022-11-06T20:42:17,0,50,0,50
2022-11-06T20:51:32,0,50,0,50
2022-11-06T21:00:46,0,50,0,50
2022-11-06T21:10:01,0,50,0,50
2022-11-06T21:19:13,0,50,0,50
2022-11-06T21:28:26,0,50,0,50
2022-11-06T21:37:39,0,50,0,50
2022-11-06T21:46:55,0,50,0,50
2022-11-06T21:56:19,0,50,0,50
2022-11-06T22:05:34,0,50,0,50
2022-11-06T22:14:49,0,50,0,50
2022-11-06T22:24:05,0,50,0,50
2022-11-06T22:33:20,0,50,0,50
2022-11-06T22:42:34,0,50,0,50
2022-11-06T22:51:48,0,50,0,50
2022-11-06T23:01:04,0,50,0,50
2022-11-06T23:10:29,0,50,0,50
2022-11-06T23:19:45,0,50,0,50
2022-11-06T23:29:01,0,50,0,50
2022-11-06T23:38:16,0,50,0,50
2022-11-06T23:47:31,0,50,0,50
2022-11-06T23:56:47,0,50,0,50
2022-11-07T00:07:47,0,50,0,50
2022-11-07T00:17:10,0,50,0,50
2022-11-07T00:26:38,0,50,0,50
2022-11-07T00:35:55,0,50,0,50
2022-11-07T00:45:09,0,50,0,50
2022-11-07T00:54:24,0,50,0,50
2022-11-07T01:03:38,0,50,0,50
2022-11-07T01:13:00,0,50,0,50
2022-11-07T01:22:16,0,50,0,50
2022-11-07T01:31:30,0,50,0,50
2022-11-07T01:40:56,0,50,0,50
2022-11-07T01:50:10,0,50,0,50
2022-11-07T01:59:25,0,50,0,50
2022-11-07T02:08:39,0,50,0,50
2022-11-07T02:17:53,0,50,0,50
2022-11-07T02:27:09,0,50,0,50
2022-11-07T02:36:23,0,50,0,50
2022-11-07T02:45:37,0,50,0,50
2022-11-07T02:54:51,0,50,0,50
2022-11-07T03:04:06,0,50,0,50
2022-11-07T03:13:21,0,50,0,50
2022-11-07T03:22:36,0,50,0,50
2022-11-07T03:31:51,0,50,0,50
2022-11-07T03:41:07,0,50,0,50
2022-11-07T03:50:23,0,50,0,50
2022-11-07T03:59:40,0,50,0,50
2022-11-07T04:08:59,0,50,0,50
2022-11-07T04:26:08,0,50,0,50
2022-11-07T04:35:46,0,50,0,50
2022-11-07T04:45:05,0,50,0,50
2022-11-07T04:54:21,0,50,0,50
2022-11-07T05:03:35,0,50,0,50
2022-11-07T05:12:50,0,50,0,50
2022-11-07T05:22:04,0,50,0,50
2022-11-07T05:31:18,0,50,0,50
2022-11-07T05:40:32,0,50,0,50
2022-11-07T05:49:47,0,50,0,50
2022-11-07T05:59:03,0,50,0,50
2022-11-07T06:08:20,0,50,0,50
2022-11-07T06:17:37,0,50,0,50
2022-11-07T06:26:55,0,50,0,50
2022-11-07T06:36:12,0,50,0,50
2022-11-07T06:45:29,0,50,0,50
2022-11-07T06:54:45,0,50,0,50
2022-11-07T07:04:01,0,50,0,50
2022-11-07T07:13:19,0,50,0,50
2022-11-07T07:22:36,0,50,0,50
2022-11-07T07:31:53,0,50,0,50
2022-11-07T07:41:10,0,50,0,50
2022-11-07T07:50:28,0,50,0,50
2022-11-07T07:59:49,0,50,0,50
2022-11-07T08:09:08,0,50,0,50
2022-11-07T08:18:26,0,50,0,50
2022-11-07T08:27:45,0,50,0,50
2022-11-07T08:37:13,0,50,0,50
2022-11-07T08:46:31,0,50,0,50
2022-11-07T08:55:48,0,50,0,50
2022-11-07T09:05:06,0,50,0,50
2022-11-07T09:14:29,0,50,0,50
2022-11-07T09:23:48,0,50,0,50
2022-11-07T09:33:08,0,50,0,50
2022-11-07T09:42:43,0,50,0,50
2022-11-07T09:52:03,0,50,0,50
2022-11-07T10:01:22,0,50,0,50
2022-11-07T10:10:41,0,50,0,50
2022-11-07T10:20:00,0,50,0,50
2022-11-07T10:29:19,0,50,0,50
2022-11-07T10:38:52,0,50,0,50
2022-11-07T10:48:11,0,50,0,50
2022-11-07T10:57:30,0,50,0,50
2022-11-07T11:06:50,0,50,0,50
2022-11-07T11:16:12,0,50,0,50
2022-11-07T11:25:42,0,50,0,50
2022-11-07T11:35:03,0,50,0,50
2022-11-07T11:44:23,0,50,0,50
2022-11-07T11:53:41,0,50,0,50
2022-11-07T12:02:59,1,49,0,50
2022-11-07T12:12:28,1,49,0,50
2022-11-07T12:21:48,1,49,0,50
2022-11-07T12:31:08,1,49,0,50
2022-11-07T12:40:27,1,49,0,50
2022-11-07T12:49:57,1,49,0,50
2022-11-07T12:59:17,1,49,0,50
2022-11-07T13:08:37,1,49,0,50
2022-11-07T13:17:59,1,49,0,50
2022-11-07T13:27:30,1,49,0,50
2022-11-07T13:36:51,1,49,0,50
2022-11-07T13:46:13,1,49,0,50
2022-11-07T13:55:43,1,49,0,50
2022-11-07T14:05:04,1,49,0,50
2022-11-07T14:14:23,1,49,0,50
2022-11-07T14:23:44,1,49,0,50
2022-11-07T14:33:13,1,49,0,50
2022-11-07T14:42:33,1,49,0,50
2022-11-07T14:51:51,1,49,0,50
2022-11-07T15:01:10,1,49,0,50
2022-11-07T15:10:29,1,49,0,50
2022-11-07T15:20:00,1,49,0,50
2022-11-07T15:29:19,1,49,0,50
2022-11-07T15:38:38,1,49,0,50
2022-11-07T15:47:55,1,49,0,50
2022-11-07T15:57:24,1,49,0,50
2022-11-07T16:06:43,1,49,0,50
2022-11-07T16:16:01,1,49,0,50
2022-11-07T16:25:19,1,49,0,50
2022-11-07T16:34:47,1,49,0,50
2022-11-07T16:44:05,1,49,0,50
2022-11-07T16:53:24,1,49,0,50
2022-11-07T17:02:42,1,49,0,50
2022-11-07T17:12:04,1,49,0,50
2022-11-07T17:21:35,1,49,0,50
2022-11-07T17:30:52,1,49,0,50
2022-11-07T17:40:10,1,49,0,50
2022-11-07T17:49:27,1,49,0,50
2022-11-07T17:58:44,1,49,0,50
2022-11-07T18:08:17,1,49,0,50
2022-11-07T18:17:34,1,49,0,50
2022-11-07T18:26:51,1,49,0,50
2022-11-07T18:36:08,1,49,0,50
2022-11-07T18:45:35,1,49,0,50
2022-11-07T18:54:53,1,49,0,50
2022-11-07T19:04:10,1,49,0,50
2022-11-07T19:13:37,1,49,0,50
2022-11-07T19:22:54,1,49,0,50
2022-11-07T19:32:13,1,49,0,50
2022-11-07T19:41:32,1,49,0,50
2022-11-07T19:50:50,1,49,0,50
2022-11-07T20:00:08,1,49,0,50
2022-11-07T20:09:37,1,49,0,50
2022-11-07T20:18:54,1,49,0,50
2022-11-07T20:28:11,1,49,0,50
2022-11-07T20:37:28,1,49,0,50
2022-11-07T20:46:47,1,49,0,50
2022-11-07T20:56:05,1,49,0,50
2022-11-07T21:05:33,1,49,0,50
2022-11-07T21:14:49,1,49,0,50
2022-11-07T21:24:05,1,49,0,50
2022-11-07T21:33:24,1,49,0,50
2022-11-07T21:42:39,1,49,0,50
2022-11-07T21:51:54,1,49,0,50
2022-11-07T22:01:21,1,49,0,50
2022-11-07T22:10:39,1,49,0,50
2022-11-07T22:19:56,1,49,0,50
2022-11-07T22:29:12,1,49,0,50
2022-11-07T22:38:28,1,49,0,50
2022-11-07T22:47:44,1,49,0,50
2022-11-07T22:57:11,1,49,0,50
2022-11-07T23:06:27,1,49,0,50
2022-11-07T23:15:43,1,49,0,50
2022-11-07T23:24:59,1,49,0,50
2022-11-07T23:34:14,1,49,0,50
2022-11-07T23:43:30,1,49,0,50
2022-11-07T23:52:46,1,49,0,50
2022-11-08T00:02:01,1,49,0,50
