time,enrolled,available,waitlisted,total
2022-11-05T20:14:18,0,60,0,60
2022-11-05T20:23:36,0,60,0,60
2022-11-05T20:32:52,0,60,0,60
2022-11-05T20:42:20,0,60,0,60
2022-11-05T20:51:36,0,60,0,60
2022-11-05T21:00:51,0,60,0,60
2022-11-05T21:10:06,0,60,0,60
2022-11-05T21:19:22,0,60,0,60
2022-11-05T21:28:37,0,60,0,60
2022-11-05T21:37:53,0,60,0,60
2022-11-05T21:47:09,0,60,0,60
2022-11-05T21:56:25,0,60,0,60
2022-11-05T22:05:40,0,60,0,60
2022-11-05T22:14:55,0,60,0,60
2022-11-05T22:24:10,0,60,0,60
2022-11-05T22:33:26,0,60,0,60
2022-11-05T22:42:44,0,60,0,60
2022-11-05T22:51:59,0,60,0,60
2022-11-05T23:01:15,0,60,0,60
2022-11-05T23:10:32,0,60,0,60
2022-11-05T23:19:48,0,60,0,60
2022-11-05T23:29:07,0,60,0,60
2022-11-05T23:38:21,0,60,0,60
2022-11-05T23:47:38,0,60,0,60
2022-11-05T23:56:54,0,60,0,60
2022-11-06T00:06:19,0,60,0,60
2022-11-06T00:15:36,0,60,0,60
2022-11-06T00:24:51,0,60,0,60
2022-11-06T00:34:07,0,60,0,60
2022-11-06T00:43:23,0,60,0,60
2022-11-06T00:52:38,0,60,0,60
2022-11-06T01:01:53,0,60,0,60
2022-11-06T01:11:08,0,60,0,60
2022-11-06T01:20:24,0,60,0,60
2022-11-06T01:29:40,0,60,0,60
2022-11-06T01:38:56,0,60,0,60
2022-11-06T01:48:11,0,60,0,60
2022-11-06T01:57:28,0,60,0,60
2022-11-06T01:06:44,0,60,0,60
2022-11-06T01:16:01,0,60,0,60
2022-11-06T01:25:16,0,60,0,60
2022-11-06T01:34:32,0,60,0,60
2022-11-06T01:43:47,0,60,0,60
2022-11-06T01:53:06,0,60,0,60
2022-11-06T02:02:25,0,60,0,60
2022-11-06T02:11:43,0,60,0,60
2022-11-06T02:21:02,0,60,0,60
2022-11-06T02:30:23,0,60,0,60
2022-11-06T02:39:42,0,60,0,60
2022-11-06T02:49:01,0,60,0,60
2022-11-06T02:58:20,0,60,0,60
2022-11-06T03:07:38,0,60,0,60
2022-11-06T03:16:55,0,60,0,60
2022-11-06T03:26:12,0,60,0,60
2022-11-06T03:35:30,0,60,0,60
2022-11-06T03:44:50,0,60,0,60
2022-11-06T03:54:10,0,60,0,60
2022-11-06T04:03:29,0,60,0,60
2022-11-06T04:18:48,0,60,0,60
2022-11-06T04:28:08,0,60,0,60
2022-11-06T04:37:27,0,60,0,60
2022-11-06T04:47:55,0,60,0,60
2022-11-06T04:57:29,0,60,0,60
2022-11-06T05:06:47,0,60,0,60
2022-11-06T05:16:04,0,60,0,60
2022-11-06T05:25:20,0,60,0,60
2022-11-06T05:34:38,0,60,0,60
2022-11-06T05:43:52,0,60,0,60
2022-11-06T05:53:09,0,60,0,60
2022-11-06T06:02:28,0,60,0,60
2022-11-06T06:11:46,0,60,0,60
2022-11-06T06:21:05,0,60,0,60
2022-11-06T06:30:22,0,60,0,60
2022-11-06T06:39:38,0,60,0,60
2022-11-06T06:48:54,0,60,0,60
2022-11-06T06:58:10,0,60,0,60
2022-11-06T07:07:27,0,60,0,60
2022-11-06T07:16:44,0,60,0,60
